"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"DROSHA","DROSHA","ENST00000344624","Control","FRDA",0.1471,0,-0.1471,4.48025732635787e-63,"Higher in Control"
"ATP5F1C","ATP5F1C","ENST00000356708","Control","FRDA",0.057,0.178366666666667,0.121366666666667,1.00971340063866e-58,"Higher in FRDA"
"ARHGAP21","ARHGAP21","ENST00000680286","Control","FRDA",0.1562,0,-0.1562,3.92652042494658e-52,"Higher in Control"
"FKBP15","FKBP15","ENST00000690399","Control","FRDA",0,0.130433333333333,0.130433333333333,2.06102845013782e-51,"Higher in FRDA"
"ANKRD11","ANKRD11","ENST00000562275","Control","FRDA",0.108733333333333,0,-0.108733333333333,3.81475225223003e-51,"Higher in Control"
"AQP1","AQP1","ENST00000311813","Control","FRDA",0.9008,0.541866666666667,-0.358933333333333,1.56813414454975e-46,"Higher in Control"
"TSC1","TSC1","ENST00000642617","Control","FRDA",0.124666666666667,0,-0.124666666666667,3.76640868381601e-44,"Higher in Control"
"PDK2","PDK2","ENST00000007708","Control","FRDA",0.144866666666667,0,-0.144866666666667,1.204970296721e-39,"Higher in Control"
"DGCR6","DGCR6","ENST00000331444","Control","FRDA",0,0.635266666666667,0.635266666666667,4.3245186500774e-39,"Higher in FRDA"
"GCNT2","GCNT2","ENST00000265012","Control","FRDA",0.226166666666667,0.512666666666667,0.2865,5.16473204067032e-38,"Higher in FRDA"
"ADGRG6","ADGRG6","ENST00000367609","Control","FRDA",0,0.164466666666667,0.164466666666667,2.75821160444788e-37,"Higher in FRDA"
"NDRG4","NDRG4","ENST00000258187","Control","FRDA",0.5512,0.0944,-0.4568,2.87641353748297e-35,"Higher in Control"
"CRYAB","CRYAB","ENST00000650687","Control","FRDA",0.4217,0.1541,-0.2676,3.63928045167243e-35,"Higher in Control"
"KAT14","KAT14","ENST00000377681","Control","FRDA",0,0.2124,0.2124,5.69986763898324e-33,"Higher in FRDA"
"PSME3IP1","PSME3IP1","ENST00000569266","Control","FRDA",0.1081,0,-0.1081,1.13439592164438e-30,"Higher in Control"
"PIM2","PIM2","ENST00000376509","Control","FRDA",0,0.947366666666667,0.947366666666667,4.63417413380326e-27,"Higher in FRDA"
"ZNF714","ZNF714","ENST00000613286","Control","FRDA",0.142766666666667,0,-0.142766666666667,5.29891876459756e-25,"Higher in Control"
"GCNT2","GCNT2","ENST00000495262","Control","FRDA",0.442233333333333,0.291266666666667,-0.150966666666667,5.60605939917686e-25,"Higher in Control"
"MTCL1","MTCL1","ENST00000306329","Control","FRDA",0.1337,0,-0.1337,1.95943771355571e-24,"Higher in Control"
"PIM2","PIM2","ENST00000710360","Control","FRDA",0.919333333333333,0,-0.919333333333333,6.00713179719558e-24,"Higher in Control"
"MICAL3","MICAL3","ENST00000461307","Control","FRDA",0.2209,0.116966666666667,-0.103933333333333,1.29647486135139e-23,"Higher in Control"
"PMP22","PMP22","ENST00000675197","Control","FRDA",0.186,0,-0.186,1.54394876451821e-21,"Higher in Control"
"CELF1","CELF1","ENST00000310513","Control","FRDA",0.397266666666667,0.2623,-0.134966666666667,4.51258112666155e-21,"Higher in Control"
"LINC00662","LINC00662","ENST00000657677","Control","FRDA",0,0.123433333333333,0.123433333333333,1.14291106766688e-20,"Higher in FRDA"
"HIVEP2","HIVEP2","ENST00000703917","Control","FRDA",0,0.206666666666667,0.206666666666667,4.62446008394117e-20,"Higher in FRDA"
"MRPS31P5","MRPS31P5","ENST00000833352","Control","FRDA",0,0.2807,0.2807,2.95644882541662e-19,"Higher in FRDA"
"PDPR2P","PDPR2P","ENST00000723001","Control","FRDA",0.136666666666667,0,-0.136666666666667,3.56494763432855e-19,"Higher in Control"
"WIZ","WIZ","ENST00000389282","Control","FRDA",0.135233333333333,0,-0.135233333333333,1.83203739888143e-18,"Higher in Control"
"AHI1","AHI1","ENST00000681301","Control","FRDA",0,0.159666666666667,0.159666666666667,2.3665025285455e-18,"Higher in FRDA"
"LDAH","LDAH","ENST00000541941","Control","FRDA",0.0190666666666667,0.157133333333333,0.138066666666667,4.39121866535632e-18,"Higher in FRDA"
"FKBP15","FKBP15","ENST00000414250","Control","FRDA",0.132466666666667,0,-0.132466666666667,6.33984386378402e-17,"Higher in Control"
"PHACTR1","PHACTR1","ENST00000692995","Control","FRDA",0,0.233233333333333,0.233233333333333,9.35908543292269e-17,"Higher in FRDA"
"ARPC1B","ARPC1B","ENST00000484600","Control","FRDA",0.190233333333333,0,-0.190233333333333,1.19044474882782e-16,"Higher in Control"
"HMGN3","HMGN3","ENST00000706657","Control","FRDA",0.268833333333333,0.118833333333333,-0.15,5.50445350723352e-16,"Higher in Control"
"C18orf21","C18orf21","ENST00000610527","Control","FRDA",0.00266666666666667,0.1777,0.175033333333333,2.43551238503222e-15,"Higher in FRDA"
"LONP1","LONP1","ENST00000585374","Control","FRDA",0.214766666666667,0,-0.214766666666667,3.42016656325916e-15,"Higher in Control"
"GRB7","GRB7","ENST00000309156","Control","FRDA",0.514166666666667,0,-0.514166666666667,4.14251314271261e-15,"Higher in Control"
"MME","MME","ENST00000493237","Control","FRDA",0.459333333333333,0,-0.459333333333333,9.370341249244e-15,"Higher in Control"
"MARCHF6","MARCHF6","ENST00000510872","Control","FRDA",0.155666666666667,0,-0.155666666666667,1.5690624790219e-14,"Higher in Control"
"ALDH6A1","ALDH6A1","ENST00000350259","Control","FRDA",0.1253,0,-0.1253,2.79500497821975e-14,"Higher in Control"
"MCM3AP-AS1","MCM3AP-AS1","ENST00000654493","Control","FRDA",0.2984,0,-0.2984,3.93895687395303e-14,"Higher in Control"
"WEE1","WEE1","ENST00000450114","Control","FRDA",0.523066666666667,0.379166666666667,-0.1439,3.93895687395303e-14,"Higher in Control"
"CCDC136","CCDC136","ENST00000297788","Control","FRDA",0,0.1274,0.1274,3.98616446808584e-14,"Higher in FRDA"
"SLC25A3","SLC25A3","ENST00000551917","Control","FRDA",0.2474,0.133266666666667,-0.114133333333333,6.11251446453141e-14,"Higher in Control"
"TBC1D16","TBC1D16","ENST00000340848","Control","FRDA",0.126566666666667,0,-0.126566666666667,6.13906017684623e-14,"Higher in Control"
"POLD3","POLD3","ENST00000532497","Control","FRDA",0,0.106333333333333,0.106333333333333,1.15349349611277e-13,"Higher in FRDA"
"IGF2","IGF2","ENST00000416167","Control","FRDA",0.375966666666667,0.1678,-0.208166666666667,1.86074529809178e-13,"Higher in Control"
"HDAC9","HDAC9","ENST00000406072","Control","FRDA",0,0.1081,0.1081,3.72727812517792e-13,"Higher in FRDA"
"AMY2B","AMY2B","ENST00000684275","Control","FRDA",0.223,0,-0.223,1.1089974818108e-12,"Higher in Control"
"CACNA2D1","CACNA2D1","ENST00000356860","Control","FRDA",0.157166666666667,0,-0.157166666666667,1.51283776364382e-12,"Higher in Control"
"EPB41L4A-AS1","EPB41L4A-AS1","ENST00000810491","Control","FRDA",0.2927,0,-0.2927,2.09483887778881e-12,"Higher in Control"
"BABAM2","BABAM2","ENST00000361704","Control","FRDA",0.108533333333333,0,-0.108533333333333,2.50102028204041e-12,"Higher in Control"
"SPTBN1","SPTBN1","ENST00000356805","Control","FRDA",0.4978,0.660533333333333,0.162733333333333,3.61849675772897e-12,"Higher in FRDA"
"UVSSA","UVSSA","ENST00000677286","Control","FRDA",0.167,0,-0.167,3.8454129027113e-12,"Higher in Control"
"FHL2","FHL2","ENST00000393352","Control","FRDA",0.8306,0.506266666666667,-0.324333333333333,5.1114557613656e-12,"Higher in Control"
"KHDC4","KHDC4","ENST00000368320","Control","FRDA",0.0971,0.210566666666667,0.113466666666667,5.16667472553976e-12,"Higher in FRDA"
"NLGN3","NLGN3","ENST00000358741","Control","FRDA",0.404666666666667,0,-0.404666666666667,6.04379017708848e-12,"Higher in Control"
"PDPR2P","PDPR2P","ENST00000723004","Control","FRDA",0,0.202133333333333,0.202133333333333,6.16680537979006e-12,"Higher in FRDA"
"MTHFSD","MTHFSD","ENST00000543303","Control","FRDA",0,0.2643,0.2643,1.17341077924212e-11,"Higher in FRDA"
"CRYAB","CRYAB","ENST00000527950","Control","FRDA",0.4172,0.602766666666667,0.185566666666667,1.49282243751439e-11,"Higher in FRDA"
"ATP5F1C","ATP5F1C","ENST00000335698","Control","FRDA",0.734433333333333,0.5692,-0.165233333333333,2.62613026987186e-11,"Higher in Control"
"SLC39A13","SLC39A13","ENST00000531419","Control","FRDA",0.115966666666667,0,-0.115966666666667,4.2213395277152e-11,"Higher in Control"
"TFPI","TFPI","ENST00000339091","Control","FRDA",0,0.4069,0.4069,5.01154437116162e-11,"Higher in FRDA"
"SPRY4-AS1","SPRY4-AS1","ENST00000432677","Control","FRDA",0.151466666666667,0,-0.151466666666667,7.20417732744008e-11,"Higher in Control"
"NPAS1","NPAS1","ENST00000602212","Control","FRDA",0,0.425766666666667,0.425766666666667,9.67261665910073e-11,"Higher in FRDA"
