gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00000398,ADGRG6,ADGRG6,Control,FRDA,4.227658417155249e-146,1
geneComp_00000768,ANK2,ANK2,Control,FRDA,2.9185247878697085e-80,2
geneComp_00017831,EPB41L3,EPB41L3,Control,FRDA,1.2369079836684422e-68,3
geneComp_00031939,SYNPO2,SYNPO2,Control,FRDA,1.5233804752030717e-67,4
geneComp_00003086,CELF1,CELF1,Control,FRDA,7.140524539247713e-58,5
geneComp_00021599,KLHL13,KLHL13,Control,FRDA,3.202528754236411e-42,6
geneComp_00034773,ZNF133,ZNF133,Control,FRDA,7.929747333083136e-37,7
geneComp_00031256,SP4,SP4,Control,FRDA,4.889105579431295e-36,8
geneComp_00030739,SLC44A2,SLC44A2,Control,FRDA,1.516941859658071e-32,9
geneComp_00034697,ZFX,ZFX,Control,FRDA,2.168630456787763e-31,10
geneComp_00000555,AIMP1,AIMP1,Control,FRDA,2.064082532441331e-30,11
geneComp_00025895,OPA1,OPA1,Control,FRDA,4.245859716567107e-27,12
geneComp_00027156,PMP22,PMP22,Control,FRDA,5.834911700369719e-27,13
geneComp_00027627,PRKAR1B,PRKAR1B,Control,FRDA,1.3081105413161106e-26,14
geneComp_00003747,COL1A1,COL1A1,Control,FRDA,2.0355611970833132e-26,15
geneComp_00026776,PHF8,PHF8,Control,FRDA,4.576275998701359e-25,16
geneComp_00021515,KIF24,KIF24,Control,FRDA,1.0540014275485039e-24,17
geneComp_00000752,ANAPC5,ANAPC5,Control,FRDA,3.360742796003256e-24,18
geneComp_00002692,CCDC40,CCDC40,Control,FRDA,7.575026188574137e-24,19
geneComp_00001690,BBS2,BBS2,Control,FRDA,1.0911254735017896e-23,20
geneComp_00003279,CGGBP1,CGGBP1,Control,FRDA,3.3370179929624176e-22,21
geneComp_00024133,MIR22HG,MIR22HG,Control,FRDA,4.0127496466906245e-22,22
geneComp_00025130,NEAT1,NEAT1,Control,FRDA,1.0920989068373917e-21,23
geneComp_00020617,HYCC1,HYCC1,Control,FRDA,3.417930433123401e-21,24
geneComp_00000238,ACTG1,ACTG1,Control,FRDA,4.5161252758788936e-21,25
geneComp_00031703,STK17B,STK17B,Control,FRDA,7.747701677240708e-19,26
geneComp_00023667,MAPK10,MAPK10,Control,FRDA,1.977840004290437e-18,27
geneComp_00022171,LINC00630,LINC00630,Control,FRDA,3.035920759281295e-18,28
geneComp_00021275,KAZN,KAZN,Control,FRDA,5.6276212787057486e-18,29
geneComp_00019297,GLB1L,GLB1L,Control,FRDA,6.071079397386657e-18,30
geneComp_00033022,TNS3,TNS3,Control,FRDA,6.071079397386657e-18,31
geneComp_00003573,CLK2,CLK2,Control,FRDA,1.0144258460273011e-17,32
geneComp_00027645,PRKCZ,PRKCZ,Control,FRDA,1.7157521760919346e-17,33
geneComp_00004481,DDAH1,DDAH1,Control,FRDA,3.1115456069126e-17,34
geneComp_00023753,MATN2,MATN2,Control,FRDA,5.715752289426871e-17,35
geneComp_00001711,BCAT1,BCAT1,Control,FRDA,5.786041546313674e-17,36
geneComp_00000049,ABCA7,ABCA7,Control,FRDA,6.290897339204301e-17,37
geneComp_00025162,NEK2,NEK2,Control,FRDA,7.176260115612763e-17,38
geneComp_00028010,PTPRS,PTPRS,Control,FRDA,8.195192483032765e-17,39
geneComp_00018921,FYN,FYN,Control,FRDA,8.733617155110474e-17,40
geneComp_00030727,SLC39A8,SLC39A8,Control,FRDA,1.1347500420701097e-16,41
geneComp_00021065,IRF9,IRF9,Control,FRDA,4.1010460213403846e-16,42
geneComp_00020087,HECW2,HECW2,Control,FRDA,5.157093758559141e-16,43
geneComp_00002666,CCDC186,CCDC186,Control,FRDA,5.914712870534669e-16,44
geneComp_00018670,FLNB,FLNB,Control,FRDA,6.121356095859653e-16,45
geneComp_00005167,DYSF,DYSF,Control,FRDA,6.645870076204227e-16,46
geneComp_00002431,CAMKK2,CAMKK2,Control,FRDA,8.198092292311009e-16,47
geneComp_00004047,CSAD,CSAD,Control,FRDA,8.546678682761271e-16,48
geneComp_00027653,PRKG1,PRKG1,Control,FRDA,9.712349717367452e-16,49
geneComp_00029962,SDHAP1,SDHAP1,Control,FRDA,1.4453695674811184e-15,50
geneComp_00000832,ANKRD36,ANKRD36,Control,FRDA,1.575711908378804e-15,51
geneComp_00004749,DLG2,DLG2,Control,FRDA,1.665373213856637e-15,52
geneComp_00019095,GATA6-AS1,GATA6-AS1,Control,FRDA,1.8211363732077164e-15,53
geneComp_00027211,POC5,POC5,Control,FRDA,2.730435186128782e-15,54
geneComp_00033231,TRIM16,TRIM16,Control,FRDA,3.03351037566504e-15,55
geneComp_00002000,BTBD3,BTBD3,Control,FRDA,4.2330615096548125e-15,56
geneComp_00001660,BANCR,BANCR,Control,FRDA,9.551899540390278e-15,57
geneComp_00018371,FANCG,FANCG,Control,FRDA,1.0626801832947899e-14,58
