gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00037610,PRKAR1B,PRKAR1B,Control,FRDA,6.846846284073618e-126,1
geneComp_00033630,MPRIP,MPRIP,Control,FRDA,1.5977015591403834e-94,2
geneComp_00001786,AXIN2,AXIN2,Control,FRDA,1.0566214310483638e-84,3
geneComp_00044639,TPP2,TPP2,Control,FRDA,1.2176408062422562e-63,4
geneComp_00004211,CNTN1,CNTN1,Control,FRDA,7.084191460107416e-58,5
geneComp_00006409,ENOX2,ENOX2,Control,FRDA,2.5692907116638197e-43,6
geneComp_00043234,SVBP,SVBP,Control,FRDA,2.216084668797049e-37,7
geneComp_00045659,USP48,USP48,Control,FRDA,1.6861086459191277e-32,8
geneComp_00005347,DHRS4L2,DHRS4L2,Control,FRDA,2.3256210054345064e-27,9
geneComp_00032808,MAP3K13,MAP3K13,Control,FRDA,8.971144025561109e-27,10
geneComp_00044601,TP53TG1,TP53TG1,Control,FRDA,4.0716296678632736e-22,11
geneComp_00041993,SLCO4A1,SLCO4A1,Control,FRDA,7.954916816252403e-22,12
geneComp_00027693,GRIA3,GRIA3,Control,FRDA,3.1723537739025155e-18,13
geneComp_00042199,SNAP25-AS1,SNAP25-AS1,Control,FRDA,4.3473703699585274e-15,14
geneComp_00030621,LINC00326,LINC00326,Control,FRDA,9.839511008973075e-13,15
geneComp_00031779,LINC02458,LINC02458,Control,FRDA,6.4067117349096064e-12,16
geneComp_00037449,PPP2R2B,PPP2R2B,Control,FRDA,1.0940814346388704e-9,17
geneComp_00046788,ZNF426-DT,ZNF426-DT,Control,FRDA,6.043771734851489e-8,18
geneComp_00006118,EGFLAM,EGFLAM,Control,FRDA,9.870888566078476e-8,19
geneComp_00033398,MIR4500HG,MIR4500HG,Control,FRDA,4.917617905535359e-7,20
geneComp_00005229,DDX60L,DDX60L,Control,FRDA,6.872980126107857e-7,21
geneComp_00001216,ARHGAP22,ARHGAP22,Control,FRDA,1.7792882694790469e-6,22
geneComp_00032177,LINC03026,LINC03026,Control,FRDA,2.7494297110770205e-6,23
geneComp_00036952,PLEKHB1,PLEKHB1,Control,FRDA,2.5804012720738412e-5,24
geneComp_00002531,C3orf18,C3orf18,Control,FRDA,3.1228287518751435e-5,25
geneComp_00028162,HDHD5,HDHD5,Control,FRDA,3.245398615774331e-5,26
geneComp_00032644,LYSMD4,LYSMD4,Control,FRDA,5.128374043455016e-5,27
geneComp_00001576,ATG9B,ATG9B,Control,FRDA,2.7741335962703535e-4,28
geneComp_00046914,ZNF56P,ZNF56P,Control,FRDA,2.9462386611522575e-4,29
geneComp_00005801,DTNBP1,DTNBP1,Control,FRDA,6.771415383062003e-4,30
geneComp_00016534,ENSG00000290937.2,NA,Control,FRDA,8.882288582311875e-4,31
geneComp_00002075,BLTP1,BLTP1,Control,FRDA,9.295258382468912e-4,32
geneComp_00035192,NRL,NRL,Control,FRDA,9.295258382468912e-4,33
geneComp_00036080,PARD6G-AS1,PARD6G-AS1,Control,FRDA,9.499284206679107e-4,34
geneComp_00028981,IFITM2,IFITM2,Control,FRDA,9.606390053515124e-4,35
geneComp_00004352,COPS8-DT,COPS8-DT,Control,FRDA,9.907519017400685e-4,36
geneComp_00037339,PPIEL,PPIEL,Control,FRDA,0.00111322859061702,37
geneComp_00030942,LINC01106,LINC01106,Control,FRDA,0.0012313344403481826,38
geneComp_00036213,PCDHB11,PCDHB11,Control,FRDA,0.00265742576702177,39
