dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_LMN_FA2,PRKAR1B,PRKAR1B,2,codingPotential; domain_identified,0.244375,6.846846284073618e-126
Maddock_LMN_FA2,MPRIP,MPRIP,2,codingPotential; domain_identified,0.132525,1.5977015591403834e-94
Maddock_LMN_FA2,AXIN2,AXIN2,2,codingPotential; domain_identified,0.15662500000000001,1.0566214310483638e-84
Maddock_LMN_FA2,TPP2,TPP2,2,codingPotential; domain_identified,0.1265,1.2176408062422562e-63
Maddock_LMN_FA2,CNTN1,CNTN1,3,codingPotential; domain_identified; signal_peptide_identified,0.1866,7.084191460107416e-58
Maddock_LMN_FA2,ENOX2,ENOX2,2,codingPotential; domain_identified,0.23725000000000002,2.5692907116638197e-43
Maddock_LMN_FA2,SVBP,SVBP,2,codingPotential; domain_identified,0.26645,2.216084668797049e-37
Maddock_LMN_FA2,USP48,USP48,2,codingPotential; domain_identified,0.236725,1.6861086459191277e-32
Maddock_LMN_FA2,DHRS4L2,DHRS4L2,3,codingPotential; domain_identified; IR,0.4520249999999999,2.3256210054345064e-27
Maddock_LMN_FA2,MAP3K13,MAP3K13,3,codingPotential; domain_identified; PTC,0.43329999999999996,8.971144025561109e-27
Maddock_LMN_FA2,SLCO4A1,SLCO4A1,2,codingPotential; domain_identified,0.2768,7.954916816252403e-22
Maddock_LMN_FA2,GRIA3,GRIA3,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.15115,3.1723537739025155e-18
Maddock_LMN_FA2,SNAP25-AS1,SNAP25-AS1,1,codingPotential,0.132325,4.3473703699585274e-15
Maddock_LMN_FA2,LINC00326,LINC00326,1,IR,0.322975,9.839511008973075e-13
Maddock_LMN_FA2,LINC02458,LINC02458,1,IR,0.18037499999999998,6.4067117349096064e-12
Maddock_LMN_FA2,PPP2R2B,PPP2R2B,1,codingPotential,0.2259,1.0940814346388704e-9
Maddock_LMN_FA2,EGFLAM,EGFLAM,2,codingPotential; domain_identified,0.177425,9.870888566078476e-8
Maddock_LMN_FA2,DDX60L,DDX60L,2,codingPotential; domain_identified,0.21992499999999998,6.872980126107857e-7
Maddock_LMN_FA2,ARHGAP22,ARHGAP22,2,codingPotential; domain_identified,0.19434999999999997,1.7792882694790469e-6
Maddock_LMN_FA2,PLEKHB1,PLEKHB1,3,codingPotential; domain_identified; IR,0.11502499999999993,2.5804012720738412e-5
Maddock_LMN_FA2,C3orf18,C3orf18,1,codingPotential,0.20780000000000004,3.1228287518751435e-5
Maddock_LMN_FA2,HDHD5,HDHD5,2,codingPotential; domain_identified,0.16607500000000008,3.245398615774331e-5
Maddock_LMN_FA2,LYSMD4,LYSMD4,1,codingPotential,0.13965,5.128374043455016e-5
Maddock_LMN_FA2,ATG9B,ATG9B,4,codingPotential; domain_identified; IR; PTC,0.11317500000000003,2.7741335962703535e-4
Maddock_LMN_FA2,ZNF56P,ZNF56P,1,codingPotential,0.149175,2.9462386611522575e-4
Maddock_LMN_FA2,DTNBP1,DTNBP1,2,codingPotential; domain_identified,0.147825,6.771415383062003e-4
Maddock_LMN_FA2,NRL,NRL,2,codingPotential; domain_identified,0.30465000000000003,9.295258382468912e-4
Maddock_LMN_FA2,BLTP1,BLTP1,3,codingPotential; domain_identified; IR,0.147275,9.295258382468912e-4
Maddock_LMN_FA2,PARD6G-AS1,PARD6G-AS1,1,IR,0.17525000000000002,9.499284206679107e-4
Maddock_LMN_FA2,IFITM2,IFITM2,3,codingPotential; domain_identified; IR,0.1237,9.606390053515124e-4
Maddock_LMN_FA2,PPIEL,PPIEL,2,codingPotential; IR,0.11032499999999999,0.00111322859061702
Maddock_LMN_FA2,LINC01106,LINC01106,1,codingPotential,0.17149999999999999,0.0012313344403481826
Maddock_LMN_FA2,PCDHB11,PCDHB11,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.12905,0.00265742576702177
Maddock_LMN_FA2,NT5M,NT5M,1,codingPotential,0.1311,0.0027028696464474877
