dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_NCC_FA2,INPP5F,INPP5F,2,codingPotential; domain_identified,0.717125,3.852562990889171e-280
Maddock_NCC_FA2,SHANK2,SHANK2,2,codingPotential; domain_identified,0.233675,4.761952952808714e-72
Maddock_NCC_FA2,STK17B,STK17B,2,codingPotential; domain_identified,0.194625,1.4079269843833081e-64
Maddock_NCC_FA2,IL6ST,IL6ST,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.125625,4.2350100932520395e-63
Maddock_NCC_FA2,DDHD2,DDHD2,2,codingPotential; domain_identified,0.13425,4.5643798439542996e-63
Maddock_NCC_FA2,PPP1R37,PPP1R37,2,codingPotential; IR,0.10819999999999999,5.562360118060776e-51
Maddock_NCC_FA2,LINC00115,LINC00115,1,codingPotential,0.2931,2.3666884754917824e-50
Maddock_NCC_FA2,RRBP1,RRBP1,3,codingPotential; domain_identified; IR,0.1799,2.5420831147967967e-49
Maddock_NCC_FA2,CREB1,CREB1,1,codingPotential,0.107175,1.494565590529002e-48
Maddock_NCC_FA2,HPS1,HPS1,4,codingPotential; domain_identified; IR; PTC,0.16885,8.430793843312764e-47
Maddock_NCC_FA2,FMN2,FMN2,2,codingPotential; IR,0.614575,6.9045084313594894e-43
Maddock_NCC_FA2,FEZ1,FEZ1,2,codingPotential; domain_identified,0.143525,1.7298643808559658e-38
Maddock_NCC_FA2,HAGH,HAGH,2,codingPotential; domain_identified,0.2777,4.208677120749724e-36
Maddock_NCC_FA2,NAV3,NAV3,2,codingPotential; domain_identified,0.1024,1.491139480570974e-34
Maddock_NCC_FA2,TRIM52-AS1,TRIM52-AS1,1,IR,0.26222500000000004,9.341261461781183e-34
Maddock_NCC_FA2,ENSG00000282885.4,NA,1,IR,0.50755,9.165662354295508e-33
Maddock_NCC_FA2,SAMHD1,SAMHD1,1,codingPotential,0.226625,1.6222786550820508e-32
Maddock_NCC_FA2,TXNRD2,TXNRD2,1,codingPotential,0.338425,2.266154327336049e-32
Maddock_NCC_FA2,KIAA0040,KIAA0040,1,codingPotential,0.2435,7.982797792144876e-32
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.8383750000000001,1.4010532139500374e-28
Maddock_NCC_FA2,FBRS,FBRS,2,codingPotential; domain_identified,0.187575,2.53440477481482e-28
