"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"INPP5F","INPP5F","ENST00000650409","Control","FRDA",0.0556,0.772725,0.717125,3.85256299088917e-280,"Higher in FRDA"
"INPP5F","INPP5F","ENST00000650623","Control","FRDA",0.738975,0.07905,-0.659925,9.04744106467942e-138,"Higher in Control"
"SHANK2","SHANK2","ENST00000338508","Control","FRDA",0.233675,0,-0.233675,4.76195295280871e-72,"Higher in Control"
"STK17B","STK17B","ENST00000714417","Control","FRDA",0.194625,0,-0.194625,1.40792698438331e-64,"Higher in Control"
"IL6ST","IL6ST","ENST00000698647","Control","FRDA",0,0.125625,0.125625,4.23501009325204e-63,"Higher in FRDA"
"DDHD2","DDHD2","ENST00000532222","Control","FRDA",0,0.13425,0.13425,4.5643798439543e-63,"Higher in FRDA"
"PPP1R37","PPP1R37","ENST00000540059","Control","FRDA",0.1082,0,-0.1082,5.56236011806078e-51,"Higher in Control"
"LINC00115","LINC00115","ENST00000743878","Control","FRDA",0.2931,0,-0.2931,2.36668847549178e-50,"Higher in Control"
"RRBP1","RRBP1","ENST00000377813","Control","FRDA",0,0.148175,0.148175,2.5420831147968e-49,"Higher in FRDA"
"ENSG00000310533.1",NA,"ENST00000739297","Control","FRDA",0,0.1169,0.1169,1.46514232253227e-48,"Higher in FRDA"
"CREB1","CREB1","ENST00000494094","Control","FRDA",0.107175,0,-0.107175,1.494565590529e-48,"Higher in Control"
"HPS1","HPS1","ENST00000338546","Control","FRDA",0.16885,0,-0.16885,8.43079384331276e-47,"Higher in Control"
"FMN2","FMN2","ENST00000496950","Control","FRDA",0,0.65485,0.65485,6.90450843135949e-43,"Higher in FRDA"
"FEZ1","FEZ1","ENST00000532981","Control","FRDA",0.120275,0,-0.120275,1.72986438085597e-38,"Higher in Control"
"HAGH","HAGH","ENST00000564518","Control","FRDA",0,0.2777,0.2777,4.20867712074972e-36,"Higher in FRDA"
"NAV3","NAV3","ENST00000550788","Control","FRDA",0.1024,0,-0.1024,1.49113948057097e-34,"Higher in Control"
