gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00046517,SDHAP3,SDHAP3,Control,FRDA,5.255912841704226e-203,1
geneComp_00042880,PRKAR1B,PRKAR1B,Control,FRDA,1.0763339046637837e-195,2
geneComp_00033784,INPP5F,INPP5F,Control,FRDA,1.6871201855639142e-88,3
geneComp_00037675,MAP3K13,MAP3K13,Control,FRDA,2.144692031335204e-87,4
geneComp_00000469,ADGRV1,ADGRV1,Control,FRDA,6.707152890168334e-59,5
geneComp_00048165,SPARC,SPARC,Control,FRDA,7.938376802819305e-51,6
geneComp_00051730,WARS1,WARS1,Control,FRDA,2.0874468404637017e-46,7
geneComp_00001265,ARHGAP11A,ARHGAP11A,Control,FRDA,1.712482659454533e-43,8
geneComp_00001021,ANKRD65,ANKRD65,Control,FRDA,5.421182541456041e-41,9
geneComp_00033129,HPS1,HPS1,Control,FRDA,1.6707904558322893e-38,10
geneComp_00001279,ARHGAP22,ARHGAP22,Control,FRDA,1.711241320445805e-36,11
geneComp_00042279,PLXND1,PLXND1,Control,FRDA,9.186718471486692e-36,12
geneComp_00050149,TNFAIP2,TNFAIP2,Control,FRDA,1.428303107370622e-35,13
geneComp_00046889,SH3BP2,SH3BP2,Control,FRDA,1.2980220277147706e-34,14
geneComp_00050209,TNNT1,TNNT1,Control,FRDA,2.0875314145236204e-33,15
geneComp_00042692,PPP1R3B,PPP1R3B,Control,FRDA,2.786006524562992e-33,16
geneComp_00004468,COL1A2,COL1A2,Control,FRDA,6.65002527724247e-33,17
geneComp_00041402,PCDH15,PCDH15,Control,FRDA,1.3449095741115273e-31,18
geneComp_00050582,TRIM52-AS1,TRIM52-AS1,Control,FRDA,3.0795766213262214e-30,19
geneComp_00033963,ITGA2B,ITGA2B,Control,FRDA,4.205351399625724e-30,20
geneComp_00051485,UVRAG,UVRAG,Control,FRDA,5.3078024184901564e-27,21
geneComp_00039450,NCAPH,NCAPH,Control,FRDA,1.0401740369709559e-26,22
geneComp_00018355,ENSG00000290937.2,NA,Control,FRDA,4.4791655249841915e-23,23
geneComp_00051828,WDR72,WDR72,Control,FRDA,1.7385616182678743e-22,24
geneComp_00003877,CFH,CFH,Control,FRDA,9.679922387790898e-22,25
geneComp_00030881,FLNA,FLNA,Control,FRDA,1.0743953975029863e-21,26
geneComp_00031149,FUCA2,FUCA2,Control,FRDA,3.1870568093044433e-21,27
geneComp_00003692,CELF2,CELF2,Control,FRDA,5.508856115967007e-21,28
geneComp_00030185,FAIM2,FAIM2,Control,FRDA,2.490402784784674e-20,29
geneComp_00041448,PCDHGA10,PCDHGA10,Control,FRDA,4.5887345325667624e-20,30
geneComp_00001331,ARHGEF2,ARHGEF2,Control,FRDA,2.2211074736783227e-19,31
geneComp_00018116,ENSG00000290385.2,NA,Control,FRDA,4.527118122845458e-19,32
geneComp_00030114,EYA4,EYA4,Control,FRDA,1.2970281368800764e-18,33
geneComp_00001370,ARK2C,ARK2C,Control,FRDA,2.5884610949800008e-18,34
geneComp_00041600,PDE8B,PDE8B,Control,FRDA,8.08391160137575e-18,35
geneComp_00029849,EPB41L2,EPB41L2,Control,FRDA,1.53723939871374e-17,36
geneComp_00031693,GLS,GLS,Control,FRDA,6.038644715715035e-16,37
geneComp_00048222,SPC25,SPC25,Control,FRDA,1.0936360406779464e-15,38
geneComp_00044764,RNF220,RNF220,Control,FRDA,3.781926290582835e-15,39
geneComp_00003519,CDCA3,CDCA3,Control,FRDA,4.228084886560506e-15,40
geneComp_00027829,ENSG00000307444.1,NA,Control,FRDA,4.9927411151486685e-15,41
geneComp_00002815,CAD,CAD,Control,FRDA,7.122688009379772e-15,42
geneComp_00037636,MAN2B1,MAN2B1,Control,FRDA,1.6682824030337954e-14,43
geneComp_00040525,OPCML,OPCML,Control,FRDA,3.128191700546328e-14,44
geneComp_00050146,TNC,TNC,Control,FRDA,3.2206756804897683e-14,45
geneComp_00039785,NHSL1,NHSL1,Control,FRDA,3.645356367599268e-14,46
geneComp_00051796,WDR35,WDR35,Control,FRDA,3.645356367599268e-14,47
geneComp_00030180,FAHD2A,FAHD2A,Control,FRDA,1.9151568917795726e-13,48
geneComp_00029917,ERBB2,ERBB2,Control,FRDA,7.753021670619026e-13,49
geneComp_00032195,GSTM3,GSTM3,Control,FRDA,8.547005788617098e-13,50
geneComp_00050098,TMPO,TMPO,Control,FRDA,1.846389096704416e-12,51
geneComp_00014953,ENSG00000284707.3,NA,Control,FRDA,3.6520543099912505e-12,52
geneComp_00050606,TRIM66,TRIM66,Control,FRDA,9.208780144996145e-12,53
geneComp_00018738,ENSG00000293315.2,NA,Control,FRDA,1.1039699515821854e-11,54
geneComp_00042079,PKIB,PKIB,Control,FRDA,1.4925973479119657e-11,55
geneComp_00041186,PACSIN2,PACSIN2,Control,FRDA,2.0101911810589055e-11,56
geneComp_00051496,VAMP3,VAMP3,Control,FRDA,2.6427983156872666e-11,57
geneComp_00041286,PARD6A,PARD6A,Control,FRDA,3.0504033953533866e-11,58
geneComp_00047021,SIPA1,SIPA1,Control,FRDA,3.609303592595255e-11,59
geneComp_00041577,PDE4B,PDE4B,Control,FRDA,4.368905048863988e-11,60
geneComp_00044919,ROCK1P1,ROCK1P1,Control,FRDA,9.124417499544474e-11,61
geneComp_00029932,ERCC6L2,ERCC6L2,Control,FRDA,1.4337977635336657e-10,62
geneComp_00041289,PARD6G-AS1,PARD6G-AS1,Control,FRDA,1.586006527881946e-10,63
geneComp_00041325,PASK,PASK,Control,FRDA,2.0695717760400547e-10,64
geneComp_00051629,VPS13A,VPS13A,Control,FRDA,2.5584934730508734e-10,65
geneComp_00033429,IFI27,IFI27,Control,FRDA,3.453720690202598e-10,66
geneComp_00030959,FOS,FOS,Control,FRDA,3.799570504196992e-10,67
geneComp_00001281,ARHGAP23,ARHGAP23,Control,FRDA,7.553679823172194e-10,68
geneComp_00053002,ZNF90,ZNF90,Control,FRDA,8.365267338684601e-10,69
geneComp_00037541,MADCAM1,MADCAM1,Control,FRDA,1.0452585907753988e-9,70
geneComp_00041601,PDE9A,PDE9A,Control,FRDA,1.0605057343548885e-9,71
geneComp_00032610,HECTD2,HECTD2,Control,FRDA,1.2454178277478817e-9,72
geneComp_00050229,TNS1,TNS1,Control,FRDA,1.978674187434275e-9,73
geneComp_00000303,ACTN4,ACTN4,Control,FRDA,1.9907119725386888e-9,74
geneComp_00040017,NPAS1,NPAS1,Control,FRDA,2.188478496243743e-9,75
geneComp_00034368,KIAA1191,KIAA1191,Control,FRDA,2.260308389803677e-9,76
geneComp_00000464,ADGRL1,ADGRL1,Control,FRDA,2.8869467705547827e-9,77
geneComp_00042605,PPIEL,PPIEL,Control,FRDA,3.72862946459038e-9,78
geneComp_00001336,ARHGEF28,ARHGEF28,Control,FRDA,3.749670098883293e-9,79
geneComp_00031544,GFRA1,GFRA1,Control,FRDA,4.239508398560436e-9,80
geneComp_00042190,PLEKHA6,PLEKHA6,Control,FRDA,4.6190475813204e-9,81
geneComp_00000751,ALDH1L2,ALDH1L2,Control,FRDA,7.163374733549819e-9,82
geneComp_00051888,WNK1,WNK1,Control,FRDA,9.764105668285574e-9,83
geneComp_00032751,HLA-A,HLA-A,Control,FRDA,1.0836843918763784e-8,84
geneComp_00047460,SLC4A7,SLC4A7,Control,FRDA,1.2899096657576502e-8,85
geneComp_00047588,SLIT3,SLIT3,Control,FRDA,1.3543863624048485e-8,86
geneComp_00049421,TET3,TET3,Control,FRDA,1.3577959802858718e-8,87
geneComp_00048368,SPTAN1,SPTAN1,Control,FRDA,1.3992493629030336e-8,88
geneComp_00044145,RHOT1,RHOT1,Control,FRDA,1.443309581123173e-8,89
geneComp_00047939,SNRPA1,SNRPA1,Control,FRDA,1.737385219350125e-8,90
geneComp_00005596,DHRS4L2,DHRS4L2,Control,FRDA,1.7583732302798947e-8,91
geneComp_00037829,MBD3,MBD3,Control,FRDA,1.8450776755301333e-8,92
geneComp_00050661,TRMU,TRMU,Control,FRDA,1.8822642960965054e-8,93
geneComp_00047119,SLC16A1-AS1,SLC16A1-AS1,Control,FRDA,2.0221563653867948e-8,94
geneComp_00004998,CTSC,CTSC,Control,FRDA,2.3419480343115028e-8,95
geneComp_00005298,DBNL,DBNL,Control,FRDA,4.291566198118375e-8,96
geneComp_00049789,TMED4,TMED4,Control,FRDA,4.924974953161778e-8,97
geneComp_00018335,ENSG00000290904.2,NA,Control,FRDA,6.054621546893716e-8,98
geneComp_00047529,SLC8A1,SLC8A1,Control,FRDA,7.378786680197891e-8,99
geneComp_00004206,CLDND1,CLDND1,Control,FRDA,7.818079303776913e-8,100
geneComp_00039437,NCAL1,NCAL1,Control,FRDA,9.542716977193064e-8,101
geneComp_00030206,FAM120AOS,FAM120AOS,Control,FRDA,9.814714075365393e-8,102
geneComp_00004169,CLCA4-AS1,CLCA4-AS1,Control,FRDA,1.0944480877090078e-7,103
geneComp_00039709,NF2,NF2,Control,FRDA,1.3581979896869908e-7,104
geneComp_00001700,ATP2B1-AS1,ATP2B1-AS1,Control,FRDA,1.6272785299909902e-7,105
geneComp_00039459,NCDN,NCDN,Control,FRDA,1.6559840351196337e-7,106
geneComp_00050713,TSC22D3,TSC22D3,Control,FRDA,1.7629714162384889e-7,107
geneComp_00052265,ZFAT,ZFAT,Control,FRDA,1.8145726957357946e-7,108
geneComp_00038194,MIF4GD,MIF4GD,Control,FRDA,2.3047601034403015e-7,109
geneComp_00034625,KRBOX5,KRBOX5,Control,FRDA,2.4273062805604616e-7,110
geneComp_00037584,MAGED2,MAGED2,Control,FRDA,2.5875926324222135e-7,111
geneComp_00042037,PITPNB,PITPNB,Control,FRDA,2.850740541093298e-7,112
geneComp_00018471,ENSG00000291156.2,NA,Control,FRDA,3.1759057272421014e-7,113
geneComp_00046698,SERF2,SERF2,Control,FRDA,3.1759057272421014e-7,114
geneComp_00029943,ERGIC3,ERGIC3,Control,FRDA,3.571209267183428e-7,115
geneComp_00048386,SPX,SPX,Control,FRDA,3.7431656704385245e-7,116
geneComp_00050897,TUBA1C,TUBA1C,Control,FRDA,3.8767829288168383e-7,117
geneComp_00001072,ANXA2R-OT1,ANXA2R-OT1,Control,FRDA,3.9123644833654274e-7,118
geneComp_00040637,OR2A1-AS1,OR2A1-AS1,Control,FRDA,3.9123644833654274e-7,119
geneComp_00047093,SLC12A1,SLC12A1,Control,FRDA,4.558023305800322e-7,120
geneComp_00042250,PLPPR3,PLPPR3,Control,FRDA,5.30082110860962e-7,121
geneComp_00032196,GSTM4,GSTM4,Control,FRDA,6.833203877364533e-7,122
geneComp_00043221,PSPH,PSPH,Control,FRDA,6.967898514793328e-7,123
geneComp_00001701,ATP2B2,ATP2B2,Control,FRDA,7.254453955938117e-7,124
geneComp_00040373,NUP58,NUP58,Control,FRDA,8.564675538985731e-7,125
geneComp_00042228,PLK1,PLK1,Control,FRDA,9.365830363532348e-7,126
geneComp_00049894,TMEM18,TMEM18,Control,FRDA,1.0831168050414704e-6,127
geneComp_00034442,KIN,KIN,Control,FRDA,1.103022112427357e-6,128
geneComp_00003792,CEROX1,CEROX1,Control,FRDA,1.2292264251357104e-6,129
geneComp_00031715,GLYCTK-AS1,GLYCTK-AS1,Control,FRDA,1.3366184833576752e-6,130
geneComp_00046087,RRP7A,RRP7A,Control,FRDA,1.6100682301131996e-6,131
geneComp_00051573,VGLL4,VGLL4,Control,FRDA,1.7135198117102333e-6,132
geneComp_00047991,SNX1,SNX1,Control,FRDA,1.7302886169728582e-6,133
geneComp_00039623,NECTIN3-AS1,NECTIN3-AS1,Control,FRDA,2.064396167314182e-6,134
geneComp_00005595,DHRS4L1,DHRS4L1,Control,FRDA,2.3729386648690683e-6,135
geneComp_00034108,KANSL1,KANSL1,Control,FRDA,2.460823522633156e-6,136
geneComp_00048951,SYNPO,SYNPO,Control,FRDA,2.526321436201805e-6,137
geneComp_00041579,PDE4D,PDE4D,Control,FRDA,2.8389914780443892e-6,138
geneComp_00016591,ENSG00000287636.4,NA,Control,FRDA,2.8467691575067263e-6,139
geneComp_00043318,PTPDC1,PTPDC1,Control,FRDA,2.9921523606171697e-6,140
geneComp_00042413,POLR2G,POLR2G,Control,FRDA,3.2629958769763654e-6,141
geneComp_00039909,NME4,NME4,Control,FRDA,3.3225490136036026e-6,142
geneComp_00000822,ALPK2,ALPK2,Control,FRDA,3.3307337432396945e-6,143
geneComp_00041925,PIANP,PIANP,Control,FRDA,3.4148495633745294e-6,144
