dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_SN_FA2,SDHAP3,SDHAP3,2,codingPotential; IR,0.11081999999999999,5.255912841704226e-203
Maddock_SN_FA2,PRKAR1B,PRKAR1B,2,codingPotential; domain_identified,0.23240000000000002,1.0763339046637837e-195
Maddock_SN_FA2,INPP5F,INPP5F,2,codingPotential; domain_identified,0.70918,1.6871201855639142e-88
Maddock_SN_FA2,MAP3K13,MAP3K13,3,codingPotential; domain_identified; PTC,0.36388000000000004,2.144692031335204e-87
Maddock_SN_FA2,ADGRV1,ADGRV1,2,codingPotential; domain_identified,0.53642,6.707152890168334e-59
Maddock_SN_FA2,SPARC,SPARC,3,codingPotential; domain_identified; signal_peptide_identified,0.32006,7.938376802819305e-51
Maddock_SN_FA2,WARS1,WARS1,1,codingPotential,0.1533,2.0874468404637017e-46
Maddock_SN_FA2,ARHGAP11A,ARHGAP11A,2,codingPotential; domain_identified,0.31304,1.712482659454533e-43
Maddock_SN_FA2,ANKRD65,ANKRD65,1,codingPotential,0.40654,5.421182541456041e-41
Maddock_SN_FA2,HPS1,HPS1,3,codingPotential; domain_identified; PTC,0.15566,1.6707904558322893e-38
Maddock_SN_FA2,ARHGAP22,ARHGAP22,2,codingPotential; domain_identified,0.12312000000000001,1.711241320445805e-36
Maddock_SN_FA2,PLXND1,PLXND1,3,codingPotential; domain_identified; signal_peptide_identified,0.23928,9.186718471486692e-36
Maddock_SN_FA2,TNFAIP2,TNFAIP2,3,codingPotential; domain_identified; IR,0.4042,1.428303107370622e-35
Maddock_SN_FA2,SH3BP2,SH3BP2,2,codingPotential; domain_identified,0.22022,1.2980220277147706e-34
Maddock_SN_FA2,TNNT1,TNNT1,2,codingPotential; domain_identified,0.52302,2.0875314145236204e-33
Maddock_SN_FA2,PPP1R3B,PPP1R3B,2,codingPotential; domain_identified,0.11782000000000004,2.786006524562992e-33
Maddock_SN_FA2,COL1A2,COL1A2,3,codingPotential; domain_identified; signal_peptide_identified,0.26432,6.65002527724247e-33
Maddock_SN_FA2,PCDH15,PCDH15,3,codingPotential; domain_identified; signal_peptide_identified,0.12686,1.3449095741115273e-31
Maddock_SN_FA2,TRIM52-AS1,TRIM52-AS1,1,IR,0.25498,3.0795766213262214e-30
Maddock_SN_FA2,ITGA2B,ITGA2B,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.20676,4.205351399625724e-30
Maddock_SN_FA2,UVRAG,UVRAG,1,codingPotential,0.23736000000000004,5.3078024184901564e-27
Maddock_SN_FA2,NCAPH,NCAPH,2,codingPotential; domain_identified,0.28224,1.0401740369709559e-26
Maddock_SN_FA2,WDR72,WDR72,2,codingPotential; domain_identified,0.36766000000000004,1.7385616182678743e-22
Maddock_SN_FA2,CFH,CFH,3,codingPotential; domain_identified; signal_peptide_identified,0.84128,9.679922387790898e-22
Maddock_SN_FA2,FLNA,FLNA,4,codingPotential; domain_identified; IR; PTC,0.17412,1.0743953975029863e-21
Maddock_SN_FA2,FUCA2,FUCA2,3,codingPotential; domain_identified; signal_peptide_identified,0.25068000000000007,3.1870568093044433e-21
Maddock_SN_FA2,CELF2,CELF2,3,codingPotential; domain_identified; IR,0.25883999999999996,5.508856115967007e-21
Maddock_SN_FA2,FAIM2,FAIM2,2,codingPotential; domain_identified,0.15846000000000005,2.490402784784674e-20
Maddock_SN_FA2,PCDHGA10,PCDHGA10,3,codingPotential; domain_identified; signal_peptide_identified,0.48892,4.5887345325667624e-20
Maddock_SN_FA2,ARHGEF2,ARHGEF2,3,codingPotential; domain_identified; IR,0.1355,2.2211074736783227e-19
Maddock_SN_FA2,ENSG00000290385.2,NA,1,IR,0.17566000000000004,4.527118122845458e-19
Maddock_SN_FA2,EYA4,EYA4,2,codingPotential; domain_identified,0.14972,1.2970281368800764e-18
Maddock_SN_FA2,ARK2C,ARK2C,3,codingPotential; domain_identified; IR,0.2069,2.5884610949800008e-18
Maddock_SN_FA2,PDE8B,PDE8B,2,codingPotential; domain_identified,0.15871999999999997,8.08391160137575e-18
Maddock_SN_FA2,EPB41L2,EPB41L2,3,codingPotential; domain_identified; IR,0.1483,1.53723939871374e-17
Maddock_SN_FA2,GLS,GLS,2,codingPotential; domain_identified,0.16992000000000002,6.038644715715035e-16
Maddock_SN_FA2,SPC25,SPC25,2,codingPotential; domain_identified,0.5712600000000001,1.0936360406779464e-15
Maddock_SN_FA2,RNF220,RNF220,1,codingPotential,0.10365999999999997,3.781926290582835e-15
Maddock_SN_FA2,CDCA3,CDCA3,2,codingPotential; IR,0.47954,4.228084886560506e-15
Maddock_SN_FA2,CAD,CAD,2,codingPotential; domain_identified,0.18187999999999999,7.122688009379772e-15
Maddock_SN_FA2,MAN2B1,MAN2B1,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.23260000000000008,1.6682824030337954e-14
Maddock_SN_FA2,OPCML,OPCML,3,codingPotential; domain_identified; signal_peptide_identified,0.19022000000000003,3.128191700546328e-14
Maddock_SN_FA2,TNC,TNC,3,codingPotential; domain_identified; signal_peptide_identified,0.28456000000000004,3.2206756804897683e-14
Maddock_SN_FA2,NHSL1,NHSL1,3,codingPotential; domain_identified; IR,0.3183,3.645356367599268e-14
Maddock_SN_FA2,WDR35,WDR35,2,codingPotential; domain_identified,0.15445999999999993,3.645356367599268e-14
Maddock_SN_FA2,FAHD2A,FAHD2A,2,codingPotential; domain_identified,0.19516,1.9151568917795726e-13
Maddock_SN_FA2,ERBB2,ERBB2,3,codingPotential; domain_identified; signal_peptide_identified,0.32826,7.753021670619026e-13
Maddock_SN_FA2,GSTM3,GSTM3,2,codingPotential; domain_identified,0.30827999999999994,8.547005788617098e-13
Maddock_SN_FA2,TMPO,TMPO,2,codingPotential; domain_identified,0.1355,1.846389096704416e-12
