"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"SDHAP3","SDHAP3","ENST00000721413","Control","FRDA",0.00014,0.13682,0.13668,5.25591284170423e-203,"Higher in FRDA"
"PRKAR1B","PRKAR1B","ENST00000360274","Control","FRDA",0.23322,0.00082,-0.2324,1.07633390466378e-195,"Higher in Control"
"INPP5F","INPP5F","ENST00000650409","Control","FRDA",0.04502,0.7542,0.70918,1.68712018556391e-88,"Higher in FRDA"
"MAP3K13","MAP3K13","ENST00000448876","Control","FRDA",0,0.32512,0.32512,2.1446920313352e-87,"Higher in FRDA"
"INPP5F","INPP5F","ENST00000650623","Control","FRDA",0.746,0.09208,-0.65392,1.96227935076845e-71,"Higher in Control"
"ADGRV1","ADGRV1","ENST00000640815","Control","FRDA",0.53642,0,-0.53642,6.70715289016833e-59,"Higher in Control"
"MAP3K13","MAP3K13","ENST00000447637","Control","FRDA",0,0.17558,0.17558,1.77220424292712e-55,"Higher in FRDA"
"SPARC","SPARC","ENST00000539687","Control","FRDA",0,0.21946,0.21946,7.9383768028193e-51,"Higher in FRDA"
"WARS1","WARS1","ENST00000557094","Control","FRDA",0.21094,0.05764,-0.1533,2.0874468404637e-46,"Higher in Control"
"ARHGAP11A","ARHGAP11A","ENST00000565905","Control","FRDA",0,0.17132,0.17132,1.71248265945453e-43,"Higher in FRDA"
"ANKRD65","ANKRD65","ENST00000520296","Control","FRDA",0,0.40654,0.40654,5.42118254145604e-41,"Higher in FRDA"
"HPS1","HPS1","ENST00000467246","Control","FRDA",0,0.15566,0.15566,1.67079045583229e-38,"Higher in FRDA"
"PLXND1","PLXND1","ENST00000506979","Control","FRDA",0,0.23928,0.23928,9.18671847148669e-36,"Higher in FRDA"
"TNFAIP2","TNFAIP2","ENST00000561217","Control","FRDA",0,0.37514,0.37514,1.42830310737062e-35,"Higher in FRDA"
"SH3BP2","SH3BP2","ENST00000504294","Control","FRDA",0,0.15548,0.15548,1.29802202771477e-34,"Higher in FRDA"
"TNNT1","TNNT1","ENST00000589745","Control","FRDA",0,0.52302,0.52302,2.08753141452362e-33,"Higher in FRDA"
"PPP1R3B","PPP1R3B","ENST00000310455","Control","FRDA",1,0.88218,-0.11782,2.78600652456299e-33,"Higher in Control"
"PPP1R3B","PPP1R3B","ENST00000519699","Control","FRDA",0,0.11782,0.11782,5.94121889547641e-33,"Higher in FRDA"
"COL1A2","COL1A2","ENST00000464916","Control","FRDA",0,0.26432,0.26432,6.65002527724247e-33,"Higher in FRDA"
"PCDH15","PCDH15","ENST00000621708","Control","FRDA",0,0.12686,0.12686,1.34490957411153e-31,"Higher in FRDA"
"TRIM52-AS1","TRIM52-AS1","ENST00000840392","Control","FRDA",0.23668,0.04708,-0.1896,3.07957662132622e-30,"Higher in Control"
"ITGA2B","ITGA2B","ENST00000648408","Control","FRDA",0,0.20676,0.20676,4.20535139962572e-30,"Higher in FRDA"
"SH3BP2","SH3BP2","ENST00000511747","Control","FRDA",0.17788,0.31288,0.135,1.19741774372279e-28,"Higher in FRDA"
"UVRAG","UVRAG","ENST00000531818","Control","FRDA",0.13528,0.37264,0.23736,5.30780241849016e-27,"Higher in FRDA"
"NCAPH","NCAPH","ENST00000427946","Control","FRDA",0,0.17946,0.17946,1.04017403697096e-26,"Higher in FRDA"
"ENSG00000290937.2",NA,"ENST00000779248","Control","FRDA",0.273,0.04428,-0.22872,4.47916552498419e-23,"Higher in Control"
"WDR72","WDR72","ENST00000557913","Control","FRDA",0.30612,0.67378,0.36766,1.73856161826787e-22,"Higher in FRDA"
"CFH","CFH","ENST00000367429","Control","FRDA",0,0.72988,0.72988,9.6799223877909e-22,"Higher in FRDA"
"FUCA2","FUCA2","ENST00000367585","Control","FRDA",0.50598,0.25588,-0.2501,3.18705680930444e-21,"Higher in Control"
"CELF2","CELF2","ENST00000631460","Control","FRDA",0.46552,0.20668,-0.25884,5.50885611596701e-21,"Higher in Control"
"PCDHGA10","PCDHGA10","ENST00000398610","Control","FRDA",0.44936,0.93828,0.48892,4.58873453256676e-20,"Higher in FRDA"
"PCDHGA10","PCDHGA10","ENST00000612503","Control","FRDA",0.55064,0.06172,-0.48892,4.74934818552283e-20,"Higher in Control"
"FUCA2","FUCA2","ENST00000002165","Control","FRDA",0.46118,0.71186,0.25068,1.39618114076983e-19,"Higher in FRDA"
"ENSG00000290385.2",NA,"ENST00000642074","Control","FRDA",0.20236,0.05592,-0.14644,4.52711812284546e-19,"Higher in Control"
"EYA4","EYA4","ENST00000684773","Control","FRDA",0,0.14972,0.14972,1.29702813688008e-18,"Higher in FRDA"
"ARK2C","ARK2C","ENST00000269439","Control","FRDA",0.15144,0.35834,0.2069,2.58846109498e-18,"Higher in FRDA"
"PDE8B","PDE8B","ENST00000646262","Control","FRDA",0,0.10636,0.10636,8.08391160137575e-18,"Higher in FRDA"
"EPB41L2","EPB41L2","ENST00000531356","Control","FRDA",0.20464,0.05722,-0.14742,1.53723939871374e-17,"Higher in Control"
"PRKAR1B","PRKAR1B","ENST00000417852","Control","FRDA",0.01978,0.20156,0.18178,1.31749566617753e-16,"Higher in FRDA"
"ENSG00000290937.2",NA,"ENST00000779233","Control","FRDA",0.28184,0.02338,-0.25846,3.57801219701809e-16,"Higher in Control"
"GLS","GLS","ENST00000338435","Control","FRDA",0.05082,0.18276,0.13194,6.03864471571504e-16,"Higher in FRDA"
"SPC25","SPC25","ENST00000282074","Control","FRDA",0.29634,0.8676,0.57126,1.09363604067795e-15,"Higher in FRDA"
"CDCA3","CDCA3","ENST00000538862","Control","FRDA",0,0.47954,0.47954,4.22808488656051e-15,"Higher in FRDA"
"SPC25","SPC25","ENST00000472216","Control","FRDA",0.12006,0.00746,-0.1126,4.39307157625003e-15,"Higher in Control"
"ENSG00000307444.1",NA,"ENST00000826334","Control","FRDA",0.37488,0,-0.37488,4.99274111514867e-15,"Higher in Control"
"CAD","CAD","ENST00000403525","Control","FRDA",0.3728,0.234,-0.1388,7.12268800937977e-15,"Higher in Control"
"MAN2B1","MAN2B1","ENST00000456935","Control","FRDA",0.39104,0.62364,0.2326,1.6682824030338e-14,"Higher in FRDA"
"OPCML","OPCML","ENST00000541867","Control","FRDA",0.48278,0.3134,-0.16938,3.12819170054633e-14,"Higher in Control"
"TNC","TNC","ENST00000537320","Control","FRDA",0.67974,0.39518,-0.28456,3.22067568048977e-14,"Higher in Control"
"CAD","CAD","ENST00000264705","Control","FRDA",0.30466,0.48654,0.18188,3.48989690407935e-14,"Higher in FRDA"
"NHSL1","NHSL1","ENST00000343505","Control","FRDA",0.84834,0.53004,-0.3183,3.64535636759927e-14,"Higher in Control"
"WDR35","WDR35","ENST00000281405","Control","FRDA",0,0.10876,0.10876,3.64535636759927e-14,"Higher in FRDA"
"NHSL1","NHSL1","ENST00000427025","Control","FRDA",0.05984,0.26426,0.20442,8.06160051119544e-14,"Higher in FRDA"
"FAHD2A","FAHD2A","ENST00000447036","Control","FRDA",0.02378,0.21894,0.19516,1.91515689177957e-13,"Higher in FRDA"
"ERBB2","ERBB2","ENST00000269571","Control","FRDA",0,0.32826,0.32826,7.75302167061903e-13,"Higher in FRDA"
"GSTM3","GSTM3","ENST00000486823","Control","FRDA",0.32666,0.63494,0.30828,8.5470057886171e-13,"Higher in FRDA"
"TMPO","TMPO","ENST00000266732","Control","FRDA",0.35642,0.22092,-0.1355,1.84638909670442e-12,"Higher in Control"
"TRIM66","TRIM66","ENST00000525788","Control","FRDA",0.50386,0.25134,-0.25252,9.20878014499615e-12,"Higher in Control"
"GSTM3","GSTM3","ENST00000256594","Control","FRDA",0.59802,0.2992,-0.29882,1.09691940930101e-11,"Higher in Control"
"ENSG00000293315.2",NA,"ENST00000686530","Control","FRDA",0.0434,0.21636,0.17296,1.10396995158219e-11,"Higher in FRDA"
"PKIB","PKIB","ENST00000354275","Control","FRDA",0.01508,0.13348,0.1184,1.49259734791197e-11,"Higher in FRDA"
"VAMP3","VAMP3","ENST00000470357","Control","FRDA",0.34644,0.22572,-0.12072,2.64279831568727e-11,"Higher in Control"
"PARD6A","PARD6A","ENST00000602727","Control","FRDA",0.21082,0.06066,-0.15016,3.05040339535339e-11,"Higher in Control"
"ARHGAP22","ARHGAP22","ENST00000249601","Control","FRDA",0.3693,0.49242,0.12312,3.15113616651081e-11,"Higher in FRDA"
"CFH","CFH","ENST00000695984","Control","FRDA",0.84128,0,-0.84128,3.59176490124481e-11,"Higher in Control"
"SIPA1","SIPA1","ENST00000531339","Control","FRDA",0.14266,0.00346,-0.1392,3.60930359259526e-11,"Higher in Control"
"ANKRD65","ANKRD65","ENST00000427211","Control","FRDA",0.65834,0.26964,-0.3887,4.36890504886399e-11,"Higher in Control"
"PDE4B","PDE4B","ENST00000480109","Control","FRDA",0.09786,0.26476,0.1669,4.36890504886399e-11,"Higher in FRDA"
"TNC","TNC","ENST00000705192","Control","FRDA",0.03206,0.14592,0.11386,7.66086363764349e-11,"Higher in FRDA"
"ROCK1P1","ROCK1P1","ENST00000608049","Control","FRDA",0.11444,0,-0.11444,9.12441749954447e-11,"Higher in Control"
"NCAPH","NCAPH","ENST00000240423","Control","FRDA",0.47668,0.19444,-0.28224,1.2050966436548e-10,"Higher in Control"
"ERCC6L2","ERCC6L2","ENST00000682394","Control","FRDA",0.2403,0.1345,-0.1058,1.43379776353367e-10,"Higher in Control"
"PARD6G-AS1","PARD6G-AS1","ENST00000662611","Control","FRDA",0.00966,0.16856,0.1589,1.58600652788195e-10,"Higher in FRDA"
"VPS13A","VPS13A","ENST00000360280","Control","FRDA",0.3196,0.21204,-0.10756,2.55849347305087e-10,"Higher in Control"
"IFI27","IFI27","ENST00000612499","Control","FRDA",0.13894,0.0219,-0.11704,3.4537206902026e-10,"Higher in Control"
"SPARC","SPARC","ENST00000231061","Control","FRDA",0.48752,0.16746,-0.32006,4.45195957531971e-10,"Higher in Control"
"ENSG00000307444.1",NA,"ENST00000826331","Control","FRDA",0.1556,0.57452,0.41892,6.51363960485233e-10,"Higher in FRDA"
"ZNF90","ZNF90","ENST00000418063","Control","FRDA",0.28924,0.44404,0.1548,8.3652673386846e-10,"Higher in FRDA"
"MADCAM1","MADCAM1","ENST00000587541","Control","FRDA",0.88366,0.57796,-0.3057,1.0452585907754e-09,"Higher in Control"
"PDE9A","PDE9A","ENST00000489319","Control","FRDA",0.37296,0.21224,-0.16072,1.06050573435489e-09,"Higher in Control"
"HECTD2","HECTD2","ENST00000371681","Control","FRDA",0.28122,0.17294,-0.10828,1.24541782774788e-09,"Higher in Control"
"TNS1","TNS1","ENST00000480665","Control","FRDA",0.09748,0.24044,0.14296,1.97867418743428e-09,"Higher in FRDA"
"NPAS1","NPAS1","ENST00000602212","Control","FRDA",0.2125,0.58526,0.37276,2.18847849624374e-09,"Higher in FRDA"
"KIAA1191","KIAA1191","ENST00000298569","Control","FRDA",0.66212,0.5325,-0.12962,2.26030838980368e-09,"Higher in Control"
"PPIEL","PPIEL","ENST00000692593","Control","FRDA",0.12738,0,-0.12738,3.72862946459038e-09,"Higher in Control"
"ARHGEF28","ARHGEF28","ENST00000296794","Control","FRDA",0,0.14338,0.14338,3.74967009888329e-09,"Higher in FRDA"
"GFRA1","GFRA1","ENST00000355422","Control","FRDA",0.68798,0.47206,-0.21592,4.23950839856044e-09,"Higher in Control"
"PLEKHA6","PLEKHA6","ENST00000272203","Control","FRDA",0.32054,0.20552,-0.11502,4.6190475813204e-09,"Higher in Control"
"VAMP3","VAMP3","ENST00000054666","Control","FRDA",0.47442,0.6413,0.16688,1.16539387128099e-08,"Higher in FRDA"
"HLA-A","HLA-A","ENST00000376809","Control","FRDA",0.7875,0.892,0.1045,1.23401738035545e-08,"Higher in FRDA"
"ARHGEF2","ARHGEF2","ENST00000361247","Control","FRDA",0.16474,0.30024,0.1355,1.28398163984078e-08,"Higher in FRDA"
"SLC4A7","SLC4A7","ENST00000437266","Control","FRDA",0.4249,0.30562,-0.11928,1.28990966575765e-08,"Higher in Control"
"SLIT3","SLIT3","ENST00000521150","Control","FRDA",0.16282,0.3953,0.23248,1.35438636240485e-08,"Higher in FRDA"
"TET3","TET3","ENST00000409262","Control","FRDA",0.2291,0.33828,0.10918,1.35779598028587e-08,"Higher in FRDA"
"SPTAN1","SPTAN1","ENST00000630804","Control","FRDA",0.17424,0.06874,-0.1055,1.39924936290303e-08,"Higher in Control"
"SNRPA1","SNRPA1","ENST00000559309","Control","FRDA",0.376,0.12,-0.256,1.73738521935012e-08,"Higher in Control"
"DHRS4L2","DHRS4L2","ENST00000397071","Control","FRDA",0.57668,0.9027,0.32602,1.75837323027989e-08,"Higher in FRDA"
"MBD3","MBD3","ENST00000592012","Control","FRDA",0.19458,0.38748,0.1929,1.84507767553013e-08,"Higher in FRDA"
"TRMU","TRMU","ENST00000476901","Control","FRDA",0.01716,0.1215,0.10434,1.88226429609651e-08,"Higher in FRDA"
"CTSC","CTSC","ENST00000227266","Control","FRDA",0.3026,0.53452,0.23192,2.3419480343115e-08,"Higher in FRDA"
"GFRA1","GFRA1","ENST00000369236","Control","FRDA",0.08002,0.28506,0.20504,2.9432730404796e-08,"Higher in FRDA"
"PKIB","PKIB","ENST00000583007","Control","FRDA",0.18238,0.06578,-0.1166,3.89145878986493e-08,"Higher in Control"
"DBNL","DBNL","ENST00000448521","Control","FRDA",0.34404,0.19984,-0.1442,4.29156619811837e-08,"Higher in Control"
"SNRPA1","SNRPA1","ENST00000254193","Control","FRDA",0.27936,0.61456,0.3352,4.76142053708375e-08,"Higher in FRDA"
"TMED4","TMED4","ENST00000457408","Control","FRDA",0.42864,0.55002,0.12138,4.92497495316178e-08,"Higher in FRDA"
"ENSG00000290904.2",NA,"ENST00000768656","Control","FRDA",0.25824,0.0243,-0.23394,6.05462154689372e-08,"Higher in Control"
"CLDND1","CLDND1","ENST00000341181","Control","FRDA",0.16926,0.35382,0.18456,7.81807930377691e-08,"Higher in FRDA"
"NCAL1","NCAL1","ENST00000646855","Control","FRDA",0.97492,0.74128,-0.23364,9.54271697719306e-08,"Higher in Control"
"CLCA4-AS1","CLCA4-AS1","ENST00000699483","Control","FRDA",0.19802,0.0235,-0.17452,1.09444808770901e-07,"Higher in Control"
"NCAL1","NCAL1","ENST00000643276","Control","FRDA",0.02508,0.25872,0.23364,1.23394024828664e-07,"Higher in FRDA"
"NF2","NF2","ENST00000338641","Control","FRDA",0.62814,0.51874,-0.1094,1.35819798968699e-07,"Higher in Control"
"MADCAM1","MADCAM1","ENST00000215637","Control","FRDA",0.07214,0.21054,0.1384,1.65598403511963e-07,"Higher in FRDA"
"NCDN","NCDN","ENST00000373243","Control","FRDA",0.48884,0.34806,-0.14078,1.65598403511963e-07,"Higher in Control"
"ENSG00000293315.2",NA,"ENST00000810289","Control","FRDA",0.30062,0.1501,-0.15052,1.72750614830103e-07,"Higher in Control"
"TSC22D3","TSC22D3","ENST00000372390","Control","FRDA",0.11764,0.27888,0.16124,1.76297141623849e-07,"Higher in FRDA"
"ZFAT","ZFAT","ENST00000520214","Control","FRDA",0.24528,0.09938,-0.1459,1.81457269573579e-07,"Higher in Control"
"MIF4GD","MIF4GD","ENST00000325102","Control","FRDA",0.14588,0.3263,0.18042,2.3047601034403e-07,"Higher in FRDA"
"MAGED2","MAGED2","ENST00000375068","Control","FRDA",0.38658,0.5854,0.19882,2.58759263242221e-07,"Higher in FRDA"
"TRIM66","TRIM66","ENST00000705692","Control","FRDA",0.01748,0.11804,0.10056,2.772803555736e-07,"Higher in FRDA"
"PITPNB","PITPNB","ENST00000335272","Control","FRDA",0.53252,0.63396,0.10144,2.8507405410933e-07,"Higher in FRDA"
"DHRS4L2","DHRS4L2","ENST00000557812","Control","FRDA",0.16902,0.05206,-0.11696,3.14432387234583e-07,"Higher in Control"
"ENSG00000291156.2",NA,"ENST00000433695","Control","FRDA",0,0.10284,0.10284,3.1759057272421e-07,"Higher in FRDA"
"SERF2","SERF2","ENST00000249786","Control","FRDA",0.28758,0.15108,-0.1365,3.1759057272421e-07,"Higher in Control"
"ERGIC3","ERGIC3","ENST00000348547","Control","FRDA",2e-04,0.10272,0.10252,3.57120926718343e-07,"Higher in FRDA"
"PRKAR1B","PRKAR1B","ENST00000403562","Control","FRDA",0.05928,0.16332,0.10404,3.57120926718343e-07,"Higher in FRDA"
"SPX","SPX","ENST00000535139","Control","FRDA",0.27308,0.03874,-0.23434,3.74316567043852e-07,"Higher in Control"
"TUBA1C","TUBA1C","ENST00000548470","Control","FRDA",0.5032,0.34386,-0.15934,3.87678292881684e-07,"Higher in Control"
"ANXA2R-OT1","ANXA2R-OT1","ENST00000654466","Control","FRDA",0.31818,0.208,-0.11018,3.91236448336543e-07,"Higher in Control"
"OR2A1-AS1","OR2A1-AS1","ENST00000489488","Control","FRDA",0,0.11392,0.11392,3.91236448336543e-07,"Higher in FRDA"
"SLC12A1","SLC12A1","ENST00000646012","Control","FRDA",0.16226,0,-0.16226,4.55802330580032e-07,"Higher in Control"
"TSC22D3","TSC22D3","ENST00000372397","Control","FRDA",0.82966,0.6633,-0.16636,5.13577233501832e-07,"Higher in Control"
"FAIM2","FAIM2","ENST00000320634","Control","FRDA",0.6874,0.52894,-0.15846,6.71235477969412e-07,"Higher in Control"
"PARD6A","PARD6A","ENST00000458121","Control","FRDA",0.58624,0.75586,0.16962,6.71554209954971e-07,"Higher in FRDA"
"GSTM4","GSTM4","ENST00000369836","Control","FRDA",0.3261,0.64412,0.31802,6.83320387736453e-07,"Higher in FRDA"
"PSPH","PSPH","ENST00000395471","Control","FRDA",0.28844,0.52126,0.23282,6.96789851479333e-07,"Higher in FRDA"
"ATP2B2","ATP2B2","ENST00000643662","Control","FRDA",0.26796,0.40292,0.13496,7.25445395593812e-07,"Higher in FRDA"
"CELF2","CELF2","ENST00000416382","Control","FRDA",0.00422,0.25538,0.25116,8.46425151965392e-07,"Higher in FRDA"
"PLK1","PLK1","ENST00000562272","Control","FRDA",0.16714,0.03266,-0.13448,9.36583036353235e-07,"Higher in Control"
"ENSG00000290385.2",NA,"ENST00000599771","Control","FRDA",0.22574,0.4014,0.17566,1.00585813323847e-06,"Higher in FRDA"
"TMEM18","TMEM18","ENST00000281017","Control","FRDA",0.49644,0.33238,-0.16406,1.08311680504147e-06,"Higher in Control"
"KIN","KIN","ENST00000471320","Control","FRDA",0.11472,0.28148,0.16676,1.10302211242736e-06,"Higher in FRDA"
"SERF2","SERF2","ENST00000409614","Control","FRDA",0.3764,0.49824,0.12184,1.15522081038229e-06,"Higher in FRDA"
"GLYCTK-AS1","GLYCTK-AS1","ENST00000741311","Control","FRDA",0.5173,0.16722,-0.35008,1.33661848335768e-06,"Higher in Control"
"RRP7A","RRP7A","ENST00000323013","Control","FRDA",0.82728,0.68972,-0.13756,1.6100682301132e-06,"Higher in Control"
"VGLL4","VGLL4","ENST00000273038","Control","FRDA",0.20078,0.0513,-0.14948,1.71351981171023e-06,"Higher in Control"
"SNX1","SNX1","ENST00000559844","Control","FRDA",0.68478,0.50214,-0.18264,1.73028861697286e-06,"Higher in Control"
"NECTIN3-AS1","NECTIN3-AS1","ENST00000803784","Control","FRDA",0.20698,0.4502,0.24322,2.06439616731418e-06,"Higher in FRDA"
"DHRS4L1","DHRS4L1","ENST00000715443","Control","FRDA",0.20582,0.07496,-0.13086,2.37293866486907e-06,"Higher in Control"
"KANSL1","KANSL1","ENST00000638275","Control","FRDA",0.10794,0.00202,-0.10592,2.46082352263316e-06,"Higher in Control"
"NPAS1","NPAS1","ENST00000439365","Control","FRDA",0.23314,0.0623,-0.17084,2.49155872645795e-06,"Higher in Control"
"SYNPO","SYNPO","ENST00000307662","Control","FRDA",0.03642,0.16916,0.13274,2.5263214362018e-06,"Higher in FRDA"
"PTPDC1","PTPDC1","ENST00000288976","Control","FRDA",0.23722,0.08662,-0.1506,2.99215236061717e-06,"Higher in Control"
"FLNA","FLNA","ENST00000369856","Control","FRDA",0.00174,0.17586,0.17412,3.09096794484146e-06,"Higher in FRDA"
"POLR2G","POLR2G","ENST00000301788","Control","FRDA",0.60872,0.73534,0.12662,3.26299587697637e-06,"Higher in FRDA"
"NME4","NME4","ENST00000450036","Control","FRDA",0.26786,0.14978,-0.11808,3.3225490136036e-06,"Higher in Control"
"ALPK2","ALPK2","ENST00000589204","Control","FRDA",0.20504,0.047,-0.15804,3.33073374323969e-06,"Higher in Control"
"PIANP","PIANP","ENST00000320591","Control","FRDA",0.08626,0.23322,0.14696,3.41484956337453e-06,"Higher in FRDA"
"TUBA1C","TUBA1C","ENST00000541364","Control","FRDA",0.29106,0.4356,0.14454,3.57565173001229e-06,"Higher in FRDA"
"STK33","STK33","ENST00000396672","Control","FRDA",0.00252,0.13352,0.131,3.68559240090558e-06,"Higher in FRDA"
"TRIM52-AS1","TRIM52-AS1","ENST00000657194","Control","FRDA",0.21146,0.46644,0.25498,3.8788690446202e-06,"Higher in FRDA"
"MIAT","MIAT","ENST00000616213","Control","FRDA",0.42922,0.29388,-0.13534,4.04055207740076e-06,"Higher in Control"
"FLNC","FLNC","ENST00000325888","Control","FRDA",0.27108,0.54068,0.2696,4.71951486971739e-06,"Higher in FRDA"
"MAP4K2","MAP4K2","ENST00000294066","Control","FRDA",0.5258,0.32266,-0.20314,5.33905299913661e-06,"Higher in Control"
"LRCH1","LRCH1","ENST00000389798","Control","FRDA",0.24194,0.12658,-0.11536,5.45992286550079e-06,"Higher in Control"
"DLG2","DLG2","ENST00000426717","Control","FRDA",0.05598,0.17168,0.1157,5.52719091950832e-06,"Higher in FRDA"
"VGLL4","VGLL4","ENST00000430365","Control","FRDA",0.41308,0.5924,0.17932,5.55267879342957e-06,"Higher in FRDA"
"PACC1","PACC1","ENST00000535273","Control","FRDA",0.63394,0.52626,-0.10768,5.98567247421337e-06,"Higher in Control"
"RNF220","RNF220","ENST00000484745","Control","FRDA",0.41006,0.3064,-0.10366,5.99743187044637e-06,"Higher in Control"
"SAP130","SAP130","ENST00000643581","Control","FRDA",0.34126,0.50488,0.16362,6.31599600285932e-06,"Higher in FRDA"
"PTPDC1","PTPDC1","ENST00000375360","Control","FRDA",0.44924,0.68476,0.23552,6.68510051224188e-06,"Higher in FRDA"
"PACSIN2","PACSIN2","ENST00000263246","Control","FRDA",0.22926,0.41762,0.18836,6.96952513864024e-06,"Higher in FRDA"
"ARHGAP36","ARHGAP36","ENST00000639280","Control","FRDA",0.3011,0,-0.3011,7.97465487963194e-06,"Higher in Control"
"CHEK2","CHEK2","ENST00000472807","Control","FRDA",0.36412,0.09758,-0.26654,8.31335715185368e-06,"Higher in Control"
