dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Mishra_223,GRB2,GRB2,4,codingPotential; domain_identified; IR; PTC,0.25965,3.2585868710821767e-175
Mishra_223,KIF21B,KIF21B,2,codingPotential; domain_identified,0.159925,1.645941382956719e-104
Mishra_223,ZBTB14,ZBTB14,2,codingPotential; domain_identified,0.6524,1.834654179930533e-85
Mishra_223,CEP78,CEP78,1,codingPotential,0.21272500000000003,1.2516633409430407e-44
Mishra_223,INTS6,INTS6,3,codingPotential; domain_identified; PTC,0.2271,4.000318647632785e-39
Mishra_223,LDHA,LDHA,4,codingPotential; domain_identified; IR; PTC,0.23419999999999996,2.606160816329208e-38
Mishra_223,CDC16,CDC16,2,codingPotential; domain_identified,0.104075,1.0552767171769232e-36
Mishra_223,LINC02981,LINC02981,2,codingPotential; IR,0.23940000000000003,7.659137585526007e-32
Mishra_223,MED23,MED23,3,codingPotential; domain_identified; IR,0.10477499999999995,3.5091895449364125e-29
Mishra_223,CAMTA1,CAMTA1,2,codingPotential; domain_identified,0.1002,1.7097224438494487e-28
Mishra_223,ADGRB3,ADGRB3,3,codingPotential; domain_identified; IR,0.24662499999999998,8.340719154982495e-28
Mishra_223,SYT2,SYT2,2,codingPotential; domain_identified,0.20445000000000002,9.132373767704274e-27
Mishra_223,ZNF45,ZNF45,2,codingPotential; domain_identified,0.21585,1.276591788028753e-25
Mishra_223,ACACB,ACACB,2,codingPotential; domain_identified,0.21485000000000004,7.393841241584591e-25
Mishra_223,GFER,GFER,2,codingPotential; domain_identified,0.1555,7.393841241584591e-25
Mishra_223,ZMYND8,ZMYND8,2,codingPotential; domain_identified,0.13677500000000004,6.008812826483577e-22
Mishra_223,RGPD6,RGPD6,4,codingPotential; domain_identified; IR; PTC,0.34057499999999996,4.206554016089662e-20
Mishra_223,MCC,MCC,1,codingPotential,0.312275,4.278805124011518e-20
Mishra_223,ARB2A,ARB2A,2,codingPotential; domain_identified,0.13549999999999995,8.939122120847304e-19
Mishra_223,RBM6,RBM6,2,codingPotential; domain_identified,0.10032500000000001,1.4158264648338506e-16
Mishra_223,SLC1A4,SLC1A4,2,codingPotential; domain_identified,0.256275,2.84672568474159e-16
Mishra_223,RFXANK,RFXANK,2,codingPotential; domain_identified,0.166475,3.275352957159798e-16
Mishra_223,RUSC1,RUSC1,3,codingPotential; domain_identified; IR,0.449075,1.2426723466149356e-15
Mishra_223,CASTOR3P,CASTOR3P,1,codingPotential,0.16537500000000002,1.754278991237182e-15
Mishra_223,GUCY1B1,GUCY1B1,2,codingPotential; domain_identified,0.187,1.7064781896375253e-14
Mishra_223,SPPL2A,SPPL2A,1,codingPotential,0.115925,2.480033265734557e-13
Mishra_223,SLC35A3,SLC35A3,3,codingPotential; domain_identified; IR,0.263075,2.707874763116275e-13
Mishra_223,AFF3,AFF3,2,codingPotential; domain_identified,0.12735,2.442914717235926e-12
Mishra_223,GPANK1,GPANK1,2,codingPotential; domain_identified,0.176725,4.667842383794161e-12
Mishra_223,IRF1,IRF1,3,codingPotential; domain_identified; PTC,0.225275,8.519089348034568e-12
Mishra_223,SERGEF,SERGEF,2,codingPotential; domain_identified,0.2184,8.87765666986822e-12
Mishra_223,IFT172,IFT172,2,codingPotential; domain_identified,0.17725000000000002,3.1672193361213344e-11
Mishra_223,ENSG00000291142.2,NA,1,codingPotential,0.129075,5.448512456968152e-11
Mishra_223,TSPAN4,TSPAN4,2,codingPotential; domain_identified,0.198875,7.009539696672287e-11
Mishra_223,SPAG16,SPAG16,2,codingPotential; domain_identified,0.14205000000000007,1.0248701236784883e-10
Mishra_223,BAHCC1,BAHCC1,1,codingPotential,0.11282500000000001,1.203765648311552e-10
Mishra_223,GGA3,GGA3,3,codingPotential; domain_identified; PTC,0.1162,2.2127102788277427e-10
Mishra_223,KAT7,KAT7,3,codingPotential; domain_identified; PTC,0.12505000000000002,2.7760409447837256e-10
Mishra_223,RNASEH2C,RNASEH2C,3,codingPotential; domain_identified; IR,0.268075,5.949170280459229e-10
Mishra_223,HPF1,HPF1,2,codingPotential; domain_identified,0.1495749999999999,6.297857902722498e-10
Mishra_223,RIMS2,RIMS2,2,codingPotential; domain_identified,0.18570000000000003,1.375079887512339e-9
Mishra_223,FCHO2,FCHO2,2,codingPotential; domain_identified,0.19132499999999997,1.4262273931232333e-9
Mishra_223,HIP1R,HIP1R,3,codingPotential; domain_identified; IR,0.121725,1.7829083071520036e-9
Mishra_223,ADGRL2,ADGRL2,3,codingPotential; domain_identified; signal_peptide_identified,0.11334999999999999,2.4852723057312995e-9
Mishra_223,MSRA,MSRA,2,codingPotential; domain_identified,0.22560000000000002,2.491791915833362e-9
Mishra_223,ZNF644,ZNF644,1,codingPotential,0.200125,2.858011955095839e-9
Mishra_223,PSEN2,PSEN2,2,codingPotential; domain_identified,0.22065,5.266866078805646e-9
Mishra_223,NOL3,NOL3,2,codingPotential; domain_identified,0.199325,1.0105308479761277e-8
