"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"CNTNAP2","CNTNAP2","ENST00000463592","Control","FRDA",0.76575,0.96895,0.2032,1.24346553896232e-178,"Higher in FRDA"
"MACF1","MACF1","ENST00000671089","Control","FRDA",0,0.13555,0.13555,1.73982575697682e-163,"Higher in FRDA"
"H2BC6","H2BC6","ENST00000614097","Control","FRDA",0.7991,0.9935,0.1944,8.72798249053434e-151,"Higher in FRDA"
"KANSL1","KANSL1","ENST00000638275","Control","FRDA",0.10035,0,-0.10035,2.5002904424975e-138,"Higher in Control"
"PFN2","PFN2","ENST00000239940","Control","FRDA",0.7188,0.42455,-0.29425,2.05158339743719e-135,"Higher in Control"
"FBXO25","FBXO25","ENST00000350302","Control","FRDA",0,0.432,0.432,5.25314298879011e-132,"Higher in FRDA"
"H2BC6","H2BC6","ENST00000634910","Control","FRDA",0.2009,0.0065,-0.1944,4.82370160166247e-130,"Higher in Control"
"UBE2I","UBE2I","ENST00000711332","Control","FRDA",0,0.3943,0.3943,1.37408462481552e-128,"Higher in FRDA"
"KPNA4","KPNA4","ENST00000676799","Control","FRDA",0,0.159,0.159,3.9596830741463e-127,"Higher in FRDA"
"TPM1","TPM1","ENST00000358278","Control","FRDA",0,0.3262,0.3262,8.49873395568143e-115,"Higher in FRDA"
"NFRKB","NFRKB","ENST00000446488","Control","FRDA",0.4764,0,-0.4764,1.67688714328173e-112,"Higher in Control"
"H2BC5","H2BC5","ENST00000377777","Control","FRDA",0.62425,0.96435,0.3401,4.36873378117853e-112,"Higher in FRDA"
"FBN3","FBN3","ENST00000600128","Control","FRDA",0,0.5331,0.5331,6.08970403142649e-104,"Higher in FRDA"
"AAK1","AAK1","ENST00000606389","Control","FRDA",0.0044,0.24305,0.23865,5.30047034699896e-102,"Higher in FRDA"
"EPS15","EPS15","ENST00000493793","Control","FRDA",0.74595,0.3293,-0.41665,4.42904430789006e-99,"Higher in Control"
"H2BC5","H2BC5","ENST00000289316","Control","FRDA",0.37575,0.03565,-0.3401,5.90546813195609e-99,"Higher in Control"
"ITGB1","ITGB1","ENST00000676659","Control","FRDA",0,0.13805,0.13805,1.12708537356291e-98,"Higher in FRDA"
"ST18","ST18","ENST00000693301","Control","FRDA",0,0.1276,0.1276,6.08530796269429e-98,"Higher in FRDA"
"EWSR1","EWSR1","ENST00000406548","Control","FRDA",0,0.15395,0.15395,1.86049974923346e-96,"Higher in FRDA"
"ZNF526","ZNF526","ENST00000301215","Control","FRDA",0,0.8415,0.8415,6.12532894583037e-90,"Higher in FRDA"
"UBE2I","UBE2I","ENST00000711313","Control","FRDA",0.3759,0,-0.3759,1.58040975377763e-89,"Higher in Control"
"ZNF320","ZNF320","ENST00000682928","Control","FRDA",0,0.3054,0.3054,4.33254474968123e-89,"Higher in FRDA"
"PFN2","PFN2","ENST00000452853","Control","FRDA",0.183,0.4471,0.2641,1.16362068769035e-88,"Higher in FRDA"
"ABCF1","ABCF1","ENST00000326195","Control","FRDA",0,0.28665,0.28665,3.78238332552585e-86,"Higher in FRDA"
"SLC4A7","SLC4A7","ENST00000428386","Control","FRDA",0,0.1613,0.1613,1.00800202229602e-85,"Higher in FRDA"
"CLASP1","CLASP1","ENST00000455322","Control","FRDA",0.26315,0.0927,-0.17045,8.20508030806367e-85,"Higher in Control"
"EPB41","EPB41","ENST00000647103","Control","FRDA",0.04575,0.15745,0.1117,8.35737560606354e-84,"Higher in FRDA"
"RNF130","RNF130","ENST00000521389","Control","FRDA",0.23335,0.5368,0.30345,2.21018102004925e-81,"Higher in FRDA"
"USP16","USP16","ENST00000399976","Control","FRDA",0,0.4007,0.4007,1.35684455001495e-80,"Higher in FRDA"
"PROM1","PROM1","ENST00000508167","Control","FRDA",0,0.54395,0.54395,4.05491977334164e-79,"Higher in FRDA"
"MAP3K13","MAP3K13","ENST00000448876","Control","FRDA",0.0036,0.61355,0.60995,1.1977114390521e-77,"Higher in FRDA"
"MAP3K7","MAP3K7","ENST00000369329","Control","FRDA",0.13185,0,-0.13185,4.67752114994759e-77,"Higher in Control"
"EPC1","EPC1","ENST00000319778","Control","FRDA",0,0.142,0.142,8.97107767588639e-77,"Higher in FRDA"
"MAP4","MAP4","ENST00000439356","Control","FRDA",0.4098,0.18645,-0.22335,1.6519978337492e-75,"Higher in Control"
"SREK1","SREK1","ENST00000284041","Control","FRDA",0,0.13455,0.13455,1.98852258335548e-74,"Higher in FRDA"
"OCRL","OCRL","ENST00000371113","Control","FRDA",0.8944,0.4917,-0.4027,1.1184978903012e-71,"Higher in Control"
"LRPPRC","LRPPRC","ENST00000683994","Control","FRDA",0.16485,0,-0.16485,3.10818823581447e-68,"Higher in Control"
"RNF220","RNF220","ENST00000355387","Control","FRDA",0,0.1041,0.1041,8.50829711365025e-64,"Higher in FRDA"
"DBNL","DBNL","ENST00000432854","Control","FRDA",0.2134,0,-0.2134,5.38421331368208e-62,"Higher in Control"
"NFATC4","NFATC4","ENST00000250373","Control","FRDA",0.12285,0,-0.12285,8.70796588417767e-62,"Higher in Control"
"CCDC142","CCDC142","ENST00000393965","Control","FRDA",0,0.3584,0.3584,4.91245268493986e-60,"Higher in FRDA"
"EVI5L","EVI5L","ENST00000270530","Control","FRDA",0.093,0.50385,0.41085,4.43409376690091e-58,"Higher in FRDA"
"NOLC1","NOLC1","ENST00000370007","Control","FRDA",0.1151,0,-0.1151,1.70276729117812e-57,"Higher in Control"
"CACNA1H","CACNA1H","ENST00000639478","Control","FRDA",0,0.1149,0.1149,3.46015783778985e-56,"Higher in FRDA"
