dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Mishra_FF1,SORBS2,SORBS2,3,codingPotential; domain_identified; IR,0.112525,1.897312252203259e-183
Mishra_FF1,NEO1,NEO1,3,codingPotential; domain_identified; signal_peptide_identified,0.272325,4.339654527082101e-130
Mishra_FF1,PCDHA5,PCDHA5,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.6398250000000001,8.693288911962652e-125
Mishra_FF1,PCDHGA10,PCDHGA10,3,codingPotential; domain_identified; signal_peptide_identified,0.300675,1.2991027888175208e-121
Mishra_FF1,VLDLR,VLDLR,1,codingPotential,0.12789999999999999,3.380134732599625e-120
Mishra_FF1,RFFL,RFFL,2,codingPotential; domain_identified,0.142925,2.6399797202474647e-103
Mishra_FF1,NDUFS5,NDUFS5,2,codingPotential; domain_identified,0.492425,5.139050210574527e-93
Mishra_FF1,CYTH1,CYTH1,3,codingPotential; domain_identified; IR,0.47054999999999997,3.2550800630936695e-81
Mishra_FF1,NRXN3,NRXN3,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.239375,1.6041998016523297e-70
Mishra_FF1,SERF1A,SERF1A,2,codingPotential; domain_identified,0.2085,3.300980731227529e-67
Mishra_FF1,KIDINS220,KIDINS220,2,codingPotential; domain_identified,0.1968,6.042361221270425e-59
Mishra_FF1,EWSR1,EWSR1,3,codingPotential; domain_identified; IR,0.12402499999999998,9.540272359574048e-58
Mishra_FF1,ANKS1A,ANKS1A,3,codingPotential; domain_identified; IR,0.3894,3.3752733485410598e-56
Mishra_FF1,MAP4K4,MAP4K4,2,codingPotential; domain_identified,0.11159999999999998,1.2722785061375053e-53
Mishra_FF1,TCTN2,TCTN2,2,codingPotential; domain_identified,0.16467500000000002,5.632898493804593e-51
Mishra_FF1,DCAF6,DCAF6,2,codingPotential; domain_identified,0.18420000000000003,9.156396918995044e-51
Mishra_FF1,DOCK4,DOCK4,2,codingPotential; domain_identified,0.356375,1.579468108806717e-49
Mishra_FF1,C4B,C4B,3,codingPotential; domain_identified; signal_peptide_identified,0.4196,7.720141286755227e-48
Mishra_FF1,PDE4D,PDE4D,3,codingPotential; domain_identified; IR,0.12195,6.392851465205254e-46
Mishra_FF1,IDE,IDE,2,codingPotential; PTC,0.18189999999999998,5.685290846211072e-42
Mishra_FF1,ADD1,ADD1,3,codingPotential; domain_identified; IR,0.19197499999999998,7.104090093271893e-42
Mishra_FF1,TRIM52-AS1,TRIM52-AS1,1,IR,0.278325,4.485381666386027e-39
Mishra_FF1,DTNB,DTNB,2,codingPotential; domain_identified,0.360275,1.5827413087996896e-38
Mishra_FF1,PIEZO2,PIEZO2,2,codingPotential; domain_identified,0.153475,3.4477592827817835e-38
Mishra_FF1,POU6F2,POU6F2,2,codingPotential; PTC,0.237675,1.417009043977195e-37
Mishra_FF1,PI4KAP1,PI4KAP1,2,codingPotential; IR,0.1681,2.145767816559061e-37
Mishra_FF1,LIG1,LIG1,3,codingPotential; domain_identified; PTC,0.129625,9.757379912056788e-37
Mishra_FF1,ZNF512,ZNF512,2,codingPotential; domain_identified,0.44217500000000004,2.6802315810500292e-36
Mishra_FF1,MEF2C,MEF2C,3,codingPotential; domain_identified; IR,0.181925,1.207897794012499e-35
Mishra_FF1,ATP5F1E,ATP5F1E,1,domain_identified,0.27144999999999997,6.78541718403945e-35
Mishra_FF1,NEK1,NEK1,1,codingPotential,0.15575,2.7735174171276347e-34
Mishra_FF1,TNS3,TNS3,2,codingPotential; domain_identified,0.45509999999999995,8.388751660470451e-34
Mishra_FF1,MYO5A,MYO5A,2,codingPotential; domain_identified,0.4534,2.1496514544252974e-33
Mishra_FF1,RGS3,RGS3,1,codingPotential,0.105625,1.0210958464074509e-31
Mishra_FF1,PWP2,PWP2,2,codingPotential; domain_identified,0.601075,3.29616909242671e-30
Mishra_FF1,NCAM1,NCAM1,1,codingPotential,0.108125,2.0304245337070105e-29
Mishra_FF1,WSCD1,WSCD1,2,codingPotential; domain_identified,0.1278499999999999,9.877275420159615e-29
Mishra_FF1,INPP5F,INPP5F,2,codingPotential; domain_identified,0.5193,1.1077871422616105e-28
Mishra_FF1,RBIS,RBIS,2,domain_identified; IR,0.30860000000000004,2.309822193697977e-28
Mishra_FF1,BLTP1,BLTP1,3,codingPotential; domain_identified; IR,0.172225,2.488084178758311e-28
Mishra_FF1,POTEE,POTEE,3,codingPotential; domain_identified; PTC,0.6193,4.406139251359538e-28
Mishra_FF1,GATD3,GATD3,2,codingPotential; IR,0.299,8.716100991745006e-28
Mishra_FF1,NLGN1,NLGN1,3,codingPotential; domain_identified; signal_peptide_identified,0.26077500000000003,9.035139764608866e-28
Mishra_FF1,AMPD2,AMPD2,2,codingPotential; IR,0.11472500000000001,2.6277366994332372e-27
Mishra_FF1,SSBP3,SSBP3,2,codingPotential; domain_identified,0.25185,3.469194526683693e-27
Mishra_FF1,ASTN1,ASTN1,3,codingPotential; domain_identified; signal_peptide_identified,0.1544,7.488840366423573e-27
