"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"SORBS2","SORBS2","ENST00000284776","Control","FRDA",0,0.112525,0.112525,1.89731225220326e-183,"Higher in FRDA"
"NEO1","NEO1","ENST00000558964","Control","FRDA",0.214175,0,-0.214175,4.3396545270821e-130,"Higher in Control"
"PCDHA5","PCDHA5","ENST00000614258","Control","FRDA",0.349675,0.9895,0.639825,8.69328891196265e-125,"Higher in FRDA"
"PCDHGA10","PCDHGA10","ENST00000398610","Control","FRDA",0.952975,0.6523,-0.300675,1.29910278881752e-121,"Higher in Control"
"PCDHGA10","PCDHGA10","ENST00000612503","Control","FRDA",0.047025,0.3477,0.300675,2.60333398844031e-104,"Higher in FRDA"
"RFFL","RFFL","ENST00000315249","Control","FRDA",0,0.142925,0.142925,2.63997972024746e-103,"Higher in FRDA"
"NDUFS5","NDUFS5","ENST00000372967","Control","FRDA",0.998,0.505575,-0.492425,5.13905021057453e-93,"Higher in Control"
"NDUFS5","NDUFS5","ENST00000372969","Control","FRDA",0.002,0.494425,0.492425,9.92476301634506e-88,"Higher in FRDA"
"CYTH1","CYTH1","ENST00000446868","Control","FRDA",0.47055,0,-0.47055,3.25508006309367e-81,"Higher in Control"
"NRXN3","NRXN3","ENST00000555387","Control","FRDA",0,0.183475,0.183475,1.60419980165233e-70,"Higher in FRDA"
"SERF1A","SERF1A","ENST00000354833","Control","FRDA",0.0014,0.2099,0.2085,3.30098073122753e-67,"Higher in FRDA"
"KIDINS220","KIDINS220","ENST00000256707","Control","FRDA",0.204175,0.007375,-0.1968,6.04236122127043e-59,"Higher in Control"
"EWSR1","EWSR1","ENST00000469669","Control","FRDA",0.154675,0.053975,-0.1007,9.54027235957405e-58,"Higher in Control"
"ANKS1A","ANKS1A","ENST00000698906","Control","FRDA",0,0.1778,0.1778,3.37527334854106e-56,"Higher in FRDA"
"TCTN2","TCTN2","ENST00000680574","Control","FRDA",0.164675,0,-0.164675,5.63289849380459e-51,"Higher in Control"
"DCAF6","DCAF6","ENST00000367840","Control","FRDA",0.181175,0,-0.181175,9.15639691899504e-51,"Higher in Control"
"DOCK4","DOCK4","ENST00000428084","Control","FRDA",0,0.31735,0.31735,1.57946810880672e-49,"Higher in FRDA"
"C4B","C4B","ENST00000435363","Control","FRDA",0.4196,0,-0.4196,7.72014128675523e-48,"Higher in Control"
"IDE","IDE","ENST00000677096","Control","FRDA",0.110925,0,-0.110925,5.68529084621107e-42,"Higher in Control"
"TRIM52-AS1","TRIM52-AS1","ENST00000840392","Control","FRDA",0.1978,0,-0.1978,4.48538166638603e-39,"Higher in Control"
"DTNB","DTNB","ENST00000405222","Control","FRDA",0.2661,0,-0.2661,1.58274130879969e-38,"Higher in Control"
"PIEZO2","PIEZO2","ENST00000503781","Control","FRDA",0,0.153475,0.153475,3.44775928278178e-38,"Higher in FRDA"
"POU6F2","POU6F2","ENST00000517348","Control","FRDA",0.247575,0.0099,-0.237675,1.4170090439772e-37,"Higher in Control"
"PI4KAP1","PI4KAP1","ENST00000611748","Control","FRDA",0.108375,0,-0.108375,2.14576781655906e-37,"Higher in Control"
"LIG1","LIG1","ENST00000594759","Control","FRDA",0.10335,0,-0.10335,9.75737991205679e-37,"Higher in Control"
"ZNF512","ZNF512","ENST00000379717","Control","FRDA",0,0.417575,0.417575,2.68023158105003e-36,"Higher in FRDA"
"MEF2C","MEF2C","ENST00000510942","Control","FRDA",0,0.1045,0.1045,1.2078977940125e-35,"Higher in FRDA"
"NRXN3","NRXN3","ENST00000634499","Control","FRDA",0.239375,0,-0.239375,2.73749260789788e-35,"Higher in Control"
"ATP5F1E","ATP5F1E","ENST00000243997","Control","FRDA",0.6934,0.96485,0.27145,6.78541718403945e-35,"Higher in FRDA"
"NEK1","NEK1","ENST00000690540","Control","FRDA",0.20465,0.0489,-0.15575,2.77351741712763e-34,"Higher in Control"
"TNS3","TNS3","ENST00000705473","Control","FRDA",0.252525,0.707625,0.4551,8.38875166047045e-34,"Higher in FRDA"
"PWP2","PWP2","ENST00000291576","Control","FRDA",0.60795,0.006875,-0.601075,3.29616909242671e-30,"Higher in Control"
"SOX9-AS1","SOX9-AS1","ENST00000659228","Control","FRDA",0,0.218175,0.218175,3.72476862772859e-30,"Higher in FRDA"
"WSCD1","WSCD1","ENST00000571973","Control","FRDA",0,0.11435,0.11435,9.87727542015961e-29,"Higher in FRDA"
"INPP5F","INPP5F","ENST00000650409","Control","FRDA",0.048925,0.568225,0.5193,1.10778714226161e-28,"Higher in FRDA"
"RBIS","RBIS","ENST00000612977","Control","FRDA",0.31075,0.00215,-0.3086,2.30982219369798e-28,"Higher in Control"
"POTEE","POTEE","ENST00000683005","Control","FRDA",0.41655,0,-0.41655,4.40613925135954e-28,"Higher in Control"
"GATD3","GATD3","ENST00000291577","Control","FRDA",0.299,0,-0.299,8.71610099174501e-28,"Higher in Control"
"NLGN1","NLGN1","ENST00000415045","Control","FRDA",0,0.138475,0.138475,9.03513976460887e-28,"Higher in FRDA"
"AMPD2","AMPD2","ENST00000474459","Control","FRDA",0.114725,0,-0.114725,2.62773669943324e-27,"Higher in Control"
"SSBP3","SSBP3","ENST00000371319","Control","FRDA",0.413675,0.202375,-0.2113,3.46919452668369e-27,"Higher in Control"
"ASTN1","ASTN1","ENST00000424564","Control","FRDA",0.1569,0.0025,-0.1544,7.48884036642357e-27,"Higher in Control"
"CDH8","CDH8","ENST00000577228","Control","FRDA",0.2652,0.00795,-0.25725,6.4918794613151e-26,"Higher in Control"
"SPIRE1","SPIRE1","ENST00000464481","Control","FRDA",0.202075,0.0475,-0.154575,1.80679357056925e-25,"Higher in Control"
