gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00020805,FLNB,FLNB,Control,FRDA,5.136371333944926e-47,1
geneComp_00030695,PTPRM,PTPRM,Control,FRDA,5.20569457925555e-46,2
geneComp_00005159,DST,DST,Control,FRDA,8.024478043999968e-38,3
geneComp_00000221,ACTA2,ACTA2,Control,FRDA,5.0103573684593744e-30,4
geneComp_00037631,WASHC1,WASHC1,Control,FRDA,2.2721275613371033e-29,5
geneComp_00028749,P3H3,P3H3,Control,FRDA,8.002959056880223e-28,6
geneComp_00026278,MCM9,MCM9,Control,FRDA,1.717905638593104e-25,7
geneComp_00028666,OSGIN2,OSGIN2,Control,FRDA,2.3418938770872907e-20,8
geneComp_00000787,ANK1,ANK1,Control,FRDA,3.99471511453931e-18,9
geneComp_00031185,RCAN1,RCAN1,Control,FRDA,3.99471511453931e-18,10
geneComp_00000959,AP1S2,AP1S2,Control,FRDA,5.168341109825759e-18,11
geneComp_00028202,NRXN3,NRXN3,Control,FRDA,9.099293172584762e-17,12
geneComp_00035858,TJP2,TJP2,Control,FRDA,9.95354988259841e-17,13
geneComp_00000259,ACTN4,ACTN4,Control,FRDA,3.2474614054009743e-15,14
geneComp_00005140,DSC2,DSC2,Control,FRDA,4.1270779019025365e-15,15
geneComp_00020742,FHL1,FHL1,Control,FRDA,3.4123635492218584e-14,16
geneComp_00032916,SACM1L,SACM1L,Control,FRDA,4.774667848493216e-14,17
geneComp_00024177,LEPROTL1,LEPROTL1,Control,FRDA,1.0462117573877442e-13,18
geneComp_00034571,SPATA13,SPATA13,Control,FRDA,1.0116899893114443e-12,19
geneComp_00029034,PCDHGA10,PCDHGA10,Control,FRDA,2.376650578828722e-11,20
geneComp_00002451,CALD1,CALD1,Control,FRDA,5.931743349947141e-11,21
geneComp_00034688,SPOCK2,SPOCK2,Control,FRDA,7.539186856315206e-11,22
geneComp_00001429,ATG7,ATG7,Control,FRDA,1.9656968657700965e-10,23
geneComp_00035051,STX16,STX16,Control,FRDA,9.055773430361774e-10,24
geneComp_00007038,ENSG00000239922.3,NA,Control,FRDA,1.0771400463314768e-9,25
geneComp_00003632,CLIP1,CLIP1,Control,FRDA,1.2901439625970867e-9,26
geneComp_00000648,ALDH16A1,ALDH16A1,Control,FRDA,1.5134060717013897e-9,27
geneComp_00024244,LIMA1,LIMA1,Control,FRDA,1.7624327232176557e-9,28
geneComp_00036315,TNIP1,TNIP1,Control,FRDA,1.7624327232176557e-9,29
geneComp_00001455,ATP13A1,ATP13A1,Control,FRDA,1.874986047806212e-9,30
geneComp_00037093,UBE2N,UBE2N,Control,FRDA,1.874986047806212e-9,31
geneComp_00034482,SORBS1,SORBS1,Control,FRDA,2.0419104683426997e-9,32
geneComp_00037844,XRCC2,XRCC2,Control,FRDA,2.561823265081154e-9,33
geneComp_00020804,FLNA,FLNA,Control,FRDA,8.185130871319998e-9,34
geneComp_00031041,RASGEF1B,RASGEF1B,Control,FRDA,1.595317498490487e-8,35
geneComp_00028407,OBSCN-AS1,OBSCN-AS1,Control,FRDA,1.851195499833755e-8,36
geneComp_00000016,AAK1,AAK1,Control,FRDA,1.9745621898160447e-8,37
geneComp_00029210,PDLIM7,PDLIM7,Control,FRDA,6.376545712404684e-8,38
geneComp_00027698,NECTIN3-AS1,NECTIN3-AS1,Control,FRDA,1.1928767505141756e-7,39
geneComp_00033108,SCUBE2,SCUBE2,Control,FRDA,1.3140770599364193e-7,40
geneComp_00002869,CCP110,CCP110,Control,FRDA,1.731485787780397e-7,41
geneComp_00031001,RAP2C,RAP2C,Control,FRDA,1.8152804404750593e-7,42
geneComp_00020699,FGF14,FGF14,Control,FRDA,2.1583969396733318e-7,43
geneComp_00000946,AOPEP,AOPEP,Control,FRDA,2.340681976801609e-7,44
geneComp_00000936,ANXA6,ANXA6,Control,FRDA,2.7526947141013027e-7,45
geneComp_00037066,UBE2D3-AS1,UBE2D3-AS1,Control,FRDA,3.4370312888779144e-7,46
geneComp_00034151,SMIM14-DT,SMIM14-DT,Control,FRDA,4.1724425433030163e-7,47
geneComp_00025352,LINC02731,LINC02731,Control,FRDA,7.798657223878364e-7,48
geneComp_00028827,PAK6,PAK6,Control,FRDA,8.719814695602258e-7,49
geneComp_00023456,KANSL3,KANSL3,Control,FRDA,9.80174279712988e-7,50
geneComp_00034068,SLX1A-SULT1A3,SLX1A-SULT1A3,Control,FRDA,1.1706766174917743e-6,51
geneComp_00022825,HTRA1,HTRA1,Control,FRDA,1.5647408019997216e-6,52
geneComp_00002967,CD8A,CD8A,Control,FRDA,1.9020696939083639e-6,53
geneComp_00030341,PRKY,PRKY,Control,FRDA,2.0703057502120083e-6,54
geneComp_00027583,NCLN,NCLN,Control,FRDA,2.95539484151265e-6,55
geneComp_00031297,RFNG,RFNG,Control,FRDA,5.2075305538385794e-6,56
geneComp_00003079,CDK2AP1,CDK2AP1,Control,FRDA,5.817833500278173e-6,57
geneComp_00035515,TCF12,TCF12,Control,FRDA,6.0668577434423155e-6,58
geneComp_00005600,ELAVL1,ELAVL1,Control,FRDA,6.27567485344594e-6,59
geneComp_00000377,ADD3,ADD3,Control,FRDA,6.8860787840226185e-6,60
geneComp_00037725,WDSUB1,WDSUB1,Control,FRDA,9.317577617281677e-6,61
geneComp_00034642,SPEN,SPEN,Control,FRDA,1.1212606669400194e-5,62
geneComp_00005658,ELP6,ELP6,Control,FRDA,2.0518203587370485e-5,63
geneComp_00025509,LINC03015,LINC03015,Control,FRDA,2.514191399557665e-5,64
geneComp_00013313,ENSG00000289877.2,NA,Control,FRDA,2.7126897559979063e-5,65
geneComp_00002469,CALU,CALU,Control,FRDA,3.024568662061784e-5,66
geneComp_00002065,BTN2A3P,BTN2A3P,Control,FRDA,3.4574350412176046e-5,67
geneComp_00028166,NRBP1,NRBP1,Control,FRDA,3.466397445875501e-5,68
geneComp_00004796,DIDO1,DIDO1,Control,FRDA,3.544595659684694e-5,69
geneComp_00031004,RAPGEF2,RAPGEF2,Control,FRDA,3.91792566936068e-5,70
geneComp_00003670,CLTA,CLTA,Control,FRDA,6.0223354092597626e-5,71
geneComp_00037494,VMP1,VMP1,Control,FRDA,6.423361743816432e-5,72
geneComp_00031790,RNASEH1-DT,RNASEH1-DT,Control,FRDA,6.571061248196575e-5,73
geneComp_00021364,GFAP,GFAP,Control,FRDA,8.453409184531637e-5,74
