"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"ATAD3B","ATAD3B","ENST00000472194","Control","FRDA",0.387676470588235,0.280333333333333,-0.107343137254902,1.9857505083131e-06,"Higher in Control"
"MRNIP","MRNIP","ENST00000292586","Control","FRDA",0.4206,0.223955555555556,-0.196644444444444,2.50369721257032e-06,"Higher in Control"
"QRICH1","QRICH1","ENST00000489642","Control","FRDA",0.286694117647059,0.173122222222222,-0.113571895424837,3.50075337581672e-06,"Higher in Control"
"CCN5","CCN5","ENST00000190983","Control","FRDA",0.645870588235294,0.875016666666667,0.229146078431373,6.7665415750389e-06,"Higher in FRDA"
"CCN5","CCN5","ENST00000372868","Control","FRDA",0.160364705882353,0.0432222222222222,-0.117142483660131,7.28778927880844e-06,"Higher in Control"
"THRA","THRA","ENST00000450525","Control","FRDA",0.271088235294118,0.397661111111111,0.126572875816994,7.38505274698116e-06,"Higher in FRDA"
"C7orf50","C7orf50","ENST00000357429","Control","FRDA",0.361805882352941,0.542366666666667,0.180560784313725,1.45630857725881e-05,"Higher in FRDA"
"THRA","THRA","ENST00000264637","Control","FRDA",0.510152941176471,0.337522222222222,-0.172630718954248,2.97262131133503e-05,"Higher in Control"
"BARD1","BARD1","ENST00000260947","Control","FRDA",0.176317647058824,0.305116666666667,0.128799019607843,6.76381286171085e-05,"Higher in FRDA"
"CLK1","CLK1","ENST00000432425","Control","FRDA",0.443123529411765,0.233361111111111,-0.209762418300654,0.000136426324321183,"Higher in Control"
"CYTH1","CYTH1","ENST00000591455","Control","FRDA",0.476323529411765,0.325516666666667,-0.150806862745098,0.000145270660581185,"Higher in Control"
"PPP1R14B-AS1","PPP1R14B-AS1","ENST00000544553","Control","FRDA",0.716905882352941,0.530227777777778,-0.186678104575163,0.000151303554105847,"Higher in Control"
"TROAP","TROAP","ENST00000550709","Control","FRDA",0.329564705882353,0.18365,-0.145914705882353,0.000151303554105847,"Higher in Control"
"IFIT3","IFIT3","ENST00000371818","Control","FRDA",0.472864705882353,0.711894444444444,0.239029738562091,0.000161236824183362,"Higher in FRDA"
"PPP1R14B-AS1","PPP1R14B-AS1","ENST00000663760","Control","FRDA",0.205311764705882,0.333155555555556,0.127843790849673,0.000175380646858437,"Higher in FRDA"
"IFIT3","IFIT3","ENST00000371811","Control","FRDA",0.498376470588235,0.251855555555556,-0.24652091503268,0.000227125366689996,"Higher in Control"
"CDCA5","CDCA5","ENST00000275517","Control","FRDA",0.761111764705882,0.8661,0.104988235294118,0.000306501413283204,"Higher in FRDA"
"BUB1","BUB1","ENST00000478175","Control","FRDA",0.187288235294118,0.0563444444444444,-0.130943790849673,0.000476745240979131,"Higher in Control"
"TTC8","TTC8","ENST00000346301","Control","FRDA",0.432317647058824,0.552877777777778,0.120560130718954,0.000499238583023827,"Higher in FRDA"
