dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Vilema,RPSA,RPSA,ENST00000301821,0.37773333333333337,8.898800407614303e-166,codingPotential
Vilema,RPSA,RPSA,ENST00000301821,0.37773333333333337,8.898800407614303e-166,domain_identified
Vilema,RPSA,RPSA,ENST00000458478,-0.368,8.898800407614303e-166,codingPotential
Vilema,RPSA,RPSA,ENST00000458478,-0.368,8.898800407614303e-166,domain_identified
Vilema,PLCB4,PLCB4,ENST00000685568,-0.3142666666666667,9.441860170931889e-116,codingPotential
Vilema,PLCB4,PLCB4,ENST00000685568,-0.3142666666666667,9.441860170931889e-116,domain_identified
Vilema,PLCB4,PLCB4,ENST00000693752,0.18313333333333334,9.441860170931889e-116,codingPotential
Vilema,PLCB4,PLCB4,ENST00000693752,0.18313333333333334,9.441860170931889e-116,domain_identified
Vilema,MTCL1,MTCL1,ENST00000517570,0.11853333333333334,2.038971963927951e-95,codingPotential
Vilema,MTCL1,MTCL1,ENST00000517570,0.11853333333333334,2.038971963927951e-95,domain_identified
Vilema,MGST3,MGST3,ENST00000495447,-0.5731666666666666,1.8110253281539493e-83,codingPotential
Vilema,MGST3,MGST3,ENST00000367885,0.48696666666666666,1.8110253281539493e-83,codingPotential
Vilema,MGST3,MGST3,ENST00000367885,0.48696666666666666,1.8110253281539493e-83,domain_identified
Vilema,HLA-H,HLA-H,ENST00000383620,-0.5103666666666667,8.057386300161394e-80,codingPotential
Vilema,HLA-H,HLA-H,ENST00000850123,0.31099999999999994,8.057386300161394e-80,codingPotential
Vilema,CAST,CAST,ENST00000674984,-0.10236666666666666,9.895497569929203e-75,IR
Vilema,CAST,CAST,ENST00000674984,-0.10236666666666666,9.895497569929203e-75,codingPotential
Vilema,CAST,CAST,ENST00000674984,-0.10236666666666666,9.895497569929203e-75,domain_identified
Vilema,TRIM2,TRIM2,ENST00000675899,-0.22656666666666667,9.547763926014862e-70,codingPotential
Vilema,TRIM2,TRIM2,ENST00000675899,-0.22656666666666667,9.547763926014862e-70,domain_identified
Vilema,TRIM2,TRIM2,ENST00000675159,0.22296666666666667,9.547763926014862e-70,codingPotential
Vilema,TRIM2,TRIM2,ENST00000675159,0.22296666666666667,9.547763926014862e-70,domain_identified
Vilema,TRIM2,TRIM2,ENST00000675710,-0.16799999999999998,9.547763926014862e-70,codingPotential
Vilema,TRIM2,TRIM2,ENST00000675710,-0.16799999999999998,9.547763926014862e-70,domain_identified
Vilema,ULK3,ULK3,ENST00000561725,0.3608,1.2640300071709743e-69,IR
Vilema,ULK3,ULK3,ENST00000561725,0.3608,1.2640300071709743e-69,codingPotential
Vilema,ULK3,ULK3,ENST00000566479,-0.12866666666666668,1.2640300071709743e-69,IR
Vilema,ULK3,ULK3,ENST00000566479,-0.12866666666666668,1.2640300071709743e-69,codingPotential
Vilema,ULK3,ULK3,ENST00000570276,-0.10633333333333335,1.2640300071709743e-69,IR
Vilema,ULK3,ULK3,ENST00000570276,-0.10633333333333335,1.2640300071709743e-69,codingPotential
Vilema,AP2M1,AP2M1,ENST00000476434,0.1034,2.132333655810968e-66,codingPotential
Vilema,ST6GALNAC6,ST6GALNAC6,ENST00000373146,0.2899,1.0477124765687926e-60,codingPotential
Vilema,ST6GALNAC6,ST6GALNAC6,ENST00000373146,0.2899,1.0477124765687926e-60,domain_identified
Vilema,ST6GALNAC6,ST6GALNAC6,ENST00000373144,-0.2511333333333333,1.0477124765687926e-60,codingPotential
Vilema,ST6GALNAC6,ST6GALNAC6,ENST00000373144,-0.2511333333333333,1.0477124765687926e-60,domain_identified
