"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"RPSA","RPSA","ENST00000301821","Control","FRDA",0.5527,0.930433333333333,0.377733333333333,8.8988004076143e-166,"Higher in FRDA"
"RPSA","RPSA","ENST00000458478","Control","FRDA",0.411633333333333,0.0436333333333333,-0.368,1.98332142628114e-159,"Higher in Control"
"PLCB4","PLCB4","ENST00000685568","Control","FRDA",0.314266666666667,0,-0.314266666666667,9.44186017093189e-116,"Higher in Control"
"MTCL1","MTCL1","ENST00000517570","Control","FRDA",0,0.118533333333333,0.118533333333333,2.03897196392795e-95,"Higher in FRDA"
"MGST3","MGST3","ENST00000495447","Control","FRDA",0.596266666666667,0.0231,-0.573166666666667,1.81102532815395e-83,"Higher in Control"
"HLA-H","HLA-H","ENST00000383620","Control","FRDA",0.965266666666667,0.4549,-0.510366666666667,8.05738630016139e-80,"Higher in Control"
"CAST","CAST","ENST00000674984","Control","FRDA",0.102366666666667,0,-0.102366666666667,9.8954975699292e-75,"Higher in Control"
"TRIM2","TRIM2","ENST00000675899","Control","FRDA",0.226566666666667,0,-0.226566666666667,9.54776392601486e-70,"Higher in Control"
"ULK3","ULK3","ENST00000561725","Control","FRDA",0,0.3608,0.3608,1.26403000717097e-69,"Higher in FRDA"
"ST6GALNAC6","ST6GALNAC6","ENST00000373146","Control","FRDA",0,0.2899,0.2899,1.04771247656879e-60,"Higher in FRDA"
"THOC2","THOC2","ENST00000355725","Control","FRDA",0.126366666666667,0,-0.126366666666667,5.42148876403907e-60,"Higher in Control"
"MAGED4","MAGED4","ENST00000477634","Control","FRDA",0,0.188266666666667,0.188266666666667,9.94559580943796e-58,"Higher in FRDA"
"BEND7","BEND7","ENST00000689491","Control","FRDA",0,0.3186,0.3186,1.16448974003168e-53,"Higher in FRDA"
"NPIPA6","NPIPA6","ENST00000538085","Control","FRDA",0.145066666666667,0,-0.145066666666667,3.55488533026354e-52,"Higher in Control"
"MTA2","MTA2","ENST00000524902","Control","FRDA",0,0.103466666666667,0.103466666666667,1.27225032336026e-49,"Higher in FRDA"
"ACSL3","ACSL3","ENST00000680424","Control","FRDA",0,0.131833333333333,0.131833333333333,6.69325843852504e-49,"Higher in FRDA"
"PRKCD","PRKCD","ENST00000652449","Control","FRDA",0,0.2442,0.2442,1.15370265094479e-47,"Higher in FRDA"
"ZNF667-AS1","ZNF667-AS1","ENST00000654382","Control","FRDA",0.835566666666667,0,-0.835566666666667,1.37129194849392e-47,"Higher in Control"
"MGST3","MGST3","ENST00000367885","Control","FRDA",0.1957,0.682666666666667,0.486966666666667,6.19198193069309e-47,"Higher in FRDA"
"HLA-H","HLA-H","ENST00000850123","Control","FRDA",0.0018,0.3128,0.311,1.18923515959269e-46,"Higher in FRDA"
"KMT2A","KMT2A","ENST00000686370","Control","FRDA",0,0.1674,0.1674,5.4801511484678e-46,"Higher in FRDA"
"HNRNPK","HNRNPK","ENST00000704014","Control","FRDA",0.1515,0.0179,-0.1336,2.25215428272365e-39,"Higher in Control"
"DDX39B","DDX39B","ENST00000396172","Control","FRDA",0.304433333333333,0.422666666666667,0.118233333333333,2.6021855334129e-39,"Higher in FRDA"
"AMACR","AMACR","ENST00000514195","Control","FRDA",0,0.167833333333333,0.167833333333333,3.32387707635727e-37,"Higher in FRDA"
"BRCA1","BRCA1","ENST00000497488","Control","FRDA",0,0.2435,0.2435,8.98778083483071e-37,"Higher in FRDA"
"CBS","CBS","ENST00000398165","Control","FRDA",0.4808,0,-0.4808,7.23144292845783e-36,"Higher in Control"
"SPATA13","SPATA13","ENST00000382095","Control","FRDA",0,0.3707,0.3707,3.01848313269365e-35,"Higher in FRDA"
"PKD1P6-NPIPP1","PKD1P6-NPIPP1","ENST00000534799","Control","FRDA",0,0.220766666666667,0.220766666666667,1.91767671997004e-31,"Higher in FRDA"
"CDK11A","CDK11A","ENST00000358779","Control","FRDA",0,0.116066666666667,0.116066666666667,9.18938799869987e-31,"Higher in FRDA"
"ZP3","ZP3","ENST00000336517","Control","FRDA",0.1591,0.972366666666667,0.813266666666667,7.68573423795184e-30,"Higher in FRDA"
"PIK3R1","PIK3R1","ENST00000697467","Control","FRDA",0,0.284466666666667,0.284466666666667,1.18687775819915e-29,"Higher in FRDA"
"AMPD2","AMPD2","ENST00000476688","Control","FRDA",0,0.200766666666667,0.200766666666667,3.1518456422356e-29,"Higher in FRDA"
"STPG1","STPG1","ENST00000003583","Control","FRDA",0.192233333333333,0,-0.192233333333333,4.50925281039312e-29,"Higher in Control"
"ZNF41","ZNF41","ENST00000313116","Control","FRDA",0.286633333333333,0,-0.286633333333333,1.55686717813798e-27,"Higher in Control"
"SH3YL1","SH3YL1","ENST00000403658","Control","FRDA",0.1434,0,-0.1434,4.62877894723973e-27,"Higher in Control"
"ALG5","ALG5","ENST00000681893","Control","FRDA",0,0.223833333333333,0.223833333333333,3.26663800364571e-25,"Higher in FRDA"
"CHTOP","CHTOP","ENST00000368694","Control","FRDA",0,0.153166666666667,0.153166666666667,3.26663800364571e-25,"Higher in FRDA"
"PER3","PER3","ENST00000613533","Control","FRDA",0,0.352633333333333,0.352633333333333,5.74637981215606e-25,"Higher in FRDA"
"TMEM216","TMEM216","ENST00000515837","Control","FRDA",0,0.407,0.407,5.8423630248329e-25,"Higher in FRDA"
"ZP3","ZP3","ENST00000466960","Control","FRDA",0.7807,0,-0.7807,1.21324982272721e-24,"Higher in Control"
"ZNF133","ZNF133","ENST00000630056","Control","FRDA",0.385433333333333,0,-0.385433333333333,2.76345371853693e-24,"Higher in Control"
"CACNA1A","CACNA1A","ENST00000637769","Control","FRDA",0.1893,0,-0.1893,5.5367896906739e-24,"Higher in Control"
"RABGEF1P1","RABGEF1P1","ENST00000735843","Control","FRDA",0.1811,0,-0.1811,1.32982053686602e-23,"Higher in Control"
