gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00015553,HSPH1,HSPH1,Control,FRDA,1.4527225687749806e-80,1
geneComp_00016797,LCOR,LCOR,Control,FRDA,2.0028641474467982e-38,2
geneComp_00015587,IARS1,IARS1,Control,FRDA,5.037054371430617e-27,3
geneComp_00018089,MAP3K7,MAP3K7,Control,FRDA,6.036814384378737e-24,4
geneComp_00016085,IPO4,IPO4,Control,FRDA,1.0220860959503822e-21,5
geneComp_00002538,CD59,CD59,Control,FRDA,1.8521220472930042e-20,6
geneComp_00004547,ECE1,ECE1,Control,FRDA,1.923997880303625e-20,7
geneComp_00027022,TPP1,TPP1,Control,FRDA,7.068939318027779e-19,8
geneComp_00026792,TMEM94,TMEM94,Control,FRDA,1.1292413170598534e-18,9
geneComp_00014411,GNA12,GNA12,Control,FRDA,3.054996180411441e-15,10
geneComp_00001867,C19orf48P,C19orf48P,Control,FRDA,3.0735481403367934e-12,11
geneComp_00003614,CTDNEP1,CTDNEP1,Control,FRDA,1.6405010419932387e-11,12
geneComp_00022135,QARS1,QARS1,Control,FRDA,1.9858266965575553e-10,13
geneComp_00014157,GAR1,GAR1,Control,FRDA,3.328286965755346e-10,14
geneComp_00013585,FANCM,FANCM,Control,FRDA,3.390391969220876e-8,15
geneComp_00004258,DNAJC2,DNAJC2,Control,FRDA,4.4803310170634854e-8,16
geneComp_00028931,ZNF655,ZNF655,Control,FRDA,6.355251648406707e-8,17
geneComp_00001110,ARSA,ARSA,Control,FRDA,1.69128731112365e-7,18
geneComp_00019196,MYH10,MYH10,Control,FRDA,2.747097009505776e-7,19
geneComp_00014787,GUCY1B1,GUCY1B1,Control,FRDA,5.79643102662313e-7,20
geneComp_00026341,TFG,TFG,Control,FRDA,1.2645460996890428e-6,21
geneComp_00021342,POGLUT1,POGLUT1,Control,FRDA,1.2655441246937346e-6,22
geneComp_00022564,RETREG3,RETREG3,Control,FRDA,4.832693146327866e-6,23
geneComp_00003842,DBR1,DBR1,Control,FRDA,1.047891689942796e-5,24
geneComp_00027620,UBXN4,UBXN4,Control,FRDA,1.618861962466242e-5,25
geneComp_00017924,LY9,LY9,Control,FRDA,2.0217434124202752e-5,26
geneComp_00028836,ZNF550,ZNF550,Control,FRDA,2.424219071409885e-5,27
geneComp_00016544,KLF13,KLF13,Control,FRDA,2.9009933057803082e-5,28
geneComp_00025946,SYNE1,SYNE1,Control,FRDA,2.9009933057803082e-5,29
geneComp_00026832,TMTC2,TMTC2,Control,FRDA,2.9009933057803082e-5,30
geneComp_00000510,AKAP13,AKAP13,Control,FRDA,3.650994784708371e-5,31
geneComp_00027411,TUBB6,TUBB6,Control,FRDA,5.01981853696473e-5,32
geneComp_00003343,COPG1,COPG1,Control,FRDA,6.86390243421818e-5,33
geneComp_00028747,ZNF43,ZNF43,Control,FRDA,7.036651206472017e-5,34
geneComp_00000135,ACAP2,ACAP2,Control,FRDA,1.0379182080289066e-4,35
geneComp_00004178,DMAP1,DMAP1,Control,FRDA,1.1913775117592152e-4,36
geneComp_00016923,LINC-PINT,LINC-PINT,Control,FRDA,1.3770953533145098e-4,37
geneComp_00022713,RIOK3,RIOK3,Control,FRDA,2.3055545995828757e-4,38
geneComp_00016857,LGALS9,LGALS9,Control,FRDA,2.990225790483752e-4,39
geneComp_00007621,ENSG00000271793.2,NA,Control,FRDA,3.182747827965261e-4,40
geneComp_00019544,NECAP1,NECAP1,Control,FRDA,3.345537393761057e-4,41
geneComp_00014980,HDAC10,HDAC10,Control,FRDA,4.184438683807003e-4,42
geneComp_00016715,L3MBTL4,L3MBTL4,Control,FRDA,4.463057400044914e-4,43
geneComp_00024562,SLC19A2,SLC19A2,Control,FRDA,4.527446237966296e-4,44
geneComp_00002162,CARMIL2,CARMIL2,Control,FRDA,5.168684000956018e-4,45
geneComp_00024126,SEC61A1,SEC61A1,Control,FRDA,6.068537608712416e-4,46
geneComp_00021663,PRDM15,PRDM15,Control,FRDA,7.190158001632122e-4,47
geneComp_00015379,HNRNPLL,HNRNPLL,Control,FRDA,7.239270941718911e-4,48
geneComp_00001144,ASCC2,ASCC2,Control,FRDA,9.651213891755079e-4,49
geneComp_00026188,TCEA1,TCEA1,Control,FRDA,0.0010550880764027403,50
geneComp_00016614,KMT2A,KMT2A,Control,FRDA,0.0012369829626274632,51
geneComp_00025562,SRM,SRM,Control,FRDA,0.001323808057481607,52
geneComp_00019389,NBEAL2,NBEAL2,Control,FRDA,0.0013540732574194706,53
geneComp_00000196,ACSS2,ACSS2,Control,FRDA,0.0014989904262170685,54
geneComp_00000747,ANO10,ANO10,Control,FRDA,0.0015497749574498426,55
geneComp_00014017,FTSJ3,FTSJ3,Control,FRDA,0.0015497749574498426,56
geneComp_00016399,KCTD13,KCTD13,Control,FRDA,0.0015497749574498426,57
geneComp_00025227,SNRNP40,SNRNP40,Control,FRDA,0.0015497749574498426,58
geneComp_00028255,YIF1A,YIF1A,Control,FRDA,0.0015497749574498426,59
geneComp_00013104,ENTPD6,ENTPD6,Control,FRDA,0.0015655696692662994,60
geneComp_00021366,POLL,POLL,Control,FRDA,0.0017326859453491567,61
geneComp_00027374,TTLL5,TTLL5,Control,FRDA,0.001959340159520475,62
geneComp_00000621,AMMECR1L,AMMECR1L,Control,FRDA,0.0019955331422697293,63
geneComp_00013502,FAM27E3,FAM27E3,Control,FRDA,0.0019955331422697293,64
geneComp_00028098,WDR75,WDR75,Control,FRDA,0.0020856838794134453,65
geneComp_00014393,GM2A,GM2A,Control,FRDA,0.0022331459076946596,66
geneComp_00028791,ZNF496,ZNF496,Control,FRDA,0.002514659957403328,67
geneComp_00025833,STXBP4,STXBP4,Control,FRDA,0.002570759612775815,68
geneComp_00019289,N6AMT1,N6AMT1,Control,FRDA,0.0026204269170710193,69
geneComp_00021635,PPP6R3,PPP6R3,Control,FRDA,0.0026204269170710193,70
geneComp_00001102,ARRB2,ARRB2,Control,FRDA,0.002779003269114399,71
geneComp_00007986,ENSG00000274265.6,NA,Control,FRDA,0.002779003269114399,72
geneComp_00017787,LRP6,LRP6,Control,FRDA,0.002926697497517779,73
geneComp_00004811,EIF5,EIF5,Control,FRDA,0.0035425119375844007,74
geneComp_00024657,SLC26A6,SLC26A6,Control,FRDA,0.003692951875346433,75
geneComp_00014559,GPR108,GPR108,Control,FRDA,0.003693077292927394,76
geneComp_00025919,SVIL-AS1,SVIL-AS1,Control,FRDA,0.003693077292927394,77
geneComp_00018275,MDP1,MDP1,Control,FRDA,0.003950173295908449,78
geneComp_00027564,UBE2Q2P1,UBE2Q2P1,Control,FRDA,0.004178366167045193,79
geneComp_00025543,SREBF1,SREBF1,Control,FRDA,0.004261772047332296,80
geneComp_00023822,RTTN,RTTN,Control,FRDA,0.004848070217387212,81
geneComp_00025726,STAT5B,STAT5B,Control,FRDA,0.005776944233241603,82
geneComp_00002897,CHCHD7,CHCHD7,Control,FRDA,0.0059053447034715795,83
geneComp_00014103,GALK2,GALK2,Control,FRDA,0.006272930479962612,84
geneComp_00004934,ENOSF1,ENOSF1,Control,FRDA,0.006986389201976526,85
geneComp_00027192,TRIP10,TRIP10,Control,FRDA,0.007845488469203486,86
geneComp_00021704,PRIM1,PRIM1,Control,FRDA,0.008067810448133518,87
geneComp_00001670,BOD1L1,BOD1L1,Control,FRDA,0.009381926464606167,88
geneComp_00014375,GLT1D1,GLT1D1,Control,FRDA,0.00940762993741118,89
geneComp_00002430,CCNQ,CCNQ,Control,FRDA,0.009752177084756364,90
geneComp_00004232,DNAJB1,DNAJB1,Control,FRDA,0.010544145777543944,91
geneComp_00002767,CEP164,CEP164,Control,FRDA,0.01083676527177752,92
geneComp_00018669,MKS1,MKS1,Control,FRDA,0.011688888520483814,93
geneComp_00027494,U2AF1,U2AF1,Control,FRDA,0.011743203349231188,94
geneComp_00026934,TOLLIP,TOLLIP,Control,FRDA,0.012256762228139437,95
geneComp_00020969,PHLDB3,PHLDB3,Control,FRDA,0.01259274889748861,96
geneComp_00022583,RFNG,RFNG,Control,FRDA,0.01317240850815843,97
geneComp_00022044,PTPN23,PTPN23,Control,FRDA,0.01321647151672166,98
geneComp_00022113,PXN-AS1,PXN-AS1,Control,FRDA,0.013324346931279067,99
geneComp_00020839,PEX5,PEX5,Control,FRDA,0.015228641159771194,100
