dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Erwin,HSPH1,HSPH1,4,codingPotential; domain_identified; IR; PTC,0.2068,1.4527225687749806e-80
Erwin,LCOR,LCOR,3,codingPotential; domain_identified; IR,0.49570000000000003,2.0028641474467982e-38
Erwin,IARS1,IARS1,2,codingPotential; domain_identified,0.132975,5.037054371430617e-27
Erwin,MAP3K7,MAP3K7,3,codingPotential; domain_identified; PTC,0.22525,6.036814384378737e-24
Erwin,IPO4,IPO4,3,codingPotential; domain_identified; PTC,0.183475,1.0220860959503822e-21
Erwin,CD59,CD59,3,codingPotential; domain_identified; signal_peptide_identified,0.1528,1.8521220472930042e-20
Erwin,ECE1,ECE1,2,codingPotential; domain_identified,0.181025,1.923997880303625e-20
Erwin,TPP1,TPP1,3,codingPotential; PTC; signal_peptide_identified,0.246075,7.068939318027779e-19
Erwin,TMEM94,TMEM94,2,codingPotential; IR,0.2651,1.1292413170598534e-18
Erwin,GNA12,GNA12,3,codingPotential; domain_identified; PTC,0.349325,3.054996180411441e-15
Erwin,C19orf48P,C19orf48P,1,codingPotential,0.380725,3.0735481403367934e-12
Erwin,CTDNEP1,CTDNEP1,3,codingPotential; domain_identified; PTC,0.22907499999999997,1.6405010419932387e-11
Erwin,QARS1,QARS1,2,codingPotential; domain_identified,0.130225,1.9858266965575553e-10
Erwin,GAR1,GAR1,2,codingPotential; domain_identified,0.70505,3.328286965755346e-10
Erwin,FANCM,FANCM,3,codingPotential; domain_identified; PTC,0.14295,3.390391969220876e-8
Erwin,DNAJC2,DNAJC2,3,codingPotential; domain_identified; IR,0.2429,4.4803310170634854e-8
Erwin,ZNF655,ZNF655,2,codingPotential; domain_identified,0.24712499999999998,6.355251648406707e-8
Erwin,ARSA,ARSA,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.56945,1.69128731112365e-7
Erwin,MYH10,MYH10,2,codingPotential; domain_identified,0.1377,2.747097009505776e-7
Erwin,GUCY1B1,GUCY1B1,2,codingPotential; domain_identified,0.58125,5.79643102662313e-7
Erwin,TFG,TFG,2,codingPotential; domain_identified,0.27125,1.2645460996890428e-6
Erwin,POGLUT1,POGLUT1,5,codingPotential; domain_identified; IR; PTC; signal_peptide_identified,0.2528,1.2655441246937346e-6
Erwin,RETREG3,RETREG3,3,codingPotential; domain_identified; PTC,0.480575,4.832693146327866e-6
Erwin,DBR1,DBR1,4,codingPotential; domain_identified; IR; PTC,0.351525,1.047891689942796e-5
Erwin,UBXN4,UBXN4,1,codingPotential,0.126425,1.618861962466242e-5
Erwin,LY9,LY9,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.46040000000000003,2.0217434124202752e-5
Erwin,ZNF550,ZNF550,4,codingPotential; domain_identified; IR; PTC,0.512275,2.424219071409885e-5
Erwin,KLF13,KLF13,3,codingPotential; domain_identified; IR,0.44765000000000005,2.9009933057803082e-5
Erwin,TMTC2,TMTC2,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.441025,2.9009933057803082e-5
Erwin,SYNE1,SYNE1,2,codingPotential; domain_identified,0.1808,2.9009933057803082e-5
Erwin,AKAP13,AKAP13,2,codingPotential; IR,0.313325,3.650994784708371e-5
Erwin,TUBB6,TUBB6,3,codingPotential; domain_identified; IR,0.146425,5.01981853696473e-5
Erwin,COPG1,COPG1,2,codingPotential; domain_identified,0.25039999999999996,6.86390243421818e-5
Erwin,ZNF43,ZNF43,2,codingPotential; domain_identified,0.3617,7.036651206472017e-5
Erwin,ACAP2,ACAP2,2,codingPotential; domain_identified,0.108075,1.0379182080289066e-4
Erwin,DMAP1,DMAP1,3,codingPotential; domain_identified; IR,0.20452499999999998,1.1913775117592152e-4
Erwin,LINC-PINT,LINC-PINT,1,IR,0.128075,1.3770953533145098e-4
Erwin,RIOK3,RIOK3,2,codingPotential; domain_identified,0.18857500000000005,2.3055545995828757e-4
Erwin,LGALS9,LGALS9,1,codingPotential,0.20070000000000002,2.990225790483752e-4
Erwin,ENSG00000271793.2,NA,4,codingPotential; domain_identified; IR; PTC,0.87185,3.182747827965261e-4
Erwin,NECAP1,NECAP1,4,codingPotential; domain_identified; IR; PTC,0.26125,3.345537393761057e-4
Erwin,HDAC10,HDAC10,3,codingPotential; domain_identified; IR,0.1296,4.184438683807003e-4
Erwin,L3MBTL4,L3MBTL4,2,codingPotential; domain_identified,0.82235,4.463057400044914e-4
Erwin,SLC19A2,SLC19A2,2,codingPotential; domain_identified,0.48775,4.527446237966296e-4
