"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"HSPH1","HSPH1","ENST00000602786","Control","FRDA",0.2068,0,-0.2068,1.45272256877498e-80,"Higher in Control"
"LCOR","LCOR","ENST00000674725","Control","FRDA",0,0.471275,0.471275,2.0028641474468e-38,"Higher in FRDA"
"LCOR","LCOR","ENST00000371103","Control","FRDA",0.4957,0,-0.4957,1.65439474953908e-34,"Higher in Control"
"IARS1","IARS1","ENST00000683469","Control","FRDA",0.132975,0,-0.132975,5.03705437143062e-27,"Higher in Control"
"MAP3K7","MAP3K7","ENST00000700580","Control","FRDA",0.197025,0,-0.197025,6.03681438437874e-24,"Higher in Control"
"IPO4","IPO4","ENST00000558046","Control","FRDA",0,0.183475,0.183475,1.02208609595038e-21,"Higher in FRDA"
"CD59","CD59","ENST00000395850","Control","FRDA",0,0.1528,0.1528,1.852122047293e-20,"Higher in FRDA"
"ECE1","ECE1","ENST00000357071","Control","FRDA",0,0.181025,0.181025,1.92399788030363e-20,"Higher in FRDA"
"TPP1","TPP1","ENST00000643439","Control","FRDA",0.246075,0,-0.246075,7.06893931802778e-19,"Higher in Control"
"TMEM94","TMEM94","ENST00000580918","Control","FRDA",0.2651,0,-0.2651,1.12924131705985e-18,"Higher in Control"
"TMEM94","TMEM94","ENST00000577247","Control","FRDA",0,0.20235,0.20235,8.12861176133177e-16,"Higher in FRDA"
"GNA12","GNA12","ENST00000491117","Control","FRDA",0.349325,0,-0.349325,3.05499618041144e-15,"Higher in Control"
"MAP3K7","MAP3K7","ENST00000703100","Control","FRDA",0,0.22525,0.22525,8.40042072934468e-13,"Higher in FRDA"
"C19orf48P","C19orf48P","ENST00000597705","Control","FRDA",0,0.380725,0.380725,3.07354814033679e-12,"Higher in FRDA"
"CTDNEP1","CTDNEP1","ENST00000575783","Control","FRDA",0.161,0,-0.161,1.64050104199324e-11,"Higher in Control"
"QARS1","QARS1","ENST00000635292","Control","FRDA",0.130225,0,-0.130225,1.98582669655756e-10,"Higher in Control"
"GAR1","GAR1","ENST00000394631","Control","FRDA",0.70485,0,-0.70485,3.32828696575535e-10,"Higher in Control"
"FANCM","FANCM","ENST00000696646","Control","FRDA",0.131675,0,-0.131675,3.39039196922088e-08,"Higher in Control"
"DNAJC2","DNAJC2","ENST00000379263","Control","FRDA",0.61705,0.37415,-0.2429,4.48033101706349e-08,"Higher in Control"
