gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00000737,ANKRD23,ANKRD23,Control,FRDA,2.3024929559548375e-18,1
geneComp_00019868,MYL2,MYL2,Control,FRDA,1.756133942694977e-17,2
geneComp_00023897,RPL13A,RPL13A,Control,FRDA,2.332846275655191e-16,3
geneComp_00014567,FXR1,FXR1,Control,FRDA,1.151779570974092e-13,4
geneComp_00022687,PTMA,PTMA,Control,FRDA,1.151779570974092e-13,5
geneComp_00024243,RPL35A,RPL35A,Control,FRDA,1.151779570974092e-13,6
geneComp_00021110,PABPC4,PABPC4,Control,FRDA,1.6714115426815893e-13,7
geneComp_00018661,MAP1LC3B,MAP1LC3B,Control,FRDA,6.444126766755713e-13,8
geneComp_00004526,DUSP13B,DUSP13B,Control,FRDA,1.1696958203380373e-12,9
geneComp_00004688,EEF1D,EEF1D,Control,FRDA,4.713221767153339e-11,10
geneComp_00024076,RPL23A,RPL23A,Control,FRDA,9.673951706649934e-11,11
geneComp_00024621,RPS27L,RPS27L,Control,FRDA,9.673951706649934e-11,12
geneComp_00004152,DHRS7,DHRS7,Control,FRDA,2.3613876887010104e-10,13
geneComp_00028697,UTP11,UTP11,Control,FRDA,2.112829675132175e-9,14
geneComp_00024135,RPL27A,RPL27A,Control,FRDA,3.7124431554596818e-9,15
geneComp_00026771,SUPT16H,SUPT16H,Control,FRDA,5.219683077935423e-9,16
geneComp_00022594,PSMD1,PSMD1,Control,FRDA,1.4823632899678175e-8,17
geneComp_00022600,PSMD2,PSMD2,Control,FRDA,2.4736016329203963e-8,18
geneComp_00020093,NCL,NCL,Control,FRDA,2.8716348054512773e-8,19
geneComp_00019916,MYOM2,MYOM2,Control,FRDA,1.0425524271438182e-7,20
geneComp_00025946,SMARCA2,SMARCA2,Control,FRDA,1.0530257612093055e-7,21
geneComp_00002094,CACNA2D1,CACNA2D1,Control,FRDA,1.8376569127951777e-7,22
geneComp_00017240,LIMA1,LIMA1,Control,FRDA,1.9490942489265352e-7,23
geneComp_00028267,TTN,TTN,Control,FRDA,2.221248034109002e-7,24
geneComp_00019761,MTPN,MTPN,Control,FRDA,4.558372183398728e-7,25
geneComp_00003176,CLK1,CLK1,Control,FRDA,7.625104078517617e-7,26
geneComp_00021462,PDHA1,PDHA1,Control,FRDA,8.317055905243302e-7,27
geneComp_00025923,SLU7,SLU7,Control,FRDA,8.357872964851206e-7,28
geneComp_00024670,RPS3A,RPS3A,Control,FRDA,1.8072271011962673e-6,29
geneComp_00025190,SELENOK,SELENOK,Control,FRDA,1.8072271011962673e-6,30
geneComp_00018487,LTBP1,LTBP1,Control,FRDA,1.982342389008762e-6,31
geneComp_00004558,DYNC1H1,DYNC1H1,Control,FRDA,2.1548719597220705e-6,32
geneComp_00014217,FCF1,FCF1,Control,FRDA,2.9858769839401516e-6,33
geneComp_00023187,RDX,RDX,Control,FRDA,3.383387785171843e-6,34
geneComp_00023365,RILPL1,RILPL1,Control,FRDA,3.3926312285626824e-6,35
geneComp_00023955,RPL18A,RPL18A,Control,FRDA,5.520836026725755e-6,36
geneComp_00023896,RPL13,RPL13,Control,FRDA,5.562281146660184e-6,37
geneComp_00025126,SDHA,SDHA,Control,FRDA,5.632020011412026e-6,38
geneComp_00028622,USP13,USP13,Control,FRDA,8.352590820236375e-6,39
geneComp_00003609,CS,CS,Control,FRDA,9.955704919770712e-6,40
geneComp_00004805,EIF3C,EIF3C,Control,FRDA,1.1275834638903431e-5,41
geneComp_00001278,ATP2A1,ATP2A1,Control,FRDA,1.2054713960050211e-5,42
geneComp_00019823,MYBPC1,MYBPC1,Control,FRDA,1.5240356978218038e-5,43
geneComp_00022886,RAB4A,RAB4A,Control,FRDA,1.6009107073681527e-5,44
geneComp_00029051,XIRP2,XIRP2,Control,FRDA,2.1701722542442223e-5,45
geneComp_00024598,RPS26,RPS26,Control,FRDA,2.4541293389948977e-5,46
geneComp_00019861,MYL1,MYL1,Control,FRDA,3.097805221524002e-5,47
geneComp_00013767,ETFDH,ETFDH,Control,FRDA,4.948352235592031e-5,48
geneComp_00024453,RPLP0,RPLP0,Control,FRDA,5.089055070671855e-5,49
geneComp_00020836,OIP5-AS1,OIP5-AS1,Control,FRDA,5.2156699853322206e-5,50
geneComp_00018831,MCM3AP,MCM3AP,Control,FRDA,5.2496553436721466e-5,51
geneComp_00018889,MED13L,MED13L,Control,FRDA,6.323355200105585e-5,52
geneComp_00029393,ZNF106,ZNF106,Control,FRDA,6.966060057172407e-5,53
geneComp_00025538,SKP1,SKP1,Control,FRDA,6.989466034999003e-5,54
geneComp_00026513,SSBP1,SSBP1,Control,FRDA,1.0099799476188937e-4,55
geneComp_00025235,SENP6,SENP6,Control,FRDA,1.0771544273786962e-4,56
geneComp_00015543,HDLBP,HDLBP,Control,FRDA,1.1873805574480382e-4,57
geneComp_00004005,DDX1,DDX1,Control,FRDA,1.2004181639804647e-4,58
geneComp_00020633,NSA2,NSA2,Control,FRDA,1.3192851972887757e-4,59
geneComp_00016443,IST1,IST1,Control,FRDA,1.4047178455416846e-4,60
geneComp_00001897,C19orf47,C19orf47,Control,FRDA,1.4347443966267393e-4,61
geneComp_00014540,FTL,FTL,Control,FRDA,1.4347443966267393e-4,62
geneComp_00001841,C11orf58,C11orf58,Control,FRDA,1.4372092318484838e-4,63
geneComp_00000131,ACADM,ACADM,Control,FRDA,1.44329169670605e-4,64
geneComp_00003693,CTDSPL,CTDSPL,Control,FRDA,2.1156750482950168e-4,65
geneComp_00003800,CYCS,CYCS,Control,FRDA,2.4352071880720627e-4,66
geneComp_00016494,ITM2B,ITM2B,Control,FRDA,2.831259640722829e-4,67
geneComp_00021667,PHKB,PHKB,Control,FRDA,2.9762775246041154e-4,68
geneComp_00023132,RBMX,RBMX,Control,FRDA,2.9762775246041154e-4,69
geneComp_00022216,PPM1K,PPM1K,Control,FRDA,3.2213480280247566e-4,70
geneComp_00024202,RPL32,RPL32,Control,FRDA,3.5265701805016215e-4,71
geneComp_00017106,LARS1,LARS1,Control,FRDA,3.8495170829893043e-4,72
geneComp_00023221,RERE,RERE,Control,FRDA,3.927140793681225e-4,73
geneComp_00016960,KPNA4,KPNA4,Control,FRDA,4.427401805349877e-4,74
geneComp_00024516,RPS15A,RPS15A,Control,FRDA,4.439911441377214e-4,75
geneComp_00020865,OPTN,OPTN,Control,FRDA,4.84047936456938e-4,76
geneComp_00024512,RPS14,RPS14,Control,FRDA,0.00049110954358495525,77
geneComp_00028143,TSC22D1,TSC22D1,Control,FRDA,4.9521231148023e-4,78
geneComp_00029915,ZNF830,ZNF830,Control,FRDA,4.99328738605538e-4,79
geneComp_00014553,FUNDC2,FUNDC2,Control,FRDA,5.730363954962038e-4,80
geneComp_00024442,RPL9,RPL9,Control,FRDA,6.471981404197992e-4,81
geneComp_00026845,SYNPO2,SYNPO2,Control,FRDA,6.561440165325862e-4,82
geneComp_00025967,SMC4,SMC4,Control,FRDA,6.753209951774701e-4,83
geneComp_00020161,NDUFB10,NDUFB10,Control,FRDA,6.832507123173085e-4,84
geneComp_00004809,EIF3F,EIF3F,Control,FRDA,6.908291574403582e-4,85
geneComp_00021143,PAIP1,PAIP1,Control,FRDA,6.908291574403582e-4,86
geneComp_00029277,ZDHHC4,ZDHHC4,Control,FRDA,6.908291574403582e-4,87
geneComp_00024638,RPS28,RPS28,Control,FRDA,7.014840770641608e-4,88
geneComp_00014358,FLII,FLII,Control,FRDA,7.798864064020825e-4,89
geneComp_00028546,UNC13B,UNC13B,Control,FRDA,8.071647972547304e-4,90
