dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Indelicato,ANKRD23,ANKRD23,3,codingPotential; domain_identified; IR,0.6962571428571428,2.3024929559548375e-18
Indelicato,MYL2,MYL2,2,codingPotential; domain_identified,0.55005,1.756133942694977e-17
Indelicato,RPL13A,RPL13A,2,codingPotential; PTC,0.47368333333333335,2.332846275655191e-16
Indelicato,PTMA,PTMA,2,codingPotential; domain_identified,0.7521809523809524,1.151779570974092e-13
Indelicato,RPL35A,RPL35A,2,codingPotential; domain_identified,0.5869952380952381,1.151779570974092e-13
Indelicato,FXR1,FXR1,3,codingPotential; domain_identified; IR,0.43219761904761905,1.151779570974092e-13
Indelicato,PABPC4,PABPC4,2,codingPotential; domain_identified,0.3364928571428572,1.6714115426815893e-13
Indelicato,MAP1LC3B,MAP1LC3B,3,codingPotential; domain_identified; PTC,0.7687333333333334,6.444126766755713e-13
Indelicato,DUSP13B,DUSP13B,2,codingPotential; domain_identified,0.6636666666666666,1.1696958203380373e-12
Indelicato,EEF1D,EEF1D,2,codingPotential; domain_identified,0.6685928571428572,4.713221767153339e-11
Indelicato,RPS27L,RPS27L,2,domain_identified; signal_peptide_identified,0.6086690476190476,9.673951706649934e-11
Indelicato,RPL23A,RPL23A,2,codingPotential; domain_identified,0.5974738095238096,9.673951706649934e-11
Indelicato,DHRS7,DHRS7,2,codingPotential; domain_identified,0.6888928571428572,2.3613876887010104e-10
Indelicato,UTP11,UTP11,2,codingPotential; domain_identified,0.7077595238095239,2.112829675132175e-9
Indelicato,RPL27A,RPL27A,2,codingPotential; domain_identified,0.6907404761904762,3.7124431554596818e-9
Indelicato,SUPT16H,SUPT16H,3,codingPotential; domain_identified; IR,0.7429642857142857,5.219683077935423e-9
Indelicato,PSMD1,PSMD1,1,codingPotential,0.6468214285714285,1.4823632899678175e-8
Indelicato,PSMD2,PSMD2,2,codingPotential; domain_identified,0.6164071428571428,2.4736016329203963e-8
Indelicato,NCL,NCL,2,codingPotential; domain_identified,0.7200785714285715,2.8716348054512773e-8
Indelicato,MYOM2,MYOM2,2,codingPotential; domain_identified,0.3998714285714286,1.0425524271438182e-7
Indelicato,SMARCA2,SMARCA2,3,codingPotential; domain_identified; signal_peptide_identified,0.32754285714285714,1.0530257612093055e-7
Indelicato,CACNA2D1,CACNA2D1,3,codingPotential; domain_identified; signal_peptide_identified,0.5613880952380953,1.8376569127951777e-7
Indelicato,LIMA1,LIMA1,2,codingPotential; domain_identified,0.45083571428571434,1.9490942489265352e-7
Indelicato,TTN,TTN,2,codingPotential; domain_identified,0.28232619047619045,2.221248034109002e-7
Indelicato,MTPN,MTPN,2,codingPotential; domain_identified,0.27648571428571433,4.558372183398728e-7
Indelicato,CLK1,CLK1,3,codingPotential; domain_identified; IR,0.70555,7.625104078517617e-7
Indelicato,PDHA1,PDHA1,3,codingPotential; domain_identified; PTC,0.46673333333333333,8.317055905243302e-7
Indelicato,SLU7,SLU7,2,codingPotential; domain_identified,0.6023571428571428,8.357872964851206e-7
Indelicato,SELENOK,SELENOK,2,domain_identified; PTC,0.7270214285714285,1.8072271011962673e-6
Indelicato,RPS3A,RPS3A,2,codingPotential; domain_identified,0.6720261904761904,1.8072271011962673e-6
Indelicato,LTBP1,LTBP1,3,codingPotential; domain_identified; signal_peptide_identified,0.7840571428571428,1.982342389008762e-6
Indelicato,DYNC1H1,DYNC1H1,3,codingPotential; domain_identified; IR,0.7472928571428571,2.1548719597220705e-6
Indelicato,FCF1,FCF1,3,codingPotential; domain_identified; PTC,0.8355333333333334,2.9858769839401516e-6
Indelicato,RDX,RDX,3,codingPotential; domain_identified; PTC,0.40280952380952384,3.383387785171843e-6
Indelicato,RILPL1,RILPL1,2,codingPotential; domain_identified,0.7610285714285714,3.3926312285626824e-6
Indelicato,RPL18A,RPL18A,3,codingPotential; domain_identified; IR,0.7693285714285715,5.520836026725755e-6
Indelicato,RPL13,RPL13,4,codingPotential; domain_identified; IR; PTC,0.5758666666666667,5.562281146660184e-6
Indelicato,SDHA,SDHA,2,codingPotential; domain_identified,0.7560261904761905,5.632020011412026e-6
Indelicato,USP13,USP13,2,codingPotential; domain_identified,0.36664285714285716,8.352590820236375e-6
Indelicato,CS,CS,4,codingPotential; domain_identified; IR; PTC,0.6722380952380953,9.955704919770712e-6
Indelicato,EIF3C,EIF3C,2,codingPotential; domain_identified,0.6594833333333333,1.1275834638903431e-5
Indelicato,ATP2A1,ATP2A1,2,codingPotential; domain_identified,0.813252380952381,1.2054713960050211e-5
Indelicato,MYBPC1,MYBPC1,2,codingPotential; domain_identified,0.5349809523809523,1.5240356978218038e-5
Indelicato,RAB4A,RAB4A,2,codingPotential; domain_identified,0.6953,1.6009107073681527e-5
Indelicato,XIRP2,XIRP2,2,codingPotential; domain_identified,0.48216666666666674,2.1701722542442223e-5
Indelicato,RPS26,RPS26,3,codingPotential; domain_identified; IR,0.6770785714285714,2.4541293389948977e-5
Indelicato,MYL1,MYL1,1,codingPotential,0.34098809523809526,3.097805221524002e-5
Indelicato,ETFDH,ETFDH,1,codingPotential,0.3704,4.948352235592031e-5
Indelicato,RPLP0,RPLP0,1,IR,0.13555238095238092,5.089055070671855e-5
Indelicato,MCM3AP,MCM3AP,2,codingPotential; domain_identified,0.16864523809523813,5.2496553436721466e-5
Indelicato,MED13L,MED13L,2,codingPotential; domain_identified,0.31097380952380954,6.323355200105585e-5
Indelicato,ZNF106,ZNF106,1,codingPotential,0.40525714285714287,6.966060057172407e-5
Indelicato,SKP1,SKP1,2,codingPotential; domain_identified,0.7687333333333333,6.989466034999003e-5
Indelicato,SSBP1,SSBP1,2,codingPotential; domain_identified,0.18570476190476193,1.0099799476188937e-4
Indelicato,SENP6,SENP6,2,codingPotential; domain_identified,0.30992380952380955,1.0771544273786962e-4
Indelicato,HDLBP,HDLBP,2,codingPotential; domain_identified,0.6576809523809524,1.1873805574480382e-4
Indelicato,DDX1,DDX1,3,codingPotential; domain_identified; PTC,0.47412380952380956,1.2004181639804647e-4
Indelicato,NSA2,NSA2,2,codingPotential; domain_identified,0.6934642857142856,1.3192851972887757e-4
Indelicato,IST1,IST1,2,codingPotential; domain_identified,0.6121595238095238,1.4047178455416846e-4
Indelicato,C19orf47,C19orf47,3,codingPotential; domain_identified; IR,0.6145928571428572,1.4347443966267393e-4
Indelicato,FTL,FTL,3,codingPotential; domain_identified; IR,0.39475476190476194,1.4347443966267393e-4
Indelicato,C11orf58,C11orf58,2,codingPotential; domain_identified,0.5535857142857143,1.4372092318484838e-4
Indelicato,ACADM,ACADM,3,codingPotential; domain_identified; PTC,0.6452642857142857,1.44329169670605e-4
Indelicato,CTDSPL,CTDSPL,3,codingPotential; domain_identified; IR,0.6796666666666668,2.1156750482950168e-4
Indelicato,CYCS,CYCS,2,codingPotential; domain_identified,0.32430000000000003,2.4352071880720627e-4
Indelicato,ITM2B,ITM2B,3,codingPotential; domain_identified; PTC,0.3928904761904761,2.831259640722829e-4
Indelicato,PHKB,PHKB,3,codingPotential; domain_identified; IR,0.4186666666666667,2.9762775246041154e-4
Indelicato,RBMX,RBMX,3,codingPotential; domain_identified; PTC,0.1515142857142857,2.9762775246041154e-4
Indelicato,PPM1K,PPM1K,2,codingPotential; domain_identified,0.6143142857142857,3.2213480280247566e-4
Indelicato,RPL32,RPL32,2,codingPotential; domain_identified,0.4449619047619047,3.5265701805016215e-4
Indelicato,LARS1,LARS1,2,codingPotential; domain_identified,0.5538285714285713,3.8495170829893043e-4
Indelicato,RERE,RERE,2,codingPotential; domain_identified,0.6853190476190476,3.927140793681225e-4
Indelicato,KPNA4,KPNA4,3,codingPotential; domain_identified; PTC,0.5377928571428572,4.427401805349877e-4
Indelicato,RPS15A,RPS15A,3,codingPotential; domain_identified; PTC,0.30511666666666665,4.439911441377214e-4
Indelicato,OPTN,OPTN,2,codingPotential; domain_identified,0.3895,4.84047936456938e-4
Indelicato,RPS14,RPS14,2,codingPotential; domain_identified,0.29687142857142856,0.00049110954358495525
Indelicato,TSC22D1,TSC22D1,2,codingPotential; domain_identified,0.28673095238095236,4.9521231148023e-4
Indelicato,ZNF830,ZNF830,4,codingPotential; domain_identified; IR; PTC,0.71665,4.99328738605538e-4
Indelicato,FUNDC2,FUNDC2,3,codingPotential; domain_identified; PTC,0.6030642857142857,5.730363954962038e-4
Indelicato,RPL9,RPL9,2,codingPotential; domain_identified,0.5102261904761904,6.471981404197992e-4
Indelicato,SYNPO2,SYNPO2,2,codingPotential; domain_identified,0.12800238095238092,6.561440165325862e-4
Indelicato,SMC4,SMC4,1,codingPotential,0.5098285714285714,6.753209951774701e-4
Indelicato,NDUFB10,NDUFB10,2,codingPotential; domain_identified,0.41400000000000003,6.832507123173085e-4
Indelicato,PAIP1,PAIP1,2,codingPotential; domain_identified,0.7323142857142857,6.908291574403582e-4
Indelicato,EIF3F,EIF3F,3,codingPotential; domain_identified; PTC,0.7086095238095239,6.908291574403582e-4
Indelicato,ZDHHC4,ZDHHC4,2,codingPotential; domain_identified,0.6206119047619048,6.908291574403582e-4
Indelicato,RPS28,RPS28,2,codingPotential; domain_identified,0.5592714285714286,7.014840770641608e-4
Indelicato,FLII,FLII,2,codingPotential; domain_identified,0.6466714285714286,7.798864064020825e-4
Indelicato,UNC13B,UNC13B,2,codingPotential; domain_identified,0.12172619047619049,8.071647972547304e-4
Indelicato,NEB,NEB,2,codingPotential; domain_identified,0.39253095238095237,8.656610478114124e-4
Indelicato,VPS13A,VPS13A,2,codingPotential; domain_identified,0.19803809523809524,9.417998120928575e-4
Indelicato,UBE2V1,UBE2V1,2,codingPotential; domain_identified,0.3967309523809524,9.472751042341304e-4
Indelicato,CSRP3,CSRP3,2,codingPotential; domain_identified,0.4100857142857143,9.58569827171693e-4
Indelicato,POLR2B,POLR2B,3,codingPotential; domain_identified; IR,0.7618166666666666,0.0012148147040263971
Indelicato,METTL17,METTL17,3,codingPotential; domain_identified; IR,0.3069880952380952,0.0012148147040263971
Indelicato,RTTN,RTTN,2,codingPotential; IR,0.5736333333333333,0.0012297793780287993
Indelicato,LMNA,LMNA,4,codingPotential; domain_identified; IR; PTC,0.3409476190476191,0.0012935593257972849
Indelicato,PPIE,PPIE,3,codingPotential; domain_identified; PTC,0.7176357142857144,0.00138763483551132
Indelicato,DAP3,DAP3,2,codingPotential; domain_identified,0.24789285714285714,0.0013894726978325189
Indelicato,ANAPC13,ANAPC13,2,codingPotential; domain_identified,0.1752166666666667,0.0013964600085535589
Indelicato,GATD3,GATD3,2,codingPotential; IR,0.7510333333333333,0.0014284888676579976
Indelicato,UQCRQ,UQCRQ,2,codingPotential; domain_identified,0.4900714285714286,0.0014284888676579976
Indelicato,RPLP2,RPLP2,2,codingPotential; domain_identified,0.14661190476190475,0.0014284888676579976
Indelicato,ACTB,ACTB,3,codingPotential; domain_identified; IR,0.53705,0.0014781391801914566
Indelicato,LAP3,LAP3,2,codingPotential; domain_identified,0.7995880952380953,0.001544916403407397
Indelicato,SMARCC2,SMARCC2,3,codingPotential; domain_identified; IR,0.6916071428571429,0.0015994870341946323
Indelicato,FAM120AOS,FAM120AOS,1,codingPotential,0.5121690476190477,0.0015994870341946323
