"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"ANKRD23","ANKRD23","ENST00000331001","Control","FRDA",0,0.696257142857143,0.696257142857143,2.30249295595484e-18,"Higher in FRDA"
"MYL2","MYL2","ENST00000713801","Control","FRDA",0.55005,0,-0.55005,1.75613394269498e-17,"Higher in Control"
"RPL13A","RPL13A","ENST00000477613","Control","FRDA",0.473683333333333,0,-0.473683333333333,2.33284627565519e-16,"Higher in Control"
"FXR1","FXR1","ENST00000465551","Control","FRDA",0,0.121914285714286,0.121914285714286,1.15177957097409e-13,"Higher in FRDA"
"PTMA","PTMA","ENST00000409321","Control","FRDA",0,0.684742857142857,0.684742857142857,1.15177957097409e-13,"Higher in FRDA"
"RPL35A","RPL35A","ENST00000448864","Control","FRDA",0.579366666666667,0,-0.579366666666667,1.15177957097409e-13,"Higher in Control"
"RPL35A","RPL35A","ENST00000647248","Control","FRDA",0.405233333333333,0.992228571428571,0.586995238095238,1.15177957097409e-13,"Higher in FRDA"
"PABPC4","PABPC4","ENST00000482028","Control","FRDA",0.70385,0.0012,-0.70265,1.67141154268159e-13,"Higher in Control"
"MAP1LC3B","MAP1LC3B","ENST00000268607","Control","FRDA",0.768733333333333,0,-0.768733333333333,6.44412676675571e-13,"Higher in Control"
"MAP1LC3B","MAP1LC3B","ENST00000564844","Control","FRDA",0.231266666666667,0.977228571428571,0.745961904761905,6.44412676675571e-13,"Higher in FRDA"
"DUSP13B","DUSP13B","ENST00000464872","Control","FRDA",0.663666666666667,0,-0.663666666666667,1.16969582033804e-12,"Higher in Control"
"DUSP13B","DUSP13B","ENST00000472493","Control","FRDA",0.336333333333333,0.999828571428571,0.663495238095238,1.16969582033804e-12,"Higher in FRDA"
"EEF1D","EEF1D","ENST00000532400","Control","FRDA",0.509866666666667,0.00714285714285714,-0.50272380952381,4.71322176715334e-11,"Higher in Control"
"RPL23A","RPL23A","ENST00000355731","Control","FRDA",0.597816666666667,0.000342857142857143,-0.59747380952381,9.67395170664993e-11,"Higher in Control"
"RPS27L","RPS27L","ENST00000439025","Control","FRDA",0,0.349785714285714,0.349785714285714,9.67395170664993e-11,"Higher in FRDA"
"DHRS7","DHRS7","ENST00000557137","Control","FRDA",0,0.679628571428571,0.679628571428571,2.36138768870101e-10,"Higher in FRDA"
"DHRS7","DHRS7","ENST00000557185","Control","FRDA",0.99645,0.307557142857143,-0.688892857142857,2.36138768870101e-10,"Higher in Control"
"UTP11","UTP11","ENST00000373014","Control","FRDA",0.980383333333333,0.273757142857143,-0.706626190476191,2.11282967513218e-09,"Higher in Control"
"UTP11","UTP11","ENST00000483182","Control","FRDA",0.0184833333333333,0.726242857142857,0.707759523809524,2.11282967513218e-09,"Higher in FRDA"
"PTMA","PTMA","ENST00000409115","Control","FRDA",0.964666666666667,0.212485714285714,-0.752180952380952,3.29644862344114e-09,"Higher in Control"
"RPL27A","RPL27A","ENST00000314138","Control","FRDA",0.236516666666667,0.927257142857143,0.690740476190476,3.71244315545968e-09,"Higher in FRDA"
"SUPT16H","SUPT16H","ENST00000557394","Control","FRDA",0.499033333333333,0,-0.499033333333333,5.21968307793542e-09,"Higher in Control"
"PSMD1","PSMD1","ENST00000491229","Control","FRDA",0.64835,0.00152857142857143,-0.646821428571429,1.48236328996782e-08,"Higher in Control"
"PSMD2","PSMD2","ENST00000310118","Control","FRDA",0.97925,0.362842857142857,-0.616407142857143,2.4736016329204e-08,"Higher in Control"
"PSMD2","PSMD2","ENST00000432855","Control","FRDA",0.02075,0.637157142857143,0.616407142857143,2.4736016329204e-08,"Higher in FRDA"
"NCL","NCL","ENST00000677703","Control","FRDA",0.73405,0.0139714285714286,-0.720078571428571,2.87163480545128e-08,"Higher in Control"
"EEF1D","EEF1D","ENST00000317198","Control","FRDA",0.26245,0.931042857142857,0.668592857142857,4.55206151610343e-08,"Higher in FRDA"
"MYOM2","MYOM2","ENST00000523438","Control","FRDA",0.0035,0.403371428571429,0.399871428571429,1.04255242714382e-07,"Higher in FRDA"
"SMARCA2","SMARCA2","ENST00000634772","Control","FRDA",0,0.196257142857143,0.196257142857143,1.05302576120931e-07,"Higher in FRDA"
"CACNA2D1","CACNA2D1","ENST00000492734","Control","FRDA",0,0.441885714285714,0.441885714285714,1.83765691279518e-07,"Higher in FRDA"
"LIMA1","LIMA1","ENST00000552491","Control","FRDA",0.96485,0.514014285714286,-0.450835714285714,1.94909424892654e-07,"Higher in Control"
"TTN","TTN","ENST00000460472","Control","FRDA",0.210516666666667,2.85714285714286e-05,-0.210488095238095,2.221248034109e-07,"Higher in Control"
"RPL27A","RPL27A","ENST00000526562","Control","FRDA",0.629766666666667,0.0257142857142857,-0.604052380952381,3.6441716676727e-07,"Higher in Control"
"MTPN","MTPN","ENST00000393085","Control","FRDA",1,0.723514285714286,-0.276485714285714,4.55837218339873e-07,"Higher in Control"
"MTPN","MTPN","ENST00000435723","Control","FRDA",0,0.276485714285714,0.276485714285714,4.56147826755307e-07,"Higher in FRDA"
"CLK1","CLK1","ENST00000464454","Control","FRDA",0.527233333333333,0,-0.527233333333333,7.62510407851762e-07,"Higher in Control"
"PDHA1","PDHA1","ENST00000379804","Control","FRDA",0.466733333333333,0,-0.466733333333333,8.3170559052433e-07,"Higher in Control"
