gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00017435,GPM6B,GPM6B,Control,FRDA,3.2352328516321034e-182,1
geneComp_00000556,AKAP12,AKAP12,Control,FRDA,1.928082749550344e-82,2
geneComp_00021381,ME2,ME2,Control,FRDA,2.3776129244543867e-50,3
geneComp_00003746,CRNDE,CRNDE,Control,FRDA,7.671971920875154e-49,4
geneComp_00002683,CD46,CD46,Control,FRDA,6.976748615149778e-39,5
geneComp_00000352,ADD3,ADD3,Control,FRDA,2.487526581297743e-37,6
geneComp_00021066,MAF1,MAF1,Control,FRDA,2.154010466938204e-35,7
geneComp_00023743,PCBP4,PCBP4,Control,FRDA,7.032813008501587e-34,8
geneComp_00017540,GRB2,GRB2,Control,FRDA,9.982311894497855e-34,9
geneComp_00023160,NTRK3,NTRK3,Control,FRDA,1.638368035199383e-32,10
geneComp_00027654,RPS6KC1,RPS6KC1,Control,FRDA,2.9069798243053956e-31,11
geneComp_00025311,PTPN23,PTPN23,Control,FRDA,2.9936594950166796e-30,12
geneComp_00021790,MMS19,MMS19,Control,FRDA,2.4169069048427336e-28,13
geneComp_00033430,ZNG1A,ZNG1A,Control,FRDA,8.282514935538603e-28,14
geneComp_00015836,EPB41L3,EPB41L3,Control,FRDA,2.5322745465305682e-27,15
geneComp_00016586,FIG4,FIG4,Control,FRDA,5.455932274795377e-27,16
geneComp_00032940,ZNF268,ZNF268,Control,FRDA,1.5685254373341952e-26,17
geneComp_00004894,EDNRB,EDNRB,Control,FRDA,1.5888555923974827e-26,18
geneComp_00026953,RPL10,RPL10,Control,FRDA,2.2651388053372654e-26,19
geneComp_00004140,DCLK1,DCLK1,Control,FRDA,2.603156220820911e-26,20
geneComp_00029484,SPARCL1,SPARCL1,Control,FRDA,4.2769684804983596e-26,21
geneComp_00021850,MPDZ,MPDZ,Control,FRDA,9.550376063574565e-25,22
geneComp_00017554,GRIA2,GRIA2,Control,FRDA,1.2200389971174714e-24,23
geneComp_00030669,TK2,TK2,Control,FRDA,5.3414535667158336e-24,24
geneComp_00029340,SNX14,SNX14,Control,FRDA,5.647477268670605e-24,25
geneComp_00018917,ITGA6,ITGA6,Control,FRDA,7.079759557387718e-24,26
geneComp_00021062,MADD,MADD,Control,FRDA,1.5537235982533814e-22,27
geneComp_00023096,NRXN2,NRXN2,Control,FRDA,2.23274926407817e-22,28
geneComp_00000986,ARFRP1,ARFRP1,Control,FRDA,3.145013898226464e-22,29
geneComp_00020798,LPIN1,LPIN1,Control,FRDA,1.3182536145512755e-21,30
geneComp_00016635,FLNA,FLNA,Control,FRDA,2.0346743335440523e-21,31
geneComp_00023362,OPRK1,OPRK1,Control,FRDA,2.371102255005401e-21,32
geneComp_00029863,STK25,STK25,Control,FRDA,2.371102255005401e-21,33
geneComp_00003584,COPZ1,COPZ1,Control,FRDA,3.428055168677487e-21,34
geneComp_00016513,FEZ2,FEZ2,Control,FRDA,1.1947456864211485e-20,35
geneComp_00030255,TBC1D22A,TBC1D22A,Control,FRDA,3.163919770640419e-20,36
geneComp_00019329,KLC4,KLC4,Control,FRDA,1.1128097867718357e-19,37
geneComp_00024525,PMS2,PMS2,Control,FRDA,1.1196627006204596e-19,38
geneComp_00003518,COL4A1,COL4A1,Control,FRDA,2.319288532544181e-19,39
geneComp_00032821,ZMYM1,ZMYM1,Control,FRDA,5.684912585396947e-19,40
geneComp_00019067,KBTBD4,KBTBD4,Control,FRDA,5.838293177511654e-18,41
geneComp_00032286,WASHC2A,WASHC2A,Control,FRDA,5.887001120829491e-18,42
geneComp_00019348,KLF7,KLF7,Control,FRDA,1.2664600039104217e-17,43
geneComp_00016363,FARP1,FARP1,Control,FRDA,1.4132735071753853e-17,44
geneComp_00033431,ZNG1B,ZNG1B,Control,FRDA,6.702457079482315e-17,45
geneComp_00018596,IGF1R,IGF1R,Control,FRDA,2.686761281458965e-16,46
geneComp_00025519,RABGAP1L,RABGAP1L,Control,FRDA,5.326724363863117e-16,47
geneComp_00001113,ARL6IP4,ARL6IP4,Control,FRDA,1.3899444993500899e-15,48
geneComp_00016609,FKBP2,FKBP2,Control,FRDA,1.5766057078983384e-15,49
geneComp_00022649,NEK6,NEK6,Control,FRDA,1.9761088818397403e-15,50
geneComp_00020855,LRRC20,LRRC20,Control,FRDA,2.564621687911058e-15,51
geneComp_00028979,SMARCAL1,SMARCAL1,Control,FRDA,3.0584481964738396e-15,52
geneComp_00028809,SLC3A2,SLC3A2,Control,FRDA,3.8479212797471e-15,53
geneComp_00004378,DHX9,DHX9,Control,FRDA,8.40854907609111e-15,54
geneComp_00000865,AP1S2,AP1S2,Control,FRDA,1.1723420793558333e-14,55
geneComp_00021193,MAP6,MAP6,Control,FRDA,1.1723420793558333e-14,56
geneComp_00001225,ASH2L,ASH2L,Control,FRDA,1.4934184995198245e-14,57
geneComp_00004657,DPPA4,DPPA4,Control,FRDA,1.8179391409405952e-14,58
geneComp_00000808,ANKS1A,ANKS1A,Control,FRDA,2.3769263075994274e-14,59
geneComp_00020729,LMNA,LMNA,Control,FRDA,2.4739493878503698e-14,60
geneComp_00025481,RAB3GAP1,RAB3GAP1,Control,FRDA,2.7189068857864685e-14,61
geneComp_00027646,RPS6KA2,RPS6KA2,Control,FRDA,4.130237102212695e-14,62
geneComp_00017145,GGCX,GGCX,Control,FRDA,5.0747639858447374e-14,63
geneComp_00019505,KSR1,KSR1,Control,FRDA,5.3906815532367736e-14,64
geneComp_00004588,DNMT3A,DNMT3A,Control,FRDA,6.494003012980157e-14,65
geneComp_00003596,COQ8B,COQ8B,Control,FRDA,9.67912927383642e-14,66
geneComp_00021161,MAP2K6,MAP2K6,Control,FRDA,1.5367236532985047e-13,67
geneComp_00029617,SPTBN2,SPTBN2,Control,FRDA,1.8987777090437027e-13,68
geneComp_00018694,IL6ST,IL6ST,Control,FRDA,2.876148242189444e-13,69
geneComp_00003140,CHN1,CHN1,Control,FRDA,3.5788580731390447e-13,70
geneComp_00019583,LARS2,LARS2,Control,FRDA,3.5788580731390447e-13,71
geneComp_00022522,NCOA6,NCOA6,Control,FRDA,5.107973694197289e-13,72
geneComp_00025764,RBMXL1,RBMXL1,Control,FRDA,5.107973694197289e-13,73
geneComp_00026932,RPA2,RPA2,Control,FRDA,5.107973694197289e-13,74
