dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lai_CNS,GPM6B,GPM6B,1,IR,0.10930000000000006,3.2352328516321034e-182
Lai_CNS,AKAP12,AKAP12,2,codingPotential; domain_identified,0.18133333333333332,1.928082749550344e-82
Lai_CNS,ME2,ME2,3,codingPotential; domain_identified; PTC,0.31506666666666666,2.3776129244543867e-50
Lai_CNS,CD46,CD46,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.29936666666666667,6.976748615149778e-39
Lai_CNS,ADD3,ADD3,2,codingPotential; domain_identified,0.17756666666666665,2.487526581297743e-37
Lai_CNS,MAF1,MAF1,2,codingPotential; domain_identified,0.4475,2.154010466938204e-35
Lai_CNS,GRB2,GRB2,2,IR; PTC,0.13169999999999998,9.982311894497855e-34
Lai_CNS,PTPN23,PTPN23,3,codingPotential; domain_identified; PTC,0.2840666666666667,2.9936594950166796e-30
Lai_CNS,MMS19,MMS19,2,codingPotential; domain_identified,0.3777,2.4169069048427336e-28
Lai_CNS,EPB41L3,EPB41L3,2,codingPotential; domain_identified,0.12466666666666665,2.5322745465305682e-27
Lai_CNS,EDNRB,EDNRB,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.3367,1.5888555923974827e-26
Lai_CNS,RPL10,RPL10,2,codingPotential; domain_identified,0.21460000000000004,2.2651388053372654e-26
Lai_CNS,GRIA2,GRIA2,5,codingPotential; domain_identified; IR; PTC; signal_peptide_identified,0.22866666666666666,1.2200389971174714e-24
Lai_CNS,TK2,TK2,1,IR,0.3725,5.3414535667158336e-24
Lai_CNS,SNX14,SNX14,3,codingPotential; domain_identified; IR,0.20120000000000005,5.647477268670605e-24
Lai_CNS,NRXN2,NRXN2,3,codingPotential; domain_identified; signal_peptide_identified,0.1971,2.23274926407817e-22
Lai_CNS,ARFRP1,ARFRP1,3,codingPotential; domain_identified; PTC,0.4982,3.145013898226464e-22
Lai_CNS,FLNA,FLNA,2,codingPotential; domain_identified,0.2362333333333333,2.0346743335440523e-21
Lai_CNS,OPRK1,OPRK1,2,codingPotential; domain_identified,0.6827666666666666,2.371102255005401e-21
Lai_CNS,STK25,STK25,3,codingPotential; domain_identified; IR,0.14746666666666666,2.371102255005401e-21
Lai_CNS,COPZ1,COPZ1,2,codingPotential; domain_identified,0.15773333333333334,3.428055168677487e-21
Lai_CNS,TBC1D22A,TBC1D22A,3,codingPotential; domain_identified; PTC,0.4612333333333334,3.163919770640419e-20
Lai_CNS,PMS2,PMS2,1,PTC,0.18596666666666667,1.1196627006204596e-19
Lai_CNS,ZMYM1,ZMYM1,2,codingPotential; domain_identified,0.2895333333333333,5.684912585396947e-19
Lai_CNS,WASHC2A,WASHC2A,2,codingPotential; domain_identified,0.6963,5.887001120829491e-18
Lai_CNS,KLF7,KLF7,1,IR,0.1827333333333333,1.2664600039104217e-17
Lai_CNS,FARP1,FARP1,3,codingPotential; domain_identified; IR,0.15810000000000002,1.4132735071753853e-17
Lai_CNS,ZNG1B,ZNG1B,1,PTC,0.20783333333333334,6.702457079482315e-17
Lai_CNS,IGF1R,IGF1R,1,IR,0.31610000000000005,2.686761281458965e-16
Lai_CNS,FKBP2,FKBP2,3,codingPotential; domain_identified; signal_peptide_identified,0.5396,1.5766057078983384e-15
Lai_CNS,NEK6,NEK6,2,codingPotential; domain_identified,0.3915,1.9761088818397403e-15
Lai_CNS,SMARCAL1,SMARCAL1,1,PTC,0.13483333333333333,3.0584481964738396e-15
Lai_CNS,SLC3A2,SLC3A2,3,codingPotential; domain_identified; IR,0.10596666666666667,3.8479212797471e-15
Lai_CNS,AP1S2,AP1S2,2,codingPotential; domain_identified,0.1625333333333333,1.1723420793558333e-14
Lai_CNS,ASH2L,ASH2L,3,codingPotential; domain_identified; PTC,0.30823333333333336,1.4934184995198245e-14
Lai_CNS,LMNA,LMNA,3,codingPotential; domain_identified; IR,0.2811666666666667,2.4739493878503698e-14
Lai_CNS,KSR1,KSR1,2,codingPotential; domain_identified,0.26926666666666665,5.3906815532367736e-14
Lai_CNS,DNMT3A,DNMT3A,3,codingPotential; domain_identified; PTC,0.1378,6.494003012980157e-14
Lai_CNS,MAP2K6,MAP2K6,1,PTC,0.178,1.5367236532985047e-13
Lai_CNS,SPTBN2,SPTBN2,1,IR,0.15993333333333334,1.8987777090437027e-13
Lai_CNS,IL6ST,IL6ST,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.24983333333333335,2.876148242189444e-13
Lai_CNS,CHN1,CHN1,2,codingPotential; domain_identified,0.1278,3.5788580731390447e-13
Lai_CNS,RBMXL1,RBMXL1,2,codingPotential; domain_identified,0.6438333333333334,5.107973694197289e-13
Lai_CNS,RPA2,RPA2,1,IR,0.28690000000000004,5.107973694197289e-13
Lai_CNS,NCOA6,NCOA6,2,codingPotential; domain_identified,0.1212,5.107973694197289e-13
Lai_CNS,TBL3,TBL3,2,IR; PTC,0.24860000000000004,5.748108684130928e-13
Lai_CNS,HSPBP1,HSPBP1,2,codingPotential; domain_identified,0.3732,1.1709106060541784e-12
Lai_CNS,CERS5,CERS5,1,codingPotential,0.125,2.2268821489787328e-12
Lai_CNS,MSRA,MSRA,2,codingPotential; domain_identified,0.6054999999999999,3.6498338627125545e-12
Lai_CNS,TMEM63B,TMEM63B,2,codingPotential; domain_identified,0.12723333333333334,7.953820364945043e-12
Lai_CNS,SCN1A,SCN1A,4,codingPotential; domain_identified; IR; PTC,0.14893333333333333,9.0270279190846e-12
Lai_CNS,CEP68,CEP68,1,IR,0.16920000000000002,1.1742728099350729e-11
Lai_CNS,TGIF2,TGIF2,3,codingPotential; domain_identified; IR,0.34596666666666664,1.624257991674415e-11
