"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"AKAP12","AKAP12","ENST00000253332","Control","FRDA",0,0.181333333333333,0.181333333333333,1.92808274955034e-82,"Higher in FRDA"
"ME2","ME2","ENST00000640967","Control","FRDA",0,0.315066666666667,0.315066666666667,2.37761292445439e-50,"Higher in FRDA"
"CRNDE","CRNDE","ENST00000750693","Control","FRDA",0.285866666666667,0,-0.285866666666667,7.67197192087515e-49,"Higher in Control"
"CRNDE","CRNDE","ENST00000750676","Control","FRDA",0,0.2501,0.2501,3.55733787297811e-43,"Higher in FRDA"
"CD46","CD46","ENST00000357714","Control","FRDA",0.299366666666667,0,-0.299366666666667,6.97674861514978e-39,"Higher in Control"
"ADD3","ADD3","ENST00000356080","Control","FRDA",0.305966666666667,0.1284,-0.177566666666667,2.48752658129774e-37,"Higher in Control"
"MAF1","MAF1","ENST00000322428","Control","FRDA",0.4475,0,-0.4475,2.1540104669382e-35,"Higher in Control"
"PCBP4","PCBP4","ENST00000322099","Control","FRDA",0.376533333333333,0,-0.376533333333333,7.03281300850159e-34,"Higher in Control"
"GRB2","GRB2","ENST00000648046","Control","FRDA",0.1317,0,-0.1317,9.98231189449785e-34,"Higher in Control"
"NTRK3","NTRK3","ENST00000629765","Control","FRDA",0,0.110633333333333,0.110633333333333,1.63836803519938e-32,"Higher in FRDA"
"RPS6KC1","RPS6KC1","ENST00000366960","Control","FRDA",0,0.1206,0.1206,2.9069798243054e-31,"Higher in FRDA"
"PTPN23","PTPN23","ENST00000265562","Control","FRDA",0.284066666666667,0,-0.284066666666667,2.99365949501668e-30,"Higher in Control"
"MMS19","MMS19","ENST00000438925","Control","FRDA",0.3777,0,-0.3777,2.41690690484273e-28,"Higher in Control"
"ZNG1A","ZNG1A","ENST00000314367","Control","FRDA",0,0.306866666666667,0.306866666666667,8.2825149355386e-28,"Higher in FRDA"
"EPB41L3","EPB41L3","ENST00000545076","Control","FRDA",0,0.112933333333333,0.112933333333333,2.53227454653057e-27,"Higher in FRDA"
"FIG4","FIG4","ENST00000675726","Control","FRDA",0,0.342333333333333,0.342333333333333,5.45593227479538e-27,"Higher in FRDA"
"ZNF268","ZNF268","ENST00000536899","Control","FRDA",0.224,0,-0.224,1.5685254373342e-26,"Higher in Control"
"EDNRB","EDNRB","ENST00000646607","Control","FRDA",0.391133333333333,0.727833333333333,0.3367,1.58885559239748e-26,"Higher in FRDA"
"RPL10","RPL10","ENST00000436473","Control","FRDA",0.6652,0.453,-0.2122,2.26513880533727e-26,"Higher in Control"
"SPARCL1","SPARCL1","ENST00000503414","Control","FRDA",0,0.1979,0.1979,4.27696848049836e-26,"Higher in FRDA"
"PTPN23","PTPN23","ENST00000602307","Control","FRDA",0,0.243866666666667,0.243866666666667,5.45650206519931e-26,"Higher in FRDA"
"MPDZ","MPDZ","ENST00000545857","Control","FRDA",0,0.117766666666667,0.117766666666667,9.55037606357457e-25,"Higher in FRDA"
"GRIA2","GRIA2","ENST00000264426","Control","FRDA",0,0.228666666666667,0.228666666666667,1.22003899711747e-24,"Higher in FRDA"
"TK2","TK2","ENST00000451102","Control","FRDA",0,0.147066666666667,0.147066666666667,5.34145356671583e-24,"Higher in FRDA"
"SNX14","SNX14","ENST00000346348","Control","FRDA",0.116733333333333,0,-0.116733333333333,5.64747726867061e-24,"Higher in Control"
"ITGA6","ITGA6","ENST00000409532","Control","FRDA",0,0.169566666666667,0.169566666666667,7.07975955738772e-24,"Higher in FRDA"
"MADD","MADD","ENST00000402799","Control","FRDA",0,0.247633333333333,0.247633333333333,1.55372359825338e-22,"Higher in FRDA"
"NRXN2","NRXN2","ENST00000409571","Control","FRDA",0,0.1971,0.1971,2.23274926407817e-22,"Higher in FRDA"
"ARFRP1","ARFRP1","ENST00000618838","Control","FRDA",0,0.4982,0.4982,3.14501389822646e-22,"Higher in FRDA"
"LPIN1","LPIN1","ENST00000674199","Control","FRDA",0,0.255666666666667,0.255666666666667,1.31825361455128e-21,"Higher in FRDA"
"FLNA","FLNA","ENST00000360319","Control","FRDA",0.610133333333333,0.3739,-0.236233333333333,2.03467433354405e-21,"Higher in Control"
"OPRK1","OPRK1","ENST00000265572","Control","FRDA",0.682766666666667,0,-0.682766666666667,2.3711022550054e-21,"Higher in Control"
"STK25","STK25","ENST00000403346","Control","FRDA",0,0.147466666666667,0.147466666666667,2.3711022550054e-21,"Higher in FRDA"
"GPM6B","GPM6B","ENST00000454189","Control","FRDA",0.543533333333333,0.652833333333333,0.1093,2.39366195894958e-21,"Higher in FRDA"
"COPZ1","COPZ1","ENST00000549116","Control","FRDA",0.157733333333333,0,-0.157733333333333,3.42805516867749e-21,"Higher in Control"
"FEZ2","FEZ2","ENST00000464964","Control","FRDA",0.167,0,-0.167,1.19474568642115e-20,"Higher in Control"
"RPL10","RPL10","ENST00000406022","Control","FRDA",0.123833333333333,0.338433333333333,0.2146,2.02257652480518e-20,"Higher in FRDA"
"TBC1D22A","TBC1D22A","ENST00000380995","Control","FRDA",0,0.266333333333333,0.266333333333333,3.16391977064042e-20,"Higher in FRDA"
"KLC4","KLC4","ENST00000453940","Control","FRDA",0,0.216166666666667,0.216166666666667,1.11280978677184e-19,"Higher in FRDA"
"PMS2","PMS2","ENST00000699838","Control","FRDA",0,0.185966666666667,0.185966666666667,1.11966270062046e-19,"Higher in FRDA"
"MAF1","MAF1","ENST00000715465","Control","FRDA",0.179666666666667,0.6055,0.425833333333333,1.27145630417828e-19,"Higher in FRDA"
"COL4A1","COL4A1","ENST00000649738","Control","FRDA",0,0.112833333333333,0.112833333333333,2.31928853254418e-19,"Higher in FRDA"
"EDNRB","EDNRB","ENST00000645696","Control","FRDA",0.500066666666667,0.181866666666667,-0.3182,2.3380899455728e-19,"Higher in Control"
"ZMYM1","ZMYM1","ENST00000373329","Control","FRDA",0.278666666666667,0,-0.278666666666667,5.68491258539695e-19,"Higher in Control"
"COPZ1","COPZ1","ENST00000455864","Control","FRDA",0,0.151766666666667,0.151766666666667,1.93870267426416e-18,"Higher in FRDA"
"KBTBD4","KBTBD4","ENST00000395288","Control","FRDA",0.620666666666667,0,-0.620666666666667,5.83829317751165e-18,"Higher in Control"
"WASHC2A","WASHC2A","ENST00000282633","Control","FRDA",0,0.6963,0.6963,5.88700112082949e-18,"Higher in FRDA"
"KLF7","KLF7","ENST00000421199","Control","FRDA",0,0.295033333333333,0.295033333333333,1.26646000391042e-17,"Higher in FRDA"
"FARP1","FARP1","ENST00000596580","Control","FRDA",0.232966666666667,0.101933333333333,-0.131033333333333,1.41327350717539e-17,"Higher in Control"
"ZNG1B","ZNG1B","ENST00000358604","Control","FRDA",0.207833333333333,0,-0.207833333333333,6.70245707948231e-17,"Higher in Control"
"IGF1R","IGF1R","ENST00000650285","Control","FRDA",0.233566666666667,0.549666666666667,0.3161,2.68676128145896e-16,"Higher in FRDA"
"RABGAP1L","RABGAP1L","ENST00000457696","Control","FRDA",0,0.158433333333333,0.158433333333333,5.32672436386312e-16,"Higher in FRDA"
"TBC1D22A","TBC1D22A","ENST00000337137","Control","FRDA",0.2477,0,-0.2477,7.20565128869674e-16,"Higher in Control"
"ARL6IP4","ARL6IP4","ENST00000439686","Control","FRDA",0,0.231766666666667,0.231766666666667,1.38994449935009e-15,"Higher in FRDA"
"FKBP2","FKBP2","ENST00000652094","Control","FRDA",0,0.4721,0.4721,1.57660570789834e-15,"Higher in FRDA"
"NEK6","NEK6","ENST00000539416","Control","FRDA",0.3915,0,-0.3915,1.97610888183974e-15,"Higher in Control"
"LRRC20","LRRC20","ENST00000373224","Control","FRDA",0.746833333333333,0,-0.746833333333333,2.56462168791106e-15,"Higher in Control"
"SMARCAL1","SMARCAL1","ENST00000697899","Control","FRDA",0.299666666666667,0,-0.299666666666667,3.05844819647384e-15,"Higher in Control"
"SLC3A2","SLC3A2","ENST00000338663","Control","FRDA",0,0.105966666666667,0.105966666666667,3.8479212797471e-15,"Higher in FRDA"
"AP1S2","AP1S2","ENST00000329235","Control","FRDA",0.4354,0.597933333333333,0.162533333333333,1.17234207935583e-14,"Higher in FRDA"
"MAP6","MAP6","ENST00000526740","Control","FRDA",0.188533333333333,0.3987,0.210166666666667,1.17234207935583e-14,"Higher in FRDA"
"ASH2L","ASH2L","ENST00000517496","Control","FRDA",0.308233333333333,0,-0.308233333333333,1.49341849951982e-14,"Higher in Control"
"DPPA4","DPPA4","ENST00000463966","Control","FRDA",0,0.116833333333333,0.116833333333333,1.8179391409406e-14,"Higher in FRDA"
"LMNA","LMNA","ENST00000677389","Control","FRDA",0,0.281166666666667,0.281166666666667,2.47394938785037e-14,"Higher in FRDA"
"RAB3GAP1","RAB3GAP1","ENST00000487003","Control","FRDA",0,0.102933333333333,0.102933333333333,2.71890688578647e-14,"Higher in FRDA"
"RPS6KA2","RPS6KA2","ENST00000481261","Control","FRDA",0.132833333333333,0,-0.132833333333333,4.13023710221269e-14,"Higher in Control"
"GGCX","GGCX","ENST00000693287","Control","FRDA",0,0.116433333333333,0.116433333333333,5.07476398584474e-14,"Higher in FRDA"
"KSR1","KSR1","ENST00000582410","Control","FRDA",0.269266666666667,0,-0.269266666666667,5.39068155323677e-14,"Higher in Control"
"OPRK1","OPRK1","ENST00000673285","Control","FRDA",0.3087,0.970566666666667,0.661866666666667,5.87814178258461e-14,"Higher in FRDA"
"DNMT3A","DNMT3A","ENST00000683393","Control","FRDA",0.1378,0,-0.1378,6.49400301298016e-14,"Higher in Control"
"ADD3","ADD3","ENST00000277900","Control","FRDA",0.1417,0.243766666666667,0.102066666666667,7.64592660069554e-14,"Higher in FRDA"
"COQ8B","COQ8B","ENST00000678404","Control","FRDA",0,0.1816,0.1816,9.67912927383642e-14,"Higher in FRDA"
"MAP2K6","MAP2K6","ENST00000359094","Control","FRDA",0,0.178,0.178,1.5367236532985e-13,"Higher in FRDA"
