gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00031218,NIN,NIN,Control,FRDA,1.6704691995275725e-192,1
geneComp_00026150,INPP5F,INPP5F,Control,FRDA,5.27101074690381e-140,2
geneComp_00025666,HSPA1A,HSPA1A,Control,FRDA,1.748721816209275e-120,3
geneComp_00003503,CERS5,CERS5,Control,FRDA,6.616238429950911e-116,4
geneComp_00005126,DGCR8,DGCR8,Control,FRDA,4.3662670043826044e-91,5
geneComp_00004608,CTNND2,CTNND2,Control,FRDA,1.2956910321470005e-76,6
geneComp_00039133,STAT2,STAT2,Control,FRDA,5.063105118892066e-73,7
geneComp_00032268,PACSIN2,PACSIN2,Control,FRDA,2.4732526786276875e-63,8
geneComp_00004964,DDHD1,DDHD1,Control,FRDA,1.4363923975171402e-54,9
geneComp_00030870,NBPF14,NBPF14,Control,FRDA,9.129528588461461e-53,10
geneComp_00030666,MYLK,MYLK,Control,FRDA,2.7837095682036267e-47,11
geneComp_00003965,CLU,CLU,Control,FRDA,3.7012599066097226e-47,12
geneComp_00028948,LRRC57,LRRC57,Control,FRDA,3.401260089441524e-44,13
geneComp_00033213,PLEKHA7,PLEKHA7,Control,FRDA,1.1900405503403665e-43,14
geneComp_00029596,MEST,MEST,Control,FRDA,4.970099194284113e-40,15
geneComp_00038072,SLC8A1,SLC8A1,Control,FRDA,5.648438090908642e-39,16
geneComp_00040620,TOM1L1,TOM1L1,Control,FRDA,1.7520576780742785e-38,17
geneComp_00031819,OCLN,OCLN,Control,FRDA,1.8199288401822346e-37,18
geneComp_00005507,DPP6,DPP6,Control,FRDA,3.0254426370209923e-37,19
geneComp_00036817,RTN4,RTN4,Control,FRDA,3.3680647705499195e-36,20
geneComp_00028702,LINC03105,LINC03105,Control,FRDA,1.1735737791877664e-35,21
geneComp_00029029,LTA4H,LTA4H,Control,FRDA,2.8619325803352974e-35,22
geneComp_00036732,RRBP1,RRBP1,Control,FRDA,1.9909903703537867e-32,23
geneComp_00037981,SLC44A2,SLC44A2,Control,FRDA,3.97690824657972e-31,24
geneComp_00032169,OTUD7A,OTUD7A,Control,FRDA,2.246842980406653e-30,25
geneComp_00001138,ARAP1,ARAP1,Control,FRDA,1.8431258625407116e-29,26
geneComp_00031450,NPIPB5,NPIPB5,Control,FRDA,4.0244010738638456e-29,27
geneComp_00004116,COL12A1,COL12A1,Control,FRDA,6.487170221036316e-29,28
geneComp_00035979,RPL23AP7,RPL23AP7,Control,FRDA,8.488240526476318e-28,29
geneComp_00000202,ACOT9,ACOT9,Control,FRDA,5.518899148863565e-27,30
geneComp_00036718,RPUSD1,RPUSD1,Control,FRDA,1.8477726269000833e-26,31
geneComp_00003838,CLASP1,CLASP1,Control,FRDA,5.223119222783391e-26,32
geneComp_00042765,ZNF382,ZNF382,Control,FRDA,1.0113343476285931e-25,33
geneComp_00031051,NECTIN2,NECTIN2,Control,FRDA,1.14396701404704e-25,34
geneComp_00004656,CUL9,CUL9,Control,FRDA,1.3899897175797851e-24,35
geneComp_00031600,NRXN3,NRXN3,Control,FRDA,2.4099498775866745e-24,36
geneComp_00023946,GARS1-DT,GARS1-DT,Control,FRDA,4.540111063885671e-24,37
geneComp_00006422,ENSG00000213963.7,NA,Control,FRDA,1.3221686576902048e-23,38
geneComp_00032626,PDE10A,PDE10A,Control,FRDA,8.971487227923685e-23,39
geneComp_00041510,UFSP2,UFSP2,Control,FRDA,2.2377608659909e-22,40
geneComp_00030610,MYC,MYC,Control,FRDA,1.732665129764391e-21,41
geneComp_00000559,AGO1,AGO1,Control,FRDA,2.88753209237447e-21,42
geneComp_00041729,UVRAG,UVRAG,Control,FRDA,2.88753209237447e-21,43
geneComp_00023231,FBXL7,FBXL7,Control,FRDA,5.446104352543991e-21,44
