"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"NIN","NIN","ENST00000706706","Control","FRDA",0,0.1538,0.1538,1.67046919952757e-192,"Higher in FRDA"
"INPP5F","INPP5F","ENST00000650409","Control","FRDA",0.0255666666666667,0.344566666666667,0.319,5.27101074690381e-140,"Higher in FRDA"
"HSPA1A","HSPA1A","ENST00000375651","Control","FRDA",0,0.670866666666667,0.670866666666667,1.74872181620928e-120,"Higher in FRDA"
"HSPA1A","HSPA1A","ENST00000608703","Control","FRDA",1,0.329133333333333,-0.670866666666667,1.74872181620928e-120,"Higher in Control"
"CERS5","CERS5","ENST00000550919","Control","FRDA",0.1073,0,-0.1073,6.61623842995091e-116,"Higher in Control"
"DGCR8","DGCR8","ENST00000457069","Control","FRDA",0,0.273,0.273,4.3662670043826e-91,"Higher in FRDA"
"STAT2","STAT2","ENST00000698186","Control","FRDA",0,0.1129,0.1129,5.06310511889207e-73,"Higher in FRDA"
"PACSIN2","PACSIN2","ENST00000263246","Control","FRDA",0.5023,0.372866666666667,-0.129433333333333,2.47325267862769e-63,"Higher in Control"
"DDHD1","DDHD1","ENST00000674014","Control","FRDA",0,0.123566666666667,0.123566666666667,1.43639239751714e-54,"Higher in FRDA"
"NBPF14","NBPF14","ENST00000619423","Control","FRDA",0.2946,0,-0.2946,9.12952858846146e-53,"Higher in Control"
"MYLK","MYLK","ENST00000685953","Control","FRDA",0,0.2094,0.2094,2.78370956820363e-47,"Higher in FRDA"
"CLU","CLU","ENST00000520491","Control","FRDA",0.176483333333333,0,-0.176483333333333,3.70125990660972e-47,"Higher in Control"
"PLEKHA7","PLEKHA7","ENST00000355661","Control","FRDA",0,0.1786,0.1786,1.19004055034037e-43,"Higher in FRDA"
"MEST","MEST","ENST00000223215","Control","FRDA",0,0.118933333333333,0.118933333333333,4.97009919428411e-40,"Higher in FRDA"
"TOM1L1","TOM1L1","ENST00000348161","Control","FRDA",0.246716666666667,0,-0.246716666666667,1.75205767807428e-38,"Higher in Control"
"CTNND2","CTNND2","ENST00000513598","Control","FRDA",0,0.158566666666667,0.158566666666667,7.55924762042825e-38,"Higher in FRDA"
"OCLN","OCLN","ENST00000538151","Control","FRDA",0,0.497233333333333,0.497233333333333,1.81992884018223e-37,"Higher in FRDA"
"DPP6","DPP6","ENST00000404039","Control","FRDA",0,0.2073,0.2073,3.02544263702099e-37,"Higher in FRDA"
"RTN4","RTN4","ENST00000317610","Control","FRDA",0.6709,0.5034,-0.1675,3.36806477054992e-36,"Higher in Control"
"CTNND2","CTNND2","ENST00000506324","Control","FRDA",0.450433333333333,0.0374,-0.413033333333333,4.37964275921567e-36,"Higher in Control"
"LINC03105","LINC03105","ENST00000624461","Control","FRDA",0.4476,0,-0.4476,1.17357377918777e-35,"Higher in Control"
"LTA4H","LTA4H","ENST00000228740","Control","FRDA",0.2941,0,-0.2941,2.8619325803353e-35,"Higher in Control"
"RRBP1","RRBP1","ENST00000398782","Control","FRDA",0.1988,0,-0.1988,1.99099037035379e-32,"Higher in Control"
"SLC44A2","SLC44A2","ENST00000335757","Control","FRDA",0.269666666666667,0,-0.269666666666667,3.97690824657972e-31,"Higher in Control"
"OTUD7A","OTUD7A","ENST00000307050","Control","FRDA",0.42855,0.683433333333333,0.254883333333333,2.24684298040665e-30,"Higher in FRDA"
"OTUD7A","OTUD7A","ENST00000560598","Control","FRDA",0.566,0.2957,-0.2703,2.24684298040665e-30,"Higher in Control"
"NPIPB5","NPIPB5","ENST00000544308","Control","FRDA",0,0.160766666666667,0.160766666666667,4.02440107386385e-29,"Higher in FRDA"
"COL12A1","COL12A1","ENST00000680981","Control","FRDA",0.122483333333333,0,-0.122483333333333,6.48717022103632e-29,"Higher in Control"
"RPL23AP7","RPL23AP7","ENST00000802752","Control","FRDA",0.35665,0,-0.35665,8.48824052647632e-28,"Higher in Control"
"ACOT9","ACOT9","ENST00000379303","Control","FRDA",0.18905,0.313233333333333,0.124183333333333,5.51889914886356e-27,"Higher in FRDA"
"RPUSD1","RPUSD1","ENST00000565809","Control","FRDA",0.138033333333333,0,-0.138033333333333,1.84777262690008e-26,"Higher in Control"
"CLASP1","CLASP1","ENST00000409078","Control","FRDA",0.109733333333333,0,-0.109733333333333,5.22311922278339e-26,"Higher in Control"
"ZNF382","ZNF382","ENST00000460670","Control","FRDA",0.374916666666667,0.661666666666667,0.28675,1.01133434762859e-25,"Higher in FRDA"
"NECTIN2","NECTIN2","ENST00000252483","Control","FRDA",0.431,0.1845,-0.2465,1.14396701404704e-25,"Higher in Control"
"CUL9","CUL9","ENST00000252050","Control","FRDA",0.267116666666667,0,-0.267116666666667,1.38998971757979e-24,"Higher in Control"
"GARS1-DT","GARS1-DT","ENST00000580440","Control","FRDA",0.208633333333333,0,-0.208633333333333,4.54011106388567e-24,"Higher in Control"
"ENSG00000213963.7",NA,"ENST00000699505","Control","FRDA",0.132933333333333,0,-0.132933333333333,1.3221686576902e-23,"Higher in Control"
"NECTIN2","NECTIN2","ENST00000252485","Control","FRDA",0.428983333333333,0.639233333333333,0.21025,1.12650479448536e-22,"Higher in FRDA"
"UFSP2","UFSP2","ENST00000264689","Control","FRDA",0,0.1395,0.1395,2.2377608659909e-22,"Higher in FRDA"
"MYC","MYC","ENST00000641036","Control","FRDA",0.178116666666667,0,-0.178116666666667,1.73266512976439e-21,"Higher in Control"
"AGO1","AGO1","ENST00000699841","Control","FRDA",0.143533333333333,0,-0.143533333333333,2.88753209237447e-21,"Higher in Control"
"UVRAG","UVRAG","ENST00000531818","Control","FRDA",0.482616666666667,0.268433333333333,-0.214183333333333,2.88753209237447e-21,"Higher in Control"
"FBXL7","FBXL7","ENST00000504595","Control","FRDA",0.729016666666667,1,0.270983333333333,5.44610435254399e-21,"Higher in FRDA"
"CDH8","CDH8","ENST00000577228","Control","FRDA",0.152933333333333,0.0188333333333333,-0.1341,1.3440997963e-20,"Higher in Control"
"TMTC3","TMTC3","ENST00000547034","Control","FRDA",0.181983333333333,0,-0.181983333333333,2.42016588091325e-20,"Higher in Control"
