gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00035633,SPECC1L,SPECC1L,Control,FRDA,1.1124213537673972e-104,1
geneComp_00023484,IL6ST,IL6ST,Control,FRDA,2.3851651819139048e-76,2
geneComp_00023567,INPP5F,INPP5F,Control,FRDA,8.692197872886452e-60,3
geneComp_00000449,ADPGK,ADPGK,Control,FRDA,2.8269918799167035e-56,4
geneComp_00033949,SCARB1,SCARB1,Control,FRDA,3.19398109435692e-53,5
geneComp_00022425,HADH,HADH,Control,FRDA,2.618619132923819e-52,6
geneComp_00028289,NGDN,NGDN,Control,FRDA,6.65301723214075e-51,7
geneComp_00027142,MLH1,MLH1,Control,FRDA,3.832303626723989e-49,8
geneComp_00035221,SNHG5,SNHG5,Control,FRDA,3.3067672482373417e-47,9
geneComp_00035035,SMAD4,SMAD4,Control,FRDA,3.188265512450814e-46,10
geneComp_00038430,USP20,USP20,Control,FRDA,3.8932229863908506e-45,11
geneComp_00038453,USP36,USP36,Control,FRDA,2.386083690210537e-41,12
geneComp_00020708,FANCM,FANCM,Control,FRDA,3.638621730668458e-40,13
geneComp_00039267,ZFYVE1,ZFYVE1,Control,FRDA,5.157413515665558e-40,14
geneComp_00003210,CDK11B,CDK11B,Control,FRDA,1.4633229657164578e-39,15
geneComp_00023219,HYCC2,HYCC2,Control,FRDA,3.002486012865642e-38,16
geneComp_00024197,KLF12,KLF12,Control,FRDA,4.033690793409278e-38,17
geneComp_00020159,EPS15,EPS15,Control,FRDA,1.0472276099640996e-37,18
geneComp_00002663,CARS1,CARS1,Control,FRDA,1.5954137799328915e-37,19
geneComp_00002242,C14orf93,C14orf93,Control,FRDA,3.4077660958552555e-37,20
geneComp_00000660,ALCAM,ALCAM,Control,FRDA,5.0327127360857196e-37,21
geneComp_00036221,SYDE1,SYDE1,Control,FRDA,8.001365341148567e-36,22
geneComp_00003216,CDK16,CDK16,Control,FRDA,9.996281006396813e-34,23
geneComp_00004385,CSRP1,CSRP1,Control,FRDA,1.34151758449688e-33,24
geneComp_00026082,LRRC20,LRRC20,Control,FRDA,7.836089797155542e-33,25
geneComp_00000921,ANKZF1,ANKZF1,Control,FRDA,1.3255198123025495e-32,26
geneComp_00004472,CTNND2,CTNND2,Control,FRDA,1.5344614155534414e-31,27
geneComp_00002970,CCNQ,CCNQ,Control,FRDA,1.5041806985342494e-30,28
geneComp_00039078,ZBTB10,ZBTB10,Control,FRDA,7.894980081232949e-29,29
geneComp_00004291,CRNKL1,CRNKL1,Control,FRDA,1.0210121932689724e-27,30
geneComp_00035155,SMTN,SMTN,Control,FRDA,1.1554160592544275e-27,31
geneComp_00037810,TRPV4,TRPV4,Control,FRDA,4.119928522290862e-27,32
geneComp_00033567,RPS6KA2,RPS6KA2,Control,FRDA,5.421016138494497e-27,33
geneComp_00030390,POFUT2,POFUT2,Control,FRDA,1.673425385573591e-26,34
geneComp_00036211,SWT1,SWT1,Control,FRDA,2.2508551778288008e-26,35
geneComp_00002450,C8orf76,C8orf76,Control,FRDA,2.596888713784643e-26,36
geneComp_00017954,ENSG00000304197.1,NA,Control,FRDA,5.485844727998353e-26,37
geneComp_00024718,LIMS1,LIMS1,Control,FRDA,7.890778681861922e-26,38
geneComp_00022716,HM13,HM13,Control,FRDA,8.81877870357238e-26,39
geneComp_00001529,ATP2A1,ATP2A1,Control,FRDA,1.1327917609531577e-25,40
geneComp_00025034,LINC01194,LINC01194,Control,FRDA,1.6585525820056934e-25,41
geneComp_00028966,OLFM1,OLFM1,Control,FRDA,8.063755073023945e-25,42
geneComp_00026700,MED17,MED17,Control,FRDA,2.43444763384956e-24,43
geneComp_00025327,LINC01876,LINC01876,Control,FRDA,6.577524747963126e-24,44
geneComp_00033826,S100PBP,S100PBP,Control,FRDA,5.968393599583655e-23,45
geneComp_00000211,ACSL1,ACSL1,Control,FRDA,1.2971734677340978e-22,46
geneComp_00034801,SLC35A1,SLC35A1,Control,FRDA,2.277521461954126e-22,47
geneComp_00036737,TFPT,TFPT,Control,FRDA,3.8110031970949066e-22,48
geneComp_00000607,AKAP1,AKAP1,Control,FRDA,7.585127715243124e-22,49
geneComp_00039341,ZNF133,ZNF133,Control,FRDA,7.9731692842846265e-22,50
geneComp_00026885,MIB2,MIB2,Control,FRDA,4.9181826116198195e-21,51
geneComp_00029291,PACSIN3,PACSIN3,Control,FRDA,1.0995788021164837e-20,52
geneComp_00014028,ENSG00000291081.2,NA,Control,FRDA,1.3915024115928898e-20,53
geneComp_00030373,PNPO,PNPO,Control,FRDA,1.828906012627731e-20,54
geneComp_00037762,TRMT11,TRMT11,Control,FRDA,3.194065869538205e-20,55
geneComp_00021036,FLT1,FLT1,Control,FRDA,3.8142091966362417e-20,56
geneComp_00025940,LMBR1L,LMBR1L,Control,FRDA,3.923754822285749e-20,57
geneComp_00031585,RALGDS,RALGDS,Control,FRDA,5.430254239238437e-20,58
geneComp_00023701,ISCU,ISCU,Control,FRDA,7.591418237450504e-20,59
geneComp_00012541,ENSG00000287238.3,NA,Control,FRDA,9.877303075403109e-20,60
geneComp_00004933,DENND5B,DENND5B,Control,FRDA,1.30303926144711e-19,61
geneComp_00034055,SDF2,SDF2,Control,FRDA,1.4430155041642198e-19,62
geneComp_00030041,PIK3R3,PIK3R3,Control,FRDA,1.4670952555888643e-19,63
geneComp_00030383,POC5,POC5,Control,FRDA,1.5230634044898264e-19,64
geneComp_00033767,RUBCNL,RUBCNL,Control,FRDA,2.7338000804973025e-19,65
geneComp_00020710,FAR1,FAR1,Control,FRDA,3.3609257499888547e-19,66
geneComp_00038309,UHRF2,UHRF2,Control,FRDA,4.487026480569632e-19,67
geneComp_00003869,CLYBL,CLYBL,Control,FRDA,1.189748841482431e-18,68
geneComp_00023568,INPP5J,INPP5J,Control,FRDA,5.234501666098323e-18,69
geneComp_00038401,UROD,UROD,Control,FRDA,9.804678783601241e-18,70
geneComp_00011920,ENSG00000285725.2,NA,Control,FRDA,2.3879601731048674e-17,71
geneComp_00004947,DEPDC5,DEPDC5,Control,FRDA,2.633055019966846e-17,72
geneComp_00021162,FPGS,FPGS,Control,FRDA,4.196143214866233e-17,73
geneComp_00034548,SKIC2,SKIC2,Control,FRDA,1.818919305861171e-16,74
geneComp_00003994,COG4,COG4,Control,FRDA,3.1749638377495147e-16,75
geneComp_00024012,KCNT2,KCNT2,Control,FRDA,5.663339358456639e-16,76
geneComp_00027475,MSL3,MSL3,Control,FRDA,1.6601018432580856e-15,77
geneComp_00032082,RIPOR2,RIPOR2,Control,FRDA,1.795328210962318e-15,78
geneComp_00032339,RNF13,RNF13,Control,FRDA,1.796137382220715e-15,79
geneComp_00002729,CBLB,CBLB,Control,FRDA,2.2079625661495005e-15,80
geneComp_00020151,EPN2,EPN2,Control,FRDA,3.4952019019597184e-15,81
geneComp_00022127,GRIPAP1,GRIPAP1,Control,FRDA,3.627438116161513e-15,82
geneComp_00035807,SRRM1,SRRM1,Control,FRDA,3.712062978637822e-15,83
geneComp_00023597,INTS6,INTS6,Control,FRDA,3.837853276316225e-15,84
geneComp_00030851,PRICKLE2,PRICKLE2,Control,FRDA,4.169521277158223e-15,85
geneComp_00008772,ENSG00000259203.5,NA,Control,FRDA,6.601970712603289e-15,86
geneComp_00022047,GPRASP3,GPRASP3,Control,FRDA,2.873738250437568e-14,87
geneComp_00024553,LARS2,LARS2,Control,FRDA,4.2131898809439855e-14,88
geneComp_00026882,MIAT,MIAT,Control,FRDA,4.2131898809439855e-14,89
geneComp_00005892,EIF4G3,EIF4G3,Control,FRDA,4.412331057433648e-14,90
geneComp_00017061,ENSG00000301471.1,NA,Control,FRDA,4.843308227693907e-14,91
geneComp_00001510,ATP13A1,ATP13A1,Control,FRDA,1.4485680337700438e-13,92
geneComp_00002070,BRCA2,BRCA2,Control,FRDA,2.2283289206934414e-13,93
geneComp_00037822,TSC22D2,TSC22D2,Control,FRDA,5.848314962682491e-13,94
geneComp_00023349,IFTAP,IFTAP,Control,FRDA,1.4482614312387813e-12,95
geneComp_00037712,TRIM52,TRIM52,Control,FRDA,2.2993043772223453e-12,96
geneComp_00020783,FBXO25,FBXO25,Control,FRDA,2.6037208110568948e-12,97
geneComp_00039577,ZNF461,ZNF461,Control,FRDA,2.7115765335193295e-12,98
geneComp_00028520,NPAT,NPAT,Control,FRDA,3.4409050258636518e-12,99
geneComp_00030545,PPCDC,PPCDC,Control,FRDA,3.714230635996541e-12,100
geneComp_00032379,RNF20,RNF20,Control,FRDA,3.733838824230388e-12,101
geneComp_00000653,AKTIP,AKTIP,Control,FRDA,5.407833952883938e-12,102
geneComp_00003204,CDIP1,CDIP1,Control,FRDA,8.15280677497765e-12,103
geneComp_00021677,GIRGL,GIRGL,Control,FRDA,9.96611374844964e-12,104
geneComp_00030709,PPP1R37,PPP1R37,Control,FRDA,1.0524532634739874e-11,105
geneComp_00029343,PAN2,PAN2,Control,FRDA,1.3013654886846554e-11,106
geneComp_00034763,SLC29A4,SLC29A4,Control,FRDA,1.3780793166094465e-11,107
geneComp_00021009,FKBP9,FKBP9,Control,FRDA,1.5742561034530138e-11,108
geneComp_00031304,PTPRJ,PTPRJ,Control,FRDA,2.1856657759890703e-11,109
geneComp_00027425,MRPS31P5,MRPS31P5,Control,FRDA,2.2125894256750852e-11,110
geneComp_00039510,ZNF358,ZNF358,Control,FRDA,2.46589098526042e-11,111
geneComp_00005188,DNAJA3,DNAJA3,Control,FRDA,2.9500327914072094e-11,112
geneComp_00027407,MRPS18C,MRPS18C,Control,FRDA,2.9571497669553695e-11,113
geneComp_00022464,HAUS4,HAUS4,Control,FRDA,3.545715875926379e-11,114
geneComp_00037191,TMEM268,TMEM268,Control,FRDA,4.101738070666566e-11,115
geneComp_00034632,SLC1A3,SLC1A3,Control,FRDA,4.3313395457545584e-11,116
geneComp_00022254,GTPBP2,GTPBP2,Control,FRDA,5.837173990837694e-11,117
geneComp_00024233,KLHL12,KLHL12,Control,FRDA,6.321083542377749e-11,118
geneComp_00038673,VRK3,VRK3,Control,FRDA,9.84152459992349e-11,119
geneComp_00033820,S100A4,S100A4,Control,FRDA,9.977763107056762e-11,120
geneComp_00035797,SRPK1,SRPK1,Control,FRDA,1.0852625099434718e-10,121
geneComp_00004802,DCUN1D2,DCUN1D2,Control,FRDA,1.1389755145290151e-10,122
geneComp_00024154,KIF3A,KIF3A,Control,FRDA,1.1919583914674388e-10,123
geneComp_00020518,FAM185A,FAM185A,Control,FRDA,1.332483201348353e-10,124
geneComp_00024593,LCP1,LCP1,Control,FRDA,1.5779500979510497e-10,125
geneComp_00033727,RSRP1,RSRP1,Control,FRDA,1.6539897532539745e-10,126
geneComp_00000017,AADAT,AADAT,Control,FRDA,1.666016690629426e-10,127
geneComp_00008883,ENSG00000259755.2,NA,Control,FRDA,2.4604538905167225e-10,128
geneComp_00002731,CBLL1,CBLL1,Control,FRDA,3.343885238020949e-10,129
geneComp_00026101,LRRC37A3,LRRC37A3,Control,FRDA,3.5754279836118703e-10,130
geneComp_00002585,CAMK4,CAMK4,Control,FRDA,3.6411593294436433e-10,131
geneComp_00024950,LINC00960,LINC00960,Control,FRDA,4.659495943846783e-10,132
geneComp_00026505,MAPK8IP3,MAPK8IP3,Control,FRDA,5.882619274359992e-10,133
geneComp_00000305,ADAM11,ADAM11,Control,FRDA,6.96281706129868e-10,134
geneComp_00023454,IL1RAP,IL1RAP,Control,FRDA,9.042853121697768e-10,135
geneComp_00038830,WDR86-AS1,WDR86-AS1,Control,FRDA,1.010311478169239e-9,136
geneComp_00036022,STK33,STK33,Control,FRDA,1.2755258849801063e-9,137
geneComp_00002496,CACNA1A,CACNA1A,Control,FRDA,1.389872375642243e-9,138
geneComp_00036902,TIRAP,TIRAP,Control,FRDA,1.8390656650939e-9,139
geneComp_00003359,CEP112,CEP112,Control,FRDA,1.9273047479148245e-9,140
geneComp_00037172,TMEM25,TMEM25,Control,FRDA,2.3919610476808366e-9,141
geneComp_00039017,YJU2B,YJU2B,Control,FRDA,2.4199558450827292e-9,142
geneComp_00038229,UBL7,UBL7,Control,FRDA,2.4630287666664336e-9,143
geneComp_00038089,TXNRD2,TXNRD2,Control,FRDA,3.7683210741301125e-9,144
geneComp_00025300,LINC01816,LINC01816,Control,FRDA,3.975549680070006e-9,145
geneComp_00021621,GFRA1,GFRA1,Control,FRDA,5.221218357991477e-9,146
geneComp_00026437,MAP2K4,MAP2K4,Control,FRDA,6.867898697240274e-9,147
geneComp_00022607,HEXD,HEXD,Control,FRDA,7.719143444548072e-9,148
geneComp_00037371,TNIP1,TNIP1,Control,FRDA,8.159587532937272e-9,149
geneComp_00036498,TBRG1,TBRG1,Control,FRDA,9.932221413406983e-9,150
geneComp_00031238,PTK2B,PTK2B,Control,FRDA,1.244487420179862e-8,151
geneComp_00034878,SLC45A1,SLC45A1,Control,FRDA,1.7806121182527394e-8,152
geneComp_00003475,CFAP91,CFAP91,Control,FRDA,2.2717893191589655e-8,153
geneComp_00035046,SMARCA2,SMARCA2,Control,FRDA,3.096792793907078e-8,154
