dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lai_iPSC,SPECC1L,SPECC1L,2,codingPotential; IR,0.1635,1.1124213537673972e-104
Lai_iPSC,IL6ST,IL6ST,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.3021333333333333,2.3851651819139048e-76
Lai_iPSC,INPP5F,INPP5F,2,codingPotential; domain_identified,0.6348,8.692197872886452e-60
Lai_iPSC,ADPGK,ADPGK,2,codingPotential; PTC,0.12673333333333334,2.8269918799167035e-56
Lai_iPSC,SCARB1,SCARB1,2,codingPotential; domain_identified,0.11510000000000001,3.19398109435692e-53
Lai_iPSC,HADH,HADH,2,codingPotential; domain_identified,0.14993333333333334,2.618619132923819e-52
Lai_iPSC,NGDN,NGDN,2,codingPotential; domain_identified,0.18856666666666666,6.65301723214075e-51
Lai_iPSC,MLH1,MLH1,2,codingPotential; domain_identified,0.21393333333333334,3.832303626723989e-49
Lai_iPSC,SMAD4,SMAD4,2,codingPotential; domain_identified,0.24206666666666665,3.188265512450814e-46
Lai_iPSC,USP20,USP20,2,codingPotential; domain_identified,0.36473333333333335,3.8932229863908506e-45
Lai_iPSC,USP36,USP36,3,codingPotential; domain_identified; IR,0.21006666666666668,2.386083690210537e-41
Lai_iPSC,FANCM,FANCM,2,codingPotential; domain_identified,0.3458,3.638621730668458e-40
Lai_iPSC,ZFYVE1,ZFYVE1,3,codingPotential; domain_identified; IR,0.20123333333333332,5.157413515665558e-40
Lai_iPSC,CDK11B,CDK11B,1,codingPotential,0.12413333333333333,1.4633229657164578e-39
Lai_iPSC,HYCC2,HYCC2,2,codingPotential; domain_identified,0.2072666666666666,3.002486012865642e-38
Lai_iPSC,KLF12,KLF12,2,codingPotential; domain_identified,0.4129333333333333,4.033690793409278e-38
Lai_iPSC,EPS15,EPS15,2,codingPotential; PTC,0.16363333333333333,1.0472276099640996e-37
Lai_iPSC,CARS1,CARS1,2,codingPotential; domain_identified,0.1443,1.5954137799328915e-37
Lai_iPSC,C14orf93,C14orf93,3,codingPotential; domain_identified; IR,0.26006666666666667,3.4077660958552555e-37
Lai_iPSC,ALCAM,ALCAM,3,codingPotential; domain_identified; signal_peptide_identified,0.1507666666666666,5.0327127360857196e-37
Lai_iPSC,SYDE1,SYDE1,2,codingPotential; domain_identified,0.19043333333333334,8.001365341148567e-36
Lai_iPSC,CDK16,CDK16,1,codingPotential,0.12693333333333334,9.996281006396813e-34
Lai_iPSC,CSRP1,CSRP1,3,codingPotential; domain_identified; IR,0.18616666666666665,1.34151758449688e-33
Lai_iPSC,LRRC20,LRRC20,2,codingPotential; domain_identified,0.5348333333333333,7.836089797155542e-33
Lai_iPSC,ANKZF1,ANKZF1,2,codingPotential; domain_identified,0.2069666666666667,1.3255198123025495e-32
Lai_iPSC,CTNND2,CTNND2,3,codingPotential; domain_identified; IR,0.30323333333333335,1.5344614155534414e-31
Lai_iPSC,CCNQ,CCNQ,3,codingPotential; domain_identified; PTC,0.2785666666666667,1.5041806985342494e-30
Lai_iPSC,ZBTB10,ZBTB10,3,codingPotential; domain_identified; IR,0.1482,7.894980081232949e-29
Lai_iPSC,CRNKL1,CRNKL1,1,codingPotential,0.1513,1.0210121932689724e-27
Lai_iPSC,SMTN,SMTN,3,codingPotential; domain_identified; IR,0.21783333333333335,1.1554160592544275e-27
Lai_iPSC,TRPV4,TRPV4,2,codingPotential; domain_identified,0.7479,4.119928522290862e-27
Lai_iPSC,RPS6KA2,RPS6KA2,2,codingPotential; domain_identified,0.1887,5.421016138494497e-27
Lai_iPSC,POFUT2,POFUT2,3,codingPotential; domain_identified; signal_peptide_identified,0.1567,1.673425385573591e-26
Lai_iPSC,SWT1,SWT1,2,codingPotential; domain_identified,0.3587,2.2508551778288008e-26
Lai_iPSC,C8orf76,C8orf76,3,codingPotential; domain_identified; IR,0.17553333333333332,2.596888713784643e-26
