"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"SPECC1L","SPECC1L","ENST00000541492","Control","FRDA",0.1635,0,-0.1635,1.1124213537674e-104,"Higher in Control"
"IL6ST","IL6ST","ENST00000698639","Control","FRDA",0,0.252933333333333,0.252933333333333,2.3851651819139e-76,"Higher in FRDA"
"INPP5F","INPP5F","ENST00000637174","Control","FRDA",0,0.2966,0.2966,8.69219787288645e-60,"Higher in FRDA"
"ADPGK","ADPGK","ENST00000569693","Control","FRDA",0,0.126733333333333,0.126733333333333,2.8269918799167e-56,"Higher in FRDA"
"SCARB1","SCARB1","ENST00000546215","Control","FRDA",0.1151,0,-0.1151,3.19398109435692e-53,"Higher in Control"
"HADH","HADH","ENST00000638621","Control","FRDA",0.149933333333333,0,-0.149933333333333,2.61861913292382e-52,"Higher in Control"
"NGDN","NGDN","ENST00000556580","Control","FRDA",0.206433333333333,0,-0.206433333333333,6.65301723214075e-51,"Higher in Control"
"MLH1","MLH1","ENST00000485889","Control","FRDA",0.213933333333333,0,-0.213933333333333,3.83230362672399e-49,"Higher in Control"
"SNHG5","SNHG5","ENST00000850514","Control","FRDA",0,0.189333333333333,0.189333333333333,3.30676724823734e-47,"Higher in FRDA"
"SMAD4","SMAD4","ENST00000714268","Control","FRDA",0.242066666666667,0,-0.242066666666667,3.18826551245081e-46,"Higher in Control"
"USP20","USP20","ENST00000372429","Control","FRDA",0,0.289366666666667,0.289366666666667,3.89322298639085e-45,"Higher in FRDA"
"USP36","USP36","ENST00000449938","Control","FRDA",0.210066666666667,0,-0.210066666666667,2.38608369021054e-41,"Higher in Control"
"FANCM","FANCM","ENST00000542564","Control","FRDA",0.3458,0,-0.3458,3.63862173066846e-40,"Higher in Control"
"ZFYVE1","ZFYVE1","ENST00000556143","Control","FRDA",0.201233333333333,0,-0.201233333333333,5.15741351566556e-40,"Higher in Control"
"CDK11B","CDK11B","ENST00000341028","Control","FRDA",0.124133333333333,0,-0.124133333333333,1.46332296571646e-39,"Higher in Control"
"HYCC2","HYCC2","ENST00000681958","Control","FRDA",0.1263,0,-0.1263,3.00248601286564e-38,"Higher in Control"
"KLF12","KLF12","ENST00000377669","Control","FRDA",0.412933333333333,0,-0.412933333333333,4.03369079340928e-38,"Higher in Control"
"EPS15","EPS15","ENST00000706293","Control","FRDA",0.146933333333333,0,-0.146933333333333,1.0472276099641e-37,"Higher in Control"
"CARS1","CARS1","ENST00000529772","Control","FRDA",0,0.1443,0.1443,1.59541377993289e-37,"Higher in FRDA"
"C14orf93","C14orf93","ENST00000397379","Control","FRDA",0.260066666666667,0,-0.260066666666667,3.40776609585526e-37,"Higher in Control"
