gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00004893,DROSHA,DROSHA,Control,FRDA,4.4802573263578714e-63,1
geneComp_00001421,ATP5F1C,ATP5F1C,Control,FRDA,1.0097134006386644e-58,2
geneComp_00001045,ARHGAP21,ARHGAP21,Control,FRDA,3.92652042494658e-52,3
geneComp_00016953,FKBP15,FKBP15,Control,FRDA,2.0610284501378217e-51,4
geneComp_00000768,ANKRD11,ANKRD11,Control,FRDA,3.814752252230028e-51,5
geneComp_00000983,AQP1,AQP1,Control,FRDA,1.5681341445497535e-46,6
geneComp_00031078,TSC1,TSC1,Control,FRDA,3.766408683816009e-44,7
geneComp_00024534,PDK2,PDK2,Control,FRDA,1.2049702967210021e-39,8
geneComp_00004492,DGCR6,DGCR6,Control,FRDA,4.3245186500773956e-39,9
geneComp_00017446,GCNT2,GCNT2,Control,FRDA,5.164732040670319e-38,10
geneComp_00000385,ADGRG6,ADGRG6,Control,FRDA,2.7582116044478795e-37,11
geneComp_00023084,NDRG4,NDRG4,Control,FRDA,2.8764135374829705e-35,12
geneComp_00003915,CRYAB,CRYAB,Control,FRDA,3.639280451672427e-35,13
geneComp_00019446,KAT14,KAT14,Control,FRDA,5.6998676389832365e-33,14
geneComp_00001369,ATM,ATM,Control,FRDA,1.3240524674207812e-31,15
geneComp_00025806,PSME3IP1,PSME3IP1,Control,FRDA,1.1343959216443807e-30,16
geneComp_00024858,PIM2,PIM2,Control,FRDA,4.634174133803258e-27,17
geneComp_00019509,KCNH2,KCNH2,Control,FRDA,3.130209203750541e-26,18
geneComp_00032920,ZNF714,ZNF714,Control,FRDA,5.298918764597556e-25,19
geneComp_00022623,MTCL1,MTCL1,Control,FRDA,1.959437713555707e-24,20
geneComp_00022102,MICAL3,MICAL3,Control,FRDA,1.2964748613513922e-23,21
geneComp_00032557,ZNF266,ZNF266,Control,FRDA,7.7168258893725505e-22,22
geneComp_00025120,PMP22,PMP22,Control,FRDA,1.5439487645182077e-21,23
geneComp_00003000,CELF1,CELF1,Control,FRDA,4.512581126661549e-21,24
geneComp_00029192,SPTBN1,SPTBN1,Control,FRDA,4.627879414588088e-21,25
geneComp_00020344,LINC00662,LINC00662,Control,FRDA,1.1429110676668842e-20,26
geneComp_00018441,HIVEP2,HIVEP2,Control,FRDA,4.624460083941169e-20,27
geneComp_00022509,MRPS31P5,MRPS31P5,Control,FRDA,2.9564488254166225e-19,28
geneComp_00024552,PDPR2P,PDPR2P,Control,FRDA,3.564947634328547e-19,29
geneComp_00032025,WIZ,WIZ,Control,FRDA,1.8320373988814296e-18,30
geneComp_00000516,AHI1,AHI1,Control,FRDA,2.3665025285455046e-18,31
geneComp_00020093,LDAH,LDAH,Control,FRDA,4.3912186653563195e-18,32
geneComp_00030740,TNS3,TNS3,Control,FRDA,1.2126118504369049e-17,33
geneComp_00024707,PHACTR1,PHACTR1,Control,FRDA,9.359085432922692e-17,34
geneComp_00001196,ARPC1B,ARPC1B,Control,FRDA,1.1904447488278187e-16,35
geneComp_00018524,HMGN3,HMGN3,Control,FRDA,5.504453507233522e-16,36
geneComp_00002051,C18orf21,C18orf21,Control,FRDA,2.4355123850322234e-15,37
geneComp_00021273,LONP1,LONP1,Control,FRDA,3.420166563259162e-15,38
geneComp_00017939,GRB7,GRB7,Control,FRDA,4.142513142712607e-15,39
geneComp_00022280,MME,MME,Control,FRDA,9.370341249244002e-15,40
geneComp_00021765,MARCHF6,MARCHF6,Control,FRDA,1.5690624790219045e-14,41
geneComp_00000623,ALDH6A1,ALDH6A1,Control,FRDA,2.7950049782197458e-14,42
geneComp_00021857,MCM3AP-AS1,MCM3AP-AS1,Control,FRDA,3.9389568739530327e-14,43
geneComp_00032001,WEE1,WEE1,Control,FRDA,3.9389568739530327e-14,44
geneComp_00002539,CCDC136,CCDC136,Control,FRDA,3.986164468085839e-14,45
geneComp_00028341,SLC25A3,SLC25A3,Control,FRDA,6.112514464531414e-14,46
geneComp_00029835,TBC1D16,TBC1D16,Control,FRDA,6.139060176846232e-14,47
geneComp_00025190,POLD3,POLD3,Control,FRDA,1.153493496112771e-13,48
geneComp_00018962,IGF2,IGF2,Control,FRDA,1.8607452980917774e-13,49
geneComp_00018312,HDAC9,HDAC9,Control,FRDA,3.72727812517792e-13,50
geneComp_00000714,AMY2B,AMY2B,Control,FRDA,1.1089974818107963e-12,51
geneComp_00002283,CACNA2D1,CACNA2D1,Control,FRDA,1.5128377636438177e-12,52
geneComp_00016923,FHL2,FHL2,Control,FRDA,2.084015779059976e-12,53
geneComp_00016169,EPB41L4A-AS1,EPB41L4A-AS1,Control,FRDA,2.0948388777888117e-12,54
geneComp_00001580,BABAM2,BABAM2,Control,FRDA,2.5010202820404068e-12,55
geneComp_00031706,UVSSA,UVSSA,Control,FRDA,3.845412902711295e-12,56
geneComp_00019642,KHDC4,KHDC4,Control,FRDA,5.166674725539765e-12,57
geneComp_00016573,FAM219A,FAM219A,Control,FRDA,6.031451630166998e-12,58
geneComp_00023353,NLGN3,NLGN3,Control,FRDA,6.0437901770884846e-12,59
geneComp_00022664,MTHFSD,MTHFSD,Control,FRDA,1.1734107792421152e-11,60
geneComp_00028483,SLC39A13,SLC39A13,Control,FRDA,4.2213395277152e-11,61
geneComp_00030099,TFPI,TFPI,Control,FRDA,5.0115443711616156e-11,62
geneComp_00029181,SPRY4-AS1,SPRY4-AS1,Control,FRDA,7.204177327440079e-11,63
geneComp_00023466,NPAS1,NPAS1,Control,FRDA,9.672616659100733e-11,64
geneComp_00032609,ZNF334,ZNF334,Control,FRDA,9.725401582350872e-11,65
geneComp_00001917,BRSK1,BRSK1,Control,FRDA,1.1440384407246999e-10,66
geneComp_00003001,CELF2,CELF2,Control,FRDA,1.1474874163308879e-10,67
geneComp_00021538,LYRM2,LYRM2,Control,FRDA,1.2762102986541454e-10,68
geneComp_00025134,PNKD,PNKD,Control,FRDA,1.461324964274613e-10,69
geneComp_00029594,SUPV3L1,SUPV3L1,Control,FRDA,2.765225253407386e-10,70
geneComp_00026134,RABGGTB,RABGGTB,Control,FRDA,9.417789986225752e-10,71
geneComp_00016926,FHOD3,FHOD3,Control,FRDA,1.028749238863072e-9,72
geneComp_00026541,RGS12,RGS12,Control,FRDA,1.1181447612811263e-9,73
geneComp_00033109,ZW10,ZW10,Control,FRDA,1.5320581331236138e-9,74
geneComp_00003472,CLK1,CLK1,Control,FRDA,1.7305546315111938e-9,75
geneComp_00003989,CSTF3,CSTF3,Control,FRDA,2.0670037270288573e-9,76
geneComp_00028798,SNAP29,SNAP29,Control,FRDA,2.54309378761382e-9,77
geneComp_00003666,COL4A5,COL4A5,Control,FRDA,3.970053947161324e-9,78
geneComp_00023157,NECAP1,NECAP1,Control,FRDA,4.165921628661275e-9,79
geneComp_00002343,CAMK2B,CAMK2B,Control,FRDA,4.253666968954886e-9,80
geneComp_00016509,FAM156B,FAM156B,Control,FRDA,4.262475036290743e-9,81
geneComp_00017102,FOXRED2,FOXRED2,Control,FRDA,9.169752245271176e-9,82
geneComp_00001314,ASTN2,ASTN2,Control,FRDA,1.0760695977791349e-8,83
geneComp_00003441,CLEC16A,CLEC16A,Control,FRDA,1.2396374793125642e-8,84
geneComp_00004408,DDX41,DDX41,Control,FRDA,1.2396374793125642e-8,85
geneComp_00000133,ABTB1,ABTB1,Control,FRDA,1.3667857158333976e-8,86
geneComp_00003622,COBL,COBL,Control,FRDA,1.3905151543836064e-8,87
geneComp_00032020,WIPF1,WIPF1,Control,FRDA,1.4205403888832106e-8,88
geneComp_00018255,HAUS5,HAUS5,Control,FRDA,1.9493424378047994e-8,89
geneComp_00024011,OSBPL5,OSBPL5,Control,FRDA,2.2125515693061184e-8,90
geneComp_00022016,METTL26,METTL26,Control,FRDA,2.2512372701118886e-8,91
geneComp_00025204,POLK,POLK,Control,FRDA,2.459637920890445e-8,92
geneComp_00024191,PAN2,PAN2,Control,FRDA,2.670687634686965e-8,93
geneComp_00024774,PHRF1,PHRF1,Control,FRDA,2.670687634686965e-8,94
geneComp_00023874,OLMALINC,OLMALINC,Control,FRDA,3.6815818311959196e-8,95
geneComp_00021527,LYPD6,LYPD6,Control,FRDA,3.7731611686066547e-8,96
geneComp_00001567,B4GALT3,B4GALT3,Control,FRDA,3.9086573452459177e-8,97
geneComp_00023993,ORC1,ORC1,Control,FRDA,3.9086573452459177e-8,98
geneComp_00021976,MELTF,MELTF,Control,FRDA,4.558892375426768e-8,99
geneComp_00021313,LRCH3,LRCH3,Control,FRDA,5.9314983198212e-8,100
geneComp_00029272,SRSF5,SRSF5,Control,FRDA,7.253988280932514e-8,101
geneComp_00025738,PSD3,PSD3,Control,FRDA,7.60723846358482e-8,102
geneComp_00001290,ASNS,ASNS,Control,FRDA,7.662557871528508e-8,103
geneComp_00032399,ZFYVE21,ZFYVE21,Control,FRDA,8.335371890105297e-8,104
geneComp_00004132,CYB561D1,CYB561D1,Control,FRDA,1.270494441749118e-7,105
geneComp_00023998,ORC6,ORC6,Control,FRDA,1.3192668483491686e-7,106
geneComp_00004272,DBF4,DBF4,Control,FRDA,1.551454410152878e-7,107
geneComp_00001049,ARHGAP24,ARHGAP24,Control,FRDA,1.8156619985847722e-7,108
geneComp_00031556,UNG,UNG,Control,FRDA,2.059565325809142e-7,109
geneComp_00032466,ZNF133,ZNF133,Control,FRDA,2.059565325809142e-7,110
geneComp_00029361,ST8SIA2,ST8SIA2,Control,FRDA,2.1591250104558512e-7,111
geneComp_00019784,KLHL13,KLHL13,Control,FRDA,2.2219116442505502e-7,112
geneComp_00029388,STARD10,STARD10,Control,FRDA,2.536539845355395e-7,113
geneComp_00032949,ZNF767P,ZNF767P,Control,FRDA,2.6980525205008685e-7,114
geneComp_00019358,ITPR2,ITPR2,Control,FRDA,3.0243482300818823e-7,115
geneComp_00001694,BCO2,BCO2,Control,FRDA,3.0338546172751614e-7,116
geneComp_00028093,SH3RF2,SH3RF2,Control,FRDA,3.332149217664743e-7,117
geneComp_00002747,CD109,CD109,Control,FRDA,3.899690930105792e-7,118
geneComp_00003893,CRLS1,CRLS1,Control,FRDA,3.9864581931730904e-7,119
geneComp_00026068,RAB29,RAB29,Control,FRDA,5.907399186272693e-7,120
geneComp_00020053,LAS1L,LAS1L,Control,FRDA,6.34586802199434e-7,121
geneComp_00004985,DXO,DXO,Control,FRDA,6.629723224439292e-7,122
geneComp_00023389,NMRK1,NMRK1,Control,FRDA,7.13173465545399e-7,123
geneComp_00000839,ANO4,ANO4,Control,FRDA,7.747174667835776e-7,124
geneComp_00028533,SLC4A8,SLC4A8,Control,FRDA,7.747174667835776e-7,125
geneComp_00019727,KIFC3,KIFC3,Control,FRDA,7.976757856677974e-7,126
geneComp_00024544,PDLIM5,PDLIM5,Control,FRDA,8.315867226788085e-7,127
geneComp_00019521,KCNIP4,KCNIP4,Control,FRDA,9.166198834705092e-7,128
geneComp_00018760,HSPA4L,HSPA4L,Control,FRDA,9.333585240983542e-7,129
geneComp_00028819,SNHG11,SNHG11,Control,FRDA,1.063662007223217e-6,130
geneComp_00019639,KHDC1-AS1,KHDC1-AS1,Control,FRDA,1.1360776183060524e-6,131
geneComp_00017655,GMPPA,GMPPA,Control,FRDA,1.24261425223941e-6,132
geneComp_00026551,RGS3,RGS3,Control,FRDA,1.4575246460942875e-6,133
geneComp_00019646,KHK,KHK,Control,FRDA,1.5827219817658676e-6,134
