dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lees_FA3,ADGRG6,ADGRG6,3,codingPotential; domain_identified; signal_peptide_identified,0.2111,4.227658417155249e-146
Lees_FA3,ANK2,ANK2,2,codingPotential; domain_identified,0.18096666666666666,2.9185247878697085e-80
Lees_FA3,EPB41L3,EPB41L3,2,codingPotential; domain_identified,0.10780000000000001,1.2369079836684422e-68
Lees_FA3,SYNPO2,SYNPO2,3,codingPotential; domain_identified; IR,0.2935,1.5233804752030717e-67
Lees_FA3,CELF1,CELF1,3,codingPotential; domain_identified; IR,0.15533333333333335,7.140524539247713e-58
Lees_FA3,KLHL13,KLHL13,2,codingPotential; domain_identified,0.3941,3.202528754236411e-42
Lees_FA3,ZNF133,ZNF133,2,codingPotential; domain_identified,0.22033333333333333,7.929747333083136e-37
Lees_FA3,SP4,SP4,2,codingPotential; domain_identified,0.24063333333333334,4.889105579431295e-36
Lees_FA3,SLC44A2,SLC44A2,3,codingPotential; domain_identified; IR,0.16970000000000002,1.516941859658071e-32
Lees_FA3,ZFX,ZFX,2,codingPotential; domain_identified,0.12606666666666666,2.168630456787763e-31
Lees_FA3,AIMP1,AIMP1,2,codingPotential; domain_identified,0.13606666666666667,2.064082532441331e-30
Lees_FA3,OPA1,OPA1,2,codingPotential; domain_identified,0.1134,4.245859716567107e-27
Lees_FA3,PMP22,PMP22,2,codingPotential; domain_identified,0.2395,5.834911700369719e-27
Lees_FA3,PRKAR1B,PRKAR1B,2,codingPotential; domain_identified,0.15666666666666668,1.3081105413161106e-26
Lees_FA3,COL1A1,COL1A1,3,codingPotential; domain_identified; signal_peptide_identified,0.23330000000000004,2.0355611970833132e-26
Lees_FA3,PHF8,PHF8,3,codingPotential; domain_identified; IR,0.1447,4.576275998701359e-25
Lees_FA3,KIF24,KIF24,2,codingPotential; domain_identified,0.4503666666666667,1.0540014275485039e-24
Lees_FA3,ANAPC5,ANAPC5,2,codingPotential; domain_identified,0.12516666666666668,3.360742796003256e-24
Lees_FA3,CCDC40,CCDC40,2,codingPotential; domain_identified,0.2854333333333333,7.575026188574137e-24
Lees_FA3,BBS2,BBS2,2,codingPotential; domain_identified,0.16703333333333337,1.0911254735017896e-23
Lees_FA3,CGGBP1,CGGBP1,1,codingPotential,0.18896666666666667,3.3370179929624176e-22
Lees_FA3,MIR22HG,MIR22HG,1,IR,0.1723333333333333,4.0127496466906245e-22
Lees_FA3,HYCC1,HYCC1,2,codingPotential; PTC,0.11446666666666666,3.417930433123401e-21
Lees_FA3,ACTG1,ACTG1,2,codingPotential; domain_identified,0.20463333333333344,4.5161252758788936e-21
Lees_FA3,STK17B,STK17B,3,codingPotential; domain_identified; PTC,0.17493333333333333,7.747701677240708e-19
Lees_FA3,MAPK10,MAPK10,3,codingPotential; domain_identified; IR,0.20306666666666667,1.977840004290437e-18
Lees_FA3,KAZN,KAZN,3,codingPotential; domain_identified; IR,0.35736666666666667,5.6276212787057486e-18
Lees_FA3,GLB1L,GLB1L,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.22296666666666667,6.071079397386657e-18
Lees_FA3,TNS3,TNS3,2,codingPotential; domain_identified,0.15513333333333335,6.071079397386657e-18
Lees_FA3,CLK2,CLK2,2,codingPotential; domain_identified,0.16463333333333333,1.0144258460273011e-17
Lees_FA3,PRKCZ,PRKCZ,2,codingPotential; domain_identified,0.3019666666666667,1.7157521760919346e-17
Lees_FA3,DDAH1,DDAH1,2,codingPotential; domain_identified,0.2214666666666667,3.1115456069126e-17
Lees_FA3,MATN2,MATN2,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.2559666666666667,5.715752289426871e-17
Lees_FA3,BCAT1,BCAT1,2,codingPotential; domain_identified,0.16053333333333342,5.786041546313674e-17
Lees_FA3,ABCA7,ABCA7,2,codingPotential; domain_identified,0.13630000000000003,6.290897339204301e-17
