"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"ADGRG6","ADGRG6","ENST00000367609","Control","FRDA",0,0.2111,0.2111,4.22765841715525e-146,"Higher in FRDA"
"ANK2","ANK2","ENST00000671727","Control","FRDA",0.0231333333333333,0.2041,0.180966666666667,2.91852478786971e-80,"Higher in FRDA"
"EPB41L3","EPB41L3","ENST00000540638","Control","FRDA",0,0.1078,0.1078,1.23690798366844e-68,"Higher in FRDA"
"SYNPO2","SYNPO2","ENST00000627783","Control","FRDA",0,0.2935,0.2935,1.52338047520307e-67,"Higher in FRDA"
"KLHL13","KLHL13","ENST00000371882","Control","FRDA",0.717533333333333,0.323433333333333,-0.3941,3.20252875423641e-42,"Higher in Control"
"ZNF133","ZNF133","ENST00000425686","Control","FRDA",0.220333333333333,0,-0.220333333333333,7.92974733308314e-37,"Higher in Control"
"ANK2","ANK2","ENST00000673430","Control","FRDA",0.150933333333333,0,-0.150933333333333,1.61537279867599e-36,"Higher in Control"
"SP4","SP4","ENST00000649633","Control","FRDA",0.240633333333333,0,-0.240633333333333,4.88910557943129e-36,"Higher in Control"
"SLC44A2","SLC44A2","ENST00000335757","Control","FRDA",0,0.1697,0.1697,1.51694185965807e-32,"Higher in FRDA"
"ZFX","ZFX","ENST00000338565","Control","FRDA",0.126066666666667,0,-0.126066666666667,2.16863045678776e-31,"Higher in Control"
"AIMP1","AIMP1","ENST00000394701","Control","FRDA",0,0.136066666666667,0.136066666666667,2.06408253244133e-30,"Higher in FRDA"
"OPA1","OPA1","ENST00000361828","Control","FRDA",0.0922666666666667,0.205666666666667,0.1134,4.24585971656711e-27,"Higher in FRDA"
"PMP22","PMP22","ENST00000395936","Control","FRDA",0.112866666666667,0,-0.112866666666667,5.83491170036972e-27,"Higher in Control"
"PRKAR1B","PRKAR1B","ENST00000360274","Control","FRDA",0,0.1132,0.1132,1.30811054131611e-26,"Higher in FRDA"
"COL1A1","COL1A1","ENST00000225964","Control","FRDA",0.685166666666667,0.915933333333333,0.230766666666667,2.03556119708331e-26,"Higher in FRDA"
"COL1A1","COL1A1","ENST00000507689","Control","FRDA",0.300133333333333,0.0668333333333333,-0.2333,2.36949020528438e-26,"Higher in Control"
"PHF8","PHF8","ENST00000687283","Control","FRDA",0,0.120833333333333,0.120833333333333,4.57627599870136e-25,"Higher in FRDA"
"KIF24","KIF24","ENST00000379174","Control","FRDA",0,0.404533333333333,0.404533333333333,1.0540014275485e-24,"Higher in FRDA"
"ANAPC5","ANAPC5","ENST00000541652","Control","FRDA",0.125166666666667,0,-0.125166666666667,3.36074279600326e-24,"Higher in Control"
"CCDC40","CCDC40","ENST00000397545","Control","FRDA",0.285433333333333,0,-0.285433333333333,7.57502618857414e-24,"Higher in Control"
"BBS2","BBS2","ENST00000682855","Control","FRDA",0.139066666666667,0,-0.139066666666667,1.09112547350179e-23,"Higher in Control"
"KIF24","KIF24","ENST00000402558","Control","FRDA",0.974533333333333,0.524166666666667,-0.450366666666667,1.42088223623658e-22,"Higher in Control"
"CGGBP1","CGGBP1","ENST00000675130","Control","FRDA",0,0.188966666666667,0.188966666666667,3.33701799296242e-22,"Higher in FRDA"
"MIR22HG","MIR22HG","ENST00000742907","Control","FRDA",0,0.124333333333333,0.124333333333333,4.01274964669062e-22,"Higher in FRDA"
"NEAT1","NEAT1","ENST00000642367","Control","FRDA",0,0.133933333333333,0.133933333333333,1.09209890683739e-21,"Higher in FRDA"
"HYCC1","HYCC1","ENST00000681402","Control","FRDA",0,0.114466666666667,0.114466666666667,3.4179304331234e-21,"Higher in FRDA"
"STK17B","STK17B","ENST00000714420","Control","FRDA",0.174933333333333,0,-0.174933333333333,7.74770167724071e-19,"Higher in Control"
"MAPK10","MAPK10","ENST00000395157","Control","FRDA",0,0.203066666666667,0.203066666666667,1.97784000429044e-18,"Higher in FRDA"
"LINC00630","LINC00630","ENST00000440496","Control","FRDA",0,0.157533333333333,0.157533333333333,3.03592075928129e-18,"Higher in FRDA"
"KAZN","KAZN","ENST00000361144","Control","FRDA",0.0514,0.408766666666667,0.357366666666667,5.62762127870575e-18,"Higher in FRDA"
"GLB1L","GLB1L","ENST00000497855","Control","FRDA",0,0.222966666666667,0.222966666666667,6.07107939738666e-18,"Higher in FRDA"
"TNS3","TNS3","ENST00000311160","Control","FRDA",0.3096,0.175033333333333,-0.134566666666667,6.07107939738666e-18,"Higher in Control"
