"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"PRKAR1B","PRKAR1B","ENST00000360274","Control","FRDA",0.244375,0,-0.244375,6.84684628407362e-126,"Higher in Control"
"MPRIP","MPRIP","ENST00000577514","Control","FRDA",0,0.132525,0.132525,1.59770155914038e-94,"Higher in FRDA"
"AXIN2","AXIN2","ENST00000375702","Control","FRDA",0.156625,0,-0.156625,1.05662143104836e-84,"Higher in Control"
"TPP2","TPP2","ENST00000651544","Control","FRDA",0,0.1265,0.1265,1.21764080624226e-63,"Higher in FRDA"
"ENOX2","ENOX2","ENST00000432489","Control","FRDA",0,0.23725,0.23725,2.56929071166382e-43,"Higher in FRDA"
"SVBP","SVBP","ENST00000372522","Control","FRDA",0,0.26645,0.26645,2.21608466879705e-37,"Higher in FRDA"
"USP48","USP48","ENST00000526044","Control","FRDA",0,0.236725,0.236725,1.68610864591913e-32,"Higher in FRDA"
"CNTN1","CNTN1","ENST00000551295","Control","FRDA",0.5041,0.6907,0.1866,5.46428811080279e-28,"Higher in FRDA"
"DHRS4L2","DHRS4L2","ENST00000397071","Control","FRDA",0.540575,0.9926,0.452025,2.32562100543451e-27,"Higher in FRDA"
"MAP3K13","MAP3K13","ENST00000447637","Control","FRDA",0,0.188625,0.188625,8.97114402556111e-27,"Higher in FRDA"
"TP53TG1","TP53TG1","ENST00000766307","Control","FRDA",0,0.22255,0.22255,4.07162966786327e-22,"Higher in FRDA"
"SLCO4A1","SLCO4A1","ENST00000370507","Control","FRDA",0,0.2768,0.2768,7.9549168162524e-22,"Higher in FRDA"
"MAP3K13","MAP3K13","ENST00000448876","Control","FRDA",0.000925,0.397525,0.3966,1.19974529333055e-21,"Higher in FRDA"
"GRIA3","GRIA3","ENST00000620581","Control","FRDA",0,0.15115,0.15115,3.17235377390252e-18,"Higher in FRDA"
"SNAP25-AS1","SNAP25-AS1","ENST00000658443","Control","FRDA",0.132325,0,-0.132325,4.34737036995853e-15,"Higher in Control"
"DHRS4L2","DHRS4L2","ENST00000557812","Control","FRDA",0.167775,0,-0.167775,4.19396504548155e-13,"Higher in Control"
"LINC00326","LINC00326","ENST00000787831","Control","FRDA",0,0.767325,0.767325,9.83951100897307e-13,"Higher in FRDA"
"LINC02458","LINC02458","ENST00000686845","Control","FRDA",0.347925,0,-0.347925,6.40671173490961e-12,"Higher in Control"
"PPP2R2B","PPP2R2B","ENST00000336640","Control","FRDA",0.195325,0.048225,-0.1471,1.09408143463887e-09,"Higher in Control"
"ZNF426-DT","ZNF426-DT","ENST00000653468","Control","FRDA",0,0.63165,0.63165,6.04377173485149e-08,"Higher in FRDA"
"SVBP","SVBP","ENST00000372521","Control","FRDA",0.91965,0.66905,-0.2506,6.49345401520507e-08,"Higher in Control"
"EGFLAM","EGFLAM","ENST00000397210","Control","FRDA",0,0.177425,0.177425,9.87088856607848e-08,"Higher in FRDA"
"CNTN1","CNTN1","ENST00000347616","Control","FRDA",0.1597,0.033275,-0.126425,2.25682381419891e-07,"Higher in Control"
"MIR4500HG","MIR4500HG","ENST00000441617","Control","FRDA",0.123325,0,-0.123325,4.91761790553536e-07,"Higher in Control"
"DDX60L","DDX60L","ENST00000505863","Control","FRDA",0,0.219925,0.219925,6.87298012610786e-07,"Higher in FRDA"
"LINC03026","LINC03026","ENST00000693426","Control","FRDA",0.21495,0,-0.21495,2.74942971107702e-06,"Higher in Control"
"ARHGAP22","ARHGAP22","ENST00000249601","Control","FRDA",0.3503,0.54465,0.19435,1.45981138196552e-05,"Higher in FRDA"
"PLEKHB1","PLEKHB1","ENST00000227214","Control","FRDA",0.91755,0.802525,-0.115025,2.58040127207384e-05,"Higher in Control"
"C3orf18","C3orf18","ENST00000426034","Control","FRDA",0.22045,0.42825,0.2078,3.12282875187514e-05,"Higher in FRDA"
"HDHD5","HDHD5","ENST00000336737","Control","FRDA",0.7161,0.882175,0.166075,3.24539861577433e-05,"Higher in FRDA"
"LYSMD4","LYSMD4","ENST00000450512","Control","FRDA",0,0.13965,0.13965,5.12837404345502e-05,"Higher in FRDA"
"ATG9B","ATG9B","ENST00000605952","Control","FRDA",0.44645,0.333275,-0.113175,0.000277413359627035,"Higher in Control"
"DTNBP1","DTNBP1","ENST00000344537","Control","FRDA",0.626,0.5027,-0.1233,0.0006771415383062,"Higher in Control"
"ENSG00000290937.2",NA,"ENST00000779233","Control","FRDA",0.152325,0.02075,-0.131575,0.000888228858231188,"Higher in Control"
"BLTP1","BLTP1","ENST00000306802","Control","FRDA",0.101825,0.2491,0.147275,0.000929525838246891,"Higher in FRDA"
"NRL","NRL","ENST00000397002","Control","FRDA",0.017825,0.322475,0.30465,0.000929525838246891,"Higher in FRDA"
"PARD6G-AS1","PARD6G-AS1","ENST00000662611","Control","FRDA",0.0037,0.138325,0.134625,0.000949928420667911,"Higher in FRDA"
"IFITM2","IFITM2","ENST00000681276","Control","FRDA",0,0.109075,0.109075,0.000960639005351512,"Higher in FRDA"
"COPS8-DT","COPS8-DT","ENST00000655155","Control","FRDA",0.1219,0,-0.1219,0.000990751901740068,"Higher in Control"
"PPIEL","PPIEL","ENST00000642822","Control","FRDA",0.12705,0.016725,-0.110325,0.00111322859061702,"Higher in Control"
