gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00001997,BCOR,BCOR,Control,FRDA,6.972994170226225e-102,1
geneComp_00029217,HLA-DPB1,HLA-DPB1,Control,FRDA,1.6762852373239754e-100,2
geneComp_00037313,PDE10A,PDE10A,Control,FRDA,9.506485285385958e-56,3
geneComp_00005613,DNAJC11,DNAJC11,Control,FRDA,2.949518879669709e-46,4
geneComp_00005868,DUBR,DUBR,Control,FRDA,4.963377960991541e-32,5
geneComp_00000451,ADGRG1,ADGRG1,Control,FRDA,3.3353172028583335e-23,6
geneComp_00037201,PCDHGA10,PCDHGA10,Control,FRDA,1.0030190005514673e-21,7
geneComp_00029002,HCG15,HCG15,Control,FRDA,1.422261098467593e-19,8
geneComp_00027018,FAM88E,FAM88E,Control,FRDA,1.3194554965184309e-14,9
geneComp_00028758,GUSBP5,GUSBP5,Control,FRDA,5.715918578524052e-14,10
geneComp_00007158,ENSG00000226465.6,NA,Control,FRDA,4.9654459955866535e-11,11
geneComp_00002897,CASZ1,CASZ1,Control,FRDA,8.877047830979687e-11,12
geneComp_00008497,ENSG00000241860.8,NA,Control,FRDA,4.2737080142920994e-10,13
geneComp_00035075,MTUS1,MTUS1,Control,FRDA,1.109475890030407e-9,14
geneComp_00022184,ENSG00000302646.1,NA,Control,FRDA,3.0229176990139588e-9,15
geneComp_00003023,CCDC169,CCDC169,Control,FRDA,2.1593368167207677e-8,16
geneComp_00044937,TF,TF,Control,FRDA,4.385069168038076e-8,17
geneComp_00034342,MIR302CHG,MIR302CHG,Control,FRDA,5.171490078079123e-8,18
geneComp_00001039,ANXA2R-OT1,ANXA2R-OT1,Control,FRDA,8.44609901989801e-8,19
geneComp_00033323,LOXL1-AS1,LOXL1-AS1,Control,FRDA,1.4478502670031607e-7,20
geneComp_00037785,PITX2,PITX2,Control,FRDA,8.916750197742615e-7,21
geneComp_00044217,STMN4,STMN4,Control,FRDA,8.962534759117842e-7,22
geneComp_00030651,KCNN2,KCNN2,Control,FRDA,1.0941266956988773e-6,23
geneComp_00037357,PDGFD,PDGFD,Control,FRDA,1.7377664239539876e-6,24
geneComp_00016809,ENSG00000290937.2,NA,Control,FRDA,2.375117977910982e-6,25
geneComp_00042073,SCRN3,SCRN3,Control,FRDA,3.037071788289163e-6,26
geneComp_00003509,CDPF1,CDPF1,Control,FRDA,6.29266212920449e-6,27
geneComp_00042104,SDCCAG8,SDCCAG8,Control,FRDA,2.3059712781442926e-5,28
geneComp_00002565,C3orf62,C3orf62,Control,FRDA,3.5397873418284156e-5,29
geneComp_00005641,DNAJC7,DNAJC7,Control,FRDA,6.095966270020231e-5,30
geneComp_00038077,PNPLA6,PNPLA6,Control,FRDA,6.095966270020231e-5,31
geneComp_00008532,ENSG00000242553.3,NA,Control,FRDA,1.067448390905105e-4,32
geneComp_00036984,PAK6,PAK6,Control,FRDA,2.179048801173294e-4,33
geneComp_00012754,ENSG00000274015.4,NA,Control,FRDA,2.5395772795887587e-4,34
geneComp_00003808,CHCHD7,CHCHD7,Control,FRDA,3.005213118487318e-4,35
geneComp_00047606,ZDHHC12-DT,ZDHHC12-DT,Control,FRDA,4.516559802369951e-4,36
geneComp_00035147,MYCL,MYCL,Control,FRDA,0.0010209337729417888,37
geneComp_00038571,PRIMA1,PRIMA1,Control,FRDA,0.0010209337729417888,38
geneComp_00002971,CCBE1,CCBE1,Control,FRDA,0.0010503087280490518,39
geneComp_00016591,ENSG00000290385.2,NA,Control,FRDA,0.0023191337242999626,40
geneComp_00048230,ZNF702P,ZNF702P,Control,FRDA,0.00324727964005061,41
geneComp_00013504,ENSG00000280018.5,NA,Control,FRDA,0.0033855609762934204,42
geneComp_00005574,DNAH9,DNAH9,Control,FRDA,0.0036254263584636803,43
geneComp_00027434,FMN2,FMN2,Control,FRDA,0.00362664607763931,44
geneComp_00044370,SUPV3L1,SUPV3L1,Control,FRDA,0.003702052925025352,45
geneComp_00006007,EBLN3P,EBLN3P,Control,FRDA,0.00483909071392158,46
geneComp_00040557,ROBO3,ROBO3,Control,FRDA,0.004868893802732267,47
geneComp_00038890,PSMD9,PSMD9,Control,FRDA,0.004924123085563386,48
geneComp_00027549,FOXP2,FOXP2,Control,FRDA,0.005420571931365086,49
geneComp_00047502,ZBTB1,ZBTB1,Control,FRDA,0.005615835516641285,50
geneComp_00044942,TFAP2A-AS1,TFAP2A-AS1,Control,FRDA,0.0058990592544609045,51
geneComp_00036408,ODC1-DT,ODC1-DT,Control,FRDA,0.006847557265661718,52
geneComp_00004888,CWC27,CWC27,Control,FRDA,0.007283826774638019,53
geneComp_00005720,DOP1B,DOP1B,Control,FRDA,0.007356447192735014,54
geneComp_00013423,ENSG00000278903.6,NA,Control,FRDA,0.007826243974367462,55
geneComp_00002538,C2orf42,C2orf42,Control,FRDA,0.010730939301530988,56
geneComp_00003151,CCM2,CCM2,Control,FRDA,0.01205069342699156,57
geneComp_00008660,ENSG00000247134.9,NA,Control,FRDA,0.01205597383754818,58
geneComp_00047714,ZIC3,ZIC3,Control,FRDA,0.01282752919144725,59
geneComp_00035292,NAA80,NAA80,Control,FRDA,0.012896400993134586,60
geneComp_00033904,MAST1,MAST1,Control,FRDA,0.012938076232657724,61
geneComp_00034963,MTERF4,MTERF4,Control,FRDA,0.012938076232657724,62
geneComp_00043548,SNX25,SNX25,Control,FRDA,0.013701085692599698,63
geneComp_00045543,TMF1,TMF1,Control,FRDA,0.014528042894885062,64
geneComp_00000026,AAMP,AAMP,Control,FRDA,0.016029069392044203,65
geneComp_00003438,CDH8,CDH8,Control,FRDA,0.017454868361042455,66
geneComp_00038369,PPP1R12B,PPP1R12B,Control,FRDA,0.019177840835011412,67
geneComp_00039576,RBPMS2,RBPMS2,Control,FRDA,0.019177840835011412,68
geneComp_00002152,BNC2,BNC2,Control,FRDA,0.019658700577894116,69
geneComp_00001000,ANKS6,ANKS6,Control,FRDA,0.021220852956375734,70
geneComp_00012972,ENSG00000275496.5,NA,Control,FRDA,0.022572945394266807,71
geneComp_00043090,SLC8B1,SLC8B1,Control,FRDA,0.023969220599550384,72
geneComp_00044866,TENM2,TENM2,Control,FRDA,0.025642208826608063,73
geneComp_00029815,ICA1,ICA1,Control,FRDA,0.02618470675502079,74
geneComp_00048155,ZNF619,ZNF619,Control,FRDA,0.029093881411200093,75
geneComp_00026552,ERV3-1,ERV3-1,Control,FRDA,0.03089093479683908,76
geneComp_00039864,RIOK3,RIOK3,Control,FRDA,0.031571966966067136,77
geneComp_00037169,PCDHA12,PCDHA12,Control,FRDA,0.035185331358053906,78
geneComp_00039872,RIPOR2,RIPOR2,Control,FRDA,0.03791690049512367,79
geneComp_00037384,PDLIM3,PDLIM3,Control,FRDA,0.03866394461231559,80
geneComp_00026719,FABP3,FABP3,Control,FRDA,0.04075596534538286,81
geneComp_00042962,SLC38A5,SLC38A5,Control,FRDA,0.04112734461123668,82
geneComp_00007275,ENSG00000227486.5,NA,Control,FRDA,0.043033947720664746,83
geneComp_00043086,SLC8A1,SLC8A1,Control,FRDA,0.04304269088827658,84
geneComp_00047631,ZEB1,ZEB1,Control,FRDA,0.04304269088827658,85
geneComp_00036794,OSCP1,OSCP1,Control,FRDA,0.043243550778265506,86
geneComp_00004567,CRACR2B,CRACR2B,Control,FRDA,0.04358122990687219,87
geneComp_00033648,MACROD2,MACROD2,Control,FRDA,0.04874465452415837,88
geneComp_00033700,MAGED4B,MAGED4B,Control,FRDA,0.04874465452415837,89
geneComp_00037636,PHLDA3,PHLDA3,Control,FRDA,0.04874465452415837,90
