dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_NCC_FA1,BCOR,BCOR,1,codingPotential,0.179275,6.972994170226225e-102
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,5,codingPotential; domain_identified; IR; PTC; signal_peptide_identified,0.36388,1.6762852373239754e-100
Maddock_NCC_FA1,PDE10A,PDE10A,2,codingPotential; domain_identified,0.24428,9.506485285385958e-56
Maddock_NCC_FA1,DNAJC11,DNAJC11,1,codingPotential,0.10374,2.949518879669709e-46
Maddock_NCC_FA1,DUBR,DUBR,1,IR,0.137025,4.963377960991541e-32
Maddock_NCC_FA1,ADGRG1,ADGRG1,3,codingPotential; domain_identified; signal_peptide_identified,0.14994,3.3353172028583335e-23
Maddock_NCC_FA1,PCDHGA10,PCDHGA10,3,codingPotential; domain_identified; signal_peptide_identified,0.3218,1.0030190005514673e-21
Maddock_NCC_FA1,FAM88E,FAM88E,1,IR,0.5082099999999999,1.3194554965184309e-14
Maddock_NCC_FA1,GUSBP5,GUSBP5,1,codingPotential,0.25655,5.715918578524052e-14
Maddock_NCC_FA1,CASZ1,CASZ1,1,codingPotential,0.199075,8.877047830979687e-11
Maddock_NCC_FA1,ENSG00000241860.8,NA,1,IR,0.2528949999999999,4.2737080142920994e-10
Maddock_NCC_FA1,MTUS1,MTUS1,1,codingPotential,0.28051,1.109475890030407e-9
Maddock_NCC_FA1,ENSG00000302646.1,NA,1,IR,0.35185,3.0229176990139588e-9
Maddock_NCC_FA1,CCDC169,CCDC169,2,codingPotential; domain_identified,0.24399,2.1593368167207677e-8
Maddock_NCC_FA1,TF,TF,5,codingPotential; domain_identified; IR; PTC; signal_peptide_identified,0.2102,4.385069168038076e-8
Maddock_NCC_FA1,ANXA2R-OT1,ANXA2R-OT1,1,IR,0.105715,8.44609901989801e-8
Maddock_NCC_FA1,PITX2,PITX2,2,codingPotential; domain_identified,0.22304,8.916750197742615e-7
Maddock_NCC_FA1,STMN4,STMN4,3,codingPotential; domain_identified; signal_peptide_identified,0.14799,8.962534759117842e-7
Maddock_NCC_FA1,KCNN2,KCNN2,2,codingPotential; domain_identified,0.158385,1.0941266956988773e-6
Maddock_NCC_FA1,PDGFD,PDGFD,3,codingPotential; domain_identified; signal_peptide_identified,0.14504499999999998,1.7377664239539876e-6
Maddock_NCC_FA1,ENSG00000290937.2,NA,1,IR,0.14762999999999998,2.375117977910982e-6
Maddock_NCC_FA1,SCRN3,SCRN3,2,codingPotential; domain_identified,0.11313000000000001,3.037071788289163e-6
Maddock_NCC_FA1,CDPF1,CDPF1,2,codingPotential; domain_identified,0.114595,6.29266212920449e-6
Maddock_NCC_FA1,C3orf62,C3orf62,4,codingPotential; domain_identified; IR; PTC,0.21657500000000007,3.5397873418284156e-5
Maddock_NCC_FA1,DNAJC7,DNAJC7,2,codingPotential; domain_identified,0.12297,6.095966270020231e-5
Maddock_NCC_FA1,PNPLA6,PNPLA6,2,codingPotential; domain_identified,0.11795000000000003,6.095966270020231e-5
Maddock_NCC_FA1,PAK6,PAK6,3,codingPotential; domain_identified; IR,0.12398999999999999,2.179048801173294e-4
Maddock_NCC_FA1,CHCHD7,CHCHD7,1,domain_identified,0.10631499999999999,3.005213118487318e-4
Maddock_NCC_FA1,ZDHHC12-DT,ZDHHC12-DT,2,codingPotential; IR,0.11655,4.516559802369951e-4
Maddock_NCC_FA1,PRIMA1,PRIMA1,3,codingPotential; domain_identified; signal_peptide_identified,0.37062,0.0010209337729417888
Maddock_NCC_FA1,MYCL,MYCL,2,codingPotential; domain_identified,0.10449500000000003,0.0010209337729417888
Maddock_NCC_FA1,CCBE1,CCBE1,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.24885000000000002,0.0010503087280490518
Maddock_NCC_FA1,ENSG00000290385.2,NA,1,IR,0.10292499999999999,0.0023191337242999626
Maddock_NCC_FA1,ZNF702P,ZNF702P,1,codingPotential,0.10402,0.00324727964005061
Maddock_NCC_FA1,ENSG00000280018.5,NA,1,IR,0.28505499999999995,0.0033855609762934204
Maddock_NCC_FA1,DNAH9,DNAH9,3,codingPotential; domain_identified; IR,0.42560500000000007,0.0036254263584636803
Maddock_NCC_FA1,FMN2,FMN2,2,codingPotential; IR,0.38687499999999997,0.00362664607763931
Maddock_NCC_FA1,SUPV3L1,SUPV3L1,2,codingPotential; domain_identified,0.12244000000000001,0.003702052925025352
Maddock_NCC_FA1,ROBO3,ROBO3,1,IR,0.1018,0.004868893802732267
Maddock_NCC_FA1,PSMD9,PSMD9,2,codingPotential; domain_identified,0.15395999999999999,0.004924123085563386
Maddock_NCC_FA1,FOXP2,FOXP2,2,codingPotential; domain_identified,0.15017999999999998,0.005420571931365086
Maddock_NCC_FA1,ZBTB1,ZBTB1,2,codingPotential; domain_identified,0.1273,0.005615835516641285
Maddock_NCC_FA1,TFAP2A-AS1,TFAP2A-AS1,1,IR,0.16748,0.0058990592544609045
Maddock_NCC_FA1,ODC1-DT,ODC1-DT,1,IR,0.13057999999999997,0.006847557265661718
Maddock_NCC_FA1,CWC27,CWC27,3,codingPotential; domain_identified; PTC,0.15684,0.007283826774638019
Maddock_NCC_FA1,DOP1B,DOP1B,2,codingPotential; domain_identified,0.146495,0.007356447192735014
Maddock_NCC_FA1,C2orf42,C2orf42,2,codingPotential; domain_identified,0.12396499999999994,0.010730939301530988
Maddock_NCC_FA1,CCM2,CCM2,2,codingPotential; domain_identified,0.10421,0.01205069342699156
Maddock_NCC_FA1,ZIC3,ZIC3,2,codingPotential; domain_identified,0.104595,0.01282752919144725
Maddock_NCC_FA1,NAA80,NAA80,2,codingPotential; domain_identified,0.1606,0.012896400993134586
Maddock_NCC_FA1,MAST1,MAST1,3,codingPotential; domain_identified; IR,0.21576499999999998,0.012938076232657724
Maddock_NCC_FA1,MTERF4,MTERF4,1,codingPotential,0.14664,0.012938076232657724
Maddock_NCC_FA1,SNX25,SNX25,2,codingPotential; domain_identified,0.216175,0.013701085692599698
Maddock_NCC_FA1,AAMP,AAMP,2,codingPotential; domain_identified,0.11957,0.016029069392044203
Maddock_NCC_FA1,CDH8,CDH8,3,codingPotential; domain_identified; signal_peptide_identified,0.141285,0.017454868361042455
Maddock_NCC_FA1,PPP1R12B,PPP1R12B,2,codingPotential; domain_identified,0.13857,0.019177840835011412
Maddock_NCC_FA1,RBPMS2,RBPMS2,2,codingPotential; domain_identified,0.10104000000000002,0.019177840835011412
Maddock_NCC_FA1,BNC2,BNC2,1,codingPotential,0.146645,0.019658700577894116
Maddock_NCC_FA1,ANKS6,ANKS6,1,codingPotential,0.11282499999999998,0.021220852956375734
Maddock_NCC_FA1,SLC8B1,SLC8B1,3,codingPotential; domain_identified; signal_peptide_identified,0.115,0.023969220599550384
Maddock_NCC_FA1,TENM2,TENM2,3,codingPotential; domain_identified; PTC,0.20669999999999997,0.025642208826608063
Maddock_NCC_FA1,ICA1,ICA1,3,codingPotential; domain_identified; IR,0.19876000000000002,0.02618470675502079
Maddock_NCC_FA1,ZNF619,ZNF619,2,codingPotential; domain_identified,0.12656,0.029093881411200093
Maddock_NCC_FA1,ERV3-1,ERV3-1,2,codingPotential; signal_peptide_identified,0.10649000000000003,0.03089093479683908
Maddock_NCC_FA1,RIOK3,RIOK3,2,codingPotential; domain_identified,0.10506000000000004,0.031571966966067136
Maddock_NCC_FA1,PCDHA12,PCDHA12,3,codingPotential; domain_identified; signal_peptide_identified,0.11598000000000001,0.035185331358053906
Maddock_NCC_FA1,RIPOR2,RIPOR2,2,codingPotential; domain_identified,0.220825,0.03791690049512367
Maddock_NCC_FA1,PDLIM3,PDLIM3,2,codingPotential; domain_identified,0.23714000000000002,0.03866394461231559
