"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"BCOR","BCOR","ENST00000672265","Control","FRDA",0.11525,0.01052,-0.10473,6.97299417022623e-102,"Higher in Control"
"HLA-DPB1","HLA-DPB1","ENST00000498038","Control","FRDA",0,0.36388,0.36388,1.67628523732398e-100,"Higher in FRDA"
"PDE10A","PDE10A","ENST00000676766","Control","FRDA",0,0.24428,0.24428,9.50648528538596e-56,"Higher in FRDA"
"DNAJC11","DNAJC11","ENST00000485073","Control","FRDA",0,0.10374,0.10374,2.94951887966971e-46,"Higher in FRDA"
"BCOR","BCOR","ENST00000490976","Control","FRDA",0.197475,0.06864,-0.128835,2.34385588725073e-40,"Higher in Control"
"DUBR","DUBR","ENST00000667634","Control","FRDA",0,0.13098,0.13098,4.96337796099154e-32,"Higher in FRDA"
"ADGRG1","ADGRG1","ENST00000540164","Control","FRDA",0,0.14994,0.14994,3.33531720285833e-23,"Higher in FRDA"
"PCDHGA10","PCDHGA10","ENST00000398610","Control","FRDA",0.5946,0.9164,0.3218,1.00301900055147e-21,"Higher in FRDA"
"PCDHGA10","PCDHGA10","ENST00000612503","Control","FRDA",0.4054,0.0836,-0.3218,3.86812200504908e-20,"Higher in Control"
"HCG15","HCG15","ENST00000716159","Control","FRDA",0.16335,0,-0.16335,1.42226109846759e-19,"Higher in Control"
"FAM88E","FAM88E","ENST00000806182","Control","FRDA",0,0.37028,0.37028,1.31945549651843e-14,"Higher in FRDA"
"GUSBP5","GUSBP5","ENST00000793892","Control","FRDA",0.25655,0,-0.25655,5.71591857852405e-14,"Higher in Control"
"ENSG00000226465.6",NA,"ENST00000665159","Control","FRDA",0.180725,0,-0.180725,4.96544599558665e-11,"Higher in Control"
"CASZ1","CASZ1","ENST00000496432","Control","FRDA",0.344325,0.5434,0.199075,8.87704783097969e-11,"Higher in FRDA"
"ENSG00000241860.8",NA,"ENST00000484859","Control","FRDA",0.387125,0.64002,0.252895,4.2737080142921e-10,"Higher in FRDA"
"MTUS1","MTUS1","ENST00000693296","Control","FRDA",0.47585,0.19534,-0.28051,1.10947589003041e-09,"Higher in Control"
"ENSG00000302646.1",NA,"ENST00000788480","Control","FRDA",0.35185,0,-0.35185,3.02291769901396e-09,"Higher in Control"
"HLA-DPB1","HLA-DPB1","ENST00000416804","Control","FRDA",0.511175,0.18732,-0.323855,2.01215599737698e-08,"Higher in Control"
"CCDC169","CCDC169","ENST00000477250","Control","FRDA",0.43505,0.19106,-0.24399,2.15933681672077e-08,"Higher in Control"
"TF","TF","ENST00000493011","Control","FRDA",0,0.1812,0.1812,4.38506916803808e-08,"Higher in FRDA"
"MIR302CHG","MIR302CHG","ENST00000505632","Control","FRDA",0.03105,0.26728,0.23623,5.17149007807912e-08,"Higher in FRDA"
"ANXA2R-OT1","ANXA2R-OT1","ENST00000686257","Control","FRDA",0.16185,0.05162,-0.11023,8.44609901989801e-08,"Higher in Control"
"PITX2","PITX2","ENST00000394595","Control","FRDA",0.0618,0.28484,0.22304,8.91675019774261e-07,"Higher in FRDA"
"STMN4","STMN4","ENST00000519997","Control","FRDA",0.116425,0,-0.116425,8.96253475911784e-07,"Higher in Control"
"KCNN2","KCNN2","ENST00000503706","Control","FRDA",0.102875,0,-0.102875,1.09412669569888e-06,"Higher in Control"
"PDGFD","PDGFD","ENST00000393158","Control","FRDA",0.689375,0.81874,0.129365,1.73776642395399e-06,"Higher in FRDA"
"ENSG00000290937.2",NA,"ENST00000779226","Control","FRDA",0.1392,0.374,0.2348,2.37511797791098e-06,"Higher in FRDA"
"SCRN3","SCRN3","ENST00000548921","Control","FRDA",0.12525,0.01906,-0.10619,3.03707178828916e-06,"Higher in Control"
"CDPF1","CDPF1","ENST00000314567","Control","FRDA",0.618725,0.73332,0.114595,6.29266212920449e-06,"Higher in FRDA"
