dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_SN_FA1,ZNF331,ZNF331,3,codingPotential; domain_identified; IR,0.14826,7.482764336383175e-59
Maddock_SN_FA1,FAM88E,FAM88E,1,IR,0.33746,8.52570435551505e-30
Maddock_SN_FA1,CNTN4,CNTN4,3,codingPotential; domain_identified; signal_peptide_identified,0.28464,2.8220502487578646e-28
Maddock_SN_FA1,ENSG00000307088.1,NA,1,IR,0.10171999999999999,1.6634280787446462e-25
Maddock_SN_FA1,SNAP25-AS1,SNAP25-AS1,1,IR,0.13828000000000001,3.6319848656866844e-24
Maddock_SN_FA1,ENSG00000241860.8,NA,1,IR,0.29117999999999994,1.685016072155571e-23
Maddock_SN_FA1,PCDHGA10,PCDHGA10,3,codingPotential; domain_identified; signal_peptide_identified,0.24168,2.4661100309985264e-23
Maddock_SN_FA1,BCOR,BCOR,1,codingPotential,0.16002000000000002,3.026347748286136e-22
Maddock_SN_FA1,HAUS7,HAUS7,1,codingPotential,0.23534,4.1342289267949086e-21
Maddock_SN_FA1,GRM1,GRM1,2,codingPotential; domain_identified,0.55428,5.516832877958943e-21
Maddock_SN_FA1,ENPP2,ENPP2,2,codingPotential; domain_identified,0.132,1.6612392683278758e-18
Maddock_SN_FA1,AFDN-DT,AFDN-DT,1,IR,0.10765999999999999,4.0458616828904304e-17
Maddock_SN_FA1,CHL1,CHL1,2,domain_identified; signal_peptide_identified,0.3854,1.702127936761211e-16
Maddock_SN_FA1,ENSG00000290937.2,NA,1,IR,0.186,1.3429197852820795e-15
Maddock_SN_FA1,RAB37,RAB37,2,codingPotential; domain_identified,0.23852,4.241736861057159e-15
Maddock_SN_FA1,NRG2,NRG2,2,codingPotential; domain_identified,0.17320000000000002,4.018515413025219e-14
Maddock_SN_FA1,DHRS4L1,DHRS4L1,2,codingPotential; IR,0.19604000000000002,8.859486337421127e-11
Maddock_SN_FA1,PRKAG2,PRKAG2,2,codingPotential; domain_identified,0.14998,4.4241929040921416e-10
