"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"ZNF331","ZNF331","ENST00000512387","Control","FRDA",0.11142,0,-0.11142,7.48276433638317e-59,"Higher in Control"
"EXTL3","EXTL3","ENST00000519886","Control","FRDA",0,0.14962,0.14962,1.10495874485925e-40,"Higher in FRDA"
"FAM88E","FAM88E","ENST00000806182","Control","FRDA",0,0.33746,0.33746,8.52570435551505e-30,"Higher in FRDA"
"CNTN4","CNTN4","ENST00000418658","Control","FRDA",0,0.11734,0.11734,2.82205024875786e-28,"Higher in FRDA"
"SNAP25-AS1","SNAP25-AS1","ENST00000661614","Control","FRDA",0,0.13828,0.13828,3.63198486568668e-24,"Higher in FRDA"
"ENSG00000241860.8",NA,"ENST00000831122","Control","FRDA",0.1313,0.00274,-0.12856,1.68501607215557e-23,"Higher in Control"
"PCDHGA10","PCDHGA10","ENST00000398610","Control","FRDA",0.70628,0.94796,0.24168,2.46611003099853e-23,"Higher in FRDA"
"PCDHGA10","PCDHGA10","ENST00000612503","Control","FRDA",0.29372,0.05204,-0.24168,2.46611003099853e-23,"Higher in Control"
"HAUS7","HAUS7","ENST00000460898","Control","FRDA",0,0.23534,0.23534,4.13422892679491e-21,"Higher in FRDA"
"GRM1","GRM1","ENST00000492807","Control","FRDA",0,0.41786,0.41786,5.51683287795894e-21,"Higher in FRDA"
"BCOR","BCOR","ENST00000490976","Control","FRDA",0.16282,0.04892,-0.1139,3.5903673882075e-20,"Higher in Control"
"ENPP2","ENPP2","ENST00000427067","Control","FRDA",0.17406,0.04206,-0.132,1.66123926832788e-18,"Higher in Control"
"AFDN-DT","AFDN-DT","ENST00000794573","Control","FRDA",0.10766,0,-0.10766,4.04586168289043e-17,"Higher in Control"
"CHL1","CHL1","ENST00000449294","Control","FRDA",0.41576,0.03036,-0.3854,1.70212793676121e-16,"Higher in Control"
"ENSG00000290937.2",NA,"ENST00000779233","Control","FRDA",0.15674,0.0231,-0.13364,1.34291978528208e-15,"Higher in Control"
"RAB37","RAB37","ENST00000402449","Control","FRDA",0.23852,0,-0.23852,4.24173686105716e-15,"Higher in Control"
"NRG2","NRG2","ENST00000541337","Control","FRDA",0.1732,0,-0.1732,4.01851541302522e-14,"Higher in Control"
"PPP1R26-AS1","PPP1R26-AS1","ENST00000765288","Control","FRDA",0.1077,0,-0.1077,3.99476427757149e-12,"Higher in Control"
"DHRS4L1","DHRS4L1","ENST00000715443","Control","FRDA",0.27922,0.08318,-0.19604,8.85948633742113e-11,"Higher in Control"
"ENSG00000290937.2",NA,"ENST00000779248","Control","FRDA",0.18098,0.0345,-0.14648,8.89660864239743e-11,"Higher in Control"
"ZNF571-AS1","ZNF571-AS1","ENST00000586013","Control","FRDA",0,0.22326,0.22326,1.10700627556052e-10,"Higher in FRDA"
"ENSG00000307444.1",NA,"ENST00000826332","Control","FRDA",0.04434,0.6348,0.59046,3.83180486438974e-10,"Higher in FRDA"
"LINC01418","LINC01418","ENST00000560097","Control","FRDA",0.12076,0,-0.12076,4.1472584488904e-10,"Higher in Control"
"PRKAG2","PRKAG2","ENST00000492843","Control","FRDA",0.08646,0.23644,0.14998,4.42419290409214e-10,"Higher in FRDA"
"PITX2","PITX2","ENST00000394595","Control","FRDA",0.1408,0.28052,0.13972,5.26711753664692e-10,"Higher in FRDA"
"LINC02851","LINC02851","ENST00000615168","Control","FRDA",0.11598,0.0096,-0.10638,9.63794072900092e-10,"Higher in Control"
"UACA","UACA","ENST00000560831","Control","FRDA",0,0.14748,0.14748,1.23901794919387e-09,"Higher in FRDA"
"ENSG00000290937.2",NA,"ENST00000779251","Control","FRDA",0.23172,0.04572,-0.186,9.622877282162e-09,"Higher in Control"
"ENSG00000241860.8",NA,"ENST00000491962","Control","FRDA",0.15972,0.04038,-0.11934,3.19291240851501e-08,"Higher in Control"
"TGFA","TGFA","ENST00000418333","Control","FRDA",0.13962,0,-0.13962,6.94885413555862e-07,"Higher in Control"
"CHRM3","CHRM3","ENST00000255380","Control","FRDA",0.18424,0.03292,-0.15132,1.6384195187557e-06,"Higher in Control"
"PCDHA10","PCDHA10","ENST00000562220","Control","FRDA",0.16628,0.72498,0.5587,9.3042751653839e-06,"Higher in FRDA"
"CHL1","CHL1","ENST00000421198","Control","FRDA",0,0.18858,0.18858,2.48671065721111e-05,"Higher in FRDA"
