"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"GRB2","GRB2","ENST00000316804","Control","FRDA",0,0.25965,0.25965,3.25858687108218e-175,"Higher in FRDA"
"KIF21B","KIF21B","ENST00000422435","Control","FRDA",0.159925,0,-0.159925,1.64594138295672e-104,"Higher in Control"
"ZBTB14","ZBTB14","ENST00000614697","Control","FRDA",0,0.62355,0.62355,1.83465417993053e-85,"Higher in FRDA"
"ZBTB14","ZBTB14","ENST00000615385","Control","FRDA",0.6524,0,-0.6524,1.48028978045679e-57,"Higher in Control"
"INTS6","INTS6","ENST00000497989","Control","FRDA",0.2271,0,-0.2271,4.00031864763279e-39,"Higher in Control"
"LDHA","LDHA","ENST00000379412","Control","FRDA",0.6627,0.8969,0.2342,2.60616081632921e-38,"Higher in FRDA"
"CDC16","CDC16","ENST00000375308","Control","FRDA",0,0.10395,0.10395,1.05527671717692e-36,"Higher in FRDA"
"LINC02981","LINC02981","ENST00000702207","Control","FRDA",0,0.137525,0.137525,7.65913758552601e-32,"Higher in FRDA"
"SYT2","SYT2","ENST00000367267","Control","FRDA",1,0.79555,-0.20445,9.13237376770427e-27,"Higher in Control"
"ZNF45","ZNF45","ENST00000615985","Control","FRDA",0.21585,0,-0.21585,1.27659178802875e-25,"Higher in Control"
"SYT2","SYT2","ENST00000367268","Control","FRDA",0,0.20445,0.20445,4.36699732945128e-25,"Higher in FRDA"
"ACACB","ACACB","ENST00000377848","Control","FRDA",0.56425,0.3494,-0.21485,7.39384124158459e-25,"Higher in Control"
"GFER","GFER","ENST00000567719","Control","FRDA",0.1555,0,-0.1555,7.39384124158459e-25,"Higher in Control"
"ZMYND8","ZMYND8","ENST00000461685","Control","FRDA",0,0.116675,0.116675,6.00881282648358e-22,"Higher in FRDA"
"RGPD6","RGPD6","ENST00000329516","Control","FRDA",0,0.340575,0.340575,4.20655401608966e-20,"Higher in FRDA"
"MCC","MCC","ENST00000511847","Control","FRDA",0.312275,0,-0.312275,4.27880512401152e-20,"Higher in Control"
"ARB2A","ARB2A","ENST00000395965","Control","FRDA",0.7362,0.8717,0.1355,8.9391221208473e-19,"Higher in FRDA"
"MCC","MCC","ENST00000506605","Control","FRDA",0,0.2937,0.2937,7.27349244739322e-17,"Higher in FRDA"
"RBM6","RBM6","ENST00000266022","Control","FRDA",0.17735,0.077025,-0.100325,1.41582646483385e-16,"Higher in Control"
"SLC1A4","SLC1A4","ENST00000471551","Control","FRDA",0.256275,0,-0.256275,2.84672568474159e-16,"Higher in Control"
"RFXANK","RFXANK","ENST00000407360","Control","FRDA",0,0.166475,0.166475,3.2753529571598e-16,"Higher in FRDA"
"RUSC1","RUSC1","ENST00000368352","Control","FRDA",0.62185,0.172775,-0.449075,1.24267234661494e-15,"Higher in Control"
"CASTOR3P","CASTOR3P","ENST00000328453","Control","FRDA",0.413125,0.24775,-0.165375,1.75427899123718e-15,"Higher in Control"
"GUCY1B1","GUCY1B1","ENST00000505154","Control","FRDA",0,0.187,0.187,1.70647818963753e-14,"Higher in FRDA"
"SPPL2A","SPPL2A","ENST00000698140","Control","FRDA",0.115925,0,-0.115925,2.48003326573456e-13,"Higher in Control"
"SLC35A3","SLC35A3","ENST00000370153","Control","FRDA",0,0.14815,0.14815,2.70787476311627e-13,"Higher in FRDA"
"ACACB","ACACB","ENST00000377854","Control","FRDA",0,0.111125,0.111125,1.31331718803281e-12,"Higher in FRDA"
"AFF3","AFF3","ENST00000432037","Control","FRDA",0,0.12735,0.12735,2.44291471723593e-12,"Higher in FRDA"
"GPANK1","GPANK1","ENST00000375893","Control","FRDA",0.176725,0,-0.176725,4.66784238379416e-12,"Higher in Control"
"IRF1","IRF1","ENST00000680903","Control","FRDA",0.225275,0,-0.225275,8.51908934803457e-12,"Higher in Control"
"SERGEF","SERGEF","ENST00000530613","Control","FRDA",0.2184,0,-0.2184,8.87765666986822e-12,"Higher in Control"
"IFT172","IFT172","ENST00000260570","Control","FRDA",0.3976,0.22035,-0.17725,3.16721933612133e-11,"Higher in Control"
"TSPAN4","TSPAN4","ENST00000397397","Control","FRDA",0,0.198875,0.198875,7.00953969667229e-11,"Higher in FRDA"
"SPAG16","SPAG16","ENST00000432529","Control","FRDA",0.63355,0.4915,-0.14205,1.02487012367849e-10,"Higher in Control"
"GGA3","GGA3","ENST00000649398","Control","FRDA",0.1162,0,-0.1162,2.21271027882774e-10,"Higher in Control"
"SERGEF","SERGEF","ENST00000532212","Control","FRDA",0,0.2747,0.2747,2.27211656823225e-10,"Higher in FRDA"
"KAT7","KAT7","ENST00000513171","Control","FRDA",0.030575,0.155625,0.12505,2.77604094478373e-10,"Higher in FRDA"
"RNASEH2C","RNASEH2C","ENST00000530192","Control","FRDA",0,0.268075,0.268075,5.94917028045923e-10,"Higher in FRDA"
"HPF1","HPF1","ENST00000506125","Control","FRDA",0,0.132525,0.132525,6.2978579027225e-10,"Higher in FRDA"
"FCHO2","FCHO2","ENST00000508431","Control","FRDA",0.369675,0,-0.369675,1.42622739312323e-09,"Higher in Control"
"HIP1R","HIP1R","ENST00000535831","Control","FRDA",0.19255,0.070825,-0.121725,1.782908307152e-09,"Higher in Control"
"ADGRL2","ADGRL2","ENST00000674209","Control","FRDA",0.2037,0.09035,-0.11335,2.4852723057313e-09,"Higher in Control"
"MSRA","MSRA","ENST00000382490","Control","FRDA",0.128525,0,-0.128525,2.49179191583336e-09,"Higher in Control"
"ZNF644","ZNF644","ENST00000370440","Control","FRDA",0.07255,0.25135,0.1788,2.85801195509584e-09,"Higher in FRDA"
"ZNF644","ZNF644","ENST00000337393","Control","FRDA",0.58575,0.385625,-0.200125,5.14624904317795e-09,"Higher in Control"
"PSEN2","PSEN2","ENST00000495488","Control","FRDA",0.22065,0,-0.22065,5.26686607880565e-09,"Higher in Control"
"MED23","MED23","ENST00000368068","Control","FRDA",0.576525,0.47175,-0.104775,1.01053084797613e-08,"Higher in Control"
"NOL3","NOL3","ENST00000568146","Control","FRDA",0,0.199325,0.199325,1.01053084797613e-08,"Higher in FRDA"
"BAHCC1","BAHCC1","ENST00000675386","Control","FRDA",0.404,0.291175,-0.112825,1.10713123142485e-08,"Higher in Control"
"CHD9","CHD9","ENST00000565803","Control","FRDA",0.24955,0.143075,-0.106475,1.20096399855038e-08,"Higher in Control"
"CHN2","CHN2","ENST00000446446","Control","FRDA",0.122825,0.022575,-0.10025,1.23699290231576e-08,"Higher in Control"
"CAMTA1","CAMTA1","ENST00000700424","Control","FRDA",0.2185,0.1183,-0.1002,1.57857274911425e-08,"Higher in Control"
"TFPT","TFPT","ENST00000391758","Control","FRDA",0,0.5318,0.5318,1.61506487316787e-08,"Higher in FRDA"
"TARBP2","TARBP2","ENST00000549028","Control","FRDA",0,0.1284,0.1284,1.92101728598216e-08,"Higher in FRDA"
"RUSC1","RUSC1","ENST00000368349","Control","FRDA",0.09505,0.41375,0.3187,2.22541926332582e-08,"Higher in FRDA"
"NOVA1-DT","NOVA1-DT","ENST00000656336","Control","FRDA",0.329375,0.009725,-0.31965,2.43556906207085e-08,"Higher in Control"
"RNF220","RNF220","ENST00000355387","Control","FRDA",0.000675,0.143925,0.14325,2.70809916179916e-08,"Higher in FRDA"
"GGT1","GGT1","ENST00000466310","Control","FRDA",0,0.496025,0.496025,2.84122586900769e-08,"Higher in FRDA"
"COL1A1","COL1A1","ENST00000507689","Control","FRDA",0.04505,0.303675,0.258625,3.23254046921192e-08,"Higher in FRDA"
"LDHA","LDHA","ENST00000541097","Control","FRDA",0.122975,0.00695,-0.116025,3.53157231976255e-08,"Higher in Control"
"GLIDR","GLIDR","ENST00000667968","Control","FRDA",0,0.187625,0.187625,6.56849411382e-08,"Higher in FRDA"
"CYFIP1","CYFIP1","ENST00000612288","Control","FRDA",0.29555,0.12255,-0.173,7.55986502854533e-08,"Higher in Control"
"PRKCZ","PRKCZ","ENST00000378567","Control","FRDA",0.024925,0.192325,0.1674,7.82345030203667e-08,"Higher in FRDA"
"HDAC11","HDAC11","ENST00000402271","Control","FRDA",0.00725,0.1825,0.17525,8.3382482099471e-08,"Higher in FRDA"
"LINC01102","LINC01102","ENST00000664680","Control","FRDA",0,0.143725,0.143725,1.35291166193314e-07,"Higher in FRDA"
"ABLIM2","ABLIM2","ENST00000509819","Control","FRDA",0,0.257525,0.257525,1.57014755433047e-07,"Higher in FRDA"
"ENSG00000280018.5",NA,"ENST00000763305","Control","FRDA",0.251025,0,-0.251025,1.76474314984074e-07,"Higher in Control"
"ENSG00000291142.2",NA,"ENST00000758700","Control","FRDA",0.129075,0,-0.129075,2.93638880073255e-07,"Higher in Control"
"FAT3","FAT3","ENST00000525166","Control","FRDA",0.411275,0.273225,-0.13805,3.02163932436109e-07,"Higher in Control"
"NHS","NHS","ENST00000398097","Control","FRDA",0,0.1381,0.1381,3.02163932436109e-07,"Higher in FRDA"
"CNTNAP2","CNTNAP2","ENST00000361727","Control","FRDA",0.278675,0.0307,-0.247975,3.05299898168291e-07,"Higher in Control"
"FAT3","FAT3","ENST00000409404","Control","FRDA",0.27695,0.4097,0.13275,3.37003574059187e-07,"Higher in FRDA"
"RAB11FIP5","RAB11FIP5","ENST00000486777","Control","FRDA",0.797125,0.560575,-0.23655,4.23999407278785e-07,"Higher in Control"
"LRP8","LRP8","ENST00000306052","Control","FRDA",0.528325,0.4207,-0.107625,6.35705558819917e-07,"Higher in Control"
"TRIB2","TRIB2","ENST00000155926","Control","FRDA",0.754025,0.86315,0.109125,6.94084659156859e-07,"Higher in FRDA"
"RCAN1","RCAN1","ENST00000313806","Control","FRDA",0.69625,0.284725,-0.411525,7.00106686334332e-07,"Higher in Control"
"HS3ST3A1","HS3ST3A1","ENST00000284110","Control","FRDA",0.46635,0.25265,-0.2137,9.62738706707902e-07,"Higher in Control"
"TCF19","TCF19","ENST00000706788","Control","FRDA",0,0.132,0.132,1.10322726538672e-06,"Higher in FRDA"
"SHROOM2","SHROOM2","ENST00000452575","Control","FRDA",0.298975,0.13145,-0.167525,1.46197115616619e-06,"Higher in Control"
"SETD7","SETD7","ENST00000274031","Control","FRDA",0.598,0.749025,0.151025,1.60702903548245e-06,"Higher in FRDA"
"TAOK3","TAOK3","ENST00000537952","Control","FRDA",0.40495,0.26735,-0.1376,1.75254703191716e-06,"Higher in Control"
"SOX2-OT","SOX2-OT","ENST00000665033","Control","FRDA",0.191575,0.0836,-0.107975,1.81473622164774e-06,"Higher in Control"
"TTLL4","TTLL4","ENST00000472527","Control","FRDA",0,0.200825,0.200825,1.8674646314585e-06,"Higher in FRDA"
"DTD1","DTD1","ENST00000647441","Control","FRDA",0.618575,0.365275,-0.2533,1.86848776961724e-06,"Higher in Control"
"ADGRB3","ADGRB3","ENST00000370598","Control","FRDA",0.533675,0.7803,0.246625,1.88422432381511e-06,"Higher in FRDA"
"GOT1-DT","GOT1-DT","ENST00000693242","Control","FRDA",0,0.292225,0.292225,2.37134541000516e-06,"Higher in FRDA"
"HS3ST3A1","HS3ST3A1","ENST00000578576","Control","FRDA",0.53365,0.74735,0.2137,3.98640480375462e-06,"Higher in FRDA"
"RNASEK-C17orf49","RNASEK-C17orf49","ENST00000547863","Control","FRDA",0.348175,0,-0.348175,4.14751397088567e-06,"Higher in Control"
"ENSG00000305511.1",NA,"ENST00000811425","Control","FRDA",0.884625,0.409,-0.475625,4.23743487683706e-06,"Higher in Control"
"SPAG16","SPAG16","ENST00000331683","Control","FRDA",0.0354,0.13655,0.10115,4.8427072504877e-06,"Higher in FRDA"
"ENSG00000305511.1",NA,"ENST00000811422","Control","FRDA",0.115375,0.591,0.475625,4.88878458657373e-06,"Higher in FRDA"
"ADD1","ADD1","ENST00000398129","Control","FRDA",0.25195,0.383275,0.131325,5.02366731629366e-06,"Higher in FRDA"
"GRM1","GRM1","ENST00000706836","Control","FRDA",0.214625,0,-0.214625,5.27839206785021e-06,"Higher in Control"
"SLC50A1","SLC50A1","ENST00000368401","Control","FRDA",0,0.3609,0.3609,5.48650016550926e-06,"Higher in FRDA"
"TMOD2","TMOD2","ENST00000249700","Control","FRDA",0.98355,0.86985,-0.1137,5.59623188767245e-06,"Higher in Control"
"RABGGTA","RABGGTA","ENST00000399409","Control","FRDA",0.32615,0.124225,-0.201925,6.98557419413444e-06,"Higher in Control"
"KIAA1671","KIAA1671","ENST00000637069","Control","FRDA",0.1577,0.375775,0.218075,7.12652984672961e-06,"Higher in FRDA"
"TAF4","TAF4","ENST00000608887","Control","FRDA",0.267075,0,-0.267075,7.37877195363746e-06,"Higher in Control"
"EPB41L1","EPB41L1","ENST00000373946","Control","FRDA",0.15245,0.047725,-0.104725,7.67677670966972e-06,"Higher in Control"
"COL1A1","COL1A1","ENST00000225964","Control","FRDA",0.89085,0.641225,-0.249625,7.74767848191656e-06,"Higher in Control"
"EPS15","EPS15","ENST00000493793","Control","FRDA",0.6311,0.43325,-0.19785,7.82413368802151e-06,"Higher in Control"
"SIRT7","SIRT7","ENST00000572350","Control","FRDA",0.0094,0.214725,0.205325,8.15858293082942e-06,"Higher in FRDA"
"SPECC1","SPECC1","ENST00000395525","Control","FRDA",0.500375,0.372075,-0.1283,8.24240087053456e-06,"Higher in Control"
"ZNF407","ZNF407","ENST00000299687","Control","FRDA",0.497575,0.379675,-0.1179,8.24240087053456e-06,"Higher in Control"
"RCAN1","RCAN1","ENST00000381132","Control","FRDA",0.193975,0.603375,0.4094,1.13079197540032e-05,"Higher in FRDA"
"RIMS2","RIMS2","ENST00000523362","Control","FRDA",0.06515,0.25085,0.1857,1.36338556674804e-05,"Higher in FRDA"
"NOVA1-DT","NOVA1-DT","ENST00000671020","Control","FRDA",0,0.1271,0.1271,1.37374167381924e-05,"Higher in FRDA"
"SNRNP27","SNRNP27","ENST00000244227","Control","FRDA",0.588675,0.7516,0.162925,1.55227137728844e-05,"Higher in FRDA"
"INTS6","INTS6","ENST00000469430","Control","FRDA",0.190675,0.38165,0.190975,1.68416380851839e-05,"Higher in FRDA"
"KCTD21-AS1","KCTD21-AS1","ENST00000532831","Control","FRDA",0,0.14995,0.14995,1.81016105260715e-05,"Higher in FRDA"
"ENSG00000308567.1",NA,"ENST00000835093","Control","FRDA",0.30845,0,-0.30845,1.8159152686613e-05,"Higher in Control"
"AKAP8L","AKAP8L","ENST00000397410","Control","FRDA",0.4742,0.347475,-0.126725,1.83784555618602e-05,"Higher in Control"
"FAM184A","FAM184A","ENST00000521531","Control","FRDA",0.41165,0.268925,-0.142725,1.85493662213318e-05,"Higher in Control"
"SLC27A3","SLC27A3","ENST00000271857","Control","FRDA",0.15415,0.40245,0.2483,1.87184644320052e-05,"Higher in FRDA"
"HUS1","HUS1","ENST00000432627","Control","FRDA",0.108675,0,-0.108675,2.06389226965389e-05,"Higher in Control"
