gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00003548,CNTNAP2,CNTNAP2,Control,FRDA,1.2434655389623242e-178,1
geneComp_00022367,MACF1,MACF1,Control,FRDA,1.739825756976819e-163,2
geneComp_00018906,H2BC6,H2BC6,Control,FRDA,8.727982490534342e-151,3
geneComp_00020168,KANSL1,KANSL1,Control,FRDA,2.5002904424975023e-138,4
geneComp_00025568,PFN2,PFN2,Control,FRDA,2.051583397437194e-135,5
geneComp_00017511,FBXO25,FBXO25,Control,FRDA,5.253142988790107e-132,6
geneComp_00032833,UBE2I,UBE2I,Control,FRDA,1.3740846248155176e-128,7
geneComp_00020596,KPNA4,KPNA4,Control,FRDA,3.9596830741463045e-127,8
geneComp_00032259,TPM1,TPM1,Control,FRDA,8.498733955681425e-115,9
geneComp_00024133,NFRKB,NFRKB,Control,FRDA,1.6768871432817332e-112,10
geneComp_00018905,H2BC5,H2BC5,Control,FRDA,4.368733781178532e-112,11
geneComp_00017479,FBN3,FBN3,Control,FRDA,6.089704031426495e-104,12
geneComp_00000017,AAK1,AAK1,Control,FRDA,5.3004703469989624e-102,13
geneComp_00016949,EPS15,EPS15,Control,FRDA,4.429044307890056e-99,14
geneComp_00020057,ITGB1,ITGB1,Control,FRDA,1.1270853735629076e-98,15
geneComp_00030768,ST18,ST18,Control,FRDA,6.085307962694285e-98,16
geneComp_00017091,EWSR1,EWSR1,Control,FRDA,1.860499749233458e-96,17
geneComp_00034181,ZNF526,ZNF526,Control,FRDA,6.1253289458303686e-90,18
geneComp_00034032,ZNF320,ZNF320,Control,FRDA,4.3325447496812315e-89,19
geneComp_00000077,ABCF1,ABCF1,Control,FRDA,3.7823833255258476e-86,20
geneComp_00029858,SLC4A7,SLC4A7,Control,FRDA,1.0080020222960229e-85,21
geneComp_00003336,CLASP1,CLASP1,Control,FRDA,8.205080308063672e-85,22
geneComp_00016898,EPB41,EPB41,Control,FRDA,8.35737560606354e-84,23
geneComp_00002948,CELF2,CELF2,Control,FRDA,2.259647812624292e-82,24
geneComp_00027910,RNF130,RNF130,Control,FRDA,2.210181020049246e-81,25
geneComp_00033052,USP16,USP16,Control,FRDA,1.3568445500149524e-80,26
geneComp_00026530,PROM1,PROM1,Control,FRDA,4.054919773341637e-79,27
geneComp_00022488,MAP3K13,MAP3K13,Control,FRDA,1.1977114390520958e-77,28
geneComp_00022503,MAP3K7,MAP3K7,Control,FRDA,4.677521149947588e-77,29
geneComp_00016908,EPC1,EPC1,Control,FRDA,8.971077675886394e-77,30
geneComp_00022508,MAP4,MAP4,Control,FRDA,1.6519978337491967e-75,31
geneComp_00030649,SREK1,SREK1,Control,FRDA,1.988522583355479e-74,32
geneComp_00024716,OCRL,OCRL,Control,FRDA,1.118497890301199e-71,33
geneComp_00017722,FLNA,FLNA,Control,FRDA,1.1925287861268579e-68,34
geneComp_00022154,LRPPRC,LRPPRC,Control,FRDA,3.108188235814471e-68,35
geneComp_00027960,RNF220,RNF220,Control,FRDA,8.50829711365025e-64,36
geneComp_00004221,DBNL,DBNL,Control,FRDA,5.384213313682079e-62,37
geneComp_00024110,NFATC4,NFATC4,Control,FRDA,8.707965884177668e-62,38
geneComp_00002519,CCDC142,CCDC142,Control,FRDA,4.912452684939865e-60,39
geneComp_00000973,APP,APP,Control,FRDA,1.7640703679187666e-59,40
geneComp_00001388,ATP2B4,ATP2B4,Control,FRDA,8.882501855688896e-59,41
geneComp_00017084,EVI5L,EVI5L,Control,FRDA,4.434093766900913e-58,42
geneComp_00024301,NOLC1,NOLC1,Control,FRDA,1.7027672911781184e-57,43
geneComp_00002258,CACNA1H,CACNA1H,Control,FRDA,3.4601578377898547e-56,44
geneComp_00018932,H3C6,H3C6,Control,FRDA,5.040706335757738e-56,45
geneComp_00020897,LIMCH1,LIMCH1,Control,FRDA,1.386514210775911e-55,46
geneComp_00016924,EPHA5,EPHA5,Control,FRDA,2.9811412748416885e-55,47
geneComp_00023319,MRPS25,MRPS25,Control,FRDA,4.427214657576419e-55,48
geneComp_00023853,NAXE,NAXE,Control,FRDA,5.573612877763425e-53,49
geneComp_00032377,TRIM2,TRIM2,Control,FRDA,3.614303683785482e-52,50
geneComp_00003416,CLMP,CLMP,Control,FRDA,1.3932011017105335e-51,51
geneComp_00025264,PCDHA11,PCDHA11,Control,FRDA,1.3932011017105335e-51,52
geneComp_00031450,TENM2,TENM2,Control,FRDA,5.0776074295596454e-51,53
geneComp_00003046,CERS1,CERS1,Control,FRDA,7.226120345578232e-51,54
geneComp_00003338,CLASP2,CLASP2,Control,FRDA,1.8717337061617503e-49,55
geneComp_00027418,RFFL,RFFL,Control,FRDA,1.8315355996503288e-48,56
geneComp_00029320,SF1,SF1,Control,FRDA,5.73394930595865e-48,57
geneComp_00001871,BRI3BP,BRI3BP,Control,FRDA,2.003845099568281e-47,58
geneComp_00031311,TBCK,TBCK,Control,FRDA,1.053359443298635e-46,59
geneComp_00031745,TM2D3,TM2D3,Control,FRDA,7.103271703824011e-46,60
geneComp_00022051,LMO3,LMO3,Control,FRDA,1.6111984407010083e-45,61
geneComp_00031695,TJAP1,TJAP1,Control,FRDA,4.450459210549982e-45,62
geneComp_00031081,SYNE2,SYNE2,Control,FRDA,3.4751175581883494e-44,63
geneComp_00033035,USF3,USF3,Control,FRDA,4.6887493491047785e-44,64
geneComp_00000946,APLP2,APLP2,Control,FRDA,2.59211860415585e-43,65
geneComp_00002865,CDK11B,CDK11B,Control,FRDA,5.39740059018623e-43,66
geneComp_00019682,IFT122,IFT122,Control,FRDA,8.885622775670169e-43,67
geneComp_00003051,CERS6,CERS6,Control,FRDA,9.47274052938131e-43,68
geneComp_00018866,H2AC15,H2AC15,Control,FRDA,2.0856939258901322e-42,69
geneComp_00028884,SALL2,SALL2,Control,FRDA,2.179270751441432e-42,70
