dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Mishra_850,CNTNAP2,CNTNAP2,1,codingPotential,0.20319999999999994,1.2434655389623242e-178
Mishra_850,MACF1,MACF1,2,codingPotential; domain_identified,0.13555,1.739825756976819e-163
Mishra_850,H2BC6,H2BC6,2,codingPotential; domain_identified,0.19440000000000013,8.727982490534342e-151
Mishra_850,KANSL1,KANSL1,2,codingPotential; domain_identified,0.10035,2.5002904424975023e-138
Mishra_850,PFN2,PFN2,2,codingPotential; domain_identified,0.29425,2.051583397437194e-135
Mishra_850,FBXO25,FBXO25,1,codingPotential,0.4534499999999999,5.253142988790107e-132
Mishra_850,UBE2I,UBE2I,2,codingPotential; domain_identified,0.3943,1.3740846248155176e-128
Mishra_850,KPNA4,KPNA4,2,codingPotential; PTC,0.159,3.9596830741463045e-127
Mishra_850,TPM1,TPM1,4,codingPotential; domain_identified; IR; PTC,0.3262,8.498733955681425e-115
Mishra_850,NFRKB,NFRKB,2,codingPotential; domain_identified,0.4764,1.6768871432817332e-112
Mishra_850,H2BC5,H2BC5,2,codingPotential; domain_identified,0.34010000000000007,4.368733781178532e-112
Mishra_850,FBN3,FBN3,3,codingPotential; domain_identified; signal_peptide_identified,0.5331,6.089704031426495e-104
Mishra_850,AAK1,AAK1,3,codingPotential; domain_identified; IR,0.23865,5.3004703469989624e-102
Mishra_850,EPS15,EPS15,2,codingPotential; domain_identified,0.41664999999999996,4.429044307890056e-99
Mishra_850,ITGB1,ITGB1,3,codingPotential; domain_identified; signal_peptide_identified,0.13805,1.1270853735629076e-98
Mishra_850,ST18,ST18,2,codingPotential; domain_identified,0.1276,6.085307962694285e-98
Mishra_850,EWSR1,EWSR1,2,codingPotential; domain_identified,0.15394999999999998,1.860499749233458e-96
Mishra_850,ZNF526,ZNF526,2,codingPotential; domain_identified,0.9236500000000001,6.1253289458303686e-90
Mishra_850,ZNF320,ZNF320,3,codingPotential; domain_identified; IR,0.3054,4.3325447496812315e-89
Mishra_850,ABCF1,ABCF1,2,codingPotential; domain_identified,0.28664999999999996,3.7823833255258476e-86
Mishra_850,SLC4A7,SLC4A7,2,codingPotential; domain_identified,0.17225,1.0080020222960229e-85
Mishra_850,CLASP1,CLASP1,2,codingPotential; domain_identified,0.17045,8.205080308063672e-85
Mishra_850,EPB41,EPB41,2,codingPotential; domain_identified,0.13774999999999993,8.35737560606354e-84
Mishra_850,CELF2,CELF2,3,codingPotential; domain_identified; IR,0.26360000000000006,2.259647812624292e-82
Mishra_850,RNF130,RNF130,3,codingPotential; domain_identified; signal_peptide_identified,0.30344999999999994,2.210181020049246e-81
Mishra_850,USP16,USP16,2,codingPotential; domain_identified,0.4007,1.3568445500149524e-80
Mishra_850,PROM1,PROM1,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.5439499999999999,4.054919773341637e-79
Mishra_850,MAP3K13,MAP3K13,3,codingPotential; domain_identified; PTC,0.5599,1.1977114390520958e-77
Mishra_850,MAP3K7,MAP3K7,3,codingPotential; domain_identified; IR,0.19045,4.677521149947588e-77
Mishra_850,EPC1,EPC1,2,codingPotential; domain_identified,0.14200000000000002,8.971077675886394e-77
Mishra_850,MAP4,MAP4,2,codingPotential; domain_identified,0.22335,1.6519978337491967e-75
Mishra_850,SREK1,SREK1,1,codingPotential,0.13455,1.988522583355479e-74
Mishra_850,OCRL,OCRL,2,codingPotential; domain_identified,0.40270000000000006,1.118497890301199e-71
Mishra_850,FLNA,FLNA,3,codingPotential; domain_identified; PTC,0.11680000000000001,1.1925287861268579e-68
Mishra_850,LRPPRC,LRPPRC,3,codingPotential; domain_identified; PTC,0.16485,3.108188235814471e-68
Mishra_850,RNF220,RNF220,2,codingPotential; domain_identified,0.1041,8.50829711365025e-64
Mishra_850,DBNL,DBNL,2,codingPotential; domain_identified,0.21339999999999998,5.384213313682079e-62
Mishra_850,NFATC4,NFATC4,3,codingPotential; domain_identified; IR,0.1688,8.707965884177668e-62
Mishra_850,CCDC142,CCDC142,2,codingPotential; domain_identified,0.42200000000000004,4.912452684939865e-60
Mishra_850,APP,APP,3,codingPotential; domain_identified; signal_peptide_identified,0.24570000000000014,1.7640703679187666e-59
Mishra_850,ATP2B4,ATP2B4,2,codingPotential; domain_identified,0.11985000000000001,8.882501855688896e-59
Mishra_850,EVI5L,EVI5L,2,codingPotential; domain_identified,0.41085000000000005,4.434093766900913e-58
Mishra_850,NOLC1,NOLC1,1,codingPotential,0.11510000000000001,1.7027672911781184e-57
Mishra_850,CACNA1H,CACNA1H,4,codingPotential; domain_identified; IR; PTC,0.1149,3.4601578377898547e-56
Mishra_850,H3C6,H3C6,2,codingPotential; domain_identified,0.49925,5.040706335757738e-56
Mishra_850,LIMCH1,LIMCH1,2,codingPotential; domain_identified,0.3569,1.386514210775911e-55
Mishra_850,EPHA5,EPHA5,2,codingPotential; domain_identified,0.11234999999999995,2.9811412748416885e-55
Mishra_850,MRPS25,MRPS25,3,codingPotential; domain_identified; PTC,0.33595,4.427214657576419e-55
Mishra_850,NAXE,NAXE,2,codingPotential; domain_identified,0.2259,5.573612877763425e-53
Mishra_850,TRIM2,TRIM2,2,codingPotential; domain_identified,0.12094999999999997,3.614303683785482e-52
Mishra_850,CLMP,CLMP,3,codingPotential; domain_identified; signal_peptide_identified,1,1.3932011017105335e-51
Mishra_850,PCDHA11,PCDHA11,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.66465,1.3932011017105335e-51
Mishra_850,TENM2,TENM2,3,codingPotential; domain_identified; PTC,0.1797,5.0776074295596454e-51
Mishra_850,CERS1,CERS1,3,codingPotential; domain_identified; IR,0.3258,7.226120345578232e-51
Mishra_850,CLASP2,CLASP2,3,codingPotential; domain_identified; IR,0.10455000000000003,1.8717337061617503e-49
Mishra_850,RFFL,RFFL,2,codingPotential; domain_identified,0.165,1.8315355996503288e-48
Mishra_850,SF1,SF1,3,codingPotential; domain_identified; IR,0.15975,5.73394930595865e-48
Mishra_850,BRI3BP,BRI3BP,3,codingPotential; domain_identified; signal_peptide_identified,0.47424999999999995,2.003845099568281e-47
Mishra_850,TBCK,TBCK,3,codingPotential; domain_identified; IR,0.1644,1.053359443298635e-46
Mishra_850,TM2D3,TM2D3,3,codingPotential; domain_identified; signal_peptide_identified,0.30295,7.103271703824011e-46
Mishra_850,LMO3,LMO3,2,codingPotential; domain_identified,0.14634999999999998,1.6111984407010083e-45
Mishra_850,TJAP1,TJAP1,2,codingPotential; domain_identified,0.35265,4.450459210549982e-45
Mishra_850,SYNE2,SYNE2,2,codingPotential; domain_identified,0.29985,3.4751175581883494e-44
Mishra_850,USF3,USF3,2,codingPotential; domain_identified,0.26365,4.6887493491047785e-44
Mishra_850,APLP2,APLP2,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.22075,2.59211860415585e-43
Mishra_850,CDK11B,CDK11B,3,codingPotential; domain_identified; PTC,0.35165,5.39740059018623e-43
Mishra_850,IFT122,IFT122,2,codingPotential; domain_identified,0.2221,8.885622775670169e-43
Mishra_850,CERS6,CERS6,2,codingPotential; domain_identified,0.45245,9.47274052938131e-43
Mishra_850,H2AC15,H2AC15,2,codingPotential; domain_identified,0.17885000000000018,2.0856939258901322e-42
Mishra_850,SALL2,SALL2,3,codingPotential; domain_identified; IR,0.4174,2.179270751441432e-42
Mishra_850,ADGRL2,ADGRL2,3,codingPotential; domain_identified; signal_peptide_identified,0.20505,5.102198116192761e-42
Mishra_850,PDE4D,PDE4D,2,codingPotential; domain_identified,0.15305000000000002,6.412264509633301e-40
Mishra_850,CAMKK2,CAMKK2,2,codingPotential; domain_identified,0.33415,1.284837967077333e-39
Mishra_850,RHOBTB2,RHOBTB2,2,codingPotential; domain_identified,0.11975,2.004272166335959e-39
Mishra_850,PLEKHA6,PLEKHA6,2,codingPotential; domain_identified,0.26005,3.2216053996124216e-39
Mishra_850,IL6ST,IL6ST,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.15215,3.2545248674553194e-39
Mishra_850,PSD3,PSD3,2,codingPotential; domain_identified,0.1280500000000001,8.92480013131344e-39
Mishra_850,CAD,CAD,2,codingPotential; domain_identified,0.15080000000000002,1.226187150744149e-38
Mishra_850,HYOU1,HYOU1,2,codingPotential; domain_identified,0.3428,2.591609280584562e-38
Mishra_850,ANAPC5,ANAPC5,2,codingPotential; domain_identified,0.13185000000000002,2.8418362881844253e-38
Mishra_850,POMGNT1,POMGNT1,3,codingPotential; domain_identified; IR,0.1317499999999998,3.428885132041665e-38
Mishra_850,TET2,TET2,2,codingPotential; PTC,0.26410000000000006,7.491406897466219e-38
Mishra_850,PAM,PAM,3,codingPotential; domain_identified; signal_peptide_identified,0.1739,1.520713258473058e-37
