gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00034738,SORBS2,SORBS2,Control,FRDA,1.897312252203259e-183,1
geneComp_00027837,NEO1,NEO1,Control,FRDA,4.339654527082101e-130,2
geneComp_00029126,PCDHA5,PCDHA5,Control,FRDA,8.693288911962652e-125,3
geneComp_00029154,PCDHGA10,PCDHGA10,Control,FRDA,1.2991027888175208e-121,4
geneComp_00037732,VLDLR,VLDLR,Control,FRDA,3.380134732599625e-120,5
geneComp_00031414,RFFL,RFFL,Control,FRDA,2.6399797202474647e-103,6
geneComp_00027771,NDUFS5,NDUFS5,Control,FRDA,5.139050210574527e-93,7
geneComp_00004445,CYTH1,CYTH1,Control,FRDA,3.2550800630936695e-81,8
geneComp_00028303,NRXN3,NRXN3,Control,FRDA,1.6041998016523297e-70,9
geneComp_00033511,SERF1A,SERF1A,Control,FRDA,3.300980731227529e-67,10
geneComp_00023855,KIDINS220,KIDINS220,Control,FRDA,6.042361221270425e-59,11
geneComp_00020259,EWSR1,EWSR1,Control,FRDA,9.540272359574048e-58,12
geneComp_00000895,ANKS1A,ANKS1A,Control,FRDA,3.3752733485410598e-56,13
geneComp_00026192,MAP4K4,MAP4K4,Control,FRDA,1.2722785061375053e-53,14
geneComp_00035800,TCTN2,TCTN2,Control,FRDA,5.632898493804593e-51,15
geneComp_00004534,DCAF6,DCAF6,Control,FRDA,9.156396918995044e-51,16
geneComp_00005057,DOCK4,DOCK4,Control,FRDA,1.579468108806717e-49,17
geneComp_00002312,C4B,C4B,Control,FRDA,7.720141286755227e-48,18
geneComp_00029273,PDE4D,PDE4D,Control,FRDA,6.392851465205254e-46,19
geneComp_00023005,IDE,IDE,Control,FRDA,5.685290846211072e-42,20
geneComp_00000378,ADD1,ADD1,Control,FRDA,7.104090093271893e-42,21
geneComp_00036864,TRIM52-AS1,TRIM52-AS1,Control,FRDA,4.485381666386027e-39,22
geneComp_00005194,DTNB,DTNB,Control,FRDA,1.5827413087996896e-38,23
geneComp_00029594,PIEZO2,PIEZO2,Control,FRDA,3.4477592827817835e-38,24
geneComp_00030120,POU6F2,POU6F2,Control,FRDA,1.417009043977195e-37,25
geneComp_00029577,PI4KAP1,PI4KAP1,Control,FRDA,2.145767816559061e-37,26
geneComp_00024361,LIG1,LIG1,Control,FRDA,9.757379912056788e-37,27
geneComp_00038723,ZNF512,ZNF512,Control,FRDA,2.6802315810500292e-36,28
geneComp_00026448,MEF2C,MEF2C,Control,FRDA,1.207897794012499e-35,29
geneComp_00001504,ATP5F1E,ATP5F1E,Control,FRDA,6.78541718403945e-35,30
geneComp_00027812,NEK1,NEK1,Control,FRDA,2.7735174171276347e-34,31
geneComp_00036600,TNS3,TNS3,Control,FRDA,8.388751660470451e-34,32
geneComp_00027453,MYO5A,MYO5A,Control,FRDA,2.1496514544252974e-33,33
geneComp_00031475,RGS3,RGS3,Control,FRDA,1.0210958464074509e-31,34
geneComp_00030854,PWP2,PWP2,Control,FRDA,3.29616909242671e-30,35
geneComp_00034781,SOX9-AS1,SOX9-AS1,Control,FRDA,3.724768627728586e-30,36
geneComp_00027642,NCAM1,NCAM1,Control,FRDA,2.0304245337070105e-29,37
geneComp_00038021,WSCD1,WSCD1,Control,FRDA,9.877275420159615e-29,38
geneComp_00023300,INPP5F,INPP5F,Control,FRDA,1.1077871422616105e-28,39
geneComp_00031218,RBIS,RBIS,Control,FRDA,2.309822193697977e-28,40
geneComp_00001893,BLTP1,BLTP1,Control,FRDA,2.488084178758311e-28,41
geneComp_00030094,POTEE,POTEE,Control,FRDA,4.406139251359538e-28,42
geneComp_00021379,GATD3,GATD3,Control,FRDA,8.716100991745006e-28,43
geneComp_00028006,NLGN1,NLGN1,Control,FRDA,9.035139764608866e-28,44
geneComp_00000751,AMPD2,AMPD2,Control,FRDA,2.6277366994332372e-27,45
geneComp_00035088,SSBP3,SSBP3,Control,FRDA,3.469194526683693e-27,46
geneComp_00001386,ASTN1,ASTN1,Control,FRDA,7.488840366423573e-27,47
geneComp_00003053,CDH8,CDH8,Control,FRDA,6.491879461315099e-26,48
geneComp_00034922,SPIRE1,SPIRE1,Control,FRDA,1.8067935705692477e-25,49
geneComp_00034265,SLIT3,SLIT3,Control,FRDA,3.1892427347957713e-25,50
geneComp_00033790,SIPA1L2,SIPA1L2,Control,FRDA,5.041837252058011e-25,51
geneComp_00036681,TPD52,TPD52,Control,FRDA,5.261901303585963e-25,52
geneComp_00020067,EPB41L4B,EPB41L4B,Control,FRDA,1.0868310112859673e-24,53
geneComp_00037312,UBE2G2,UBE2G2,Control,FRDA,1.2209227508800001e-24,54
geneComp_00020457,FAM182A,FAM182A,Control,FRDA,1.5979378902805186e-24,55
geneComp_00034347,SMG6,SMG6,Control,FRDA,3.133200495109708e-24,56
geneComp_00021974,GRIPAP1,GRIPAP1,Control,FRDA,4.8860395368962434e-24,57
geneComp_00001639,B3GALT5,B3GALT5,Control,FRDA,2.063236071023616e-23,58
geneComp_00033053,RUFY2,RUFY2,Control,FRDA,5.1561199236832756e-23,59
geneComp_00003687,CLUAP1,CLUAP1,Control,FRDA,5.849679556334689e-23,60
geneComp_00037678,VCAN,VCAN,Control,FRDA,6.372048247962215e-23,61
geneComp_00003797,CNTNAP4,CNTNAP4,Control,FRDA,1.5148786766303245e-22,62
geneComp_00000479,AFG3L1P,AFG3L1P,Control,FRDA,1.7546472980425302e-22,63
geneComp_00004871,DLGAP4,DLGAP4,Control,FRDA,2.0400200047316955e-22,64
geneComp_00021696,GNRH1,GNRH1,Control,FRDA,3.198593472649954e-22,65
geneComp_00038591,ZNF331,ZNF331,Control,FRDA,1.1105507252215686e-21,66
geneComp_00008419,ENSG00000259551.2,NA,Control,FRDA,1.2292426235834735e-21,67
geneComp_00011103,ENSG00000280441.4,NA,Control,FRDA,1.7313446117340236e-21,68
geneComp_00031134,RAPGEF6,RAPGEF6,Control,FRDA,2.6005847644029584e-21,69
geneComp_00005166,DSC2,DSC2,Control,FRDA,3.337352005877592e-21,70
geneComp_00028072,NOL10,NOL10,Control,FRDA,5.165679884547227e-21,71
geneComp_00036108,TJAP1,TJAP1,Control,FRDA,5.588347320114641e-21,72
geneComp_00031187,RASSF4,RASSF4,Control,FRDA,7.576064808967648e-21,73
geneComp_00003542,CIRBP,CIRBP,Control,FRDA,3.131955287328317e-20,74
