"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"FLNB","FLNB","ENST00000490882","Control","FRDA",0.100325,0,-0.100325,5.13637133394493e-47,"Higher in Control"
"PTPRM","PTPRM","ENST00000400060","Control","FRDA",0,0.112125,0.112125,5.20569457925555e-46,"Higher in FRDA"
"ACTA2","ACTA2","ENST00000415557","Control","FRDA",0.00915,0.4835,0.47435,5.01035736845937e-30,"Higher in FRDA"
"WASHC1","WASHC1","ENST00000696149","Control","FRDA",0.6122,0,-0.6122,2.2721275613371e-29,"Higher in Control"
"P3H3","P3H3","ENST00000612048","Control","FRDA",0.225525,0,-0.225525,8.00295905688022e-28,"Higher in Control"
"MCM9","MCM9","ENST00000316316","Control","FRDA",0,0.412975,0.412975,1.7179056385931e-25,"Higher in FRDA"
"OSGIN2","OSGIN2","ENST00000647849","Control","FRDA",0.373675,0,-0.373675,2.34189387708729e-20,"Higher in Control"
"ANK1","ANK1","ENST00000705521","Control","FRDA",0,0.115925,0.115925,3.99471511453931e-18,"Higher in FRDA"
"RCAN1","RCAN1","ENST00000313806","Control","FRDA",0.09825,0.5073,0.40905,3.99471511453931e-18,"Higher in FRDA"
"AP1S2","AP1S2","ENST00000329235","Control","FRDA",0.35125,0.1534,-0.19785,5.16834110982576e-18,"Higher in Control"
"NRXN3","NRXN3","ENST00000634499","Control","FRDA",0.1616,0,-0.1616,9.09929317258476e-17,"Higher in Control"
"ACTN4","ACTN4","ENST00000440400","Control","FRDA",0.065325,0.238675,0.17335,3.24746140540097e-15,"Higher in FRDA"
"DSC2","DSC2","ENST00000713683","Control","FRDA",0.188625,0,-0.188625,4.12707790190254e-15,"Higher in Control"
"SACM1L","SACM1L","ENST00000706817","Control","FRDA",0.174675,0,-0.174675,4.77466784849322e-14,"Higher in Control"
"NRXN3","NRXN3","ENST00000554738","Control","FRDA",0.150175,0,-0.150175,6.19003648304802e-14,"Higher in Control"
"SPATA13","SPATA13","ENST00000424834","Control","FRDA",0.119875,0,-0.119875,1.01168998931144e-12,"Higher in Control"
"PCDHGA10","PCDHGA10","ENST00000398610","Control","FRDA",0.85215,0.5852,-0.26695,2.37665057882872e-11,"Higher in Control"
"CALD1","CALD1","ENST00000361901","Control","FRDA",0.752625,0.49505,-0.257575,5.93174334994714e-11,"Higher in Control"
"SPOCK2","SPOCK2","ENST00000317376","Control","FRDA",0.10975,0,-0.10975,7.53918685631521e-11,"Higher in Control"
"ATG7","ATG7","ENST00000446450","Control","FRDA",0,0.176175,0.176175,1.9656968657701e-10,"Higher in FRDA"
