gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00002949,CCN5,CCN5,Control,FRDA,2.43497335430151e-8,1
geneComp_00001469,ATAD3B,ATAD3B,Control,FRDA,1.9857505083130983e-6,2
geneComp_00029567,MRNIP,MRNIP,Control,FRDA,2.5036972125703186e-6,3
geneComp_00033627,QRICH1,QRICH1,Control,FRDA,3.500753375816718e-6,4
geneComp_00039568,THRA,THRA,Control,FRDA,7.385052746981157e-6,5
geneComp_00002452,C7orf50,C7orf50,Control,FRDA,1.4563085772588067e-5,6
geneComp_00001791,BARD1,BARD1,Control,FRDA,6.763812861710848e-5,7
geneComp_00023792,GFM2,GFM2,Control,FRDA,1.3113653693854407e-4,8
geneComp_00003822,CLK1,CLK1,Control,FRDA,1.3642632432118328e-4,9
geneComp_00004655,CYTH1,CYTH1,Control,FRDA,1.4527066058118464e-4,10
geneComp_00032916,PPP1R14B-AS1,PPP1R14B-AS1,Control,FRDA,1.5130355410584656e-4,11
geneComp_00040517,TROAP,TROAP,Control,FRDA,1.5130355410584656e-4,12
geneComp_00025475,IFIT3,IFIT3,Control,FRDA,1.6123682418336217e-4,13
geneComp_00039774,TMEM116,TMEM116,Control,FRDA,2.5303111859270816e-4,14
geneComp_00003168,CDCA5,CDCA5,Control,FRDA,3.065014132832036e-4,15
geneComp_00002186,BUB1,BUB1,Control,FRDA,4.767452409791314e-4,16
geneComp_00040681,TTC8,TTC8,Control,FRDA,4.992385830238273e-4,17
geneComp_00030562,NHLRC3,NHLRC3,Control,FRDA,5.748467890778954e-4,18
geneComp_00041419,VRK1,VRK1,Control,FRDA,6.96797888932861e-4,19
geneComp_00025090,HNRNPDL,HNRNPDL,Control,FRDA,7.704928372409763e-4,20
geneComp_00025138,HOXA10,HOXA10,Control,FRDA,7.780136106857831e-4,21
geneComp_00028891,MCC,MCC,Control,FRDA,9.76997326747818e-4,22
geneComp_00024718,HDAC8,HDAC8,Control,FRDA,0.0010343356357663544,23
geneComp_00033442,PTGDS,PTGDS,Control,FRDA,0.0011546579073536858,24
geneComp_00004022,COL5A1,COL5A1,Control,FRDA,0.001197090867381212,25
geneComp_00004357,CSNK1G3,CSNK1G3,Control,FRDA,0.002017122043252245,26
geneComp_00025159,HOXB6,HOXB6,Control,FRDA,0.002017122043252245,27
geneComp_00036622,SBF2-AS1,SBF2-AS1,Control,FRDA,0.002194016362153188,28
geneComp_00012200,ENSG00000283175.2,NA,Control,FRDA,0.002489483238737802,29
geneComp_00001159,ARHGAP12,ARHGAP12,Control,FRDA,0.0029046678445303373,30
geneComp_00024378,GSTZ1,GSTZ1,Control,FRDA,0.0029937510818313254,31
geneComp_00032720,POMT1,POMT1,Control,FRDA,0.00299826978677287,32
geneComp_00005509,DYRK3,DYRK3,Control,FRDA,0.0032077805417533847,33
