dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Napierala,CCN5,CCN5,3,codingPotential; domain_identified; signal_peptide_identified,0.22914607843137258,2.43497335430151e-8
Napierala,ATAD3B,ATAD3B,1,codingPotential,0.10734313725490197,1.9857505083130983e-6
Napierala,MRNIP,MRNIP,2,codingPotential; domain_identified,0.19664444444444448,2.5036972125703186e-6
Napierala,QRICH1,QRICH1,2,codingPotential; IR,0.11357189542483659,3.500753375816718e-6
Napierala,THRA,THRA,2,codingPotential; domain_identified,0.17263071895424836,7.385052746981157e-6
Napierala,C7orf50,C7orf50,2,codingPotential; domain_identified,0.18056078431372546,1.4563085772588067e-5
Napierala,BARD1,BARD1,2,codingPotential; domain_identified,0.12879901960784312,6.763812861710848e-5
Napierala,GFM2,GFM2,2,codingPotential; domain_identified,0.11726437908496734,1.3113653693854407e-4
Napierala,CLK1,CLK1,3,codingPotential; IR; PTC,0.2097624183006536,1.3642632432118328e-4
Napierala,CYTH1,CYTH1,2,codingPotential; domain_identified,0.15080686274509802,1.4527066058118464e-4
Napierala,TROAP,TROAP,2,codingPotential; IR,0.14591470588235292,1.5130355410584656e-4
Napierala,IFIT3,IFIT3,2,codingPotential; domain_identified,0.24652091503267975,1.6123682418336217e-4
Napierala,TMEM116,TMEM116,1,codingPotential,0.13871078431372547,2.5303111859270816e-4
Napierala,CDCA5,CDCA5,2,codingPotential; domain_identified,0.1049882352941176,3.065014132832036e-4
Napierala,BUB1,BUB1,2,codingPotential; domain_identified,0.19814183006535946,4.767452409791314e-4
Napierala,TTC8,TTC8,2,codingPotential; domain_identified,0.12056013071895427,4.992385830238273e-4
Napierala,NHLRC3,NHLRC3,2,codingPotential; domain_identified,0.11681503267973858,5.748467890778954e-4
Napierala,VRK1,VRK1,2,codingPotential; domain_identified,0.18056405228758168,6.96797888932861e-4
Napierala,HNRNPDL,HNRNPDL,2,codingPotential; domain_identified,0.13106339869281047,7.704928372409763e-4
Napierala,HOXA10,HOXA10,2,codingPotential; domain_identified,0.17412026143790849,7.780136106857831e-4
Napierala,MCC,MCC,2,codingPotential; domain_identified,0.14346143790849675,9.76997326747818e-4
Napierala,HDAC8,HDAC8,2,codingPotential; domain_identified,0.14847483660130723,0.0010343356357663544
Napierala,PTGDS,PTGDS,3,codingPotential; domain_identified; signal_peptide_identified,0.1420983660130719,0.0011546579073536858
Napierala,COL5A1,COL5A1,3,codingPotential; domain_identified; signal_peptide_identified,0.1760091503267974,0.001197090867381212
Napierala,HOXB6,HOXB6,3,codingPotential; domain_identified; IR,0.43301274509803916,0.002017122043252245
Napierala,CSNK1G3,CSNK1G3,2,codingPotential; domain_identified,0.15920555555555557,0.002017122043252245
Napierala,ARHGAP12,ARHGAP12,2,codingPotential; domain_identified,0.1353169934640523,0.0029046678445303373
Napierala,GSTZ1,GSTZ1,2,codingPotential; domain_identified,0.14911437908496739,0.0029937510818313254
Napierala,POMT1,POMT1,3,codingPotential; domain_identified; IR,0.11386274509803918,0.00299826978677287
Napierala,DYRK3,DYRK3,2,codingPotential; domain_identified,0.1329346405228758,0.0032077805417533847
Napierala,ZEB1-AS1,ZEB1-AS1,1,IR,0.11522156862745098,0.0035813504481939248
Napierala,HOXA11-AS,HOXA11-AS,1,IR,0.21146176470588235,0.0038315679069443743
Napierala,SMYD3,SMYD3,2,codingPotential; domain_identified,0.3083133986928105,0.0041619101139548096
Napierala,POGK,POGK,3,codingPotential; domain_identified; IR,0.1025875816993464,0.004308174966469056
Napierala,KCTD17,KCTD17,1,codingPotential,0.10987614379084967,0.00433656652594672
Napierala,POLL,POLL,2,codingPotential; domain_identified,0.13337908496732026,0.004445344960088448
Napierala,NINL,NINL,2,codingPotential; domain_identified,0.10130065359477125,0.004562674544480348
Napierala,FLOT2,FLOT2,2,codingPotential; domain_identified,0.10339379084967315,0.0048341983046795165
Napierala,ABCC10,ABCC10,3,codingPotential; domain_identified; IR,0.10478137254901965,0.0052916877566005814
Napierala,RASSF1,RASSF1,2,codingPotential; domain_identified,0.1511225490196078,0.005675553520809378
Napierala,LRIF1,LRIF1,2,codingPotential; domain_identified,0.12924477124183004,0.00585521882836636
Napierala,SPTAN1,SPTAN1,3,codingPotential; domain_identified; IR,0.10572124183006537,0.005885682781322592
Napierala,AVIL,AVIL,2,codingPotential; domain_identified,0.10974117647058823,0.0068787232331597335
Napierala,GET1,GET1,2,codingPotential; domain_identified,0.10800032679738558,0.00788678345760956
Napierala,UNG,UNG,2,codingPotential; domain_identified,0.18420620915032682,0.010468216899867369
Napierala,AK5,AK5,3,codingPotential; domain_identified; IR,0.10490490196078434,0.011164369984235135
Napierala,PLPPR2,PLPPR2,2,codingPotential; domain_identified,0.12244444444444441,0.012062553293595282
Napierala,SETD9,SETD9,2,codingPotential; IR,0.19917549019607844,0.012552410861612578
Napierala,PIK3CD,PIK3CD,2,codingPotential; domain_identified,0.16779934640522876,0.012591974467384952
Napierala,ADGRD1,ADGRD1,3,codingPotential; domain_identified; signal_peptide_identified,0.17288725490196072,0.013116226788226137
Napierala,PRKG1,PRKG1,2,codingPotential; domain_identified,0.13878986928104572,0.013288001785122563
Napierala,DGCR8,DGCR8,2,codingPotential; domain_identified,0.11088496732026143,0.013407236588467314
Napierala,GNL3L,GNL3L,2,codingPotential; domain_identified,0.10802026143790855,0.013442802636350696
Napierala,ATP11C,ATP11C,2,codingPotential; domain_identified,0.16170032679738566,0.013573411992341841
Napierala,TGIF2,TGIF2,3,codingPotential; domain_identified; IR,0.18410457516339868,0.014557095467524745
Napierala,SEMA4C,SEMA4C,2,codingPotential; domain_identified,0.11626895424836609,0.015825184572913015
Napierala,TRMO,TRMO,2,codingPotential; domain_identified,0.10706633986928105,0.016337828286231884
Napierala,GCNT1,GCNT1,2,codingPotential; domain_identified,0.15141078431372548,0.017125180079013362
Napierala,CABYR,CABYR,4,codingPotential; domain_identified; IR; PTC,0.14403496732026144,0.017139970762009692
Napierala,E2F3,E2F3,2,codingPotential; domain_identified,0.10239869281045755,0.017427950126589764
Napierala,CDKN2C,CDKN2C,2,codingPotential; domain_identified,0.15439901960784308,0.017692978918332953
Napierala,SMIM8,SMIM8,2,domain_identified; IR,0.17223660130718954,0.021380820297164944
Napierala,ZNF611,ZNF611,2,codingPotential; domain_identified,0.14926241830065357,0.021844638866784966
Napierala,EXD3,EXD3,1,codingPotential,0.175518954248366,0.0234154395442502
Napierala,DNAJC7,DNAJC7,2,codingPotential; domain_identified,0.11410686274509801,0.025512548178927633
Napierala,NEIL2,NEIL2,2,codingPotential; domain_identified,0.1033578431372549,0.025562718379661464
Napierala,CKAP2,CKAP2,2,codingPotential; domain_identified,0.10032254901960785,0.025562718379661464
Napierala,SPATA13,SPATA13,2,codingPotential; domain_identified,0.1008454248366013,0.02686619346360983
Napierala,ANKDD1A,ANKDD1A,2,codingPotential; domain_identified,0.1180032679738562,0.027785680027490742
Napierala,MSL3,MSL3,2,codingPotential; domain_identified,0.14349771241830067,0.02876185787012827
Napierala,TXNDC12,TXNDC12,3,codingPotential; domain_identified; signal_peptide_identified,0.10255424836601312,0.029123324013483616
Napierala,SLC2A11,SLC2A11,2,codingPotential; domain_identified,0.10248660130718956,0.030320299634446827
Napierala,POP1,POP1,2,codingPotential; domain_identified,0.11524509803921568,0.0317977195065546
Napierala,ZNF43,ZNF43,2,codingPotential; domain_identified,0.11155947712418302,0.0323982061507194
Napierala,U2AF1,U2AF1,2,codingPotential; domain_identified,0.10869705882352937,0.03316976336231867
Napierala,ENSG00000291142.2,NA,1,codingPotential,0.18366895424836605,0.034379677485950375
Napierala,LRRC27,LRRC27,2,codingPotential; domain_identified,0.10591176470588237,0.035356092315201065
Napierala,ZNF700,ZNF700,2,codingPotential; domain_identified,0.11403071895424843,0.03716372942867592
Napierala,TMEM240,TMEM240,2,codingPotential; domain_identified,0.12185980392156864,0.03832601936970133
Napierala,EYA3,EYA3,2,codingPotential; domain_identified,0.12909150326797383,0.0413206069366684
