gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00024660,RPSA,RPSA,Control,FRDA,8.898800407614303e-166,1
geneComp_00022166,PLCB4,PLCB4,Control,FRDA,9.441860170931889e-116,2
geneComp_00019966,MTCL1,MTCL1,Control,FRDA,2.038971963927951e-95,3
geneComp_00019467,MGST3,MGST3,Control,FRDA,1.8110253281539493e-83,4
geneComp_00016145,HLA-H,HLA-H,Control,FRDA,8.057386300161394e-80,5
geneComp_00002302,CAST,CAST,Control,FRDA,9.895497569929203e-75,6
geneComp_00028069,TRIM2,TRIM2,Control,FRDA,9.547763926014862e-70,7
geneComp_00028607,ULK3,ULK3,Control,FRDA,1.2640300071709743e-69,8
geneComp_00000867,AP2M1,AP2M1,Control,FRDA,2.132333655810968e-66,9
geneComp_00026548,ST6GALNAC6,ST6GALNAC6,Control,FRDA,1.0477124765687926e-60,10
geneComp_00027330,THOC2,THOC2,Control,FRDA,5.421488764039072e-60,11
geneComp_00019000,MAGED4,MAGED4,Control,FRDA,9.945595809437959e-58,12
geneComp_00001636,BEND7,BEND7,Control,FRDA,1.16448974003168e-53,13
geneComp_00020796,NPIPA6,NPIPA6,Control,FRDA,3.5548853302635405e-52,14
geneComp_00019954,MTA2,MTA2,Control,FRDA,1.272250323360265e-49,15
geneComp_00000204,ACSL3,ACSL3,Control,FRDA,6.693258438525036e-49,16
geneComp_00022732,PRKCD,PRKCD,Control,FRDA,1.1537026509447916e-47,17
geneComp_00029917,ZNF667-AS1,ZNF667-AS1,Control,FRDA,1.3712919484939188e-47,18
geneComp_00017449,KMT2A,KMT2A,Control,FRDA,5.4801511484677955e-46,19
geneComp_00017451,KMT2C,KMT2C,Control,FRDA,4.501727879665367e-42,20
geneComp_00016288,HNRNPK,HNRNPK,Control,FRDA,2.252154282723652e-39,21
geneComp_00004095,DDX39B,DDX39B,Control,FRDA,2.6021855334129038e-39,22
geneComp_00000658,AMACR,AMACR,Control,FRDA,3.3238770763572686e-37,23
geneComp_00001770,BRCA1,BRCA1,Control,FRDA,8.987780834830708e-37,24
geneComp_00002340,CBS,CBS,Control,FRDA,7.231442928457834e-36,25
geneComp_00026276,SPATA13,SPATA13,Control,FRDA,3.01848313269365e-35,26
geneComp_00022101,PKD1P6-NPIPP1,PKD1P6-NPIPP1,Control,FRDA,1.9176767199700431e-31,27
geneComp_00002724,CDK11A,CDK11A,Control,FRDA,9.189387998699873e-31,28
geneComp_00030103,ZP3,ZP3,Control,FRDA,7.685734237951841e-30,29
geneComp_00022034,PIK3R1,PIK3R1,Control,FRDA,1.1868777581991461e-29,30
geneComp_00000678,AMPD2,AMPD2,Control,FRDA,3.151845642235599e-29,31
geneComp_00026667,STPG1,STPG1,Control,FRDA,4.509252810393117e-29,32
geneComp_00017088,KANSL1,KANSL1,Control,FRDA,6.249506229251895e-29,33
geneComp_00029697,ZNF41,ZNF41,Control,FRDA,1.5568671781379842e-27,34
geneComp_00025381,SH3YL1,SH3YL1,Control,FRDA,4.628778947239729e-27,35
geneComp_00000625,ALG5,ALG5,Control,FRDA,3.26663800364571e-25,36
geneComp_00003102,CHTOP,CHTOP,Control,FRDA,3.26663800364571e-25,37
geneComp_00021801,PER3,PER3,Control,FRDA,5.746379812156064e-25,38
geneComp_00027627,TMEM216,TMEM216,Control,FRDA,5.8423630248328955e-25,39
geneComp_00029512,ZNF133,ZNF133,Control,FRDA,2.763453718536934e-24,40
geneComp_00002136,CACNA1A,CACNA1A,Control,FRDA,5.536789690673896e-24,41
geneComp_00023260,RABGEF1P1,RABGEF1P1,Control,FRDA,1.3298205368660224e-23,42
geneComp_00003653,CRYBB2P1,CRYBB2P1,Control,FRDA,1.6966240355059118e-23,43
geneComp_00004126,DEDD,DEDD,Control,FRDA,5.621552388670031e-23,44
geneComp_00017742,LGALS8,LGALS8,Control,FRDA,1.291048297942348e-22,45
geneComp_00001060,ARHGEF9,ARHGEF9,Control,FRDA,8.35962489482472e-22,46
geneComp_00028706,USP19,USP19,Control,FRDA,1.2943294294832852e-21,47
geneComp_00029144,XKR8,XKR8,Control,FRDA,1.818226289760358e-21,48
geneComp_00029023,WDR44,WDR44,Control,FRDA,6.488712079376566e-21,49
geneComp_00025504,SLC12A2-DT,SLC12A2-DT,Control,FRDA,6.530029176388455e-21,50
geneComp_00019895,MSH6,MSH6,Control,FRDA,1.3969746670239412e-20,51
geneComp_00016161,HMBS,HMBS,Control,FRDA,3.655873558702825e-20,52
geneComp_00004733,EDC4,EDC4,Control,FRDA,4.7726508220766604e-20,53
geneComp_00016725,IL1RAP,IL1RAP,Control,FRDA,5.64767849933543e-20,54
geneComp_00001215,ASNS,ASNS,Control,FRDA,2.0193320997210697e-19,55
geneComp_00004514,DPP3,DPP3,Control,FRDA,5.251603384580759e-19,56
geneComp_00029058,WDR91,WDR91,Control,FRDA,8.111824517657064e-19,57
geneComp_00028741,USP45,USP45,Control,FRDA,9.278562705582994e-19,58
geneComp_00017785,LIMK2,LIMK2,Control,FRDA,1.2486193791631364e-18,59
geneComp_00029441,ZFYVE16,ZFYVE16,Control,FRDA,1.6414409814213639e-18,60
geneComp_00002718,CDIN1,CDIN1,Control,FRDA,2.5986539673063685e-18,61
geneComp_00023604,REXO5,REXO5,Control,FRDA,5.187135582390616e-18,62
geneComp_00014578,FBXO7,FBXO7,Control,FRDA,7.952744348344016e-18,63
geneComp_00029896,ZNF638,ZNF638,Control,FRDA,1.0514494223953003e-17,64
geneComp_00023938,RNF170,RNF170,Control,FRDA,1.1912860863124545e-17,65
geneComp_00022702,PRICKLE1,PRICKLE1,Control,FRDA,1.2517899348281456e-17,66
geneComp_00000905,APIP,APIP,Control,FRDA,1.8831177075439125e-17,67
geneComp_00022285,PML,PML,Control,FRDA,1.969298921634789e-17,68
geneComp_00019001,MAGED4B,MAGED4B,Control,FRDA,1.9976807006321066e-17,69
geneComp_00025982,SMN2,SMN2,Control,FRDA,2.189388447902551e-17,70
geneComp_00026598,STAT5B,STAT5B,Control,FRDA,2.2618771576839027e-17,71
geneComp_00002295,CASP7,CASP7,Control,FRDA,2.6622294109752557e-17,72
geneComp_00001158,ARSA,ARSA,Control,FRDA,4.254872840129834e-17,73
geneComp_00026499,SSPN,SSPN,Control,FRDA,8.496918168934561e-17,74
geneComp_00019898,MSL2,MSL2,Control,FRDA,9.328674265846636e-17,75
geneComp_00001079,ARL13B,ARL13B,Control,FRDA,1.1363428854754588e-16,76
geneComp_00023024,PTK2,PTK2,Control,FRDA,2.840583720688535e-16,77
geneComp_00020059,MUC1,MUC1,Control,FRDA,2.8689223221179465e-16,78
geneComp_00000510,AHSA2P,AHSA2P,Control,FRDA,3.316590395537564e-16,79
geneComp_00021536,PCBP3,PCBP3,Control,FRDA,5.045653843059156e-16,80
geneComp_00015742,GTF2IP1,GTF2IP1,Control,FRDA,6.343059806191852e-16,81
geneComp_00021940,PHF8,PHF8,Control,FRDA,9.793910986950193e-16,82
geneComp_00026253,SPACA9,SPACA9,Control,FRDA,1.1788976260381212e-15,83
geneComp_00029166,XRCC4,XRCC4,Control,FRDA,1.3072632791072696e-15,84
geneComp_00000283,ADAM15,ADAM15,Control,FRDA,1.63300112289484e-15,85
geneComp_00000189,ACP1,ACP1,Control,FRDA,5.20792925069045e-15,86
geneComp_00017901,LINC00665,LINC00665,Control,FRDA,8.187425750620908e-15,87
geneComp_00000971,ARFGAP2,ARFGAP2,Control,FRDA,8.22257610452825e-15,88
geneComp_00019091,MAP3K2-DT,MAP3K2-DT,Control,FRDA,1.043823562446617e-14,89
geneComp_00020586,NHERF2,NHERF2,Control,FRDA,1.043823562446617e-14,90
geneComp_00022615,PPP2R5D,PPP2R5D,Control,FRDA,1.1881517017752001e-14,91
geneComp_00022296,PMS2P3,PMS2P3,Control,FRDA,2.1762918799970025e-14,92
geneComp_00028461,UBAP2,UBAP2,Control,FRDA,2.3959607552776102e-14,93
geneComp_00028145,TRMT11,TRMT11,Control,FRDA,2.6982591250624135e-14,94
geneComp_00029514,ZNF135,ZNF135,Control,FRDA,4.0397844001711576e-14,95
geneComp_00002005,C2,C2,Control,FRDA,4.8034807181671805e-14,96
geneComp_00016429,HSF4,HSF4,Control,FRDA,5.468011398784844e-14,97
geneComp_00015136,GATA2-AS1,GATA2-AS1,Control,FRDA,5.742046202824365e-14,98
geneComp_00023054,PTPN13,PTPN13,Control,FRDA,5.749838403558954e-14,99
geneComp_00029988,ZNF764,ZNF764,Control,FRDA,7.25804715054258e-14,100
geneComp_00014900,FRMPD4,FRMPD4,Control,FRDA,9.372935751861288e-14,101
