dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Vilema,RPSA,RPSA,2,codingPotential; domain_identified,0.37773333333333337,8.898800407614303e-166
Vilema,PLCB4,PLCB4,2,codingPotential; domain_identified,0.3142666666666667,9.441860170931889e-116
Vilema,MTCL1,MTCL1,2,codingPotential; domain_identified,0.11853333333333334,2.038971963927951e-95
Vilema,MGST3,MGST3,2,codingPotential; domain_identified,0.5731666666666666,1.8110253281539493e-83
Vilema,HLA-H,HLA-H,1,codingPotential,0.5103666666666667,8.057386300161394e-80
Vilema,CAST,CAST,3,codingPotential; domain_identified; IR,0.10236666666666666,9.895497569929203e-75
Vilema,TRIM2,TRIM2,2,codingPotential; domain_identified,0.22656666666666667,9.547763926014862e-70
Vilema,ULK3,ULK3,2,codingPotential; IR,0.3608,1.2640300071709743e-69
Vilema,AP2M1,AP2M1,1,codingPotential,0.1034,2.132333655810968e-66
Vilema,ST6GALNAC6,ST6GALNAC6,3,codingPotential; domain_identified; signal_peptide_identified,0.2899,1.0477124765687926e-60
Vilema,THOC2,THOC2,2,codingPotential; domain_identified,0.12636666666666668,5.421488764039072e-60
Vilema,MAGED4,MAGED4,2,codingPotential; IR,0.18826666666666667,9.945595809437959e-58
Vilema,BEND7,BEND7,2,codingPotential; domain_identified,0.3186,1.16448974003168e-53
Vilema,NPIPA6,NPIPA6,1,codingPotential,0.1545333333333333,3.5548853302635405e-52
Vilema,MTA2,MTA2,2,codingPotential; domain_identified,0.10346666666666667,1.272250323360265e-49
Vilema,ACSL3,ACSL3,2,codingPotential; domain_identified,0.1449666666666667,6.693258438525036e-49
Vilema,PRKCD,PRKCD,2,codingPotential; domain_identified,0.2442,1.1537026509447916e-47
Vilema,ZNF667-AS1,ZNF667-AS1,1,IR,0.8355666666666667,1.3712919484939188e-47
Vilema,KMT2A,KMT2A,2,codingPotential; domain_identified,0.1674,5.4801511484677955e-46
Vilema,KMT2C,KMT2C,1,codingPotential,0.14473333333333332,4.501727879665367e-42
Vilema,HNRNPK,HNRNPK,2,codingPotential; domain_identified,0.1336,2.252154282723652e-39
Vilema,DDX39B,DDX39B,2,codingPotential; domain_identified,0.11823333333333336,2.6021855334129038e-39
Vilema,AMACR,AMACR,2,codingPotential; IR,0.16783333333333333,3.3238770763572686e-37
Vilema,BRCA1,BRCA1,2,codingPotential; domain_identified,0.24350000000000002,8.987780834830708e-37
Vilema,CBS,CBS,3,codingPotential; domain_identified; IR,0.4808,7.231442928457834e-36
Vilema,SPATA13,SPATA13,2,codingPotential; domain_identified,0.3707,3.01848313269365e-35
Vilema,PKD1P6-NPIPP1,PKD1P6-NPIPP1,1,codingPotential,0.22076666666666667,1.9176767199700431e-31
Vilema,CDK11A,CDK11A,2,codingPotential; domain_identified,0.1819,9.189387998699873e-31
Vilema,ZP3,ZP3,2,codingPotential; domain_identified,0.8132666666666666,7.685734237951841e-30
Vilema,PIK3R1,PIK3R1,2,codingPotential; domain_identified,0.28446666666666665,1.1868777581991461e-29
Vilema,AMPD2,AMPD2,2,codingPotential; domain_identified,0.20076666666666668,3.151845642235599e-29
Vilema,STPG1,STPG1,1,codingPotential,0.1995,4.509252810393117e-29
Vilema,KANSL1,KANSL1,3,codingPotential; domain_identified; IR,0.20886666666666667,6.249506229251895e-29
Vilema,ZNF41,ZNF41,2,codingPotential; domain_identified,0.2995333333333333,1.5568671781379842e-27
Vilema,SH3YL1,SH3YL1,2,codingPotential; domain_identified,0.1434,4.628778947239729e-27
Vilema,ALG5,ALG5,2,codingPotential; domain_identified,0.22383333333333333,3.26663800364571e-25
Vilema,CHTOP,CHTOP,2,codingPotential; domain_identified,0.15316666666666667,3.26663800364571e-25
Vilema,PER3,PER3,3,codingPotential; domain_identified; IR,0.35263333333333335,5.746379812156064e-25
Vilema,TMEM216,TMEM216,2,codingPotential; domain_identified,0.4458,5.8423630248328955e-25
Vilema,ZNF133,ZNF133,2,codingPotential; domain_identified,0.4562333333333334,2.763453718536934e-24
Vilema,CACNA1A,CACNA1A,2,codingPotential; domain_identified,0.18930000000000002,5.536789690673896e-24
Vilema,RABGEF1P1,RABGEF1P1,1,codingPotential,0.2185,1.3298205368660224e-23
Vilema,DEDD,DEDD,3,codingPotential; domain_identified; IR,0.16636666666666666,5.621552388670031e-23
Vilema,LGALS8,LGALS8,2,codingPotential; domain_identified,0.12163333333333333,1.291048297942348e-22
Vilema,ARHGEF9,ARHGEF9,3,codingPotential; domain_identified; IR,0.2296,8.35962489482472e-22
Vilema,USP19,USP19,2,codingPotential; domain_identified,0.1958333333333333,1.2943294294832852e-21
Vilema,XKR8,XKR8,2,codingPotential; domain_identified,0.45693333333333336,1.818226289760358e-21
Vilema,WDR44,WDR44,2,codingPotential; domain_identified,0.17143333333333333,6.488712079376566e-21
Vilema,SLC12A2-DT,SLC12A2-DT,1,IR,0.11453333333333333,6.530029176388455e-21
Vilema,MSH6,MSH6,2,codingPotential; domain_identified,0.2844333333333333,1.3969746670239412e-20
Vilema,HMBS,HMBS,2,codingPotential; domain_identified,0.13213333333333332,3.655873558702825e-20
