"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044391","ribosomal subunit",180,-0.523079662772905,-2.31349935279468,1e-10,2.37666666666667e-08,1.88771929824561e-08,5713,"tags=67%, list=29%, signal=48%","ENSG00000137818/ENSG00000100316/ENSG00000204568/ENSG00000186468/ENSG00000204316/ENSG00000159111/ENSG00000131368/ENSG00000106591/ENSG00000086504/ENSG00000128626/ENSG00000135972/ENSG00000134419/ENSG00000162910/ENSG00000163682/ENSG00000177954/ENSG00000108298/ENSG00000163319/ENSG00000182180/ENSG00000188846/ENSG00000102738/ENSG00000171421/ENSG00000178694/ENSG00000114391/ENSG00000278845/ENSG00000172586/ENSG00000172590/ENSG00000137154/ENSG00000132676/ENSG00000131469/ENSG00000105193/ENSG00000037241/ENSG00000114686/ENSG00000074071/ENSG00000116898/ENSG00000149806/ENSG00000144029/ENSG00000229117/ENSG00000198918/ENSG00000243927/ENSG00000198015/ENSG00000130312/ENSG00000161970/ENSG00000156482/ENSG00000169288/ENSG00000122140/ENSG00000242485/ENSG00000147403/ENSG00000062582/ENSG00000144713/ENSG00000061794/ENSG00000148303/ENSG00000185608/ENSG00000122026/ENSG00000262814/ENSG00000179271/ENSG00000174748/ENSG00000163923/ENSG00000090263/ENSG00000145425/ENSG00000083845/ENSG00000172809/ENSG00000172172/ENSG00000147604/ENSG00000177600/ENSG00000111639/ENSG00000089009/ENSG00000174444/ENSG00000213553/ENSG00000067248/ENSG00000132313/ENSG00000166902/ENSG00000164587/ENSG00000166441/ENSG00000143436/ENSG00000181610/ENSG00000149273/ENSG00000116221/ENSG00000213741/ENSG00000143314/ENSG00000173141/ENSG00000116251/ENSG00000121766/ENSG00000089157/ENSG00000118181/ENSG00000137547/ENSG00000265681/ENSG00000125445/ENSG00000161016/ENSG00000115268/ENSG00000167862/ENSG00000174547/ENSG00000125901/ENSG00000239789/ENSG00000144895/ENSG00000175110/ENSG00000102317/ENSG00000112996/ENSG00000142937/ENSG00000198242/ENSG00000136942/ENSG00000171858/ENSG00000182899/ENSG00000136522/ENSG00000122406/ENSG00000259494/ENSG00000110700/ENSG00000175581/ENSG00000165502/ENSG00000221983/ENSG00000168028/ENSG00000158042/ENSG00000136897/ENSG00000082515/ENSG00000138326/ENSG00000154719/ENSG00000241343/ENSG00000197345/ENSG00000147586/ENSG00000105640/ENSG00000214026"
"GO:0005840","ribosome",223,-0.49804471670512,-2.27466017432121,1e-10,2.37666666666667e-08,1.88771929824561e-08,5733,"tags=54%, list=29%, signal=39%","ENSG00000103342/ENSG00000188846/ENSG00000100823/ENSG00000102738/ENSG00000198208/ENSG00000171421/ENSG00000178694/ENSG00000114391/ENSG00000278845/ENSG00000172586/ENSG00000172590/ENSG00000137154/ENSG00000132676/ENSG00000158092/ENSG00000131469/ENSG00000105193/ENSG00000037241/ENSG00000114686/ENSG00000074071/ENSG00000116898/ENSG00000149806/ENSG00000144029/ENSG00000229117/ENSG00000198918/ENSG00000243927/ENSG00000198015/ENSG00000130312/ENSG00000161970/ENSG00000179218/ENSG00000156482/ENSG00000169288/ENSG00000122140/ENSG00000242485/ENSG00000147403/ENSG00000062582/ENSG00000144713/ENSG00000061794/ENSG00000148303/ENSG00000185608/ENSG00000122026/ENSG00000120742/ENSG00000262814/ENSG00000179271/ENSG00000174748/ENSG00000120705/ENSG00000163923/ENSG00000090263/ENSG00000145425/ENSG00000083845/ENSG00000172809/ENSG00000172172/ENSG00000147604/ENSG00000177600/ENSG00000111639/ENSG00000089009/ENSG00000174444/ENSG00000213553/ENSG00000055332/ENSG00000067248/ENSG00000132313/ENSG00000166902/ENSG00000164587/ENSG00000166441/ENSG00000143436/ENSG00000181610/ENSG00000149273/ENSG00000116221/ENSG00000213741/ENSG00000143314/ENSG00000152684/ENSG00000173141/ENSG00000116251/ENSG00000187522/ENSG00000121766/ENSG00000089157/ENSG00000118181/ENSG00000137547/ENSG00000265681/ENSG00000125445/ENSG00000161016/ENSG00000115268/ENSG00000167862/ENSG00000174547/ENSG00000125901/ENSG00000164024/ENSG00000239789/ENSG00000144895/ENSG00000175110/ENSG00000102317/ENSG00000112996/ENSG00000142937/ENSG00000198242/ENSG00000136942/ENSG00000171858/ENSG00000182899/ENSG00000136522/ENSG00000122406/ENSG00000259494/ENSG00000110700/ENSG00000163584/ENSG00000175581/ENSG00000138035/ENSG00000148824/ENSG00000164163/ENSG00000165502/ENSG00000221983/ENSG00000168028/ENSG00000158042/ENSG00000136897/ENSG00000082515/ENSG00000138326/ENSG00000154719/ENSG00000241343/ENSG00000137876/ENSG00000197345/ENSG00000147586/ENSG00000105640/ENSG00000162374/ENSG00000214026/ENSG00000089127"
"GO:0005759","mitochondrial matrix",493,-0.410647598832266,-2.03462365622488,1e-10,2.37666666666667e-08,1.88771929824561e-08,5932,"tags=48%, list=30%, signal=34%","ENSG00000135070/ENSG00000142168/ENSG00000109519/ENSG00000166855/ENSG00000139160/ENSG00000165672/ENSG00000059573/ENSG00000137992/ENSG00000105819/ENSG00000163738/ENSG00000138029/ENSG00000102738/ENSG00000171421/ENSG00000178694/ENSG00000100294/ENSG00000146701/ENSG00000073578/ENSG00000150768/ENSG00000278845/ENSG00000004142/ENSG00000139131/ENSG00000248098/ENSG00000172586/ENSG00000134057/ENSG00000167969/ENSG00000123130/ENSG00000100348/ENSG00000164978/ENSG00000156928/ENSG00000172590/ENSG00000072756/ENSG00000172171/ENSG00000101574/ENSG00000196636/ENSG00000132676/ENSG00000171861/ENSG00000274523/ENSG00000100033/ENSG00000108829/ENSG00000146729/ENSG00000004779/ENSG00000152234/ENSG00000163864/ENSG00000123600/ENSG00000165792/ENSG00000114054/ENSG00000110435/ENSG00000114686/ENSG00000103152/ENSG00000074071/ENSG00000116898/ENSG00000099821/ENSG00000177192/ENSG00000144029/ENSG00000066926/ENSG00000205309/ENSG00000151376/ENSG00000213585/ENSG00000243927/ENSG00000151611/ENSG00000177302/ENSG00000198015/ENSG00000130312/ENSG00000166136/ENSG00000168393/ENSG00000003509/ENSG00000167112/ENSG00000138095/ENSG00000158864/ENSG00000145439/ENSG00000091140/ENSG00000169288/ENSG00000072062/ENSG00000122687/ENSG00000115286/ENSG00000122140/ENSG00000242485/ENSG00000108561/ENSG00000180185/ENSG00000123453/ENSG00000062582/ENSG00000144381/ENSG00000124523/ENSG00000105552/ENSG00000130349/ENSG00000178952/ENSG00000061794/ENSG00000124279/ENSG00000106268/ENSG00000213465/ENSG00000116874/ENSG00000217930/ENSG00000185608/ENSG00000116459/ENSG00000164494/ENSG00000174173/ENSG00000006695/ENSG00000116353/ENSG00000262814/ENSG00000131069/ENSG00000082212/ENSG00000165526/ENSG00000179271/ENSG00000139637/ENSG00000165898/ENSG00000184470/ENSG00000169519/ENSG00000168291/ENSG00000136371/ENSG00000005022/ENSG00000090263/ENSG00000164362/ENSG00000196365/ENSG00000172172/ENSG00000187118/ENSG00000106077/ENSG00000138777/ENSG00000051180/ENSG00000205981/ENSG00000188266/ENSG00000156469/ENSG00000156502/ENSG00000111639/ENSG00000197444/ENSG00000139180/ENSG00000100577/ENSG00000132313/ENSG00000165629/ENSG00000166902/ENSG00000164284/ENSG00000132463/ENSG00000162851/ENSG00000143436/ENSG00000117118/ENSG00000181610/ENSG00000149273/ENSG00000116221/ENSG00000029639/ENSG00000068120/ENSG00000143314/ENSG00000106049/ENSG00000151093/ENSG00000173141/ENSG00000152620/ENSG00000119689/ENSG00000117054/ENSG00000137513/ENSG00000027001/ENSG00000099624/ENSG00000126602/ENSG00000178700/ENSG00000166411/ENSG00000116288/ENSG00000137547/ENSG00000125445/ENSG00000108064/ENSG00000167862/ENSG00000151413/ENSG00000135441/ENSG00000174547/ENSG00000164306/ENSG00000125901/ENSG00000117593/ENSG00000162390/ENSG00000011376/ENSG00000166321/ENSG00000075239/ENSG00000113013/ENSG00000239789/ENSG00000159445/ENSG00000213619/ENSG00000175110/ENSG00000184428/ENSG00000154930/ENSG00000168827/ENSG00000112996/ENSG00000170312/ENSG00000148459/ENSG00000126814/ENSG00000136522/ENSG00000176890/ENSG00000107815/ENSG00000102144/ENSG00000259494/ENSG00000162836/ENSG00000127989/ENSG00000244005/ENSG00000138796/ENSG00000137124/ENSG00000148187/ENSG00000160752/ENSG00000135423/ENSG00000083720/ENSG00000175581/ENSG00000051341/ENSG00000121897/ENSG00000116863/ENSG00000138035/ENSG00000148824/ENSG00000143575/ENSG00000183010/ENSG00000107959/ENSG00000164163/ENSG00000103507/ENSG00000278619/ENSG00000106028/ENSG00000182199/ENSG00000158042/ENSG00000081181/ENSG00000136897/ENSG00000137133/ENSG00000005187/ENSG00000067704/ENSG00000082515/ENSG00000072506/ENSG00000091483/ENSG00000140905/ENSG00000180902/ENSG00000154719/ENSG00000172340/ENSG00000147465/ENSG00000197345/ENSG00000255154/ENSG00000147586/ENSG00000147889/ENSG00000204228/ENSG00000113580/ENSG00000166123/ENSG00000135929/ENSG00000214026/ENSG00000186603/ENSG00000152256/ENSG00000106105/ENSG00000100889/ENSG00000136010/ENSG00000165060"
"GO:0015934","large ribosomal subunit",110,-0.559095229364215,-2.29920189085183,3.55313043319683e-10,6.33345499717335e-08,5.03048466594709e-08,5713,"tags=62%, list=29%, signal=44%","ENSG00000188846/ENSG00000171421/ENSG00000178694/ENSG00000114391/ENSG00000278845/ENSG00000172590/ENSG00000131469/ENSG00000037241/ENSG00000114686/ENSG00000229117/ENSG00000198918/ENSG00000198015/ENSG00000130312/ENSG00000161970/ENSG00000156482/ENSG00000169288/ENSG00000242485/ENSG00000147403/ENSG00000144713/ENSG00000148303/ENSG00000185608/ENSG00000122026/ENSG00000262814/ENSG00000179271/ENSG00000174748/ENSG00000163923/ENSG00000172809/ENSG00000172172/ENSG00000147604/ENSG00000177600/ENSG00000111639/ENSG00000089009/ENSG00000174444/ENSG00000213553/ENSG00000132313/ENSG00000166902/ENSG00000166441/ENSG00000143436/ENSG00000116221/ENSG00000143314/ENSG00000173141/ENSG00000116251/ENSG00000121766/ENSG00000089157/ENSG00000137547/ENSG00000265681/ENSG00000161016/ENSG00000167862/ENSG00000174547/ENSG00000102317/ENSG00000112996/ENSG00000198242/ENSG00000136942/ENSG00000182899/ENSG00000136522/ENSG00000122406/ENSG00000259494/ENSG00000175581/ENSG00000165502/ENSG00000221983/ENSG00000158042/ENSG00000136897/ENSG00000082515/ENSG00000154719/ENSG00000241343/ENSG00000197345/ENSG00000105640/ENSG00000214026"
"GO:0098798","mitochondrial protein-containing complex",177,-0.482275167652708,-2.12371737999038,1.60600893985999e-09,2.29016874824034e-07,1.81901644135721e-07,6825,"tags=63%, list=34%, signal=42%","ENSG00000204568/ENSG00000106554/ENSG00000084754/ENSG00000204316/ENSG00000159111/ENSG00000131368/ENSG00000106591/ENSG00000086504/ENSG00000128626/ENSG00000135972/ENSG00000162910/ENSG00000132286/ENSG00000169100/ENSG00000171109/ENSG00000143158/ENSG00000177034/ENSG00000163319/ENSG00000165688/ENSG00000182180/ENSG00000173436/ENSG00000135070/ENSG00000109519/ENSG00000166855/ENSG00000105819/ENSG00000138029/ENSG00000292334/ENSG00000102738/ENSG00000171421/ENSG00000178694/ENSG00000278845/ENSG00000172586/ENSG00000172590/ENSG00000132676/ENSG00000004779/ENSG00000099800/ENSG00000114686/ENSG00000074071/ENSG00000116898/ENSG00000099821/ENSG00000144029/ENSG00000213585/ENSG00000175768/ENSG00000243927/ENSG00000198015/ENSG00000130312/ENSG00000075336/ENSG00000165275/ENSG00000169288/ENSG00000122140/ENSG00000242485/ENSG00000215021/ENSG00000125995/ENSG00000062582/ENSG00000134375/ENSG00000061794/ENSG00000217930/ENSG00000185608/ENSG00000141385/ENSG00000132305/ENSG00000164494/ENSG00000174173/ENSG00000262814/ENSG00000250479/ENSG00000179271/ENSG00000165898/ENSG00000005022/ENSG00000090263/ENSG00000142444/ENSG00000172172/ENSG00000205981/ENSG00000156502/ENSG00000111639/ENSG00000132313/ENSG00000166902/ENSG00000164284/ENSG00000143436/ENSG00000181610/ENSG00000116221/ENSG00000154174/ENSG00000143314/ENSG00000173141/ENSG00000165487/ENSG00000137547/ENSG00000125445/ENSG00000167862/ENSG00000174547/ENSG00000155008/ENSG00000125901/ENSG00000113013/ENSG00000239789/ENSG00000175110/ENSG00000112996/ENSG00000148459/ENSG00000107745/ENSG00000136522/ENSG00000173726/ENSG00000259494/ENSG00000244005/ENSG00000175581/ENSG00000138035/ENSG00000158042/ENSG00000136897/ENSG00000082515/ENSG00000072506/ENSG00000154719/ENSG00000005059/ENSG00000197345/ENSG00000147586/ENSG00000100575/ENSG00000214026/ENSG00000156026/ENSG00000165060"
"GO:0005743","mitochondrial inner membrane",463,-0.36084414240256,-1.77610641352302,4.84393215895002e-09,5.7562060488856e-07,4.57199210792124e-07,6960,"tags=55%, list=35%, signal=37%","ENSG00000147123/ENSG00000165283/ENSG00000167085/ENSG00000175701/ENSG00000151806/ENSG00000100075/ENSG00000145494/ENSG00000204568/ENSG00000241878/ENSG00000155463/ENSG00000106554/ENSG00000135776/ENSG00000023228/ENSG00000084754/ENSG00000204316/ENSG00000101290/ENSG00000159111/ENSG00000131368/ENSG00000166260/ENSG00000106591/ENSG00000133028/ENSG00000086504/ENSG00000128626/ENSG00000135972/ENSG00000111843/ENSG00000162910/ENSG00000184752/ENSG00000173915/ENSG00000004961/ENSG00000132286/ENSG00000169100/ENSG00000115159/ENSG00000179091/ENSG00000114544/ENSG00000178307/ENSG00000198836/ENSG00000143158/ENSG00000197150/ENSG00000177034/ENSG00000163319/ENSG00000165688/ENSG00000182180/ENSG00000130748/ENSG00000176340/ENSG00000167136/ENSG00000156709/ENSG00000122912/ENSG00000173436/ENSG00000154723/ENSG00000170906/ENSG00000142192/ENSG00000109519/ENSG00000166855/ENSG00000087299/ENSG00000059573/ENSG00000131495/ENSG00000163738/ENSG00000138029/ENSG00000143252/ENSG00000292334/ENSG00000102738/ENSG00000171421/ENSG00000073578/ENSG00000125375/ENSG00000278845/ENSG00000175564/ENSG00000101084/ENSG00000172586/ENSG00000110074/ENSG00000140740/ENSG00000172590/ENSG00000163626/ENSG00000122696/ENSG00000132676/ENSG00000164051/ENSG00000183048/ENSG00000274523/ENSG00000100033/ENSG00000084092/ENSG00000128609/ENSG00000233954/ENSG00000004779/ENSG00000144559/ENSG00000172115/ENSG00000152234/ENSG00000099800/ENSG00000099795/ENSG00000114686/ENSG00000074071/ENSG00000165046/ENSG00000164182/ENSG00000116898/ENSG00000088766/ENSG00000144029/ENSG00000066926/ENSG00000241468/ENSG00000133983/ENSG00000243927/ENSG00000164919/ENSG00000198015/ENSG00000178127/ENSG00000130312/ENSG00000166136/ENSG00000102125/ENSG00000204922/ENSG00000075336/ENSG00000177646/ENSG00000158864/ENSG00000075303/ENSG00000165275/ENSG00000169288/ENSG00000171503/ENSG00000115286/ENSG00000122140/ENSG00000242485/ENSG00000050426/ENSG00000215021/ENSG00000125648/ENSG00000125995/ENSG00000173660/ENSG00000062582/ENSG00000134375/ENSG00000144381/ENSG00000174109/ENSG00000116711/ENSG00000102967/ENSG00000247077/ENSG00000204099/ENSG00000184857/ENSG00000061794/ENSG00000155287/ENSG00000151366/ENSG00000241837/ENSG00000217930/ENSG00000185608/ENSG00000116459/ENSG00000171204/ENSG00000169020/ENSG00000141385/ENSG00000132305/ENSG00000167792/ENSG00000164494/ENSG00000006695/ENSG00000178741/ENSG00000262814/ENSG00000125454/ENSG00000004864/ENSG00000143224/ENSG00000250479/ENSG00000179271/ENSG00000127184/ENSG00000005022/ENSG00000254087/ENSG00000090263/ENSG00000142444/ENSG00000134321/ENSG00000164466/ENSG00000172172/ENSG00000157184/ENSG00000157036/ENSG00000205981/ENSG00000111639/ENSG00000139180/ENSG00000169682/ENSG00000014919/ENSG00000132313/ENSG00000165629/ENSG00000131269/ENSG00000140990/ENSG00000148339/ENSG00000166902/ENSG00000164284/ENSG00000198840/ENSG00000143436/ENSG00000117118/ENSG00000181610/ENSG00000149273/ENSG00000110536/ENSG00000116221/ENSG00000160439/ENSG00000143314/ENSG00000171202/ENSG00000173141/ENSG00000156411/ENSG00000111716/ENSG00000135390/ENSG00000162600/ENSG00000243708/ENSG00000167186/ENSG00000099624/ENSG00000126602/ENSG00000173085/ENSG00000178700/ENSG00000171766/ENSG00000165487/ENSG00000137547/ENSG00000125445/ENSG00000167862/ENSG00000174547/ENSG00000155008/ENSG00000125901/ENSG00000175606/ENSG00000183648/ENSG00000113013/ENSG00000239789/ENSG00000159445/ENSG00000213619/ENSG00000175110/ENSG00000112996/ENSG00000148459/ENSG00000107745/ENSG00000155016/ENSG00000168273/ENSG00000136522/ENSG00000136521/ENSG00000176890/ENSG00000256053/ENSG00000107815/ENSG00000259494/ENSG00000164933/ENSG00000131174/ENSG00000167863/ENSG00000284194/ENSG00000184983/ENSG00000131981/ENSG00000159199/ENSG00000168569/ENSG00000175581/ENSG00000130159/ENSG00000075415/ENSG00000162769/ENSG00000148824/ENSG00000182199/ENSG00000158042/ENSG00000136897/ENSG00000242114/ENSG00000082515/ENSG00000147454/ENSG00000077713/ENSG00000085491/ENSG00000154719/ENSG00000005059/ENSG00000164983/ENSG00000197345/ENSG00000147586/ENSG00000165678/ENSG00000113845/ENSG00000183605/ENSG00000100575/ENSG00000123472/ENSG00000135929/ENSG00000132423/ENSG00000214026/ENSG00000126709/ENSG00000156026/ENSG00000016391"
"GO:0140534","endoplasmic reticulum protein-containing complex",114,-0.508608402797931,-2.10184806208751,6.08967861287727e-08,6.20277264425928e-06,4.92668735898943e-06,4931,"tags=56%, list=25%, signal=42%","ENSG00000180879/ENSG00000071537/ENSG00000058262/ENSG00000101901/ENSG00000131871/ENSG00000198911/ENSG00000100908/ENSG00000101464/ENSG00000135249/ENSG00000164615/ENSG00000142892/ENSG00000170881/ENSG00000136986/ENSG00000086827/ENSG00000172339/ENSG00000179218/ENSG00000101294/ENSG00000125037/ENSG00000169446/ENSG00000143315/ENSG00000139192/ENSG00000136908/ENSG00000244038/ENSG00000185808/ENSG00000104412/ENSG00000134825/ENSG00000130175/ENSG00000118705/ENSG00000204267/ENSG00000128228/ENSG00000170540/ENSG00000127191/ENSG00000255072/ENSG00000025796/ENSG00000128463/ENSG00000143870/ENSG00000132432/ENSG00000182934/ENSG00000166598/ENSG00000185624/ENSG00000102158/ENSG00000166794/ENSG00000090520/ENSG00000163902/ENSG00000118363/ENSG00000167004/ENSG00000166710/ENSG00000134153/ENSG00000163463/ENSG00000129128/ENSG00000166562/ENSG00000134910/ENSG00000125629/ENSG00000165195/ENSG00000198356/ENSG00000144867/ENSG00000198856/ENSG00000044574/ENSG00000149084/ENSG00000110917/ENSG00000213689/ENSG00000178607/ENSG00000170522/ENSG00000122884"
"GO:0000313","organellar ribosome",88,-0.546237900031195,-2.16723555123748,4.08420628316658e-07,3.23559897766419e-05,2.56994500624985e-05,6825,"tags=70%, list=34%, signal=46%","ENSG00000204568/ENSG00000204316/ENSG00000159111/ENSG00000131368/ENSG00000106591/ENSG00000086504/ENSG00000128626/ENSG00000135972/ENSG00000162910/ENSG00000163319/ENSG00000182180/ENSG00000102738/ENSG00000171421/ENSG00000178694/ENSG00000278845/ENSG00000172586/ENSG00000172590/ENSG00000132676/ENSG00000114686/ENSG00000074071/ENSG00000116898/ENSG00000144029/ENSG00000243927/ENSG00000198015/ENSG00000130312/ENSG00000169288/ENSG00000122140/ENSG00000242485/ENSG00000062582/ENSG00000061794/ENSG00000185608/ENSG00000262814/ENSG00000179271/ENSG00000090263/ENSG00000172172/ENSG00000111639/ENSG00000132313/ENSG00000166902/ENSG00000143436/ENSG00000181610/ENSG00000116221/ENSG00000143314/ENSG00000173141/ENSG00000137547/ENSG00000125445/ENSG00000167862/ENSG00000174547/ENSG00000125901/ENSG00000239789/ENSG00000175110/ENSG00000112996/ENSG00000136522/ENSG00000259494/ENSG00000175581/ENSG00000148824/ENSG00000158042/ENSG00000136897/ENSG00000082515/ENSG00000154719/ENSG00000197345/ENSG00000147586/ENSG00000214026"
"GO:0005761","mitochondrial ribosome",88,-0.546237900031195,-2.16723555123748,4.08420628316658e-07,3.23559897766419e-05,2.56994500624985e-05,6825,"tags=70%, list=34%, signal=46%","ENSG00000204568/ENSG00000204316/ENSG00000159111/ENSG00000131368/ENSG00000106591/ENSG00000086504/ENSG00000128626/ENSG00000135972/ENSG00000162910/ENSG00000163319/ENSG00000182180/ENSG00000102738/ENSG00000171421/ENSG00000178694/ENSG00000278845/ENSG00000172586/ENSG00000172590/ENSG00000132676/ENSG00000114686/ENSG00000074071/ENSG00000116898/ENSG00000144029/ENSG00000243927/ENSG00000198015/ENSG00000130312/ENSG00000169288/ENSG00000122140/ENSG00000242485/ENSG00000062582/ENSG00000061794/ENSG00000185608/ENSG00000262814/ENSG00000179271/ENSG00000090263/ENSG00000172172/ENSG00000111639/ENSG00000132313/ENSG00000166902/ENSG00000143436/ENSG00000181610/ENSG00000116221/ENSG00000143314/ENSG00000173141/ENSG00000137547/ENSG00000125445/ENSG00000167862/ENSG00000174547/ENSG00000125901/ENSG00000239789/ENSG00000175110/ENSG00000112996/ENSG00000136522/ENSG00000259494/ENSG00000175581/ENSG00000148824/ENSG00000158042/ENSG00000136897/ENSG00000082515/ENSG00000154719/ENSG00000197345/ENSG00000147586/ENSG00000214026"
"GO:0022626","cytosolic ribosome",112,-0.469975016530438,-1.94624295504949,7.16088002586779e-06,0.000510570745844373,0.000405531942517565,5234,"tags=47%, list=26%, signal=35%","ENSG00000137154/ENSG00000131469/ENSG00000105193/ENSG00000037241/ENSG00000149806/ENSG00000229117/ENSG00000198918/ENSG00000161970/ENSG00000156482/ENSG00000147403/ENSG00000144713/ENSG00000148303/ENSG00000122026/ENSG00000174748/ENSG00000120705/ENSG00000163923/ENSG00000145425/ENSG00000083845/ENSG00000172809/ENSG00000147604/ENSG00000177600/ENSG00000089009/ENSG00000174444/ENSG00000213553/ENSG00000067248/ENSG00000164587/ENSG00000166441/ENSG00000149273/ENSG00000213741/ENSG00000152684/ENSG00000116251/ENSG00000121766/ENSG00000089157/ENSG00000118181/ENSG00000265681/ENSG00000161016/ENSG00000115268/ENSG00000164024/ENSG00000144895/ENSG00000142937/ENSG00000198242/ENSG00000136942/ENSG00000171858/ENSG00000182899/ENSG00000122406/ENSG00000110700/ENSG00000164163/ENSG00000165502/ENSG00000221983/ENSG00000168028/ENSG00000138326/ENSG00000241343/ENSG00000105640"
