"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","structural constituent of ribosome",156,-0.529206858546133,-2.30912798788844,1e-10,1.17e-07,1.00210526315789e-07,6945,"tags=69%, list=35%, signal=45%","ENSG00000162244/ENSG00000137818/ENSG00000100316/ENSG00000204568/ENSG00000186468/ENSG00000159111/ENSG00000131368/ENSG00000106591/ENSG00000086504/ENSG00000128626/ENSG00000135972/ENSG00000134419/ENSG00000162910/ENSG00000163682/ENSG00000177954/ENSG00000108298/ENSG00000163319/ENSG00000182180/ENSG00000188846/ENSG00000102738/ENSG00000171421/ENSG00000114391/ENSG00000278845/ENSG00000172590/ENSG00000137154/ENSG00000132676/ENSG00000131469/ENSG00000105193/ENSG00000037241/ENSG00000114686/ENSG00000074071/ENSG00000116898/ENSG00000149806/ENSG00000144029/ENSG00000229117/ENSG00000198918/ENSG00000243927/ENSG00000198015/ENSG00000130312/ENSG00000161970/ENSG00000156482/ENSG00000169288/ENSG00000122140/ENSG00000242485/ENSG00000147403/ENSG00000062582/ENSG00000144713/ENSG00000061794/ENSG00000148303/ENSG00000122026/ENSG00000262814/ENSG00000174748/ENSG00000163923/ENSG00000090263/ENSG00000145425/ENSG00000083845/ENSG00000172809/ENSG00000172172/ENSG00000147604/ENSG00000177600/ENSG00000111639/ENSG00000089009/ENSG00000174444/ENSG00000213553/ENSG00000132313/ENSG00000166902/ENSG00000164587/ENSG00000166441/ENSG00000143436/ENSG00000181610/ENSG00000149273/ENSG00000116221/ENSG00000213741/ENSG00000143314/ENSG00000173141/ENSG00000116251/ENSG00000089157/ENSG00000118181/ENSG00000137547/ENSG00000265681/ENSG00000125445/ENSG00000161016/ENSG00000115268/ENSG00000174547/ENSG00000239789/ENSG00000175110/ENSG00000112996/ENSG00000142937/ENSG00000198242/ENSG00000136942/ENSG00000171858/ENSG00000182899/ENSG00000136522/ENSG00000122406/ENSG00000259494/ENSG00000110700/ENSG00000163584/ENSG00000165502/ENSG00000221983/ENSG00000168028/ENSG00000158042/ENSG00000082515/ENSG00000138326/ENSG00000241343/ENSG00000137876/ENSG00000197345/ENSG00000105640/ENSG00000214026"
"GO:0005126","cytokine receptor binding",174,0.420180363014148,1.81314085045949,5.76057865407436e-06,0.002246625675089,0.00192423539602765,2422,"tags=28%, list=12%, signal=24%","ENSG00000106952/ENSG00000172179/ENSG00000073712/ENSG00000136244/ENSG00000115008/ENSG00000156234/ENSG00000117586/ENSG00000138755/ENSG00000108702/ENSG00000143185/ENSG00000105639/ENSG00000175505/ENSG00000121807/ENSG00000078902/ENSG00000056558/ENSG00000120833/ENSG00000105246/ENSG00000263961/ENSG00000131142/ENSG00000125726/ENSG00000110944/ENSG00000115009/ENSG00000136634/ENSG00000164400/ENSG00000107485/ENSG00000102962/ENSG00000169194/ENSG00000125657/ENSG00000132688/ENSG00000003402/ENSG00000169245/ENSG00000169429/ENSG00000150782/ENSG00000106799/ENSG00000115539/ENSG00000125538/ENSG00000226979/ENSG00000113302/ENSG00000137275/ENSG00000166949/ENSG00000162434/ENSG00000105397/ENSG00000197272/ENSG00000076604/ENSG00000198742/ENSG00000135966/ENSG00000110514/ENSG00000184557"
"GO:0140098","catalytic activity, acting on RNA",360,-0.342047176738414,-1.63215747051863,4.68446378665268e-06,0.002246625675089,0.00192423539602765,6248,"tags=44%, list=31%, signal=31%","ENSG00000005075/ENSG00000037897/ENSG00000043514/ENSG00000086189/ENSG00000167136/ENSG00000071462/ENSG00000165055/ENSG00000124787/ENSG00000108771/ENSG00000174840/ENSG00000007520/ENSG00000111364/ENSG00000108406/ENSG00000122435/ENSG00000148688/ENSG00000113356/ENSG00000100823/ENSG00000178694/ENSG00000179115/ENSG00000047315/ENSG00000105202/ENSG00000099817/ENSG00000111880/ENSG00000213782/ENSG00000139131/ENSG00000103707/ENSG00000137574/ENSG00000175711/ENSG00000172795/ENSG00000072756/ENSG00000101574/ENSG00000171861/ENSG00000126749/ENSG00000145907/ENSG00000165732/ENSG00000178896/ENSG00000169570/ENSG00000123600/ENSG00000145388/ENSG00000113643/ENSG00000143319/ENSG00000137760/ENSG00000099821/ENSG00000177192/ENSG00000117751/ENSG00000075914/ENSG00000171824/ENSG00000121964/ENSG00000104356/ENSG00000141101/ENSG00000183258/ENSG00000161980/ENSG00000167112/ENSG00000151576/ENSG00000165275/ENSG00000177700/ENSG00000122687/ENSG00000127804/ENSG00000166166/ENSG00000152464/ENSG00000277209/ENSG00000130713/ENSG00000138231/ENSG00000105671/ENSG00000151014/ENSG00000109606/ENSG00000163516/ENSG00000031698/ENSG00000241258/ENSG00000116874/ENSG00000172336/ENSG00000213339/ENSG00000088205/ENSG00000174173/ENSG00000107614/ENSG00000104889/ENSG00000165526/ENSG00000139637/ENSG00000169519/ENSG00000120705/ENSG00000164362/ENSG00000157036/ENSG00000107625/ENSG00000101347/ENSG00000156502/ENSG00000116120/ENSG00000066651/ENSG00000122643/ENSG00000204348/ENSG00000174953/ENSG00000067248/ENSG00000162851/ENSG00000133641/ENSG00000168228/ENSG00000197157/ENSG00000029639/ENSG00000110619/ENSG00000079785/ENSG00000196678/ENSG00000091127/ENSG00000161960/ENSG00000166986/ENSG00000115267/ENSG00000068438/ENSG00000137513/ENSG00000132773/ENSG00000047188/ENSG00000013503/ENSG00000107371/ENSG00000167862/ENSG00000136932/ENSG00000168496/ENSG00000117593/ENSG00000101654/ENSG00000154760/ENSG00000011376/ENSG00000113272/ENSG00000104907/ENSG00000155363/ENSG00000134077/ENSG00000126814/ENSG00000141543/ENSG00000154743/ENSG00000141378/ENSG00000039123/ENSG00000129480/ENSG00000196305/ENSG00000134684/ENSG00000123737/ENSG00000197275/ENSG00000105865/ENSG00000140105/ENSG00000104626/ENSG00000168806/ENSG00000115866/ENSG00000138035/ENSG00000100697/ENSG00000258818/ENSG00000174371/ENSG00000113407/ENSG00000278619/ENSG00000214274/ENSG00000123136/ENSG00000167272/ENSG00000067704/ENSG00000178718/ENSG00000136628/ENSG00000137628/ENSG00000173809/ENSG00000172183/ENSG00000090861/ENSG00000205978/ENSG00000134627/ENSG00000277149/ENSG00000106105/ENSG00000178607/ENSG00000181381/ENSG00000112874/ENSG00000026297"
"GO:0000049","tRNA binding",78,-0.506957678491556,-1.99235119568186,1.60930647565129e-05,0.00376577715302403,0.00322538897856849,4830,"tags=49%, list=24%, signal=37%","ENSG00000113643/ENSG00000132394/ENSG00000137760/ENSG00000177192/ENSG00000070061/ENSG00000151576/ENSG00000180098/ENSG00000165275/ENSG00000130349/ENSG00000031698/ENSG00000174173/ENSG00000135372/ENSG00000165526/ENSG00000164362/ENSG00000066651/ENSG00000110619/ENSG00000166986/ENSG00000164022/ENSG00000152778/ENSG00000117593/ENSG00000154760/ENSG00000144895/ENSG00000113272/ENSG00000104907/ENSG00000134077/ENSG00000182899/ENSG00000129480/ENSG00000196305/ENSG00000134684/ENSG00000113407/ENSG00000130921/ENSG00000067704/ENSG00000072506/ENSG00000173674/ENSG00000090861/ENSG00000130741/ENSG00000184575/ENSG00000172716"
"GO:0016874","ligase activity",152,-0.415844194937407,-1.80707517671759,1.37695783940296e-05,0.00376577715302403,0.00322538897856849,4060,"tags=37%, list=20%, signal=30%","ENSG00000178921/ENSG00000119685/ENSG00000159267/ENSG00000031698/ENSG00000241837/ENSG00000116874/ENSG00000005156/ENSG00000116459/ENSG00000169020/ENSG00000068366/ENSG00000033178/ENSG00000131069/ENSG00000126261/ENSG00000124217/ENSG00000136371/ENSG00000116120/ENSG00000166532/ENSG00000141933/ENSG00000165629/ENSG00000121060/ENSG00000133641/ENSG00000110619/ENSG00000166986/ENSG00000185883/ENSG00000137513/ENSG00000177181/ENSG00000123983/ENSG00000099624/ENSG00000100714/ENSG00000117593/ENSG00000011376/ENSG00000159131/ENSG00000128050/ENSG00000154930/ENSG00000196305/ENSG00000134684/ENSG00000167863/ENSG00000140105/ENSG00000197142/ENSG00000115866/ENSG00000182179/ENSG00000113407/ENSG00000081307/ENSG00000134146/ENSG00000147813/ENSG00000005187/ENSG00000067704/ENSG00000172340/ENSG00000083807/ENSG00000136628/ENSG00000163655/ENSG00000090861/ENSG00000106105/ENSG00000151726/ENSG00000130707/ENSG00000070669"
"GO:0140101","catalytic activity, acting on a tRNA",137,-0.422684275864037,-1.79697800558009,6.18471308635278e-05,0.00880540542804838,0.00754183172964647,5780,"tags=47%, list=29%, signal=33%","ENSG00000122435/ENSG00000148688/ENSG00000178694/ENSG00000179115/ENSG00000139131/ENSG00000103707/ENSG00000175711/ENSG00000072756/ENSG00000169570/ENSG00000123600/ENSG00000113643/ENSG00000137760/ENSG00000177192/ENSG00000121964/ENSG00000104356/ENSG00000167112/ENSG00000151576/ENSG00000165275/ENSG00000166166/ENSG00000152464/ENSG00000277209/ENSG00000163516/ENSG00000031698/ENSG00000116874/ENSG00000172336/ENSG00000213339/ENSG00000174173/ENSG00000107614/ENSG00000165526/ENSG00000120705/ENSG00000116120/ENSG00000066651/ENSG00000122643/ENSG00000110619/ENSG00000091127/ENSG00000166986/ENSG00000068438/ENSG00000137513/ENSG00000167862/ENSG00000136932/ENSG00000117593/ENSG00000011376/ENSG00000113272/ENSG00000104907/ENSG00000134077/ENSG00000126814/ENSG00000154743/ENSG00000141378/ENSG00000129480/ENSG00000196305/ENSG00000134684/ENSG00000105865/ENSG00000140105/ENSG00000168806/ENSG00000115866/ENSG00000113407/ENSG00000214274/ENSG00000167272/ENSG00000067704/ENSG00000178718/ENSG00000136628/ENSG00000090861/ENSG00000277149/ENSG00000106105"
"GO:0016829","lyase activity",161,-0.401837214072498,-1.76511720621053,4.75372413983225e-05,0.00880540542804838,0.00754183172964647,3492,"tags=34%, list=18%, signal=28%","ENSG00000239900/ENSG00000082212/ENSG00000132199/ENSG00000176974/ENSG00000134321/ENSG00000065833/ENSG00000099977/ENSG00000134463/ENSG00000185015/ENSG00000114491/ENSG00000149273/ENSG00000085871/ENSG00000105135/ENSG00000206527/ENSG00000124615/ENSG00000149925/ENSG00000116288/ENSG00000116761/ENSG00000115758/ENSG00000104267/ENSG00000128050/ENSG00000109674/ENSG00000074800/ENSG00000154743/ENSG00000088451/ENSG00000120053/ENSG00000111669/ENSG00000189403/ENSG00000065057/ENSG00000164116/ENSG00000107159/ENSG00000166228/ENSG00000051341/ENSG00000075643/ENSG00000160200/ENSG00000145730/ENSG00000137944/ENSG00000182199/ENSG00000091483/ENSG00000061918/ENSG00000255154/ENSG00000274276/ENSG00000121310/ENSG00000099974/ENSG00000277149/ENSG00000111674/ENSG00000132965/ENSG00000128965/ENSG00000100889/ENSG00000169418/ENSG00000026297/ENSG00000109107/ENSG00000167600/ENSG00000174233"
"GO:0003779","actin binding",367,0.334462972634377,1.58601137646908,6.12244872742374e-05,0.00880540542804838,0.00754183172964647,3402,"tags=31%, list=17%, signal=26%","ENSG00000128641/ENSG00000112419/ENSG00000073712/ENSG00000122786/ENSG00000175130/ENSG00000104490/ENSG00000137831/ENSG00000136286/ENSG00000079308/ENSG00000095637/ENSG00000071909/ENSG00000039560/ENSG00000148450/ENSG00000117228/ENSG00000137076/ENSG00000008056/ENSG00000064666/ENSG00000196588/ENSG00000213918/ENSG00000070087/ENSG00000142347/ENSG00000097007/ENSG00000277443/ENSG00000044115/ENSG00000197616/ENSG00000071127/ENSG00000108819/ENSG00000167100/ENSG00000112290/ENSG00000087274/ENSG00000127603/ENSG00000184922/ENSG00000143375/ENSG00000163466/ENSG00000058453/ENSG00000159640/ENSG00000160791/ENSG00000092820/ENSG00000148700/ENSG00000113758/ENSG00000136167/ENSG00000169398/ENSG00000133454/ENSG00000196405/ENSG00000168807/ENSG00000130396/ENSG00000172554/ENSG00000034510/ENSG00000115306/ENSG00000130592/ENSG00000170873/ENSG00000161791/ENSG00000171992/ENSG00000125753/ENSG00000152527/ENSG00000150093/ENSG00000165458/ENSG00000241553/ENSG00000262246/ENSG00000131236/ENSG00000167460/ENSG00000183963/ENSG00000163539/ENSG00000180353/ENSG00000050405/ENSG00000196154/ENSG00000100345/ENSG00000146112/ENSG00000174500/ENSG00000104142/ENSG00000273749/ENSG00000162704/ENSG00000138071/ENSG00000164877/ENSG00000265190/ENSG00000176749/ENSG00000006453/ENSG00000146950/ENSG00000196923/ENSG00000197694/ENSG00000066933/ENSG00000135596/ENSG00000196924/ENSG00000099204/ENSG00000109063/ENSG00000094631/ENSG00000163995/ENSG00000136490/ENSG00000133392/ENSG00000128872/ENSG00000130402/ENSG00000164867/ENSG00000137710/ENSG00000103187/ENSG00000185100/ENSG00000147065/ENSG00000172757/ENSG00000173402/ENSG00000115935/ENSG00000114854/ENSG00000198771/ENSG00000070182/ENSG00000115091/ENSG00000125868/ENSG00000168297/ENSG00000204991/ENSG00000198947/ENSG00000077549/ENSG00000075618/ENSG00000171475/ENSG00000143494/ENSG00000162614/ENSG00000151914"
"GO:0140996","histone H3 kinase activity",311,0.337432763737442,1.55861835911513,6.77338879080644e-05,0.00880540542804838,0.00754183172964647,3690,"tags=27%, list=19%, signal=23%","ENSG00000066056/ENSG00000101336/ENSG00000164078/ENSG00000120899/ENSG00000071909/ENSG00000115977/ENSG00000177169/ENSG00000105639/ENSG00000010810/ENSG00000097007/ENSG00000105204/ENSG00000060140/ENSG00000196730/ENSG00000198796/ENSG00000115687/ENSG00000145949/ENSG00000158828/ENSG00000134318/ENSG00000007047/ENSG00000162733/ENSG00000178568/ENSG00000162889/ENSG00000115020/ENSG00000197122/ENSG00000169398/ENSG00000117676/ENSG00000159792/ENSG00000137193/ENSG00000062524/ENSG00000170145/ENSG00000114670/ENSG00000143479/ENSG00000141551/ENSG00000076984/ENSG00000104936/ENSG00000154310/ENSG00000198793/ENSG00000112079/ENSG00000178950/ENSG00000163482/ENSG00000102096/ENSG00000136573/ENSG00000126934/ENSG00000137764/ENSG00000137275/ENSG00000073331/ENSG00000105723/ENSG00000162434/ENSG00000105397/ENSG00000104365/ENSG00000167657/ENSG00000160584/ENSG00000064393/ENSG00000115085/ENSG00000142178/ENSG00000164543/ENSG00000130413/ENSG00000198752/ENSG00000131023/ENSG00000213923/ENSG00000160551/ENSG00000171219/ENSG00000140538/ENSG00000105851/ENSG00000105146/ENSG00000141503/ENSG00000136383/ENSG00000171435/ENSG00000149311/ENSG00000082701/ENSG00000134853/ENSG00000183943/ENSG00000177453/ENSG00000204580/ENSG00000130669/ENSG00000101213/ENSG00000180370/ENSG00000115661/ENSG00000115694/ENSG00000116106/ENSG00000155657/ENSG00000133059/ENSG00000142235/ENSG00000072786/ENSG00000149930"
"GO:0045295","gamma-catenin binding",11,0.840451131737312,2.07262765650003,9.24880315300544e-05,0.0108210996890164,0.00926827431753809,961,"tags=45%, list=5%, signal=43%","ENSG00000134762/ENSG00000134760/ENSG00000039068/ENSG00000044115/ENSG00000148737"
