"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0005743","mitochondrial inner membrane",457,0.410394263853116,1.91345586904881,4.74597363888736e-09,3.28895973174894e-06,2.56782152672432e-06,4581,"tags=44%, list=28%, signal=33%","ENSG00000168653/ENSG00000176890/ENSG00000188906/ENSG00000142192/ENSG00000137767/ENSG00000178127/ENSG00000223572/ENSG00000143158/ENSG00000111843/ENSG00000101084/ENSG00000198763/ENSG00000144381/ENSG00000110871/ENSG00000169288/ENSG00000111716/ENSG00000016391/ENSG00000110955/ENSG00000198888/ENSG00000181061/ENSG00000085491/ENSG00000125445/ENSG00000152234/ENSG00000172115/ENSG00000165629/ENSG00000151729/ENSG00000050393/ENSG00000203667/ENSG00000164182/ENSG00000113013/ENSG00000136522/ENSG00000184752/ENSG00000164405/ENSG00000233954/ENSG00000114686/ENSG00000060762/ENSG00000061794/ENSG00000182180/ENSG00000198840/ENSG00000154518/ENSG00000197785/ENSG00000134375/ENSG00000106554/ENSG00000179271/ENSG00000108179/ENSG00000115944/ENSG00000128609/ENSG00000167085/ENSG00000228253/ENSG00000144659/ENSG00000167863/ENSG00000173915/ENSG00000166136/ENSG00000164038/ENSG00000005059/ENSG00000005022/ENSG00000198899/ENSG00000214026/ENSG00000137288/ENSG00000169021/ENSG00000184983/ENSG00000156398/ENSG00000132313/ENSG00000151366/ENSG00000265354/ENSG00000262814/ENSG00000154723/ENSG00000156709/ENSG00000119013/ENSG00000133028/ENSG00000119421/ENSG00000173786/ENSG00000105197/ENSG00000167186/ENSG00000048544/ENSG00000242485/ENSG00000132591/ENSG00000141385/ENSG00000126709/ENSG00000156467/ENSG00000137547/ENSG00000108528/ENSG00000111639/ENSG00000023228/ENSG00000154719/ENSG00000004961/ENSG00000130204/ENSG00000134809/ENSG00000135900/ENSG00000171202/ENSG00000169020/ENSG00000139180/ENSG00000185414/ENSG00000151806/ENSG00000177370/ENSG00000198727/ENSG00000241468/ENSG00000174109/ENSG00000183605/ENSG00000116459/ENSG00000165283/ENSG00000123472/ENSG00000254087/ENSG00000166260/ENSG00000163319/ENSG00000110717/ENSG00000243927/ENSG00000183978/ENSG00000178307/ENSG00000103202/ENSG00000004864/ENSG00000102738/ENSG00000160072/ENSG00000176340/ENSG00000198786/ENSG00000167283/ENSG00000126267/ENSG00000178537/ENSG00000198695/ENSG00000184076/ENSG00000134056/ENSG00000131495/ENSG00000165487/ENSG00000172113/ENSG00000136521/ENSG00000102743/ENSG00000087299/ENSG00000100116/ENSG00000197122/ENSG00000007923/ENSG00000165275/ENSG00000074071/ENSG00000173436/ENSG00000136758/ENSG00000099800/ENSG00000120885/ENSG00000197345/ENSG00000148459/ENSG00000175110/ENSG00000161513/ENSG00000059573/ENSG00000259494/ENSG00000172172/ENSG00000157036/ENSG00000090263/ENSG00000101247/ENSG00000135929/ENSG00000112110/ENSG00000175581/ENSG00000100347/ENSG00000144741/ENSG00000167065/ENSG00000241837/ENSG00000148950/ENSG00000163626/ENSG00000274523/ENSG00000124532/ENSG00000137806/ENSG00000189043/ENSG00000164466/ENSG00000204370/ENSG00000215712/ENSG00000100575/ENSG00000127540/ENSG00000177646/ENSG00000143252/ENSG00000146066/ENSG00000080815/ENSG00000055950/ENSG00000125375/ENSG00000168924/ENSG00000164919/ENSG00000125356/ENSG00000108826/ENSG00000159111/ENSG00000123545/ENSG00000110074/ENSG00000198836/ENSG00000122912/ENSG00000183617/ENSG00000132286/ENSG00000111775/ENSG00000131174/ENSG00000178741/ENSG00000174886/ENSG00000088766/ENSG00000250479/ENSG00000182154/ENSG00000213619/ENSG00000171552/ENSG00000127184/ENSG00000160194/ENSG00000149792/ENSG00000062582/ENSG00000075336/ENSG00000164933/ENSG00000106591/ENSG00000184831/ENSG00000198886/ENSG00000166902/ENSG00000155463/ENSG00000126953/ENSG00000173085"
"GO:0098552","side of membrane",415,-0.405759411132609,-1.8075555429228,8.72474228308073e-07,0.000302312320108747,0.000236027238605447,2298,"tags=29%, list=14%, signal=25%","ENSG00000184451/ENSG00000105122/ENSG00000117868/ENSG00000112763/ENSG00000144283/ENSG00000186810/ENSG00000026950/ENSG00000064601/ENSG00000204287/ENSG00000149418/ENSG00000160932/ENSG00000090339/ENSG00000105397/ENSG00000087460/ENSG00000150637/ENSG00000162631/ENSG00000271605/ENSG00000162434/ENSG00000122224/ENSG00000243364/ENSG00000169442/ENSG00000117091/ENSG00000143297/ENSG00000081479/ENSG00000185565/ENSG00000206503/ENSG00000159753/ENSG00000186891/ENSG00000096996/ENSG00000101294/ENSG00000010278/ENSG00000124508/ENSG00000103522/ENSG00000082512/ENSG00000005206/ENSG00000292373/ENSG00000100385/ENSG00000231389/ENSG00000010704/ENSG00000077238/ENSG00000232810/ENSG00000177455/ENSG00000231925/ENSG00000104365/ENSG00000196396/ENSG00000157978/ENSG00000158481/ENSG00000112303/ENSG00000105639/ENSG00000135924/ENSG00000111801/ENSG00000091129/ENSG00000162739/ENSG00000163606/ENSG00000105369/ENSG00000158517/ENSG00000106327/ENSG00000060558/ENSG00000176533/ENSG00000088179/ENSG00000160179/ENSG00000089006/ENSG00000096968/ENSG00000069424/ENSG00000164949/ENSG00000124785/ENSG00000115884/ENSG00000104972/ENSG00000152990/ENSG00000185624/ENSG00000131724/ENSG00000291104/ENSG00000007129/ENSG00000072694/ENSG00000185989/ENSG00000159023/ENSG00000081985/ENSG00000134242/ENSG00000117090/ENSG00000135318/ENSG00000147168/ENSG00000186469/ENSG00000143226/ENSG00000115232/ENSG00000108819/ENSG00000140678/ENSG00000108669/ENSG00000132185/ENSG00000204632/ENSG00000164733/ENSG00000310469/ENSG00000173706/ENSG00000096433/ENSG00000139193/ENSG00000101210/ENSG00000157654/ENSG00000177570/ENSG00000196743/ENSG00000138623/ENSG00000130164/ENSG00000019582/ENSG00000101336/ENSG00000165810/ENSG00000182389/ENSG00000232629/ENSG00000178562/ENSG00000204592/ENSG00000159958/ENSG00000196126/ENSG00000152558/ENSG00000081237/ENSG00000112149/ENSG00000223865/ENSG00000012124/ENSG00000206341/ENSG00000160255/ENSG00000198502/ENSG00000156738/ENSG00000104921/ENSG00000237541"
"GO:0071735","IgG immunoglobulin complex",10,-0.939787453232454,-2.15986878023435,1.72303137550806e-06,0.000398020247742361,0.000310750220003909,225,"tags=80%, list=1%, signal=79%","ENSG00000211677/ENSG00000211675/ENSG00000254709/ENSG00000211679/ENSG00000211892/ENSG00000211895/ENSG00000211897/ENSG00000211896"
"GO:0032993","protein-DNA complex",167,0.486078752875381,2.00825232602868,5.57535443359495e-06,0.000965930155620326,0.000754140047070475,2609,"tags=30%, list=16%, signal=25%","ENSG00000137265/ENSG00000164032/ENSG00000132475/ENSG00000180573/ENSG00000198900/ENSG00000079246/ENSG00000149948/ENSG00000173801/ENSG00000185787/ENSG00000181163/ENSG00000175792/ENSG00000124635/ENSG00000196419/ENSG00000168036/ENSG00000132646/ENSG00000096401/ENSG00000172845/ENSG00000116752/ENSG00000105968/ENSG00000166508/ENSG00000112118/ENSG00000113648/ENSG00000112983/ENSG00000171566/ENSG00000178691/ENSG00000101868/ENSG00000101003/ENSG00000147536/ENSG00000073111/ENSG00000076003/ENSG00000120837/ENSG00000127337/ENSG00000188486/ENSG00000120616/ENSG00000197903/ENSG00000125686/ENSG00000189060/ENSG00000104738/ENSG00000014138/ENSG00000180596/ENSG00000093009/ENSG00000146143/ENSG00000181938/ENSG00000123562/ENSG00000135999/ENSG00000158373/ENSG00000100297/ENSG00000110107/ENSG00000183207/ENSG00000288859"
"GO:0005684","U2-type spliceosomal complex",93,0.569207760846086,2.17448427478046,1.20051734330511e-05,0.00140753554470329,0.0010989189184742,3827,"tags=55%, list=23%, signal=42%","ENSG00000101161/ENSG00000137168/ENSG00000102241/ENSG00000105618/ENSG00000141759/ENSG00000101343/ENSG00000204392/ENSG00000096401/ENSG00000169976/ENSG00000141543/ENSG00000116752/ENSG00000146007/ENSG00000145833/ENSG00000124562/ENSG00000182004/ENSG00000060688/ENSG00000106355/ENSG00000171566/ENSG00000125870/ENSG00000153015/ENSG00000111196/ENSG00000067596/ENSG00000150316/ENSG00000021776/ENSG00000189091/ENSG00000265241/ENSG00000163510/ENSG00000196504/ENSG00000167088/ENSG00000086589/ENSG00000170860/ENSG00000100410/ENSG00000143977/ENSG00000139343/ENSG00000099995/ENSG00000130520/ENSG00000125835/ENSG00000134748/ENSG00000110107/ENSG00000131876/ENSG00000120688/ENSG00000100028/ENSG00000115128/ENSG00000084072/ENSG00000100109/ENSG00000164167/ENSG00000005436/ENSG00000106245/ENSG00000122692/ENSG00000174231/ENSG00000125743"
"GO:0030684","preribosome",104,0.531925604108086,2.08444506553016,1.24494417439152e-05,0.00140753554470329,0.0010989189184742,3378,"tags=53%, list=21%, signal=42%","ENSG00000055044/ENSG00000079246/ENSG00000067533/ENSG00000163811/ENSG00000124383/ENSG00000135521/ENSG00000065183/ENSG00000164934/ENSG00000053372/ENSG00000119285/ENSG00000132603/ENSG00000101361/ENSG00000138326/ENSG00000160208/ENSG00000164338/ENSG00000129460/ENSG00000150990/ENSG00000120800/ENSG00000108651/ENSG00000111615/ENSG00000117395/ENSG00000148843/ENSG00000115368/ENSG00000067334/ENSG00000225921/ENSG00000165271/ENSG00000164346/ENSG00000011260/ENSG00000165733/ENSG00000083845/ENSG00000198042/ENSG00000115946/ENSG00000115761/ENSG00000142937/ENSG00000126749/ENSG00000184967/ENSG00000177971/ENSG00000170889/ENSG00000112578/ENSG00000156697/ENSG00000261236/ENSG00000143947/ENSG00000137154/ENSG00000171824/ENSG00000114767/ENSG00000102309/ENSG00000147679/ENSG00000183751/ENSG00000141076/ENSG00000117597/ENSG00000086189/ENSG00000124541/ENSG00000141101/ENSG00000058729/ENSG00000241945"
"GO:0044391","ribosomal subunit",180,0.440489262660608,1.8408565296921,1.42175307545787e-05,0.00140753554470329,0.0010989189184742,4608,"tags=51%, list=28%, signal=37%","ENSG00000288920/ENSG00000185088/ENSG00000215301/ENSG00000169288/ENSG00000071082/ENSG00000125445/ENSG00000197728/ENSG00000197756/ENSG00000137818/ENSG00000138326/ENSG00000136522/ENSG00000146223/ENSG00000121766/ENSG00000114686/ENSG00000156482/ENSG00000061794/ENSG00000182180/ENSG00000229117/ENSG00000172809/ENSG00000188846/ENSG00000179271/ENSG00000114391/ENSG00000067248/ENSG00000221983/ENSG00000214026/ENSG00000109475/ENSG00000083845/ENSG00000136942/ENSG00000163682/ENSG00000132313/ENSG00000262814/ENSG00000125691/ENSG00000122406/ENSG00000149806/ENSG00000142937/ENSG00000048544/ENSG00000242485/ENSG00000162244/ENSG00000118181/ENSG00000137547/ENSG00000111639/ENSG00000154719/ENSG00000135900/ENSG00000131469/ENSG00000185414/ENSG00000241343/ENSG00000170889/ENSG00000163923/ENSG00000143947/ENSG00000137154/ENSG00000163319/ENSG00000243927/ENSG00000177600/ENSG00000165502/ENSG00000124614/ENSG00000102738/ENSG00000122085/ENSG00000174748/ENSG00000122026/ENSG00000074071/ENSG00000213553/ENSG00000197345/ENSG00000175110/ENSG00000259494/ENSG00000172172/ENSG00000090263/ENSG00000112110/ENSG00000147604/ENSG00000175581/ENSG00000171863/ENSG00000037241/ENSG00000130255/ENSG00000055950/ENSG00000174444/ENSG00000108826/ENSG00000145425/ENSG00000159111/ENSG00000112306/ENSG00000183617/ENSG00000089009/ENSG00000198918/ENSG00000182154/ENSG00000149792/ENSG00000062582/ENSG00000177954/ENSG00000106591/ENSG00000110700/ENSG00000166902/ENSG00000161813/ENSG00000174547/ENSG00000063177"
"GO:0005681","spliceosomal complex",201,0.444600167076611,1.89350842189466,1.63451829857186e-05,0.00141590147613787,0.00110545053350781,3380,"tags=43%, list=21%, signal=34%","ENSG00000101161/ENSG00000092199/ENSG00000137168/ENSG00000102241/ENSG00000161547/ENSG00000096746/ENSG00000109971/ENSG00000133226/ENSG00000105618/ENSG00000141759/ENSG00000101343/ENSG00000204392/ENSG00000096401/ENSG00000169976/ENSG00000141543/ENSG00000116752/ENSG00000125944/ENSG00000165119/ENSG00000139168/ENSG00000146007/ENSG00000169045/ENSG00000145833/ENSG00000124562/ENSG00000182004/ENSG00000168066/ENSG00000060688/ENSG00000183684/ENSG00000106355/ENSG00000152404/ENSG00000171566/ENSG00000125870/ENSG00000131043/ENSG00000153015/ENSG00000111196/ENSG00000101452/ENSG00000166181/ENSG00000067596/ENSG00000150316/ENSG00000240344/ENSG00000117751/ENSG00000021776/ENSG00000162385/ENSG00000189091/ENSG00000265241/ENSG00000135316/ENSG00000163510/ENSG00000196504/ENSG00000167088/ENSG00000086589/ENSG00000170860/ENSG00000164548/ENSG00000171960/ENSG00000100410/ENSG00000143977/ENSG00000139343/ENSG00000153187/ENSG00000136527/ENSG00000127993/ENSG00000099995/ENSG00000152795/ENSG00000130520/ENSG00000125835/ENSG00000119878/ENSG00000134748/ENSG00000110107/ENSG00000109536/ENSG00000136450/ENSG00000106615/ENSG00000131876/ENSG00000213516/ENSG00000147274/ENSG00000198783/ENSG00000065978/ENSG00000074201/ENSG00000039123/ENSG00000120688/ENSG00000100028/ENSG00000136819/ENSG00000115053/ENSG00000115128/ENSG00000161981/ENSG00000116830/ENSG00000084072/ENSG00000100109/ENSG00000168883/ENSG00000164167"
"GO:0042611","MHC protein complex",24,-0.791093505685042,-2.29430168783641,2.79532920584253e-05,0.00164326097297747,0.00128295912525316,324,"tags=67%, list=2%, signal=65%","ENSG00000204287/ENSG00000204257/ENSG00000204252/ENSG00000206503/ENSG00000231389/ENSG00000204632/ENSG00000310469/ENSG00000019582/ENSG00000242574/ENSG00000232629/ENSG00000204592/ENSG00000196126/ENSG00000223865/ENSG00000206341/ENSG00000198502/ENSG00000237541"
"GO:0098803","respiratory chain complex",98,0.549563711301956,2.12126009395675,2.84547354628133e-05,0.00164326097297747,0.00128295912525316,4510,"tags=56%, list=28%, signal=41%","ENSG00000168653/ENSG00000178127/ENSG00000198763/ENSG00000110955/ENSG00000198888/ENSG00000152234/ENSG00000165629/ENSG00000184752/ENSG00000164405/ENSG00000233954/ENSG00000198840/ENSG00000115944/ENSG00000128609/ENSG00000228253/ENSG00000167863/ENSG00000173915/ENSG00000166136/ENSG00000198899/ENSG00000169021/ENSG00000184983/ENSG00000151366/ENSG00000154723/ENSG00000119013/ENSG00000119421/ENSG00000156467/ENSG00000023228/ENSG00000169020/ENSG00000139180/ENSG00000198727/ENSG00000241468/ENSG00000116459/ENSG00000110717/ENSG00000176340/ENSG00000198786/ENSG00000167283/ENSG00000126267/ENSG00000198695/ENSG00000184076/ENSG00000131495/ENSG00000136521/ENSG00000241837/ENSG00000189043/ENSG00000204370/ENSG00000127540/ENSG00000143252/ENSG00000164919/ENSG00000125356/ENSG00000111775/ENSG00000131174/ENSG00000178741/ENSG00000174886/ENSG00000213619/ENSG00000127184/ENSG00000160194/ENSG00000198886"
