"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030684","preribosome",106,0.732369284879558,2.97502940448948,1e-10,5.37142857142857e-09,3.66917293233083e-09,4898,"tags=71%, list=17%, signal=59%","ENSG00000124784/ENSG00000132603/ENSG00000150990/ENSG00000164338/ENSG00000163811/ENSG00000179041/ENSG00000198042/ENSG00000165271/ENSG00000147679/ENSG00000112578/ENSG00000135521/ENSG00000151304/ENSG00000115946/ENSG00000067334/ENSG00000117597/ENSG00000058729/ENSG00000177971/ENSG00000053372/ENSG00000160208/ENSG00000086189/ENSG00000173545/ENSG00000067533/ENSG00000227057/ENSG00000145425/ENSG00000171863/ENSG00000156697/ENSG00000065183/ENSG00000130810/ENSG00000142937/ENSG00000164934/ENSG00000111615/ENSG00000132467/ENSG00000291035/ENSG00000114767/ENSG00000187051/ENSG00000124383/ENSG00000186468/ENSG00000129460/ENSG00000182774/ENSG00000134419/ENSG00000115761/ENSG00000105193/ENSG00000124541/ENSG00000101361/ENSG00000138326/ENSG00000136718/ENSG00000198034/ENSG00000083845/ENSG00000184967/ENSG00000183751/ENSG00000117395/ENSG00000133316/ENSG00000170889/ENSG00000261236/ENSG00000087269/ENSG00000177954/ENSG00000275464/ENSG00000143947/ENSG00000188976/ENSG00000143633/ENSG00000112306/ENSG00000108651/ENSG00000129347/ENSG00000112159/ENSG00000141076/ENSG00000160214/ENSG00000108592/ENSG00000119285/ENSG00000055044/ENSG00000100029/ENSG00000134987/ENSG00000164587/ENSG00000110700/ENSG00000233927/ENSG00000148843"
"GO:0022626","cytosolic ribosome",114,0.698312397095244,2.87074990216859,1e-10,5.37142857142857e-09,3.66917293233083e-09,5108,"tags=71%, list=18%, signal=59%","ENSG00000215301/ENSG00000265681/ENSG00000163481/ENSG00000114391/ENSG00000120705/ENSG00000167962/ENSG00000164163/ENSG00000182899/ENSG00000149806/ENSG00000231500/ENSG00000161970/ENSG00000145425/ENSG00000171863/ENSG00000109475/ENSG00000188846/ENSG00000145592/ENSG00000167526/ENSG00000130255/ENSG00000174444/ENSG00000142937/ENSG00000122406/ENSG00000089009/ENSG00000241343/ENSG00000186468/ENSG00000144713/ENSG00000182774/ENSG00000147403/ENSG00000134419/ENSG00000100316/ENSG00000131469/ENSG00000063177/ENSG00000105193/ENSG00000071082/ENSG00000172809/ENSG00000138326/ENSG00000198034/ENSG00000204628/ENSG00000083845/ENSG00000147604/ENSG00000125691/ENSG00000118181/ENSG00000161016/ENSG00000197728/ENSG00000170889/ENSG00000198242/ENSG00000148303/ENSG00000197958/ENSG00000162244/ENSG00000198755/ENSG00000156508/ENSG00000229117/ENSG00000177954/ENSG00000142676/ENSG00000143947/ENSG00000198918/ENSG00000177600/ENSG00000156482/ENSG00000108298/ENSG00000149273/ENSG00000140988/ENSG00000124614/ENSG00000112306/ENSG00000166441/ENSG00000136942/ENSG00000089157/ENSG00000067248/ENSG00000105640/ENSG00000197756/ENSG00000213741/ENSG00000089154/ENSG00000213553/ENSG00000122026/ENSG00000103342/ENSG00000171858/ENSG00000165502/ENSG00000164587/ENSG00000110700/ENSG00000137818/ENSG00000233927/ENSG00000116251/ENSG00000008988"
"GO:0032040","small-subunit processome",74,0.720209794227713,2.74390927041626,1e-10,5.37142857142857e-09,3.66917293233083e-09,4898,"tags=69%, list=17%, signal=57%","ENSG00000150990/ENSG00000164338/ENSG00000163811/ENSG00000165271/ENSG00000147679/ENSG00000115946/ENSG00000067334/ENSG00000117597/ENSG00000177971/ENSG00000086189/ENSG00000227057/ENSG00000145425/ENSG00000171863/ENSG00000156697/ENSG00000065183/ENSG00000142937/ENSG00000164934/ENSG00000111615/ENSG00000132467/ENSG00000114767/ENSG00000187051/ENSG00000124383/ENSG00000186468/ENSG00000129460/ENSG00000182774/ENSG00000134419/ENSG00000115761/ENSG00000105193/ENSG00000101361/ENSG00000138326/ENSG00000136718/ENSG00000198034/ENSG00000083845/ENSG00000184967/ENSG00000183751/ENSG00000170889/ENSG00000087269/ENSG00000177954/ENSG00000275464/ENSG00000143947/ENSG00000143633/ENSG00000112306/ENSG00000108651/ENSG00000141076/ENSG00000119285/ENSG00000055044/ENSG00000134987/ENSG00000164587/ENSG00000110700/ENSG00000233927/ENSG00000148843"
"GO:0022625","cytosolic large ribosomal subunit",54,0.748890694768931,2.70531754336508,1e-10,5.37142857142857e-09,3.66917293233083e-09,5935,"tags=89%, list=21%, signal=71%","ENSG00000265681/ENSG00000114391/ENSG00000182899/ENSG00000161970/ENSG00000109475/ENSG00000188846/ENSG00000145592/ENSG00000167526/ENSG00000130255/ENSG00000174444/ENSG00000122406/ENSG00000089009/ENSG00000241343/ENSG00000144713/ENSG00000147403/ENSG00000100316/ENSG00000131469/ENSG00000063177/ENSG00000071082/ENSG00000172809/ENSG00000147604/ENSG00000125691/ENSG00000161016/ENSG00000198242/ENSG00000148303/ENSG00000197958/ENSG00000162244/ENSG00000198755/ENSG00000229117/ENSG00000142676/ENSG00000198918/ENSG00000177600/ENSG00000156482/ENSG00000108298/ENSG00000166441/ENSG00000136942/ENSG00000089157/ENSG00000105640/ENSG00000197756/ENSG00000213553/ENSG00000122026/ENSG00000165502/ENSG00000137818/ENSG00000116251/ENSG00000108107/ENSG00000146223/ENSG00000221983/ENSG00000174748"
"GO:0000779","condensed chromosome, centromeric region",183,-0.556670679647872,-2.34032289005661,1e-10,5.37142857142857e-09,3.66917293233083e-09,1627,"tags=30%, list=6%, signal=28%","ENSG00000122545/ENSG00000163041/ENSG00000151725/ENSG00000288674/ENSG00000079616/ENSG00000186871/ENSG00000031691/ENSG00000102384/ENSG00000149503/ENSG00000142856/ENSG00000182628/ENSG00000117399/ENSG00000000460/ENSG00000175216/ENSG00000166851/ENSG00000143228/ENSG00000085224/ENSG00000100162/ENSG00000167513/ENSG00000153044/ENSG00000184445/ENSG00000154839/ENSG00000121621/ENSG00000129810/ENSG00000100918/ENSG00000123219/ENSG00000133247/ENSG00000203760/ENSG00000137812/ENSG00000152253/ENSG00000122952/ENSG00000161888/ENSG00000123485/ENSG00000128944/ENSG00000165480/ENSG00000178999/ENSG00000164109/ENSG00000115163/ENSG00000117650/ENSG00000134057/ENSG00000089685/ENSG00000076382/ENSG00000156970/ENSG00000082898/ENSG00000142945/ENSG00000087586/ENSG00000112742/ENSG00000163535/ENSG00000109805/ENSG00000169679/ENSG00000138778/ENSG00000010292/ENSG00000117724/ENSG00000080986"
"GO:0005840","ribosome",229,0.512231572540683,2.302361053162,1e-10,5.37142857142857e-09,3.66917293233083e-09,4962,"tags=45%, list=17%, signal=37%","ENSG00000215301/ENSG00000274917/ENSG00000120742/ENSG00000265681/ENSG00000163481/ENSG00000108256/ENSG00000114391/ENSG00000168066/ENSG00000120705/ENSG00000167962/ENSG00000164163/ENSG00000182899/ENSG00000149806/ENSG00000231500/ENSG00000183617/ENSG00000102317/ENSG00000161970/ENSG00000145425/ENSG00000171863/ENSG00000109475/ENSG00000188846/ENSG00000145592/ENSG00000167526/ENSG00000198208/ENSG00000130255/ENSG00000174444/ENSG00000142937/ENSG00000122406/ENSG00000089009/ENSG00000241343/ENSG00000186468/ENSG00000144713/ENSG00000182774/ENSG00000147403/ENSG00000134419/ENSG00000106591/ENSG00000100316/ENSG00000131469/ENSG00000187522/ENSG00000125844/ENSG00000063177/ENSG00000105193/ENSG00000071082/ENSG00000242485/ENSG00000172809/ENSG00000167658/ENSG00000138326/ENSG00000167881/ENSG00000105364/ENSG00000198034/ENSG00000204628/ENSG00000083845/ENSG00000147604/ENSG00000125691/ENSG00000118181/ENSG00000161016/ENSG00000197728/ENSG00000170889/ENSG00000198242/ENSG00000148303/ENSG00000149792/ENSG00000197958/ENSG00000162244/ENSG00000198755/ENSG00000254858/ENSG00000156508/ENSG00000229117/ENSG00000177954/ENSG00000142676/ENSG00000143947/ENSG00000198918/ENSG00000177600/ENSG00000156482/ENSG00000108298/ENSG00000149273/ENSG00000140988/ENSG00000124614/ENSG00000112306/ENSG00000166441/ENSG00000136942/ENSG00000114867/ENSG00000089157/ENSG00000117481/ENSG00000067248/ENSG00000105640/ENSG00000125445/ENSG00000197756/ENSG00000239789/ENSG00000213741/ENSG00000089154/ENSG00000204316/ENSG00000213553/ENSG00000122026/ENSG00000103342/ENSG00000171858/ENSG00000165502/ENSG00000164587/ENSG00000110700/ENSG00000137818/ENSG00000107164/ENSG00000233927/ENSG00000116251"
"GO:0000793","condensed chromosome",267,-0.514385735381451,-2.27591142112548,1e-10,5.37142857142857e-09,3.66917293233083e-09,2260,"tags=28%, list=8%, signal=26%","ENSG00000149636/ENSG00000076242/ENSG00000154473/ENSG00000188312/ENSG00000123374/ENSG00000139618/ENSG00000122545/ENSG00000163041/ENSG00000151725/ENSG00000051180/ENSG00000288674/ENSG00000079616/ENSG00000144554/ENSG00000186871/ENSG00000136824/ENSG00000031691/ENSG00000102384/ENSG00000149503/ENSG00000142856/ENSG00000182628/ENSG00000117399/ENSG00000197299/ENSG00000100206/ENSG00000000460/ENSG00000113522/ENSG00000146918/ENSG00000175216/ENSG00000012048/ENSG00000166851/ENSG00000143228/ENSG00000148700/ENSG00000167552/ENSG00000085224/ENSG00000100162/ENSG00000167513/ENSG00000153044/ENSG00000164754/ENSG00000184445/ENSG00000154839/ENSG00000121621/ENSG00000129810/ENSG00000100918/ENSG00000123219/ENSG00000133247/ENSG00000203760/ENSG00000137812/ENSG00000152253/ENSG00000122952/ENSG00000161888/ENSG00000123485/ENSG00000128944/ENSG00000113810/ENSG00000121152/ENSG00000165480/ENSG00000178999/ENSG00000164109/ENSG00000115163/ENSG00000117650/ENSG00000134057/ENSG00000089685/ENSG00000076382/ENSG00000156970/ENSG00000082898/ENSG00000142945/ENSG00000087586/ENSG00000112742/ENSG00000163535/ENSG00000109805/ENSG00000148773/ENSG00000169679/ENSG00000138778/ENSG00000010292/ENSG00000164104/ENSG00000117724/ENSG00000080986/ENSG00000131747"
"GO:0000775","chromosome, centromeric region",256,-0.512999481332572,-2.25407272986104,1e-10,5.37142857142857e-09,3.66917293233083e-09,2545,"tags=29%, list=9%, signal=27%","ENSG00000153187/ENSG00000197061/ENSG00000102081/ENSG00000149636/ENSG00000108468/ENSG00000197238/ENSG00000154473/ENSG00000188312/ENSG00000105568/ENSG00000122545/ENSG00000163041/ENSG00000146670/ENSG00000151725/ENSG00000288674/ENSG00000171320/ENSG00000079616/ENSG00000136982/ENSG00000186871/ENSG00000031691/ENSG00000102384/ENSG00000149503/ENSG00000142856/ENSG00000182628/ENSG00000117399/ENSG00000119969/ENSG00000000460/ENSG00000175216/ENSG00000101972/ENSG00000166851/ENSG00000143228/ENSG00000085224/ENSG00000100162/ENSG00000167513/ENSG00000153044/ENSG00000164754/ENSG00000184445/ENSG00000154839/ENSG00000134690/ENSG00000121621/ENSG00000129810/ENSG00000100918/ENSG00000123219/ENSG00000133247/ENSG00000203760/ENSG00000137812/ENSG00000152253/ENSG00000122952/ENSG00000161888/ENSG00000123485/ENSG00000128944/ENSG00000113810/ENSG00000104147/ENSG00000165480/ENSG00000178999/ENSG00000164109/ENSG00000115163/ENSG00000117650/ENSG00000134057/ENSG00000129534/ENSG00000089685/ENSG00000076382/ENSG00000156970/ENSG00000082898/ENSG00000142945/ENSG00000087586/ENSG00000112742/ENSG00000163535/ENSG00000109805/ENSG00000169679/ENSG00000138778/ENSG00000010292/ENSG00000117724/ENSG00000080986/ENSG00000131747"
"GO:0000776","kinetochore",171,-0.541463485694412,-2.23751963963333,1e-10,5.37142857142857e-09,3.66917293233083e-09,1627,"tags=29%, list=6%, signal=27%","ENSG00000122545/ENSG00000163041/ENSG00000151725/ENSG00000288674/ENSG00000079616/ENSG00000186871/ENSG00000031691/ENSG00000102384/ENSG00000149503/ENSG00000142856/ENSG00000182628/ENSG00000117399/ENSG00000000460/ENSG00000175216/ENSG00000166851/ENSG00000143228/ENSG00000100162/ENSG00000167513/ENSG00000153044/ENSG00000184445/ENSG00000154839/ENSG00000121621/ENSG00000129810/ENSG00000100918/ENSG00000123219/ENSG00000203760/ENSG00000137812/ENSG00000152253/ENSG00000122952/ENSG00000161888/ENSG00000123485/ENSG00000128944/ENSG00000165480/ENSG00000178999/ENSG00000164109/ENSG00000117650/ENSG00000134057/ENSG00000089685/ENSG00000076382/ENSG00000156970/ENSG00000082898/ENSG00000142945/ENSG00000087586/ENSG00000112742/ENSG00000163535/ENSG00000169679/ENSG00000138778/ENSG00000117724/ENSG00000080986"
"GO:0062023","collagen-containing extracellular matrix",378,-0.452301858443747,-2.06332069418582,1e-10,5.37142857142857e-09,3.66917293233083e-09,3996,"tags=31%, list=14%, signal=27%","ENSG00000213420/ENSG00000142871/ENSG00000075711/ENSG00000179399/ENSG00000081148/ENSG00000140092/ENSG00000113905/ENSG00000131981/ENSG00000164283/ENSG00000170542/ENSG00000112562/ENSG00000154175/ENSG00000080573/ENSG00000147044/ENSG00000137142/ENSG00000100473/ENSG00000053747/ENSG00000117122/ENSG00000142910/ENSG00000204291/ENSG00000173269/ENSG00000138759/ENSG00000102924/ENSG00000116194/ENSG00000115318/ENSG00000115380/ENSG00000196154/ENSG00000183098/ENSG00000176435/ENSG00000123243/ENSG00000174721/ENSG00000166833/ENSG00000122176/ENSG00000109610/ENSG00000197043/ENSG00000092969/ENSG00000160213/ENSG00000011465/ENSG00000124749/ENSG00000113140/ENSG00000168743/ENSG00000106333/ENSG00000129038/ENSG00000105290/ENSG00000112706/ENSG00000130812/ENSG00000119681/ENSG00000197565/ENSG00000108679/ENSG00000101680/ENSG00000166482/ENSG00000188313/ENSG00000164692/ENSG00000187244/ENSG00000182534/ENSG00000164932/ENSG00000169439/ENSG00000135046/ENSG00000117984/ENSG00000101160/ENSG00000049089/ENSG00000166106/ENSG00000174992/ENSG00000144810/ENSG00000065618/ENSG00000151914/ENSG00000049540/ENSG00000116147/ENSG00000196878/ENSG00000188783/ENSG00000196569/ENSG00000149294/ENSG00000127951/ENSG00000134917/ENSG00000166923/ENSG00000170558/ENSG00000152583/ENSG00000204248/ENSG00000152377/ENSG00000183798/ENSG00000066468/ENSG00000164318/ENSG00000112280/ENSG00000266524/ENSG00000119699/ENSG00000067225/ENSG00000206384/ENSG00000197471/ENSG00000114251/ENSG00000064309/ENSG00000204262/ENSG00000184349/ENSG00000188372/ENSG00000106278/ENSG00000101144/ENSG00000143382/ENSG00000134245/ENSG00000177697/ENSG00000150893/ENSG00000110492/ENSG00000135862/ENSG00000074527/ENSG00000187955/ENSG00000167941/ENSG00000163638/ENSG00000262655/ENSG00000136859/ENSG00000132561/ENSG00000174080/ENSG00000138722/ENSG00000137573/ENSG00000152952/ENSG00000164946/ENSG00000105989/ENSG00000139219/ENSG00000060718/ENSG00000169436/ENSG00000145423"
