"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045214","sarcomere organization",50,0.785800914931817,2.65037458610804,1e-10,6.088e-08,5.00842105263158e-08,2070,"tags=56%, list=6%, signal=53%","ENSG00000170421/ENSG00000077522/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000155657/ENSG00000184304/ENSG00000118194/ENSG00000105048/ENSG00000142661/ENSG00000122367/ENSG00000182533/ENSG00000130595/ENSG00000196091/ENSG00000128591/ENSG00000197616/ENSG00000148677/ENSG00000171345/ENSG00000109063/ENSG00000133055/ENSG00000143318/ENSG00000129170/ENSG00000165410/ENSG00000150093/ENSG00000177791/ENSG00000101605/ENSG00000036448/ENSG00000117707"
"GO:0030239","myofibril assembly",74,0.720934294353257,2.60803110871642,1e-10,6.088e-08,5.00842105263158e-08,2109,"tags=47%, list=6%, signal=44%","ENSG00000170421/ENSG00000077522/ENSG00000239474/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000155657/ENSG00000184304/ENSG00000118194/ENSG00000105048/ENSG00000142661/ENSG00000122367/ENSG00000182533/ENSG00000159251/ENSG00000101335/ENSG00000130595/ENSG00000163431/ENSG00000196091/ENSG00000128591/ENSG00000143632/ENSG00000197616/ENSG00000148677/ENSG00000171345/ENSG00000109063/ENSG00000133392/ENSG00000133055/ENSG00000143318/ENSG00000129170/ENSG00000165410/ENSG00000150093/ENSG00000177791/ENSG00000101605/ENSG00000036448/ENSG00000117707/ENSG00000163380"
"GO:0051146","striated muscle cell differentiation",288,0.534139670507822,2.30769071402761,1e-10,6.088e-08,5.00842105263158e-08,3287,"tags=33%, list=10%, signal=30%","ENSG00000136383/ENSG00000077092/ENSG00000170421/ENSG00000077522/ENSG00000239474/ENSG00000120907/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000155657/ENSG00000110693/ENSG00000184304/ENSG00000118194/ENSG00000100628/ENSG00000105048/ENSG00000115461/ENSG00000105329/ENSG00000142661/ENSG00000175701/ENSG00000122367/ENSG00000184937/ENSG00000131759/ENSG00000196218/ENSG00000182533/ENSG00000115593/ENSG00000112276/ENSG00000003137/ENSG00000081248/ENSG00000159251/ENSG00000101335/ENSG00000130595/ENSG00000163431/ENSG00000196091/ENSG00000187955/ENSG00000134516/ENSG00000112183/ENSG00000128591/ENSG00000121361/ENSG00000183160/ENSG00000107984/ENSG00000143632/ENSG00000133454/ENSG00000139687/ENSG00000081189/ENSG00000197616/ENSG00000148677/ENSG00000171345/ENSG00000141052/ENSG00000164305/ENSG00000109063/ENSG00000163110/ENSG00000159200/ENSG00000133392/ENSG00000133055/ENSG00000105971/ENSG00000143318/ENSG00000122180/ENSG00000187616/ENSG00000161270/ENSG00000177238/ENSG00000089250/ENSG00000132510/ENSG00000129170/ENSG00000185482/ENSG00000111046/ENSG00000129152/ENSG00000196557/ENSG00000171476/ENSG00000165410/ENSG00000157119/ENSG00000150093/ENSG00000177791/ENSG00000262179/ENSG00000160539/ENSG00000101605/ENSG00000036448/ENSG00000117707/ENSG00000163380/ENSG00000198796/ENSG00000166923/ENSG00000248746/ENSG00000043039/ENSG00000125084/ENSG00000167080/ENSG00000024422/ENSG00000180535/ENSG00000154330/ENSG00000163217/ENSG00000119401/ENSG00000101096/ENSG00000143119/ENSG00000125735/ENSG00000132819/ENSG00000136999/ENSG00000138755/ENSG00000115170"
"GO:0006936","muscle contraction",343,0.508936579519731,2.24626394551813,1e-10,6.088e-08,5.00842105263158e-08,3301,"tags=37%, list=10%, signal=34%","ENSG00000109991/ENSG00000168743/ENSG00000239474/ENSG00000186439/ENSG00000120907/ENSG00000114854/ENSG00000092054/ENSG00000159173/ENSG00000091482/ENSG00000155657/ENSG00000184304/ENSG00000117971/ENSG00000183230/ENSG00000138435/ENSG00000118194/ENSG00000080644/ENSG00000130528/ENSG00000120457/ENSG00000105048/ENSG00000265107/ENSG00000164532/ENSG00000198336/ENSG00000136546/ENSG00000118729/ENSG00000049247/ENSG00000148680/ENSG00000149295/ENSG00000168398/ENSG00000196218/ENSG00000182533/ENSG00000130176/ENSG00000145888/ENSG00000196811/ENSG00000081248/ENSG00000198467/ENSG00000006638/ENSG00000108823/ENSG00000176076/ENSG00000101335/ENSG00000130595/ENSG00000115353/ENSG00000163431/ENSG00000150594/ENSG00000130598/ENSG00000105664/ENSG00000168530/ENSG00000134769/ENSG00000152049/ENSG00000121361/ENSG00000109846/ENSG00000143632/ENSG00000197616/ENSG00000170214/ENSG00000141052/ENSG00000078814/ENSG00000109063/ENSG00000133020/ENSG00000131730/ENSG00000046604/ENSG00000133392/ENSG00000198523/ENSG00000133055/ENSG00000137573/ENSG00000004468/ENSG00000143318/ENSG00000175084/ENSG00000180209/ENSG00000101470/ENSG00000180914/ENSG00000120729/ENSG00000110680/ENSG00000089250/ENSG00000183873/ENSG00000129170/ENSG00000184408/ENSG00000185482/ENSG00000169403/ENSG00000135902/ENSG00000175206/ENSG00000153956/ENSG00000196557/ENSG00000165895/ENSG00000164708/ENSG00000169252/ENSG00000058668/ENSG00000104881/ENSG00000176170/ENSG00000163874/ENSG00000101665/ENSG00000132911/ENSG00000266964/ENSG00000121068/ENSG00000196296/ENSG00000036448/ENSG00000163380/ENSG00000164116/ENSG00000181965/ENSG00000173511/ENSG00000248746/ENSG00000130037/ENSG00000121966/ENSG00000172164/ENSG00000213903/ENSG00000184845/ENSG00000095209/ENSG00000111199/ENSG00000167657/ENSG00000129991/ENSG00000168447/ENSG00000152818/ENSG00000069431/ENSG00000108405/ENSG00000163794/ENSG00000102119/ENSG00000141750/ENSG00000057294/ENSG00000163217/ENSG00000274286/ENSG00000183044/ENSG00000006788/ENSG00000152661/ENSG00000123358/ENSG00000105357/ENSG00000240045/ENSG00000074800/ENSG00000183963/ENSG00000134318"
"GO:0060538","skeletal muscle organ development",190,0.541194963808342,2.20762678884623,1e-10,6.088e-08,5.00842105263158e-08,3096,"tags=37%, list=9%, signal=34%","ENSG00000069011/ENSG00000239474/ENSG00000172399/ENSG00000138435/ENSG00000100628/ENSG00000082293/ENSG00000105329/ENSG00000136603/ENSG00000148704/ENSG00000184937/ENSG00000196218/ENSG00000128709/ENSG00000115593/ENSG00000112276/ENSG00000003137/ENSG00000081248/ENSG00000184343/ENSG00000154928/ENSG00000112183/ENSG00000143632/ENSG00000139687/ENSG00000081189/ENSG00000148677/ENSG00000170162/ENSG00000260428/ENSG00000141052/ENSG00000159200/ENSG00000105971/ENSG00000143318/ENSG00000175084/ENSG00000122180/ENSG00000180209/ENSG00000118526/ENSG00000161270/ENSG00000120738/ENSG00000005513/ENSG00000129170/ENSG00000136630/ENSG00000109132/ENSG00000179456/ENSG00000185482/ENSG00000135902/ENSG00000111046/ENSG00000129152/ENSG00000165410/ENSG00000157119/ENSG00000142700/ENSG00000177791/ENSG00000262179/ENSG00000163909/ENSG00000101605/ENSG00000036448/ENSG00000163380/ENSG00000248746/ENSG00000043039/ENSG00000049540/ENSG00000167080/ENSG00000138379/ENSG00000107954/ENSG00000159388/ENSG00000128710/ENSG00000069431/ENSG00000168899/ENSG00000154309/ENSG00000173402/ENSG00000102119/ENSG00000137868/ENSG00000114416/ENSG00000123358/ENSG00000105357"
"GO:0007517","muscle organ development",360,0.494907531354992,2.19128786012784,1e-10,6.088e-08,5.00842105263158e-08,3337,"tags=32%, list=10%, signal=30%","ENSG00000069011/ENSG00000239474/ENSG00000114854/ENSG00000092054/ENSG00000159173/ENSG00000172399/ENSG00000154645/ENSG00000149596/ENSG00000155657/ENSG00000110693/ENSG00000184481/ENSG00000138435/ENSG00000118194/ENSG00000100628/ENSG00000082293/ENSG00000105329/ENSG00000164532/ENSG00000136603/ENSG00000148704/ENSG00000184937/ENSG00000196218/ENSG00000172638/ENSG00000128709/ENSG00000182533/ENSG00000115593/ENSG00000112276/ENSG00000003137/ENSG00000081248/ENSG00000108823/ENSG00000184343/ENSG00000159251/ENSG00000135424/ENSG00000154928/ENSG00000163092/ENSG00000112183/ENSG00000109846/ENSG00000143632/ENSG00000139687/ENSG00000179388/ENSG00000081189/ENSG00000141161/ENSG00000197616/ENSG00000148677/ENSG00000170162/ENSG00000260428/ENSG00000141052/ENSG00000109063/ENSG00000092969/ENSG00000159200/ENSG00000113083/ENSG00000065361/ENSG00000105971/ENSG00000130702/ENSG00000143318/ENSG00000175084/ENSG00000122180/ENSG00000180209/ENSG00000183386/ENSG00000187616/ENSG00000118526/ENSG00000161270/ENSG00000128342/ENSG00000120738/ENSG00000177238/ENSG00000197905/ENSG00000005513/ENSG00000129170/ENSG00000136630/ENSG00000109132/ENSG00000179456/ENSG00000185482/ENSG00000135902/ENSG00000111046/ENSG00000129152/ENSG00000169946/ENSG00000196557/ENSG00000165410/ENSG00000157119/ENSG00000102683/ENSG00000142700/ENSG00000150093/ENSG00000177791/ENSG00000262179/ENSG00000101665/ENSG00000163909/ENSG00000101605/ENSG00000036448/ENSG00000117707/ENSG00000163380/ENSG00000181965/ENSG00000248746/ENSG00000043039/ENSG00000049540/ENSG00000167080/ENSG00000137809/ENSG00000138379/ENSG00000107954/ENSG00000129991/ENSG00000159388/ENSG00000135535/ENSG00000128710/ENSG00000152818/ENSG00000069431/ENSG00000168899/ENSG00000154309/ENSG00000173402/ENSG00000102119/ENSG00000137868/ENSG00000057294/ENSG00000163217/ENSG00000152661/ENSG00000114416/ENSG00000123358/ENSG00000105357/ENSG00000105989/ENSG00000183963/ENSG00000136068"
"GO:0003012","muscle system process",431,0.48606800360718,2.18892952580903,1e-10,6.088e-08,5.00842105263158e-08,3404,"tags=35%, list=10%, signal=32%","ENSG00000109991/ENSG00000168743/ENSG00000239474/ENSG00000186439/ENSG00000120907/ENSG00000114854/ENSG00000092054/ENSG00000170290/ENSG00000159173/ENSG00000172399/ENSG00000135744/ENSG00000091482/ENSG00000155657/ENSG00000184304/ENSG00000117971/ENSG00000183230/ENSG00000138435/ENSG00000118194/ENSG00000080644/ENSG00000100628/ENSG00000130528/ENSG00000120457/ENSG00000105048/ENSG00000265107/ENSG00000115461/ENSG00000164532/ENSG00000198336/ENSG00000136546/ENSG00000118729/ENSG00000049247/ENSG00000148680/ENSG00000149295/ENSG00000168398/ENSG00000196218/ENSG00000182533/ENSG00000130176/ENSG00000145888/ENSG00000196811/ENSG00000081248/ENSG00000198467/ENSG00000006638/ENSG00000108823/ENSG00000176076/ENSG00000101335/ENSG00000130595/ENSG00000115353/ENSG00000163431/ENSG00000150594/ENSG00000187955/ENSG00000130598/ENSG00000105664/ENSG00000168530/ENSG00000134769/ENSG00000164107/ENSG00000152049/ENSG00000121361/ENSG00000109846/ENSG00000143632/ENSG00000197616/ENSG00000170214/ENSG00000141052/ENSG00000078814/ENSG00000109063/ENSG00000169860/ENSG00000133020/ENSG00000131730/ENSG00000046604/ENSG00000163110/ENSG00000133392/ENSG00000198523/ENSG00000071282/ENSG00000133055/ENSG00000137573/ENSG00000004468/ENSG00000143318/ENSG00000175084/ENSG00000122180/ENSG00000180209/ENSG00000101470/ENSG00000187616/ENSG00000180914/ENSG00000177238/ENSG00000120729/ENSG00000110680/ENSG00000089250/ENSG00000183873/ENSG00000129170/ENSG00000184408/ENSG00000185482/ENSG00000169403/ENSG00000135902/ENSG00000129152/ENSG00000175206/ENSG00000153956/ENSG00000196557/ENSG00000165895/ENSG00000164708/ENSG00000169252/ENSG00000119508/ENSG00000058668/ENSG00000104881/ENSG00000176170/ENSG00000134352/ENSG00000177791/ENSG00000163874/ENSG00000101665/ENSG00000132911/ENSG00000266964/ENSG00000121068/ENSG00000196296/ENSG00000036448/ENSG00000163380/ENSG00000164116/ENSG00000181965/ENSG00000173511/ENSG00000248746/ENSG00000130037/ENSG00000121966/ENSG00000172164/ENSG00000213903/ENSG00000184845/ENSG00000095209/ENSG00000111199/ENSG00000138379/ENSG00000167657/ENSG00000129991/ENSG00000168447/ENSG00000152818/ENSG00000069431/ENSG00000108405/ENSG00000173402/ENSG00000163794/ENSG00000102119/ENSG00000141750/ENSG00000057294/ENSG00000163217/ENSG00000274286/ENSG00000183044/ENSG00000006788/ENSG00000152661/ENSG00000123358/ENSG00000105357/ENSG00000240045/ENSG00000150907/ENSG00000074800/ENSG00000183963/ENSG00000134318/ENSG00000215417/ENSG00000132170/ENSG00000101405"
"GO:0014706","striated muscle tissue development",402,0.476306474252234,2.1366052560991,1e-10,6.088e-08,5.00842105263158e-08,3337,"tags=31%, list=10%, signal=28%","ENSG00000136383/ENSG00000077092/ENSG00000069011/ENSG00000077522/ENSG00000064655/ENSG00000239474/ENSG00000120907/ENSG00000159216/ENSG00000114854/ENSG00000092054/ENSG00000159173/ENSG00000172399/ENSG00000149596/ENSG00000155657/ENSG00000110693/ENSG00000138435/ENSG00000118194/ENSG00000100628/ENSG00000265107/ENSG00000082293/ENSG00000105329/ENSG00000164532/ENSG00000136603/ENSG00000148704/ENSG00000184937/ENSG00000131759/ENSG00000196218/ENSG00000128709/ENSG00000075223/ENSG00000182533/ENSG00000115593/ENSG00000112276/ENSG00000003137/ENSG00000081248/ENSG00000184343/ENSG00000159251/ENSG00000154928/ENSG00000187955/ENSG00000163092/ENSG00000120937/ENSG00000112183/ENSG00000121361/ENSG00000107984/ENSG00000143632/ENSG00000133454/ENSG00000139687/ENSG00000081189/ENSG00000197616/ENSG00000148677/ENSG00000170162/ENSG00000260428/ENSG00000141052/ENSG00000046604/ENSG00000092969/ENSG00000163110/ENSG00000159200/ENSG00000133392/ENSG00000198523/ENSG00000113083/ENSG00000065361/ENSG00000105971/ENSG00000143318/ENSG00000122180/ENSG00000180209/ENSG00000118526/ENSG00000161270/ENSG00000120738/ENSG00000005513/ENSG00000183873/ENSG00000132510/ENSG00000129170/ENSG00000136630/ENSG00000109132/ENSG00000179456/ENSG00000185482/ENSG00000135902/ENSG00000111046/ENSG00000129152/ENSG00000175206/ENSG00000169946/ENSG00000082482/ENSG00000138207/ENSG00000171476/ENSG00000165410/ENSG00000157119/ENSG00000137193/ENSG00000102683/ENSG00000142700/ENSG00000150093/ENSG00000104881/ENSG00000177791/ENSG00000101665/ENSG00000163909/ENSG00000101605/ENSG00000121068/ENSG00000036448/ENSG00000117707/ENSG00000163380/ENSG00000198796/ENSG00000151748/ENSG00000166923/ENSG00000248746/ENSG00000043039/ENSG00000049540/ENSG00000167080/ENSG00000128918/ENSG00000138379/ENSG00000154330/ENSG00000107954/ENSG00000129991/ENSG00000159388/ENSG00000128710/ENSG00000069431/ENSG00000168899/ENSG00000102119/ENSG00000057294/ENSG00000163217/ENSG00000152661/ENSG00000123358/ENSG00000105357/ENSG00000105989/ENSG00000115170/ENSG00000215417/ENSG00000136068"
"GO:0060537","muscle tissue development",423,0.471354434590153,2.11571196418848,1e-10,6.088e-08,5.00842105263158e-08,3337,"tags=30%, list=10%, signal=27%","ENSG00000136383/ENSG00000077092/ENSG00000069011/ENSG00000077522/ENSG00000064655/ENSG00000239474/ENSG00000120907/ENSG00000159216/ENSG00000114854/ENSG00000092054/ENSG00000159173/ENSG00000172399/ENSG00000149596/ENSG00000155657/ENSG00000110693/ENSG00000138435/ENSG00000118194/ENSG00000100628/ENSG00000265107/ENSG00000082293/ENSG00000115461/ENSG00000105329/ENSG00000164532/ENSG00000136603/ENSG00000148704/ENSG00000184937/ENSG00000131759/ENSG00000196218/ENSG00000172638/ENSG00000128709/ENSG00000075223/ENSG00000182533/ENSG00000115593/ENSG00000112276/ENSG00000003137/ENSG00000081248/ENSG00000184343/ENSG00000159251/ENSG00000154928/ENSG00000187955/ENSG00000163092/ENSG00000120937/ENSG00000112183/ENSG00000121361/ENSG00000107984/ENSG00000143632/ENSG00000133454/ENSG00000139687/ENSG00000081189/ENSG00000197616/ENSG00000148677/ENSG00000170162/ENSG00000260428/ENSG00000141052/ENSG00000046604/ENSG00000092969/ENSG00000163110/ENSG00000159200/ENSG00000133392/ENSG00000198523/ENSG00000113083/ENSG00000065361/ENSG00000105971/ENSG00000143318/ENSG00000122180/ENSG00000180209/ENSG00000118526/ENSG00000161270/ENSG00000120738/ENSG00000005513/ENSG00000183873/ENSG00000132510/ENSG00000129170/ENSG00000136630/ENSG00000109132/ENSG00000179456/ENSG00000185482/ENSG00000135902/ENSG00000111046/ENSG00000129152/ENSG00000175206/ENSG00000169946/ENSG00000082482/ENSG00000138207/ENSG00000171476/ENSG00000165410/ENSG00000157119/ENSG00000137193/ENSG00000102683/ENSG00000142700/ENSG00000150093/ENSG00000104881/ENSG00000177791/ENSG00000101665/ENSG00000163909/ENSG00000101605/ENSG00000121068/ENSG00000036448/ENSG00000117707/ENSG00000163380/ENSG00000198796/ENSG00000151748/ENSG00000166923/ENSG00000248746/ENSG00000043039/ENSG00000049540/ENSG00000167080/ENSG00000128918/ENSG00000138379/ENSG00000154330/ENSG00000107954/ENSG00000129991/ENSG00000159388/ENSG00000128710/ENSG00000069431/ENSG00000168899/ENSG00000102119/ENSG00000137868/ENSG00000057294/ENSG00000163217/ENSG00000152661/ENSG00000123358/ENSG00000105357/ENSG00000105989/ENSG00000115170/ENSG00000215417/ENSG00000136068"
"GO:0042692","muscle cell differentiation",391,0.466115185353201,2.08366902895433,1e-10,6.088e-08,5.00842105263158e-08,3040,"tags=27%, list=9%, signal=25%","ENSG00000136383/ENSG00000077092/ENSG00000170421/ENSG00000168743/ENSG00000077522/ENSG00000239474/ENSG00000120907/ENSG00000143028/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000155657/ENSG00000110693/ENSG00000184304/ENSG00000184481/ENSG00000118194/ENSG00000100628/ENSG00000105048/ENSG00000115461/ENSG00000105329/ENSG00000142661/ENSG00000175701/ENSG00000122367/ENSG00000184937/ENSG00000131759/ENSG00000196218/ENSG00000172638/ENSG00000182533/ENSG00000115593/ENSG00000112276/ENSG00000003137/ENSG00000081248/ENSG00000159251/ENSG00000101335/ENSG00000130595/ENSG00000163431/ENSG00000196091/ENSG00000187955/ENSG00000105664/ENSG00000134516/ENSG00000112183/ENSG00000128591/ENSG00000121361/ENSG00000183160/ENSG00000107984/ENSG00000143632/ENSG00000133454/ENSG00000139687/ENSG00000081189/ENSG00000197616/ENSG00000148677/ENSG00000171345/ENSG00000141052/ENSG00000164305/ENSG00000109063/ENSG00000163110/ENSG00000159200/ENSG00000133392/ENSG00000133055/ENSG00000113083/ENSG00000105971/ENSG00000143318/ENSG00000122180/ENSG00000173714/ENSG00000187616/ENSG00000161270/ENSG00000177238/ENSG00000089250/ENSG00000132510/ENSG00000129170/ENSG00000185482/ENSG00000111046/ENSG00000129152/ENSG00000196557/ENSG00000171476/ENSG00000165410/ENSG00000157119/ENSG00000150093/ENSG00000177791/ENSG00000262179/ENSG00000160539/ENSG00000101605/ENSG00000121068/ENSG00000036448/ENSG00000070193/ENSG00000117707/ENSG00000163380/ENSG00000198796/ENSG00000166923/ENSG00000248746/ENSG00000043039/ENSG00000131669/ENSG00000125084/ENSG00000167080/ENSG00000024422/ENSG00000180535/ENSG00000154330/ENSG00000112531/ENSG00000204217/ENSG00000163217/ENSG00000124882/ENSG00000119401/ENSG00000101096/ENSG00000143119/ENSG00000125735/ENSG00000132819"
