"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0043292","contractile muscle fiber",249,0.575710989532467,2.44877013986116,1e-10,1.895e-08,1.5e-08,3021,"tags=37%, list=9%, signal=34%","ENSG00000170421/ENSG00000168743/ENSG00000077522/ENSG00000239474/ENSG00000114854/ENSG00000092054/ENSG00000159173/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000091482/ENSG00000149596/ENSG00000155657/ENSG00000131435/ENSG00000184304/ENSG00000118194/ENSG00000100628/ENSG00000130528/ENSG00000163395/ENSG00000105048/ENSG00000142661/ENSG00000198336/ENSG00000118729/ENSG00000122367/ENSG00000196218/ENSG00000162616/ENSG00000182533/ENSG00000081248/ENSG00000198467/ENSG00000159251/ENSG00000154553/ENSG00000101335/ENSG00000130595/ENSG00000163431/ENSG00000196091/ENSG00000130598/ENSG00000163092/ENSG00000168530/ENSG00000128591/ENSG00000121361/ENSG00000109846/ENSG00000143632/ENSG00000133454/ENSG00000141161/ENSG00000197616/ENSG00000162614/ENSG00000148677/ENSG00000171345/ENSG00000106211/ENSG00000078814/ENSG00000109063/ENSG00000133020/ENSG00000172403/ENSG00000177354/ENSG00000163110/ENSG00000133392/ENSG00000066027/ENSG00000133055/ENSG00000143318/ENSG00000175084/ENSG00000180209/ENSG00000101470/ENSG00000183386/ENSG00000129116/ENSG00000120729/ENSG00000183873/ENSG00000129170/ENSG00000138100/ENSG00000129152/ENSG00000198842/ENSG00000165410/ENSG00000157119/ENSG00000058668/ENSG00000177791/ENSG00000101605/ENSG00000162520/ENSG00000196296/ENSG00000036448/ENSG00000174429/ENSG00000163380/ENSG00000248746/ENSG00000130037/ENSG00000176749/ENSG00000154330/ENSG00000129991/ENSG00000069431/ENSG00000173402/ENSG00000163217/ENSG00000006788/ENSG00000119401/ENSG00000161011/ENSG00000152661/ENSG00000114416"
"GO:0030016","myofibril",240,0.567449987844617,2.40994430691201,1e-10,1.895e-08,1.5e-08,3021,"tags=37%, list=9%, signal=34%","ENSG00000170421/ENSG00000077522/ENSG00000239474/ENSG00000114854/ENSG00000092054/ENSG00000159173/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000091482/ENSG00000149596/ENSG00000155657/ENSG00000131435/ENSG00000184304/ENSG00000118194/ENSG00000100628/ENSG00000130528/ENSG00000163395/ENSG00000105048/ENSG00000142661/ENSG00000198336/ENSG00000118729/ENSG00000122367/ENSG00000196218/ENSG00000162616/ENSG00000182533/ENSG00000081248/ENSG00000198467/ENSG00000159251/ENSG00000154553/ENSG00000101335/ENSG00000130595/ENSG00000163431/ENSG00000196091/ENSG00000130598/ENSG00000163092/ENSG00000168530/ENSG00000128591/ENSG00000121361/ENSG00000109846/ENSG00000143632/ENSG00000133454/ENSG00000141161/ENSG00000197616/ENSG00000162614/ENSG00000148677/ENSG00000171345/ENSG00000106211/ENSG00000078814/ENSG00000109063/ENSG00000133020/ENSG00000172403/ENSG00000177354/ENSG00000163110/ENSG00000066027/ENSG00000133055/ENSG00000143318/ENSG00000175084/ENSG00000101470/ENSG00000183386/ENSG00000129116/ENSG00000120729/ENSG00000183873/ENSG00000129170/ENSG00000138100/ENSG00000129152/ENSG00000198842/ENSG00000165410/ENSG00000157119/ENSG00000058668/ENSG00000177791/ENSG00000101605/ENSG00000162520/ENSG00000196296/ENSG00000036448/ENSG00000174429/ENSG00000163380/ENSG00000248746/ENSG00000130037/ENSG00000154330/ENSG00000129991/ENSG00000069431/ENSG00000173402/ENSG00000163217/ENSG00000006788/ENSG00000119401/ENSG00000161011/ENSG00000114416"
"GO:0030017","sarcomere",218,0.574856210797198,2.40690887695116,1e-10,1.895e-08,1.5e-08,2209,"tags=35%, list=7%, signal=33%","ENSG00000170421/ENSG00000077522/ENSG00000239474/ENSG00000114854/ENSG00000092054/ENSG00000159173/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000091482/ENSG00000149596/ENSG00000155657/ENSG00000131435/ENSG00000184304/ENSG00000118194/ENSG00000100628/ENSG00000130528/ENSG00000163395/ENSG00000105048/ENSG00000142661/ENSG00000198336/ENSG00000118729/ENSG00000122367/ENSG00000196218/ENSG00000162616/ENSG00000182533/ENSG00000081248/ENSG00000198467/ENSG00000159251/ENSG00000154553/ENSG00000101335/ENSG00000130595/ENSG00000163431/ENSG00000196091/ENSG00000130598/ENSG00000163092/ENSG00000168530/ENSG00000128591/ENSG00000109846/ENSG00000143632/ENSG00000133454/ENSG00000141161/ENSG00000197616/ENSG00000162614/ENSG00000148677/ENSG00000171345/ENSG00000106211/ENSG00000109063/ENSG00000133020/ENSG00000172403/ENSG00000177354/ENSG00000163110/ENSG00000066027/ENSG00000133055/ENSG00000143318/ENSG00000175084/ENSG00000101470/ENSG00000183386/ENSG00000129116/ENSG00000120729/ENSG00000183873/ENSG00000129170/ENSG00000138100/ENSG00000198842/ENSG00000165410/ENSG00000157119/ENSG00000058668/ENSG00000177791/ENSG00000101605/ENSG00000162520/ENSG00000196296/ENSG00000036448/ENSG00000174429/ENSG00000163380/ENSG00000248746/ENSG00000130037"
"GO:0062023","collagen-containing extracellular matrix",386,0.491950435748231,2.1920794194327,1e-10,1.895e-08,1.5e-08,4912,"tags=41%, list=15%, signal=35%","ENSG00000198959/ENSG00000138131/ENSG00000168743/ENSG00000262655/ENSG00000131981/ENSG00000183098/ENSG00000135744/ENSG00000132205/ENSG00000132386/ENSG00000054803/ENSG00000142910/ENSG00000124491/ENSG00000082293/ENSG00000105329/ENSG00000116690/ENSG00000171819/ENSG00000058085/ENSG00000041982/ENSG00000172638/ENSG00000081052/ENSG00000057593/ENSG00000143768/ENSG00000168056/ENSG00000109072/ENSG00000049089/ENSG00000169231/ENSG00000188107/ENSG00000100234/ENSG00000119681/ENSG00000187955/ENSG00000113296/ENSG00000105664/ENSG00000182534/ENSG00000102265/ENSG00000120885/ENSG00000129038/ENSG00000106366/ENSG00000103811/ENSG00000053747/ENSG00000101280/ENSG00000188517/ENSG00000132470/ENSG00000092969/ENSG00000197614/ENSG00000021355/ENSG00000101160/ENSG00000113083/ENSG00000197249/ENSG00000137573/ENSG00000130720/ENSG00000130702/ENSG00000116194/ENSG00000171502/ENSG00000196154/ENSG00000187720/ENSG00000123500/ENSG00000109610/ENSG00000084636/ENSG00000174721/ENSG00000112706/ENSG00000179399/ENSG00000182600/ENSG00000132000/ENSG00000158859/ENSG00000140545/ENSG00000140479/ENSG00000172061/ENSG00000189409/ENSG00000168477/ENSG00000175206/ENSG00000174348/ENSG00000166482/ENSG00000164111/ENSG00000090530/ENSG00000011465/ENSG00000122176/ENSG00000136859/ENSG00000156140/ENSG00000166598/ENSG00000186340/ENSG00000106819/ENSG00000179954/ENSG00000159166/ENSG00000182718/ENSG00000154175/ENSG00000184349/ENSG00000164283/ENSG00000140511/ENSG00000134917/ENSG00000132561/ENSG00000196136/ENSG00000108679/ENSG00000171812/ENSG00000119699/ENSG00000070193/ENSG00000186652/ENSG00000042781/ENSG00000166923/ENSG00000188783/ENSG00000065320/ENSG00000160862/ENSG00000177697/ENSG00000049540/ENSG00000100985/ENSG00000140945/ENSG00000188488/ENSG00000139269/ENSG00000050767/ENSG00000145192/ENSG00000104432/ENSG00000150893/ENSG00000152952/ENSG00000173402/ENSG00000179403/ENSG00000188313/ENSG00000172752/ENSG00000138615/ENSG00000265203/ENSG00000206384/ENSG00000038427/ENSG00000124479/ENSG00000167941/ENSG00000136999/ENSG00000181092/ENSG00000105989/ENSG00000110244/ENSG00000116147/ENSG00000196415/ENSG00000106927/ENSG00000132703/ENSG00000106397/ENSG00000049323/ENSG00000142798/ENSG00000138279/ENSG00000087116/ENSG00000127951/ENSG00000143382/ENSG00000133110/ENSG00000204248/ENSG00000118113/ENSG00000113140/ENSG00000055957/ENSG00000166033/ENSG00000140092/ENSG00000169031/ENSG00000149294/ENSG00000179218/ENSG00000107796/ENSG00000173157/ENSG00000138759/ENSG00000206561/ENSG00000166106/ENSG00000164318/ENSG00000087085/ENSG00000197565/ENSG00000142871/ENSG00000168961"
"GO:0031674","I band",149,0.557556435587418,2.23687508709524,7.41779204295343e-10,1.12453727371174e-07,8.90135045154411e-08,2209,"tags=34%, list=7%, signal=32%","ENSG00000170421/ENSG00000077522/ENSG00000092054/ENSG00000172399/ENSG00000166317/ENSG00000149596/ENSG00000155657/ENSG00000131435/ENSG00000184304/ENSG00000100628/ENSG00000130528/ENSG00000163395/ENSG00000118729/ENSG00000122367/ENSG00000196218/ENSG00000162616/ENSG00000182533/ENSG00000081248/ENSG00000159251/ENSG00000154553/ENSG00000101335/ENSG00000163092/ENSG00000128591/ENSG00000109846/ENSG00000133454/ENSG00000141161/ENSG00000197616/ENSG00000162614/ENSG00000148677/ENSG00000171345/ENSG00000106211/ENSG00000172403/ENSG00000177354/ENSG00000163110/ENSG00000066027/ENSG00000143318/ENSG00000175084/ENSG00000183386/ENSG00000129116/ENSG00000120729/ENSG00000183873/ENSG00000129170/ENSG00000138100/ENSG00000165410/ENSG00000157119/ENSG00000058668/ENSG00000177791/ENSG00000162520/ENSG00000196296/ENSG00000248746/ENSG00000130037"
"GO:0030018","Z disc",134,0.564388599951561,2.23059625415159,6.16023823441316e-09,7.78243430280863e-07,6.16023823441316e-07,2209,"tags=34%, list=7%, signal=32%","ENSG00000170421/ENSG00000077522/ENSG00000092054/ENSG00000172399/ENSG00000166317/ENSG00000149596/ENSG00000155657/ENSG00000131435/ENSG00000184304/ENSG00000100628/ENSG00000130528/ENSG00000163395/ENSG00000118729/ENSG00000122367/ENSG00000196218/ENSG00000162616/ENSG00000182533/ENSG00000154553/ENSG00000101335/ENSG00000163092/ENSG00000128591/ENSG00000109846/ENSG00000133454/ENSG00000141161/ENSG00000197616/ENSG00000162614/ENSG00000171345/ENSG00000106211/ENSG00000172403/ENSG00000177354/ENSG00000163110/ENSG00000066027/ENSG00000143318/ENSG00000175084/ENSG00000183386/ENSG00000129116/ENSG00000120729/ENSG00000183873/ENSG00000129170/ENSG00000138100/ENSG00000165410/ENSG00000058668/ENSG00000177791/ENSG00000162520/ENSG00000248746/ENSG00000130037"
"GO:0032982","myosin filament",22,0.847723403753601,2.39379193072486,3.12356120890479e-08,3.19264016382211e-06,2.52715580249771e-06,3813,"tags=86%, list=11%, signal=77%","ENSG00000092054/ENSG00000086967/ENSG00000196091/ENSG00000133454/ENSG00000197616/ENSG00000078814/ENSG00000109063/ENSG00000133020/ENSG00000133392/ENSG00000133055/ENSG00000101605/ENSG00000036448/ENSG00000163017/ENSG00000006788/ENSG00000119401/ENSG00000105357/ENSG00000144821/ENSG00000100345/ENSG00000125414"
"GO:0036379","myofilament",26,0.803249950758629,2.34930313294479,3.36954106999694e-08,3.19264016382211e-06,2.52715580249771e-06,2962,"tags=58%, list=9%, signal=53%","ENSG00000114854/ENSG00000159173/ENSG00000155657/ENSG00000118194/ENSG00000105048/ENSG00000198467/ENSG00000130595/ENSG00000163431/ENSG00000130598/ENSG00000143632/ENSG00000101470/ENSG00000101605/ENSG00000163380/ENSG00000129991/ENSG00000119401"
"GO:0005788","endoplasmic reticulum lumen",296,0.42749938875711,1.85055093310629,4.53307831583599e-08,3.81785929267076e-06,3.02205221055733e-06,4949,"tags=33%, list=15%, signal=28%","ENSG00000262655/ENSG00000186439/ENSG00000130528/ENSG00000082293/ENSG00000115461/ENSG00000062096/ENSG00000118729/ENSG00000185739/ENSG00000041982/ENSG00000081052/ENSG00000057593/ENSG00000109072/ENSG00000049089/ENSG00000187955/ENSG00000102265/ENSG00000116157/ENSG00000120885/ENSG00000188517/ENSG00000183876/ENSG00000001036/ENSG00000101160/ENSG00000146674/ENSG00000197249/ENSG00000143318/ENSG00000171502/ENSG00000198734/ENSG00000123500/ENSG00000102580/ENSG00000084636/ENSG00000158457/ENSG00000166710/ENSG00000140545/ENSG00000070404/ENSG00000125730/ENSG00000090530/ENSG00000162576/ENSG00000152592/ENSG00000126777/ENSG00000132464/ENSG00000166598/ENSG00000106080/ENSG00000118785/ENSG00000044574/ENSG00000114200/ENSG00000171812/ENSG00000145050/ENSG00000205667/ENSG00000125084/ENSG00000118972/ENSG00000128564/ENSG00000140284/ENSG00000152595/ENSG00000154305/ENSG00000198832/ENSG00000050767/ENSG00000145192/ENSG00000171951/ENSG00000143870/ENSG00000102854/ENSG00000173402/ENSG00000141753/ENSG00000084674/ENSG00000179403/ENSG00000167004/ENSG00000026297/ENSG00000038427/ENSG00000090520/ENSG00000110244/ENSG00000166794/ENSG00000128228/ENSG00000120725/ENSG00000178522/ENSG00000127022/ENSG00000167123/ENSG00000155660/ENSG00000198363/ENSG00000178031/ENSG00000106397/ENSG00000049323/ENSG00000086619/ENSG00000181195/ENSG00000154342/ENSG00000143382/ENSG00000204248/ENSG00000122025/ENSG00000244731/ENSG00000115718/ENSG00000072682/ENSG00000170876/ENSG00000169031/ENSG00000074842/ENSG00000179218/ENSG00000164291/ENSG00000065485/ENSG00000078401/ENSG00000197565/ENSG00000142871/ENSG00000144455"
"GO:0005865","striated muscle thin filament",22,0.835632453152339,2.35964963872733,1.21938237186557e-07,9.24291837874104e-06,7.31629423119343e-06,2533,"tags=59%, list=8%, signal=55%","ENSG00000114854/ENSG00000159173/ENSG00000155657/ENSG00000118194/ENSG00000105048/ENSG00000198467/ENSG00000130595/ENSG00000163431/ENSG00000130598/ENSG00000143632/ENSG00000101470/ENSG00000163380/ENSG00000129991"
