"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030545","signaling receptor regulator activity",433,0.430389438015142,1.95281309539616,1.15401761187295e-10,1.22977350596565e-07,1.08421477818291e-07,4788,"tags=36%, list=14%, signal=32%","ENSG00000157005/ENSG00000189056/ENSG00000131981/ENSG00000087494/ENSG00000164326/ENSG00000135346/ENSG00000135744/ENSG00000116985/ENSG00000147255/ENSG00000008517/ENSG00000188958/ENSG00000156466/ENSG00000115461/ENSG00000105329/ENSG00000095752/ENSG00000146540/ENSG00000006210/ENSG00000049247/ENSG00000169248/ENSG00000122641/ENSG00000135925/ENSG00000181634/ENSG00000075223/ENSG00000140285/ENSG00000143768/ENSG00000101200/ENSG00000163235/ENSG00000147571/ENSG00000160182/ENSG00000175868/ENSG00000172179/ENSG00000119630/ENSG00000113296/ENSG00000102265/ENSG00000120937/ENSG00000120885/ENSG00000069482/ENSG00000019991/ENSG00000107984/ENSG00000102466/ENSG00000180772/ENSG00000119147/ENSG00000125848/ENSG00000075213/ENSG00000160097/ENSG00000101280/ENSG00000092969/ENSG00000113578/ENSG00000130702/ENSG00000101327/ENSG00000153162/ENSG00000185652/ENSG00000133116/ENSG00000173714/ENSG00000196154/ENSG00000128342/ENSG00000110680/ENSG00000134363/ENSG00000180875/ENSG00000248329/ENSG00000183662/ENSG00000117691/ENSG00000122585/ENSG00000136235/ENSG00000125730/ENSG00000093072/ENSG00000175206/ENSG00000140961/ENSG00000204314/ENSG00000150556/ENSG00000146469/ENSG00000134259/ENSG00000010319/ENSG00000002745/ENSG00000145777/ENSG00000115008/ENSG00000127743/ENSG00000197696/ENSG00000130202/ENSG00000156234/ENSG00000118785/ENSG00000184349/ENSG00000104371/ENSG00000171388/ENSG00000085741/ENSG00000161958/ENSG00000119699/ENSG00000070193/ENSG00000145050/ENSG00000070031/ENSG00000150551/ENSG00000166923/ENSG00000173511/ENSG00000125084/ENSG00000118972/ENSG00000128564/ENSG00000137033/ENSG00000138379/ENSG00000184163/ENSG00000139269/ENSG00000168081/ENSG00000125726/ENSG00000171951/ENSG00000187094/ENSG00000147869/ENSG00000104432/ENSG00000163794/ENSG00000161610/ENSG00000084674/ENSG00000145824/ENSG00000163217/ENSG00000124882/ENSG00000125735/ENSG00000197487/ENSG00000124479/ENSG00000131015/ENSG00000136999/ENSG00000181092/ENSG00000138755/ENSG00000131096/ENSG00000184599/ENSG00000151882/ENSG00000105989/ENSG00000109321/ENSG00000196337/ENSG00000169752/ENSG00000105472/ENSG00000101405/ENSG00000178522/ENSG00000104826/ENSG00000115457/ENSG00000164136/ENSG00000169245/ENSG00000181195/ENSG00000154342/ENSG00000163377/ENSG00000174808/ENSG00000152785/ENSG00000240654/ENSG00000175189/ENSG00000187123/ENSG00000188211/ENSG00000125965/ENSG00000143217/ENSG00000185267/ENSG00000161921/ENSG00000275302/ENSG00000152266/ENSG00000135324/ENSG00000172349/ENSG00000162344/ENSG00000159167/ENSG00000189403/ENSG00000144115/ENSG00000153993/ENSG00000164022/ENSG00000078401/ENSG00000150782"
"GO:0048018","receptor ligand activity",398,0.433051210014508,1.95033887408278,1.832747400843e-10,1.22977350596565e-07,1.08421477818291e-07,5214,"tags=39%, list=16%, signal=33%","ENSG00000157005/ENSG00000189056/ENSG00000131981/ENSG00000087494/ENSG00000164326/ENSG00000135346/ENSG00000135744/ENSG00000116985/ENSG00000008517/ENSG00000188958/ENSG00000156466/ENSG00000115461/ENSG00000105329/ENSG00000095752/ENSG00000146540/ENSG00000006210/ENSG00000049247/ENSG00000169248/ENSG00000122641/ENSG00000135925/ENSG00000181634/ENSG00000075223/ENSG00000140285/ENSG00000143768/ENSG00000101200/ENSG00000163235/ENSG00000147571/ENSG00000160182/ENSG00000175868/ENSG00000172179/ENSG00000119630/ENSG00000113296/ENSG00000102265/ENSG00000120937/ENSG00000120885/ENSG00000069482/ENSG00000019991/ENSG00000107984/ENSG00000102466/ENSG00000119147/ENSG00000125848/ENSG00000075213/ENSG00000160097/ENSG00000092969/ENSG00000113578/ENSG00000130702/ENSG00000101327/ENSG00000153162/ENSG00000185652/ENSG00000133116/ENSG00000196154/ENSG00000128342/ENSG00000110680/ENSG00000180875/ENSG00000248329/ENSG00000183662/ENSG00000117691/ENSG00000122585/ENSG00000136235/ENSG00000125730/ENSG00000093072/ENSG00000175206/ENSG00000140961/ENSG00000146469/ENSG00000134259/ENSG00000010319/ENSG00000002745/ENSG00000145777/ENSG00000115008/ENSG00000127743/ENSG00000197696/ENSG00000130202/ENSG00000156234/ENSG00000118785/ENSG00000184349/ENSG00000171388/ENSG00000085741/ENSG00000161958/ENSG00000119699/ENSG00000070193/ENSG00000145050/ENSG00000070031/ENSG00000166923/ENSG00000173511/ENSG00000125084/ENSG00000118972/ENSG00000128564/ENSG00000137033/ENSG00000138379/ENSG00000184163/ENSG00000139269/ENSG00000168081/ENSG00000125726/ENSG00000171951/ENSG00000187094/ENSG00000147869/ENSG00000104432/ENSG00000163794/ENSG00000161610/ENSG00000084674/ENSG00000145824/ENSG00000163217/ENSG00000124882/ENSG00000125735/ENSG00000197487/ENSG00000124479/ENSG00000131015/ENSG00000136999/ENSG00000181092/ENSG00000138755/ENSG00000131096/ENSG00000184599/ENSG00000151882/ENSG00000105989/ENSG00000109321/ENSG00000196337/ENSG00000169752/ENSG00000105472/ENSG00000101405/ENSG00000178522/ENSG00000104826/ENSG00000164136/ENSG00000169245/ENSG00000181195/ENSG00000154342/ENSG00000163377/ENSG00000174808/ENSG00000152785/ENSG00000240654/ENSG00000175189/ENSG00000188211/ENSG00000125965/ENSG00000143217/ENSG00000185267/ENSG00000161921/ENSG00000275302/ENSG00000152266/ENSG00000172349/ENSG00000162344/ENSG00000159167/ENSG00000189403/ENSG00000144115/ENSG00000153993/ENSG00000164022/ENSG00000078401/ENSG00000150782/ENSG00000141574/ENSG00000135333/ENSG00000150281/ENSG00000115138/ENSG00000149735/ENSG00000168621/ENSG00000156574/ENSG00000188729"
"GO:0030546","signaling receptor activator activity",405,0.424106895932102,1.91666332813482,1.06730404922182e-09,4.77440678018562e-07,4.20929737307133e-07,5214,"tags=38%, list=16%, signal=33%","ENSG00000157005/ENSG00000189056/ENSG00000131981/ENSG00000087494/ENSG00000164326/ENSG00000135346/ENSG00000135744/ENSG00000116985/ENSG00000008517/ENSG00000188958/ENSG00000156466/ENSG00000115461/ENSG00000105329/ENSG00000095752/ENSG00000146540/ENSG00000006210/ENSG00000049247/ENSG00000169248/ENSG00000122641/ENSG00000135925/ENSG00000181634/ENSG00000075223/ENSG00000140285/ENSG00000143768/ENSG00000101200/ENSG00000163235/ENSG00000147571/ENSG00000160182/ENSG00000175868/ENSG00000172179/ENSG00000119630/ENSG00000113296/ENSG00000102265/ENSG00000120937/ENSG00000120885/ENSG00000069482/ENSG00000019991/ENSG00000107984/ENSG00000102466/ENSG00000119147/ENSG00000125848/ENSG00000075213/ENSG00000160097/ENSG00000101280/ENSG00000092969/ENSG00000113578/ENSG00000130702/ENSG00000101327/ENSG00000153162/ENSG00000185652/ENSG00000133116/ENSG00000196154/ENSG00000128342/ENSG00000110680/ENSG00000180875/ENSG00000248329/ENSG00000183662/ENSG00000117691/ENSG00000122585/ENSG00000136235/ENSG00000125730/ENSG00000093072/ENSG00000175206/ENSG00000140961/ENSG00000146469/ENSG00000134259/ENSG00000010319/ENSG00000002745/ENSG00000145777/ENSG00000115008/ENSG00000127743/ENSG00000197696/ENSG00000130202/ENSG00000156234/ENSG00000118785/ENSG00000184349/ENSG00000171388/ENSG00000085741/ENSG00000161958/ENSG00000119699/ENSG00000070193/ENSG00000145050/ENSG00000070031/ENSG00000166923/ENSG00000173511/ENSG00000125084/ENSG00000118972/ENSG00000128564/ENSG00000137033/ENSG00000138379/ENSG00000184163/ENSG00000139269/ENSG00000168081/ENSG00000125726/ENSG00000171951/ENSG00000187094/ENSG00000147869/ENSG00000104432/ENSG00000163794/ENSG00000161610/ENSG00000084674/ENSG00000145824/ENSG00000163217/ENSG00000124882/ENSG00000125735/ENSG00000197487/ENSG00000124479/ENSG00000131015/ENSG00000136999/ENSG00000181092/ENSG00000138755/ENSG00000131096/ENSG00000184599/ENSG00000151882/ENSG00000105989/ENSG00000109321/ENSG00000196337/ENSG00000169752/ENSG00000105472/ENSG00000101405/ENSG00000178522/ENSG00000104826/ENSG00000164136/ENSG00000169245/ENSG00000181195/ENSG00000154342/ENSG00000163377/ENSG00000174808/ENSG00000152785/ENSG00000240654/ENSG00000175189/ENSG00000188211/ENSG00000125965/ENSG00000143217/ENSG00000185267/ENSG00000161921/ENSG00000275302/ENSG00000152266/ENSG00000172349/ENSG00000162344/ENSG00000159167/ENSG00000189403/ENSG00000144115/ENSG00000153993/ENSG00000164022/ENSG00000078401/ENSG00000150782/ENSG00000141574/ENSG00000135333/ENSG00000150281/ENSG00000115138/ENSG00000149735/ENSG00000168621/ENSG00000156574/ENSG00000188729"
"GO:0005179","hormone activity",99,0.598889651629405,2.25424896586812,2.14561428535013e-08,7.19853592734969e-06,6.34650120193039e-06,5214,"tags=51%, list=16%, signal=43%","ENSG00000157005/ENSG00000087494/ENSG00000164326/ENSG00000135346/ENSG00000135744/ENSG00000188958/ENSG00000146540/ENSG00000049247/ENSG00000122641/ENSG00000101200/ENSG00000147571/ENSG00000175868/ENSG00000172179/ENSG00000120937/ENSG00000069482/ENSG00000119147/ENSG00000160097/ENSG00000133116/ENSG00000110680/ENSG00000248329/ENSG00000122585/ENSG00000175206/ENSG00000146469/ENSG00000197696/ENSG00000171388/ENSG00000070031/ENSG00000128564/ENSG00000184163/ENSG00000139269/ENSG00000168081/ENSG00000187094/ENSG00000163794/ENSG00000161610/ENSG00000163217/ENSG00000197487/ENSG00000136999/ENSG00000181092/ENSG00000131096/ENSG00000196337/ENSG00000101405/ENSG00000104826/ENSG00000181195/ENSG00000240654/ENSG00000175189/ENSG00000152266/ENSG00000159167/ENSG00000078401/ENSG00000115138/ENSG00000149735/ENSG00000188729"
"GO:0000146","microfilament motor activity",36,0.739961521548241,2.2711315746255,3.22092661534324e-07,7.48004239958095e-05,6.59468794190053e-05,4257,"tags=61%, list=13%, signal=53%","ENSG00000092054/ENSG00000137474/ENSG00000118194/ENSG00000159251/ENSG00000176658/ENSG00000197616/ENSG00000078814/ENSG00000109063/ENSG00000133020/ENSG00000133392/ENSG00000071909/ENSG00000169994/ENSG00000145555/ENSG00000006788/ENSG00000105357/ENSG00000157483/ENSG00000091536/ENSG00000144821/ENSG00000100345/ENSG00000166866/ENSG00000125414/ENSG00000092841"
"GO:0005201","extracellular matrix structural constituent",157,0.499955458112404,2.03066611255765,3.34428125167553e-07,7.48004239958095e-05,6.59468794190053e-05,3883,"tags=38%, list=12%, signal=33%","ENSG00000168743/ENSG00000262655/ENSG00000105825/ENSG00000132205/ENSG00000142910/ENSG00000082293/ENSG00000116690/ENSG00000058085/ENSG00000041982/ENSG00000172638/ENSG00000081052/ENSG00000109072/ENSG00000049089/ENSG00000169231/ENSG00000119681/ENSG00000187955/ENSG00000105664/ENSG00000053747/ENSG00000188517/ENSG00000197614/ENSG00000130702/ENSG00000133048/ENSG00000171502/ENSG00000187720/ENSG00000123500/ENSG00000084636/ENSG00000112706/ENSG00000132000/ENSG00000140545/ENSG00000168477/ENSG00000174348/ENSG00000166482/ENSG00000011201/ENSG00000011465/ENSG00000122176/ENSG00000132464/ENSG00000186340/ENSG00000106819/ENSG00000154175/ENSG00000164283/ENSG00000132561/ENSG00000171812/ENSG00000186652/ENSG00000188783/ENSG00000049540/ENSG00000152595/ENSG00000050767/ENSG00000179403/ENSG00000172752/ENSG00000138615/ENSG00000206384/ENSG00000038427/ENSG00000181092/ENSG00000178522/ENSG00000049323/ENSG00000142798/ENSG00000127951/ENSG00000133110/ENSG00000204248"
"GO:0003779","actin binding",437,0.37692287302748,1.70780120982062,1.04160766589947e-06,0.000199691069662442,0.000176055190446768,3583,"tags=25%, list=11%, signal=23%","ENSG00000077522/ENSG00000114854/ENSG00000092054/ENSG00000137474/ENSG00000159173/ENSG00000086967/ENSG00000172399/ENSG00000166317/ENSG00000155657/ENSG00000131435/ENSG00000183230/ENSG00000118194/ENSG00000168334/ENSG00000147065/ENSG00000112041/ENSG00000144488/ENSG00000198336/ENSG00000137877/ENSG00000122367/ENSG00000117228/ENSG00000130176/ENSG00000112530/ENSG00000198467/ENSG00000154553/ENSG00000130595/ENSG00000163431/ENSG00000196091/ENSG00000130598/ENSG00000163092/ENSG00000128591/ENSG00000115648/ENSG00000079385/ENSG00000102024/ENSG00000133454/ENSG00000198483/ENSG00000158710/ENSG00000176658/ENSG00000197616/ENSG00000162614/ENSG00000078814/ENSG00000109063/ENSG00000133020/ENSG00000172403/ENSG00000112186/ENSG00000163110/ENSG00000133392/ENSG00000092820/ENSG00000101470/ENSG00000183386/ENSG00000129116/ENSG00000071909/ENSG00000196154/ENSG00000120729/ENSG00000129170/ENSG00000138964/ENSG00000102271/ENSG00000169994/ENSG00000145555/ENSG00000165410/ENSG00000138434/ENSG00000147202/ENSG00000042493/ENSG00000079308/ENSG00000198087/ENSG00000150093/ENSG00000130592/ENSG00000177791/ENSG00000103546/ENSG00000168309/ENSG00000050405/ENSG00000152527/ENSG00000174429/ENSG00000163380/ENSG00000120756/ENSG00000248746/ENSG00000121966/ENSG00000172164/ENSG00000176749/ENSG00000165959/ENSG00000111199/ENSG00000146122/ENSG00000129991/ENSG00000108798/ENSG00000152818/ENSG00000108518/ENSG00000121905/ENSG00000173402/ENSG00000145321/ENSG00000102119/ENSG00000273749/ENSG00000124429/ENSG00000106078/ENSG00000006788/ENSG00000136167/ENSG00000111229/ENSG00000105357/ENSG00000039560/ENSG00000157483/ENSG00000006747/ENSG00000165458/ENSG00000183963/ENSG00000091536/ENSG00000136068/ENSG00000138771/ENSG00000146950/ENSG00000160791/ENSG00000144821/ENSG00000130396/ENSG00000100345"
"GO:0008307","structural constituent of muscle",42,0.676944420471687,2.1253057935644,2.91310859188931e-06,0.000488673966289432,0.000430833428589946,4257,"tags=55%, list=13%, signal=48%","ENSG00000077522/ENSG00000086967/ENSG00000155657/ENSG00000198467/ENSG00000101335/ENSG00000196091/ENSG00000168530/ENSG00000162614/ENSG00000171345/ENSG00000133020/ENSG00000133392/ENSG00000133055/ENSG00000180209/ENSG00000120729/ENSG00000129170/ENSG00000101605/ENSG00000036448/ENSG00000248746/ENSG00000173402/ENSG00000183963/ENSG00000198363/ENSG00000092529/ENSG00000092841"
"GO:0008201","heparin binding",145,0.485738149826144,1.94795658635913,4.21046984614384e-06,0.000627827837058338,0.0005535167376685,3170,"tags=34%, list=10%, signal=31%","ENSG00000164855/ENSG00000058085/ENSG00000103196/ENSG00000169248/ENSG00000172638/ENSG00000140285/ENSG00000109072/ENSG00000184347/ENSG00000169231/ENSG00000119630/ENSG00000119681/ENSG00000113296/ENSG00000105664/ENSG00000101282/ENSG00000133067/ENSG00000102466/ENSG00000188517/ENSG00000113578/ENSG00000081237/ENSG00000109610/ENSG00000174721/ENSG00000112706/ENSG00000180875/ENSG00000136235/ENSG00000140479/ENSG00000168477/ENSG00000093072/ENSG00000167635/ENSG00000185761/ENSG00000011201/ENSG00000205336/ENSG00000156140/ENSG00000186340/ENSG00000156234/ENSG00000134917/ENSG00000163898/ENSG00000070193/ENSG00000186652/ENSG00000188783/ENSG00000173511/ENSG00000188488/ENSG00000138379/ENSG00000050767/ENSG00000104415/ENSG00000002726/ENSG00000084674/ENSG00000140564/ENSG00000167941/ENSG00000136999"
"GO:0001216","DNA-binding transcription activator activity",468,0.351346051437055,1.60388767617994,7.56064689694557e-06,0.00092239892142736,0.000813221733221706,4878,"tags=31%, list=15%, signal=26%","ENSG00000198963/ENSG00000105991/ENSG00000069011/ENSG00000120075/ENSG00000120093/ENSG00000159216/ENSG00000105392/ENSG00000004848/ENSG00000117595/ENSG00000173917/ENSG00000134438/ENSG00000278318/ENSG00000134138/ENSG00000165588/ENSG00000184481/ENSG00000167081/ENSG00000164532/ENSG00000130522/ENSG00000107485/ENSG00000107187/ENSG00000162992/ENSG00000173253/ENSG00000105967/ENSG00000128652/ENSG00000177606/ENSG00000100146/ENSG00000184937/ENSG00000106004/ENSG00000115297/ENSG00000144655/ENSG00000129514/ENSG00000180318/ENSG00000073282/ENSG00000165462/ENSG00000102034/ENSG00000164107/ENSG00000173976/ENSG00000170166/ENSG00000179388/ENSG00000081189/ENSG00000260428/ENSG00000153266/ENSG00000169594/ENSG00000162761/ENSG00000155090/ENSG00000122180/ENSG00000171223/ENSG00000187098/ENSG00000101076/ENSG00000118526/ENSG00000278570/ENSG00000115844/ENSG00000120738/ENSG00000197905/ENSG00000169136/ENSG00000196628/ENSG00000109132/ENSG00000185155/ENSG00000111046/ENSG00000129152/ENSG00000106689/ENSG00000122592/ENSG00000124092/ENSG00000163497/ENSG00000175727/ENSG00000198807/ENSG00000072310/ENSG00000119508/ENSG00000173039/ENSG00000142611/ENSG00000170577/ENSG00000185947/ENSG00000189067/ENSG00000120690/ENSG00000163909/ENSG00000168875/ENSG00000171056/ENSG00000171532/ENSG00000185697/ENSG00000073861/ENSG00000043039/ENSG00000107859/ENSG00000127152/ENSG00000180535/ENSG00000139083/ENSG00000112333/ENSG00000128710/ENSG00000125740/ENSG00000179348/ENSG00000186918/ENSG00000143032/ENSG00000164736/ENSG00000188313/ENSG00000175879/ENSG00000125347/ENSG00000278970/ENSG00000123268/ENSG00000101096/ENSG00000269404/ENSG00000123358/ENSG00000185960/ENSG00000150907/ENSG00000164749/ENSG00000132170/ENSG00000133740/ENSG00000105880/ENSG00000181449/ENSG00000126603/ENSG00000126767/ENSG00000067646/ENSG00000124782/ENSG00000141579/ENSG00000115112/ENSG00000087903/ENSG00000162599/ENSG00000204301/ENSG00000196247/ENSG00000185002/ENSG00000198353/ENSG00000082175/ENSG00000182759/ENSG00000198815/ENSG00000107175/ENSG00000141510/ENSG00000128714/ENSG00000169083/ENSG00000221869/ENSG00000136997/ENSG00000136574/ENSG00000005102/ENSG00000135100/ENSG00000129535/ENSG00000161405/ENSG00000126456/ENSG00000126003/ENSG00000135373/ENSG00000066336/ENSG00000096401/ENSG00000168610/ENSG00000163435/ENSG00000122877/ENSG00000147862/ENSG00000102908"
