"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","structural constituent of ribosome",158,-0.520769603548128,-2.14355571614967,3.14293050038785e-09,3.74323022596192e-06,2.98743814931603e-06,6577,"tags=66%, list=30%, signal=47%","ENSG00000122140/ENSG00000149806/ENSG00000259494/ENSG00000096080/ENSG00000182180/ENSG00000163319/ENSG00000136522/ENSG00000112651/ENSG00000266472/ENSG00000159111/ENSG00000055950/ENSG00000128626/ENSG00000108826/ENSG00000086504/ENSG00000105364/ENSG00000174444/ENSG00000162910/ENSG00000186468/ENSG00000198755/ENSG00000090263/ENSG00000163584/ENSG00000182154/ENSG00000089157/ENSG00000239789/ENSG00000161016/ENSG00000231500/ENSG00000162244/ENSG00000135972/ENSG00000108298/ENSG00000197756/ENSG00000083845/ENSG00000148303/ENSG00000137154/ENSG00000115268/ENSG00000174547/ENSG00000156482/ENSG00000233927/ENSG00000213741/ENSG00000118181/ENSG00000116898/ENSG00000149273/ENSG00000136942/ENSG00000071082/ENSG00000171863/ENSG00000221983/ENSG00000197958/ENSG00000089009/ENSG00000172809/ENSG00000100316/ENSG00000201321/ENSG00000197345/ENSG00000063177/ENSG00000142534/ENSG00000177600/ENSG00000143947/ENSG00000241343/ENSG00000144029/ENSG00000142937/ENSG00000185088/ENSG00000144713/ENSG00000169288/ENSG00000110700/ENSG00000116251/ENSG00000134419/ENSG00000105640/ENSG00000114391/ENSG00000145425/ENSG00000131469/ENSG00000137818/ENSG00000105372/ENSG00000165502/ENSG00000105193/ENSG00000198034/ENSG00000008988/ENSG00000108107/ENSG00000112306/ENSG00000122406/ENSG00000170889/ENSG00000147604/ENSG00000182899/ENSG00000137876/ENSG00000188846/ENSG00000171858/ENSG00000164587/ENSG00000145592/ENSG00000167526/ENSG00000278845/ENSG00000174748/ENSG00000198918/ENSG00000130255/ENSG00000138326/ENSG00000163682/ENSG00000142541/ENSG00000122026/ENSG00000142676/ENSG00000124614/ENSG00000265681/ENSG00000166441/ENSG00000182774/ENSG00000177954/ENSG00000161970/ENSG00000125691/ENSG00000109475/ENSG00000197728/ENSG00000199352"
"GO:0005200","structural constituent of cytoskeleton",80,0.58542084031439,2.25600217498224,5.74843940138852e-08,3.42319566352686e-05,2.73202146287044e-05,2394,"tags=40%, list=11%, signal=36%","ENSG00000075340/ENSG00000029534/ENSG00000171345/ENSG00000137267/ENSG00000137285/ENSG00000100285/ENSG00000151746/ENSG00000096696/ENSG00000095203/ENSG00000123416/ENSG00000113368/ENSG00000167552/ENSG00000176619/ENSG00000070182/ENSG00000196230/ENSG00000127946/ENSG00000131095/ENSG00000171346/ENSG00000115306/ENSG00000258947/ENSG00000188157/ENSG00000198087/ENSG00000140416/ENSG00000171914/ENSG00000176014/ENSG00000126216/ENSG00000175084/ENSG00000147065/ENSG00000222038/ENSG00000167553/ENSG00000082397/ENSG00000137076"
"GO:0003779","actin binding",363,0.366696107231516,1.7413294207354,2.53079808137305e-07,8.82214667041815e-05,7.04087537530389e-05,3572,"tags=29%, list=16%, signal=25%","ENSG00000075340/ENSG00000103942/ENSG00000138347/ENSG00000166317/ENSG00000133816/ENSG00000101311/ENSG00000164867/ENSG00000163431/ENSG00000042493/ENSG00000130176/ENSG00000171617/ENSG00000155816/ENSG00000121621/ENSG00000128591/ENSG00000135723/ENSG00000035403/ENSG00000008056/ENSG00000065534/ENSG00000112186/ENSG00000114854/ENSG00000071127/ENSG00000071246/ENSG00000278259/ENSG00000117228/ENSG00000070182/ENSG00000115648/ENSG00000128872/ENSG00000110880/ENSG00000173402/ENSG00000127946/ENSG00000172403/ENSG00000176749/ENSG00000187961/ENSG00000177731/ENSG00000197535/ENSG00000115306/ENSG00000146950/ENSG00000176438/ENSG00000122786/ENSG00000100345/ENSG00000102879/ENSG00000196526/ENSG00000133030/ENSG00000198087/ENSG00000127603/ENSG00000173210/ENSG00000243156/ENSG00000140416/ENSG00000171914/ENSG00000150764/ENSG00000129116/ENSG00000129474/ENSG00000070087/ENSG00000154380/ENSG00000156113/ENSG00000147065/ENSG00000084112/ENSG00000163539/ENSG00000265190/ENSG00000251322/ENSG00000196924/ENSG00000273749/ENSG00000092820/ENSG00000143549/ENSG00000132970/ENSG00000183576/ENSG00000151914/ENSG00000167100/ENSG00000131504/ENSG00000137474/ENSG00000164403/ENSG00000011426/ENSG00000099331/ENSG00000140575/ENSG00000155657/ENSG00000160753/ENSG00000103647/ENSG00000185340/ENSG00000114019/ENSG00000082397/ENSG00000137076/ENSG00000177791/ENSG00000196535/ENSG00000087274/ENSG00000172554/ENSG00000139354/ENSG00000160808/ENSG00000183963/ENSG00000145555/ENSG00000165458/ENSG00000044115/ENSG00000188807/ENSG00000171132/ENSG00000198467/ENSG00000146122/ENSG00000128908/ENSG00000152818/ENSG00000178209/ENSG00000120756/ENSG00000128245/ENSG00000161791/ENSG00000039560/ENSG00000163110/ENSG00000165410/ENSG00000146112/ENSG00000262246"
"GO:0016887","ATP hydrolysis activity",366,0.366104899894649,1.73758064538427,3.70367198590183e-07,8.82214667041815e-05,7.04087537530389e-05,4944,"tags=39%, list=23%, signal=30%","ENSG00000249437/ENSG00000225830/ENSG00000155980/ENSG00000058668/ENSG00000167972/ENSG00000126803/ENSG00000121621/ENSG00000084731/ENSG00000123191/ENSG00000278259/ENSG00000073111/ENSG00000197102/ENSG00000105877/ENSG00000091262/ENSG00000112984/ENSG00000166813/ENSG00000137807/ENSG00000112118/ENSG00000095002/ENSG00000116852/ENSG00000107331/ENSG00000067798/ENSG00000237649/ENSG00000186185/ENSG00000104738/ENSG00000072501/ENSG00000054523/ENSG00000094804/ENSG00000136492/ENSG00000071539/ENSG00000206190/ENSG00000080603/ENSG00000017260/ENSG00000258366/ENSG00000118777/ENSG00000165280/ENSG00000070087/ENSG00000213760/ENSG00000085840/ENSG00000091592/ENSG00000073969/ENSG00000144028/ENSG00000051341/ENSG00000186871/ENSG00000102781/ENSG00000142945/ENSG00000137177/ENSG00000100297/ENSG00000110955/ENSG00000068650/ENSG00000182261/ENSG00000133119/ENSG00000165240/ENSG00000135776/ENSG00000114573/ENSG00000132932/ENSG00000145375/ENSG00000099331/ENSG00000197299/ENSG00000074582/ENSG00000171316/ENSG00000204560/ENSG00000175792/ENSG00000101452/ENSG00000156802/ENSG00000166508/ENSG00000127586/ENSG00000140829/ENSG00000204389/ENSG00000145246/ENSG00000138346/ENSG00000124574/ENSG00000115423/ENSG00000174437/ENSG00000182934/ENSG00000168394/ENSG00000132153/ENSG00000085999/ENSG00000047249/ENSG00000076242/ENSG00000150753/ENSG00000112249/ENSG00000197892/ENSG00000155304/ENSG00000114770/ENSG00000128908/ENSG00000044574/ENSG00000174243/ENSG00000100206/ENSG00000133422/ENSG00000081923/ENSG00000112159/ENSG00000117528/ENSG00000054793/ENSG00000291092/ENSG00000163214/ENSG00000172716/ENSG00000051180/ENSG00000076003/ENSG00000135829/ENSG00000013573/ENSG00000118193/ENSG00000109606/ENSG00000124535/ENSG00000111445/ENSG00000159256/ENSG00000168280/ENSG00000166833/ENSG00000204388/ENSG00000150990/ENSG00000130589/ENSG00000143748/ENSG00000187790/ENSG00000101350/ENSG00000120438/ENSG00000129250/ENSG00000197785/ENSG00000145907/ENSG00000160957/ENSG00000102910/ENSG00000168872/ENSG00000132436/ENSG00000117245/ENSG00000023839/ENSG00000152234/ENSG00000173821/ENSG00000123136/ENSG00000103274/ENSG00000125885/ENSG00000135624/ENSG00000143515/ENSG00000140451/ENSG00000150967/ENSG00000215301/ENSG00000165392/ENSG00000183207/ENSG00000021574/ENSG00000136888/ENSG00000135778/ENSG00000163468/ENSG00000126602"
"GO:0004672","protein kinase activity",487,0.34214578807218,1.66829190911677,3.28019540312853e-07,8.82214667041815e-05,7.04087537530389e-05,4304,"tags=32%, list=20%, signal=27%","ENSG00000066468/ENSG00000138395/ENSG00000183421/ENSG00000105976/ENSG00000067177/ENSG00000060140/ENSG00000160145/ENSG00000080823/ENSG00000067992/ENSG00000142627/ENSG00000165731/ENSG00000154229/ENSG00000110092/ENSG00000127418/ENSG00000092445/ENSG00000152495/ENSG00000049323/ENSG00000072195/ENSG00000154928/ENSG00000197442/ENSG00000008118/ENSG00000065534/ENSG00000182578/ENSG00000149269/ENSG00000275342/ENSG00000166851/ENSG00000140538/ENSG00000112576/ENSG00000150938/ENSG00000072786/ENSG00000004660/ENSG00000253729/ENSG00000133216/ENSG00000087586/ENSG00000067225/ENSG00000176749/ENSG00000008086/ENSG00000182541/ENSG00000254087/ENSG00000038382/ENSG00000134070/ENSG00000184304/ENSG00000163932/ENSG00000105810/ENSG00000103319/ENSG00000168038/ENSG00000095015/ENSG00000123374/ENSG00000067606/ENSG00000156970/ENSG00000177602/ENSG00000100077/ENSG00000204580/ENSG00000150457/ENSG00000140992/ENSG00000198793/ENSG00000165304/ENSG00000060237/ENSG00000164715/ENSG00000134602/ENSG00000068078/ENSG00000172939/ENSG00000062524/ENSG00000117650/ENSG00000168078/ENSG00000288602/ENSG00000115687/ENSG00000198752/ENSG00000231274/ENSG00000128052/ENSG00000119408/ENSG00000157404/ENSG00000169679/ENSG00000114904/ENSG00000100749/ENSG00000175054/ENSG00000112742/ENSG00000131023/ENSG00000154310/ENSG00000197081/ENSG00000152332/ENSG00000156711/ENSG00000142178/ENSG00000112655/ENSG00000090006/ENSG00000155657/ENSG00000143479/ENSG00000006062/ENSG00000163349/ENSG00000100030/ENSG00000114739/ENSG00000145632/ENSG00000147044/ENSG00000185189/ENSG00000070808/ENSG00000142208/ENSG00000147133/ENSG00000145349/ENSG00000162302/ENSG00000149930/ENSG00000188305/ENSG00000084774/ENSG00000177189/ENSG00000168067/ENSG00000120539/ENSG00000170145/ENSG00000107779/ENSG00000115694/ENSG00000157106/ENSG00000171132/ENSG00000122966/ENSG00000169032/ENSG00000114738/ENSG00000089022/ENSG00000213341/ENSG00000135503/ENSG00000159792/ENSG00000141503/ENSG00000077782/ENSG00000086015/ENSG00000070759/ENSG00000102144/ENSG00000196455/ENSG00000126562/ENSG00000110721/ENSG00000145041/ENSG00000102096/ENSG00000170312/ENSG00000117676/ENSG00000112062/ENSG00000130669/ENSG00000123612/ENSG00000166484/ENSG00000198909/ENSG00000148660/ENSG00000174672/ENSG00000104936/ENSG00000167258/ENSG00000133275/ENSG00000115020/ENSG00000005882/ENSG00000142875/ENSG00000169302/ENSG00000160551/ENSG00000106683/ENSG00000171435/ENSG00000136098/ENSG00000155111/ENSG00000082701/ENSG00000142731/ENSG00000178999/ENSG00000085719/ENSG00000105397/ENSG00000034152/ENSG00000183943/ENSG00000196182/ENSG00000196411"
"GO:0005201","extracellular matrix structural constituent",129,-0.502543583832472,-2.02289666624132,1.37591276536095e-06,0.000273118683924149,0.000217973548617708,900,"tags=23%, list=4%, signal=22%","ENSG00000080573/ENSG00000058085/ENSG00000106624/ENSG00000011465/ENSG00000188783/ENSG00000188372/ENSG00000130702/ENSG00000188153/ENSG00000138615/ENSG00000143367/ENSG00000133048/ENSG00000166482/ENSG00000142910/ENSG00000049540/ENSG00000116690/ENSG00000204291/ENSG00000105664/ENSG00000106819/ENSG00000127951/ENSG00000122176/ENSG00000197614/ENSG00000164764/ENSG00000138829/ENSG00000262655/ENSG00000143196/ENSG00000187955/ENSG00000111341/ENSG00000168477/ENSG00000077942/ENSG00000157766"
"GO:0016791","phosphatase activity",226,0.395386292099184,1.78518182880209,2.26429577417098e-06,0.000385253752433948,0.00030746753144006,4544,"tags=35%, list=21%, signal=28%","ENSG00000158050/ENSG00000197594/ENSG00000081913/ENSG00000203805/ENSG00000154127/ENSG00000127329/ENSG00000078269/ENSG00000114268/ENSG00000143507/ENSG00000060656/ENSG00000153233/ENSG00000132334/ENSG00000111696/ENSG00000204179/ENSG00000155893/ENSG00000149599/ENSG00000116675/ENSG00000142949/ENSG00000117600/ENSG00000108389/ENSG00000103381/ENSG00000070159/ENSG00000139318/ENSG00000144724/ENSG00000084112/ENSG00000196396/ENSG00000070778/ENSG00000159082/ENSG00000111110/ENSG00000107719/ENSG00000040199/ENSG00000197386/ENSG00000150712/ENSG00000119938/ENSG00000040933/ENSG00000145293/ENSG00000162813/ENSG00000112425/ENSG00000120129/ENSG00000122126/ENSG00000100034/ENSG00000165458/ENSG00000101577/ENSG00000164951/ENSG00000158402/ENSG00000164086/ENSG00000157881/ENSG00000108861/ENSG00000063601/ENSG00000111266/ENSG00000154845/ENSG00000100241/ENSG00000171100/ENSG00000170525/ENSG00000241360/ENSG00000179295/ENSG00000100330/ENSG00000111880/ENSG00000168268/ENSG00000123836/ENSG00000138032/ENSG00000148384/ENSG00000148660/ENSG00000079335/ENSG00000158079/ENSG00000100526/ENSG00000115020/ENSG00000139505/ENSG00000247077/ENSG00000164045/ENSG00000120910/ENSG00000198825/ENSG00000169410/ENSG00000134575/ENSG00000152894/ENSG00000134242/ENSG00000168918/ENSG00000076685/ENSG00000173482/ENSG00000079308"
"GO:0035173","histone kinase activity",309,0.364661110084359,1.71170312210193,2.67287717917532e-06,0.000397924590049726,0.00031758001220991,4304,"tags=33%, list=20%, signal=27%","ENSG00000066468/ENSG00000183421/ENSG00000105976/ENSG00000060140/ENSG00000160145/ENSG00000142627/ENSG00000165731/ENSG00000154229/ENSG00000092445/ENSG00000072195/ENSG00000154928/ENSG00000182578/ENSG00000149269/ENSG00000140538/ENSG00000072786/ENSG00000253729/ENSG00000133216/ENSG00000087586/ENSG00000067225/ENSG00000182541/ENSG00000254087/ENSG00000038382/ENSG00000163932/ENSG00000168038/ENSG00000123374/ENSG00000156970/ENSG00000177602/ENSG00000204580/ENSG00000150457/ENSG00000140992/ENSG00000198793/ENSG00000165304/ENSG00000060237/ENSG00000164715/ENSG00000134602/ENSG00000068078/ENSG00000172939/ENSG00000062524/ENSG00000117650/ENSG00000168078/ENSG00000288602/ENSG00000115687/ENSG00000198752/ENSG00000231274/ENSG00000128052/ENSG00000119408/ENSG00000157404/ENSG00000169679/ENSG00000114904/ENSG00000100749/ENSG00000175054/ENSG00000112742/ENSG00000131023/ENSG00000154310/ENSG00000152332/ENSG00000142178/ENSG00000155657/ENSG00000143479/ENSG00000163349/ENSG00000147044/ENSG00000142208/ENSG00000147133/ENSG00000162302/ENSG00000149930/ENSG00000177189/ENSG00000168067/ENSG00000120539/ENSG00000170145/ENSG00000115694/ENSG00000157106/ENSG00000122966/ENSG00000169032/ENSG00000114738/ENSG00000089022/ENSG00000159792/ENSG00000141503/ENSG00000077782/ENSG00000086015/ENSG00000070759/ENSG00000196455/ENSG00000126562/ENSG00000110721/ENSG00000145041/ENSG00000102096/ENSG00000170312/ENSG00000117676/ENSG00000130669/ENSG00000174672/ENSG00000104936/ENSG00000133275/ENSG00000115020/ENSG00000169302/ENSG00000160551/ENSG00000106683/ENSG00000171435/ENSG00000136098/ENSG00000082701/ENSG00000105397/ENSG00000034152/ENSG00000183943/ENSG00000196182/ENSG00000196411"
"GO:0005030","neurotrophin receptor activity",38,0.67052260046958,2.2171177261632,5.31082525822847e-06,0.000534921340369643,0.000426915878168534,1942,"tags=42%, list=9%, signal=38%","ENSG00000066468/ENSG00000105976/ENSG00000142627/ENSG00000151892/ENSG00000165731/ENSG00000134243/ENSG00000092445/ENSG00000154928/ENSG00000182578/ENSG00000140538/ENSG00000133216/ENSG00000204580/ENSG00000068078/ENSG00000062524/ENSG00000128052/ENSG00000157404"
"GO:0003777","microtubule motor activity",56,0.606880006586516,2.18685987182313,6.87860778115551e-06,0.000534921340369643,0.000426915878168534,4309,"tags=50%, list=20%, signal=40%","ENSG00000155980/ENSG00000121621/ENSG00000162849/ENSG00000186638/ENSG00000084731/ENSG00000197102/ENSG00000105877/ENSG00000112984/ENSG00000166813/ENSG00000137807/ENSG00000116852/ENSG00000237649/ENSG00000186185/ENSG00000054523/ENSG00000142945/ENSG00000137177/ENSG00000090889/ENSG00000138160/ENSG00000158560/ENSG00000115423/ENSG00000159433/ENSG00000140859/ENSG00000197892/ENSG00000118193/ENSG00000168280/ENSG00000101350/ENSG00000129250/ENSG00000117245"
