"term","ontology","ID","Description","sig_count","up_count","down_count","mean_NES","sd_NES","mean_up_NES","sd_up_NES","mean_down_NES","sd_down_NES","consensus"
"CC: contractile muscle fiber","CC","GO:0043292","contractile muscle fiber",19,13,6,0.641854371720595,1.72540986214221,1.75985508870456,0.340520449768778,-1.780480515078,0.384703698490652,"mixed"
"CC: myofibril","CC","GO:0030016","myofibril",19,13,6,0.633783852372175,1.70617476819156,1.73967891541569,0.334691110463359,-1.76232211755543,0.37613054893124,"mixed"
"CC: cell-substrate junction","CC","GO:0030055","cell-substrate junction",16,10,6,0.428900021032359,1.87762304725093,1.81421981075309,0.342434888393238,-1.87996629516886,0.36066010147168,"mixed"
"CC: ribosome","CC","GO:0005840","ribosome",16,6,10,-0.627338316659003,2.0012737440783,1.80417715899695,0.360441010339725,-2.08624760205257,0.544578561946139,"mixed"
"CC: focal adhesion","CC","GO:0005925","focal adhesion",16,10,6,0.426764983486141,1.86738502372414,1.80391916768187,0.347527544130006,-1.8684919901734,0.359210226970847,"mixed"
"BP: muscle system process","BP","GO:0003012","muscle system process",16,9,7,0.289749740939149,1.67407964866632,1.70285294137536,0.279811575548531,-1.52709723105027,0.235763856275836,"mixed"
"BP: muscle tissue development","BP","GO:0060537","muscle tissue development",16,9,7,0.193854343373979,1.70814340869659,1.64266253156508,0.185394946195237,-1.66889904144315,0.22766224157946,"mixed"
"BP: striated muscle tissue development","BP","GO:0014706","striated muscle tissue development",16,9,7,0.205853673046762,1.67231440148387,1.6248895132182,0.180072904892484,-1.61862097860223,0.210635201931606,"mixed"
"CC: cell leading edge","CC","GO:0031252","cell leading edge",16,12,4,0.790407156261745,1.41531697491754,1.56894112506871,0.257864877353332,-1.54519475015915,0.271948585524017,"mixed"
"CC: transmembrane transporter complex","CC","GO:1902495","transmembrane transporter complex",16,9,7,0.157717652539859,1.61371642868146,1.51918223242807,0.161293192025194,-1.59273680731641,0.346933903352022,"mixed"
"CC: cytosolic large ribosomal subunit","CC","GO:0022625","cytosolic large ribosomal subunit",15,7,8,-0.280138481841427,2.42545769271103,2.19657731010659,0.405748697110761,-2.44726479979594,0.350855813737025,"mixed"
"CC: cytosolic ribosome","CC","GO:0022626","cytosolic ribosome",15,7,8,-0.314835778815109,2.38569529342036,2.10410180210634,0.427524028593185,-2.43140616212138,0.505279703283584,"mixed"
"CC: collagen-containing extracellular matrix","CC","GO:0062023","collagen-containing extracellular matrix",15,10,5,0.665388096521483,2.11756539734051,2.08763886545749,0.381690031614812,-2.17911344135053,0.442171333850062,"mixed"
"CC: ribosomal subunit","CC","GO:0044391","ribosomal subunit",15,7,8,-0.38750826065101,2.31511956614749,1.9591032194102,0.374348537494876,-2.44079330570457,0.5240154897203,"mixed"
"CC: large ribosomal subunit","CC","GO:0015934","large ribosomal subunit",15,7,8,-0.344078384212121,2.22228734465754,1.90736936474581,0.415349994902938,-2.31409516455031,0.474177965239303,"mixed"
"BP: cytoplasmic translation","BP","GO:0002181","cytoplasmic translation",15,7,8,-0.307177054509574,2.19477519636458,1.90401649602812,0.397116060490013,-2.24197141123006,0.575605921136263,"mixed"
"CC: sarcomere","CC","GO:0030017","sarcomere",15,10,5,0.621426480975683,1.80184605798185,1.83082152593161,0.318700201380441,-1.79736360893618,0.406161736611235,"mixed"
"CC: adherens junction","CC","GO:0005912","adherens junction",15,11,4,0.778523942862275,1.65863395756164,1.73649841362119,0.199102006418833,-1.85590585172474,0.295955548214443,"mixed"
"BP: modulation of chemical synaptic transmission","BP","GO:0050804","modulation of chemical synaptic transmission",15,10,5,0.623267454414081,1.55862830245378,1.68030977639804,0.225878309638795,-1.49081718955385,0.0882714309591144,"mixed"
"BP: regulation of trans-synaptic signaling","BP","GO:0099177","regulation of trans-synaptic signaling",15,10,5,0.62351173927083,1.555875094675,1.67846491198857,0.228011787309449,-1.48639460616465,0.0932363502526186,"mixed"
"BP: muscle cell differentiation","BP","GO:0042692","muscle cell differentiation",15,9,6,0.321942092332215,1.72465498631878,1.67400153357964,0.210484455727076,-1.70614706953892,0.176749184929277,"mixed"
"BP: response to oxidative stress","BP","GO:0006979","response to oxidative stress",15,7,8,-0.0439860663354482,1.60093942487332,1.60273965191035,0.178362540924778,-1.48487106980052,0.119572769207565,"mixed"
"CC: protein-DNA complex","CC","GO:0032993","protein-DNA complex",14,7,7,0.0403605402946873,2.1137470186584,2.02880187852611,0.447659651516201,-1.94808079793673,0.504325226703166,"mixed"
"MF: structural constituent of ribosome","MF","GO:0003735","structural constituent of ribosome",14,7,7,-0.283023308817609,2.42358582371751,2.02583090409088,0.35256767745206,-2.5918775217261,0.404527401296942,"mixed"
"CC: chromosomal region","CC","GO:0098687","chromosomal region",14,5,9,-0.517800650356238,2.01470476978212,2.01968530701652,0.605169207941677,-1.92751507111888,0.390946334031046,"mixed"
"BP: myofibril assembly","BP","GO:0030239","myofibril assembly",14,9,5,0.643861381587014,1.9250116269857,2.01297667949846,0.314424925628664,-1.82054615465359,0.191043088965083,"mixed"
"CC: chromosome, centromeric region","CC","GO:0000775","chromosome, centromeric region",14,6,8,-0.308177136923265,2.09763446530455,1.97817374861943,0.552215283219147,-2.02294030108028,0.335623524461126,"mixed"
"CC: contractile actin filament bundle","CC","GO:0097517","contractile actin filament bundle",14,10,4,0.795010169173398,1.83166306134718,1.89774337886997,0.179354406589138,-1.96182285506802,0.504854359729166,"mixed"
"CC: stress fiber","CC","GO:0001725","stress fiber",14,10,4,0.795010169173398,1.83166306134718,1.89774337886997,0.179354406589138,-1.96182285506802,0.504854359729166,"mixed"
"CC: actin filament bundle","CC","GO:0032432","actin filament bundle",14,10,4,0.776099155890275,1.84668176855939,1.88743021813519,0.193593693191578,-2.00222849972202,0.506209441841635,"mixed"
"BP: protein-DNA complex organization","BP","GO:0071824","protein-DNA complex organization",14,7,7,-0.0976912022717711,2.01045814068171,1.79498187658413,0.423309832674237,-1.99036428112768,0.468888491726044,"mixed"
"BP: vesicle-mediated transport in synapse","BP","GO:0099003","vesicle-mediated transport in synapse",14,9,5,0.612558245955255,1.64973308098866,1.7898231417896,0.198013614272903,-1.50651856654656,0.187995058458913,"mixed"
"BP: leukocyte migration","BP","GO:0050900","leukocyte migration",14,9,5,0.532145159192709,1.77030273035392,1.78215675330274,0.372732200104729,-1.71787571020536,0.252224139408723,"mixed"
"MF: actin binding","MF","GO:0003779","actin binding",14,10,4,0.753265999339629,1.65760061233428,1.75244028692759,0.209613383777142,-1.74466971963026,0.356676015465324,"mixed"
"CC: I band","CC","GO:0031674","I band",14,9,5,0.46261190107553,1.81683489354678,1.74792756737629,0.286907166611033,-1.85095629826584,0.394244623912236,"mixed"
"BP: muscle contraction","BP","GO:0006936","muscle contraction",14,9,5,0.537302407531562,1.67838253731113,1.72577885805864,0.311175816886866,-1.60195520341719,0.250767839302045,"mixed"
"BP: chemotaxis","BP","GO:0006935","chemotaxis",14,9,5,0.518181559536473,1.67145573977686,1.70387414346791,0.299883003101777,-1.61606509154012,0.207154094556522,"mixed"
"BP: taxis","BP","GO:0042330","taxis",14,9,5,0.516888691422251,1.67005040100533,1.70158294371355,0.299338566211965,-1.61556096270209,0.207874930737505,"mixed"
"BP: negative regulation of cell motility","BP","GO:2000146","negative regulation of cell motility",14,8,6,0.236004227205898,1.7127070328166,1.65841751477081,0.190723220460542,-1.66054682288065,0.149405968406066,"mixed"
"BP: negative regulation of cell migration","BP","GO:0030336","negative regulation of cell migration",14,8,6,0.205241925182692,1.72227505055004,1.63596712786388,0.17856176562673,-1.70239167839223,0.159765315434865,"mixed"
"BP: membraneless organelle assembly","BP","GO:0140694","membraneless organelle assembly",14,7,7,0.0193061497160872,1.67703522946107,1.61862078637869,0.306232728216728,-1.58000848694651,0.177876309788838,"mixed"
"BP: regulation of cell-cell adhesion","BP","GO:0022407","regulation of cell-cell adhesion",14,8,6,0.211233060122107,1.69774186919125,1.6152180612357,0.269185888364136,-1.66074694136268,0.183185036089142,"mixed"
"CC: synaptic membrane","CC","GO:0097060","synaptic membrane",14,9,5,0.461794586154976,1.62774259381647,1.61466200870115,0.300537441517282,-1.61336677442813,0.23880553510471,"mixed"
"BP: positive regulation of phosphate metabolic process","BP","GO:0045937","positive regulation of phosphate metabolic process",14,9,5,0.45098395026209,1.61792407900795,1.60162450178115,0.242452499732695,-1.62016904247221,0.221029301147587,"mixed"
"BP: positive regulation of phosphorus metabolic process","BP","GO:0010562","positive regulation of phosphorus metabolic process",14,9,5,0.45098395026209,1.61792407900795,1.60162450178115,0.242452499732695,-1.62016904247221,0.221029301147587,"mixed"
"CC: neuronal cell body","CC","GO:0043025","neuronal cell body",14,9,5,0.528306204680185,1.48820172516709,1.58845847960404,0.237706035348484,-1.37996789018275,0.0647840228841802,"mixed"
"BP: morphogenesis of an epithelium","BP","GO:0002009","morphogenesis of an epithelium",14,9,5,0.4158075705165,1.65194160838085,1.58840758543593,0.207880888834694,-1.69487245633848,0.346540135566317,"mixed"
"BP: small GTPase-mediated signal transduction","BP","GO:0007264","small GTPase-mediated signal transduction",14,9,5,0.454729947520418,1.49593689647237,1.52333644717406,0.153090103717209,-1.46876175185613,0.178802048601626,"mixed"
