"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: 'de novo' post-translational protein folding",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: 'de novo' protein folding",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"BP: 2'-deoxyribonucleotide biosynthetic process",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"BP: 2'-deoxyribonucleotide metabolic process",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"BP: 2-oxoglutarate metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: 3'-UTR-mediated mRNA destabilization",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: 3'-UTR-mediated mRNA stabilization",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: 3'-phosphoadenosine 5'-phosphosulfate metabolic process",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: ADP catabolic process",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"BP: ADP metabolic process",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"BP: AMP biosynthetic process",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
