"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Maddock_LMN_FA2_batchcorrection_0.05_all_genes.rds","Wang_0.05_all_genes.rds","Erwin_batchcorrection_0.05_all_genes.rds","Li_FRDA_CTRL_0.05_all_genes.rds","Li_FRDA_IC_0.05_all_genes.rds","Chutake_0.05_all_genes.rds","up_count","down_count","sig_count","consensus"
"CC: ribosome",-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,1,1,0,-1,1,1,1,-1,8,12,20,"mixed"
"CC: contractile muscle fiber",1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,0,0,0,13,6,19,"mixed"
"CC: myofibril",1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,0,0,0,13,6,19,"mixed"
"BP: cytoplasmic translation",-1,-1,1,0,-1,-1,-1,0,-1,0,-1,-1,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: cytosolic ribosome",-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: large ribosomal subunit",-1,-1,1,0,-1,-1,-1,0,-1,0,-1,-1,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: ribosomal subunit",-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1,0,-1,1,1,1,-1,9,10,19,"mixed"
"CC: chromosome, centromeric region",1,-1,-1,-1,1,-1,-1,0,0,-1,1,-1,1,1,-1,0,1,0,1,1,-1,-1,-1,8,11,19,"mixed"
"CC: chromosomal region",0,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,1,1,-1,0,1,0,1,1,-1,-1,-1,7,12,19,"mixed"
"BP: positive regulation of cell adhesion",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,12,6,18,"mixed"
