"term","ontology","ID","Description","total_sig","up_count","down_count","sig_count","consensus"
"CC: contractile muscle fiber","CC","GO:0043292","contractile muscle fiber",19,13,6,19,"mixed"
"CC: myofibril","CC","GO:0030016","myofibril",19,13,6,19,"mixed"
"BP: muscle system process","BP","GO:0003012","muscle system process",16,9,7,16,"mixed"
"BP: muscle tissue development","BP","GO:0060537","muscle tissue development",16,9,7,16,"mixed"
"BP: striated muscle tissue development","BP","GO:0014706","striated muscle tissue development",16,9,7,16,"mixed"
"CC: cell leading edge","CC","GO:0031252","cell leading edge",16,12,4,16,"mixed"
"CC: cell-substrate junction","CC","GO:0030055","cell-substrate junction",16,10,6,16,"mixed"
"CC: focal adhesion","CC","GO:0005925","focal adhesion",16,10,6,16,"mixed"
"CC: ribosome","CC","GO:0005840","ribosome",16,6,10,16,"mixed"
"CC: transmembrane transporter complex","CC","GO:1902495","transmembrane transporter complex",16,9,7,16,"mixed"
"BP: cytoplasmic translation","BP","GO:0002181","cytoplasmic translation",15,7,8,15,"mixed"
"BP: modulation of chemical synaptic transmission","BP","GO:0050804","modulation of chemical synaptic transmission",15,10,5,15,"mixed"
"BP: muscle cell differentiation","BP","GO:0042692","muscle cell differentiation",15,9,6,15,"mixed"
"BP: regulation of trans-synaptic signaling","BP","GO:0099177","regulation of trans-synaptic signaling",15,10,5,15,"mixed"
"BP: response to oxidative stress","BP","GO:0006979","response to oxidative stress",15,7,8,15,"mixed"
"CC: adherens junction","CC","GO:0005912","adherens junction",15,11,4,15,"mixed"
"CC: collagen-containing extracellular matrix","CC","GO:0062023","collagen-containing extracellular matrix",15,10,5,15,"mixed"
"CC: cytosolic large ribosomal subunit","CC","GO:0022625","cytosolic large ribosomal subunit",15,7,8,15,"mixed"
"CC: cytosolic ribosome","CC","GO:0022626","cytosolic ribosome",15,7,8,15,"mixed"
"CC: large ribosomal subunit","CC","GO:0015934","large ribosomal subunit",15,7,8,15,"mixed"
"CC: ribosomal subunit","CC","GO:0044391","ribosomal subunit",15,7,8,15,"mixed"
"CC: sarcomere","CC","GO:0030017","sarcomere",15,10,5,15,"mixed"
"BP: chemotaxis","BP","GO:0006935","chemotaxis",14,9,5,14,"mixed"
"BP: leukocyte migration","BP","GO:0050900","leukocyte migration",14,9,5,14,"mixed"
"BP: membraneless organelle assembly","BP","GO:0140694","membraneless organelle assembly",14,7,7,14,"mixed"
"BP: morphogenesis of an epithelium","BP","GO:0002009","morphogenesis of an epithelium",14,9,5,14,"mixed"
"BP: muscle contraction","BP","GO:0006936","muscle contraction",14,9,5,14,"mixed"
"BP: myofibril assembly","BP","GO:0030239","myofibril assembly",14,9,5,14,"mixed"
"BP: negative regulation of cell migration","BP","GO:0030336","negative regulation of cell migration",14,8,6,14,"mixed"
"BP: negative regulation of cell motility","BP","GO:2000146","negative regulation of cell motility",14,8,6,14,"mixed"
"BP: positive regulation of phosphate metabolic process","BP","GO:0045937","positive regulation of phosphate metabolic process",14,9,5,14,"mixed"
"BP: positive regulation of phosphorus metabolic process","BP","GO:0010562","positive regulation of phosphorus metabolic process",14,9,5,14,"mixed"
"BP: protein-DNA complex organization","BP","GO:0071824","protein-DNA complex organization",14,7,7,14,"mixed"
"BP: regulation of cell-cell adhesion","BP","GO:0022407","regulation of cell-cell adhesion",14,8,6,14,"mixed"
"BP: small GTPase-mediated signal transduction","BP","GO:0007264","small GTPase-mediated signal transduction",14,9,5,14,"mixed"
"BP: taxis","BP","GO:0042330","taxis",14,9,5,14,"mixed"
"BP: vesicle-mediated transport in synapse","BP","GO:0099003","vesicle-mediated transport in synapse",14,9,5,14,"mixed"
"CC: I band","CC","GO:0031674","I band",14,9,5,14,"mixed"
"CC: actin filament bundle","CC","GO:0032432","actin filament bundle",14,10,4,14,"mixed"
"CC: chromosomal region","CC","GO:0098687","chromosomal region",14,5,9,14,"mixed"
"CC: chromosome, centromeric region","CC","GO:0000775","chromosome, centromeric region",14,6,8,14,"mixed"
"CC: contractile actin filament bundle","CC","GO:0097517","contractile actin filament bundle",14,10,4,14,"mixed"
"CC: neuronal cell body","CC","GO:0043025","neuronal cell body",14,9,5,14,"mixed"
"CC: protein-DNA complex","CC","GO:0032993","protein-DNA complex",14,7,7,14,"mixed"
"CC: stress fiber","CC","GO:0001725","stress fiber",14,10,4,14,"mixed"
"CC: synaptic membrane","CC","GO:0097060","synaptic membrane",14,9,5,14,"mixed"
"MF: actin binding","MF","GO:0003779","actin binding",14,10,4,14,"mixed"
"MF: structural constituent of ribosome","MF","GO:0003735","structural constituent of ribosome",14,7,7,14,"mixed"
"BP: Wnt signaling pathway","BP","GO:0016055","Wnt signaling pathway",13,5,8,13,"mixed"
"BP: blood circulation","BP","GO:0008015","blood circulation",13,8,5,13,"mixed"
"BP: cardiac muscle tissue development","BP","GO:0048738","cardiac muscle tissue development",13,6,7,13,"mixed"
"BP: cell chemotaxis","BP","GO:0060326","cell chemotaxis",13,8,5,13,"mixed"
"BP: cell-cell adhesion via plasma-membrane adhesion molecules","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",13,9,4,13,"mixed"
"BP: cellular response to peptide hormone stimulus","BP","GO:0071375","cellular response to peptide hormone stimulus",13,8,5,13,"mixed"
"BP: epithelial cell proliferation","BP","GO:0050673","epithelial cell proliferation",13,8,5,13,"mixed"
"BP: external encapsulating structure organization","BP","GO:0045229","external encapsulating structure organization",13,7,6,13,"mixed"
"BP: extracellular matrix organization","BP","GO:0030198","extracellular matrix organization",13,7,6,13,"mixed"
"BP: extracellular structure organization","BP","GO:0043062","extracellular structure organization",13,7,6,13,"mixed"
"BP: leukocyte cell-cell adhesion","BP","GO:0007159","leukocyte cell-cell adhesion",13,7,6,13,"mixed"
"BP: macroautophagy","BP","GO:0016236","macroautophagy",13,7,6,13,"mixed"
"BP: muscle cell development","BP","GO:0055001","muscle cell development",13,7,6,13,"mixed"
"BP: negative regulation of locomotion","BP","GO:0040013","negative regulation of locomotion",13,8,5,13,"mixed"
"BP: positive regulation of MAPK cascade","BP","GO:0043410","positive regulation of MAPK cascade",13,8,5,13,"mixed"
"BP: positive regulation of cell adhesion","BP","GO:0045785","positive regulation of cell adhesion",13,7,6,13,"mixed"
"BP: positive regulation of phosphorylation","BP","GO:0042327","positive regulation of phosphorylation",13,7,6,13,"mixed"
"BP: positive regulation of protein phosphorylation","BP","GO:0001934","positive regulation of protein phosphorylation",13,8,5,13,"mixed"
"BP: protein-DNA complex assembly","BP","GO:0065004","protein-DNA complex assembly",13,7,6,13,"mixed"
"BP: regulation of autophagy","BP","GO:0010506","regulation of autophagy",13,6,7,13,"mixed"
"BP: regulation of membrane potential","BP","GO:0042391","regulation of membrane potential",13,8,5,13,"mixed"
"BP: response to peptide hormone","BP","GO:0043434","response to peptide hormone",13,8,5,13,"mixed"
"BP: ribonucleoprotein complex biogenesis","BP","GO:0022613","ribonucleoprotein complex biogenesis",13,3,10,13,"mixed"
"BP: striated muscle cell differentiation","BP","GO:0051146","striated muscle cell differentiation",13,8,5,13,"mixed"
"BP: synaptic vesicle cycle","BP","GO:0099504","synaptic vesicle cycle",13,8,5,13,"mixed"
"BP: tissue remodeling","BP","GO:0048771","tissue remodeling",13,7,6,13,"mixed"
"CC: actomyosin","CC","GO:0042641","actomyosin",13,10,3,13,"mixed"
"CC: asymmetric synapse","CC","GO:0032279","asymmetric synapse",13,8,5,13,"mixed"
"CC: cell-cell junction","CC","GO:0005911","cell-cell junction",13,9,4,13,"mixed"
"CC: coated vesicle membrane","CC","GO:0030662","coated vesicle membrane",13,6,7,13,"mixed"
"CC: cytosolic small ribosomal subunit","CC","GO:0022627","cytosolic small ribosomal subunit",13,6,7,13,"mixed"
"CC: endoplasmic reticulum lumen","CC","GO:0005788","endoplasmic reticulum lumen",13,8,5,13,"mixed"
"CC: external side of plasma membrane","CC","GO:0009897","external side of plasma membrane",13,8,5,13,"mixed"
"CC: kinetochore","CC","GO:0000776","kinetochore",13,5,8,13,"mixed"
"CC: neuron to neuron synapse","CC","GO:0098984","neuron to neuron synapse",13,8,5,13,"mixed"
"CC: postsynaptic density","CC","GO:0014069","postsynaptic density",13,8,5,13,"mixed"
"CC: receptor complex","CC","GO:0043235","receptor complex",13,7,6,13,"mixed"
"MF: extracellular matrix structural constituent","MF","GO:0005201","extracellular matrix structural constituent",13,8,5,13,"mixed"
"MF: microtubule binding","MF","GO:0008017","microtubule binding",13,8,5,13,"mixed"
"MF: signaling receptor activator activity","MF","GO:0030546","signaling receptor activator activity",13,9,4,13,"mixed"
"BP: actomyosin structure organization","BP","GO:0031032","actomyosin structure organization",12,8,4,12,"mixed"
"BP: cell cycle checkpoint signaling","BP","GO:0000075","cell cycle checkpoint signaling",12,5,7,12,"mixed"
"BP: cell junction assembly","BP","GO:0034329","cell junction assembly",12,10,2,12,"mixed"
"BP: cellular response to insulin stimulus","BP","GO:0032869","cellular response to insulin stimulus",12,7,5,12,"mixed"
"BP: chromosome segregation","BP","GO:0007059","chromosome segregation",12,5,7,12,"mixed"
"BP: double-strand break repair","BP","GO:0006302","double-strand break repair",12,4,8,12,"mixed"
"BP: establishment of organelle localization","BP","GO:0051656","establishment of organelle localization",12,7,5,12,"mixed"
"BP: establishment of protein localization to organelle","BP","GO:0072594","establishment of protein localization to organelle",12,5,7,12,"mixed"
"BP: extrinsic apoptotic signaling pathway","BP","GO:0097191","extrinsic apoptotic signaling pathway",12,7,5,12,"mixed"
"BP: heart contraction","BP","GO:0060047","heart contraction",12,8,4,12,"mixed"
"BP: leukocyte chemotaxis","BP","GO:0030595","leukocyte chemotaxis",12,7,5,12,"mixed"
"BP: leukocyte proliferation","BP","GO:0070661","leukocyte proliferation",12,6,6,12,"mixed"
"BP: mitotic cell cycle checkpoint signaling","BP","GO:0007093","mitotic cell cycle checkpoint signaling",12,5,7,12,"mixed"
"BP: mitotic cell cycle phase transition","BP","GO:0044772","mitotic cell cycle phase transition",12,5,7,12,"mixed"
