"","gene_name","cor","p_value","adj_p_value"
"2392","PABPN1",0.796383372015732,1.65620920213085e-40,7.34986990035794e-36
"5877","TIMM8A",0.795662962087633,2.18690804420249e-40,7.34986990035794e-36
"6169","ASH2L",0.793625701686689,4.77086539976696e-40,1.06894419858712e-35
"6574","EEFSEC",0.792629470856827,6.96418816808136e-40,1.17027959023481e-35
"13852","BANF1",0.790343067097075,1.64628073669563e-39,2.06859900552148e-35
"354","COX15",0.790035876864513,1.84649627819285e-39,2.06859900552148e-35
"12026","SP2",0.788864157549423,2.85566921481963e-39,2.62142725282694e-35
"6612","ERAL1",0.788625380682013,3.11995745460457e-39,2.62142725282694e-35
"16151","POLR1D",0.787296497341367,5.09543492716497e-39,3.80555388332497e-35
"3084","MRPL4",0.786948130488575,5.79129236805551e-39,3.89273299103587e-35
"2741","USB1",0.785401139968719,1.01952766311457e-38,6.2299628119611e-35
"8689","NAF1",0.784005775490294,1.69126089008672e-38,9.47345693741326e-35
"2219","CBY1",0.781731399319251,3.82839135169503e-38,1.97948447297604e-34
"17850","CHAMP1",0.781203636582218,4.62104092219833e-38,2.21866076905289e-34
"3960","TDP2",0.780770721057488,5.39022547528085e-38,2.41543190514635e-34
"2391","APEX1",0.778950374523704,1.02592756502317e-37,4.30998582113515e-34
"1676","CHERP",0.778368619784517,1.25858931130585e-37,4.97638810223798e-34
"2954","KLHDC4",0.777213832090738,1.88492114245501e-37,6.71425872970686e-34
"14391","DMAP1",0.777194157798221,1.8978966015209e-37,6.71425872970686e-34
"17143","RABL6",0.77683656119735,2.14967092999018e-37,7.2247215450575e-34
"2694","MRPS31",0.776524987239842,2.3956709353997e-37,7.66808634594103e-34
"17283","PCBP2",0.776241531103371,2.64344328780463e-37,8.07656033983472e-34
"5778","PLAGL2",0.775628792362585,3.26852785497233e-37,9.55220160120327e-34
"14545","TAF7",0.775145272805942,3.86268063882609e-37,1.08182418541656e-33
"8365","SF3B4",0.774986482146563,4.08010049657675e-37,1.0970084603136e-33
"14191","FBXO46",0.773637070409683,6.48620402719299e-37,1.67685836959935e-33
"5509","STAMBP",0.773485888312113,6.83060044447929e-37,1.7004906299132e-33
"22176","HNRNPUL2",0.77332692346968,7.2121551225832e-37,1.7313551102667e-33
"1047","ATP11A",0.773062494519438,7.89387202263453e-37,1.82129507127226e-33
"12222","MLST8",0.772976584510869,8.12872519424665e-37,1.82129507127226e-33
"21743","NCKIPSD",0.772277590023457,1.03135956187e-36,2.22501701367991e-33
"11572","SPTSSA",0.772176421924746,1.0674394875488e-36,2.22501701367991e-33
"8565","COPS7B",0.772108476795422,1.09236594092918e-36,2.22501701367991e-33
"6145","PARP2",0.771375214678957,1.40067089634176e-36,2.76908516586483e-33
"4082","TBP",0.771074278353132,1.55071004640335e-36,2.97811649111698e-33
"5194","KHDRBS1",0.77051417744892,1.87329266213493e-36,3.49769757974232e-33
"2550","USP14",0.770386512495602,1.95560245790987e-36,3.55269541657642e-33
"8852","INTS15",0.770089874795588,2.1608589351479e-36,3.82227513273254e-33
"11629","TAF3",0.769712069523466,2.45323235516983e-36,4.22817741583206e-33
"6626","POLR3F",0.769054864884207,3.05744073346292e-36,5.02653596735541e-33
"5880","INTS11",0.769046496696796,3.06600970976943e-36,5.02653596735541e-33
"7864","RHOF",0.768641193767948,3.51060881090926e-36,5.618395058164e-33
"744","CUL1",0.767950897850218,4.41842781382994e-36,6.90682470609784e-33
"4986","SMNDC1",0.767191131956303,5.68598671312259e-36,8.36115056334674e-33
"8350","ISG20L2",0.767167955928373,5.729815737339e-36,8.36115056334674e-33
"34202","GET4",0.767120110170456,5.82135376569808e-36,8.36115056334674e-33
"1091","HDHD5",0.767107173974529,5.84634953177465e-36,8.36115056334674e-33
"12733","HNRNPA3",0.766833267073493,6.40112281984537e-36,8.96383901211554e-33
"9241","YTHDF1",0.766468407294842,7.22133342941285e-36,9.84185213180889e-33
"1562","C5orf22",0.766406047924401,7.37152048641297e-36,9.84185213180889e-33
"9798","OXNAD1",0.766366899394815,7.46737371085073e-36,9.84185213180889e-33
"5536","MRS2",0.765823499839431,8.93172555444268e-36,1.1545457626788e-32
"9449","GUF1",0.764434172365922,1.40867787754384e-35,1.78064538570566e-32
"7264","IREB2",0.764387100352865,1.43051387042126e-35,1.78064538570566e-32
"15337","EWSR1",0.763943300954751,1.65347913556391e-35,2.02076194645817e-32
"15946","MRPL30",0.763735822587166,1.76913290674463e-35,2.12349654629739e-32
"13008","ZDHHC16",0.763519319498076,1.89831036462129e-35,2.238574171557e-32
"678","MCUR1",0.763176159987906,2.12232620453398e-35,2.39633564160892e-32
"9586","RAD17",0.763174756284672,2.12329400186717e-35,2.39633564160892e-32
"13641","PITPNA",0.763147841114421,2.14193522246466e-35,2.39633564160892e-32
"11215","ABHD18",0.763101094956863,2.17469500480748e-35,2.39633564160892e-32
"6589","UTP3",0.76263732172751,2.52764523308041e-35,2.70181108679157e-32
"10384","CCDC117",0.762631632907443,2.53230728041818e-35,2.70181108679157e-32
"16180","PPP1CC",0.762407828096659,2.72259310454665e-35,2.85944594856737e-32
"36379","MARS2",0.762326075206442,2.79555677639587e-35,2.89090676675386e-32
"36156","UBE2V1",0.762214089365252,2.89863716300411e-35,2.95208627554011e-32
"36359","ZCCHC3",0.762147355948963,2.96183409944886e-35,2.97142690541274e-32
"10865","TYW5",0.762039035462314,3.06731457424627e-35,3.03199534907517e-32
"5041","MRPS14",0.761931103033417,3.17609441842801e-35,3.07751171075075e-32
"6406","GSE1",0.761903101824112,3.20493059423289e-35,3.07751171075075e-32
"2977","SNRNP70",0.761696303665054,3.42602847939021e-35,3.24348389153763e-32
"8342","USP21",0.761643021161905,3.48538737597912e-35,3.25385115626651e-32
