dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Lai_CNS,GPM6B,GPM6B,ENST00000454189,0.10930000000000006,3.2352328516321034e-182,IR
Lai_CNS,AKAP12,AKAP12,ENST00000253332,0.18133333333333332,1.928082749550344e-82,codingPotential
Lai_CNS,AKAP12,AKAP12,ENST00000253332,0.18133333333333332,1.928082749550344e-82,domain_identified
Lai_CNS,AKAP12,AKAP12,ENST00000359755,-0.17179999999999998,1.928082749550344e-82,codingPotential
Lai_CNS,AKAP12,AKAP12,ENST00000359755,-0.17179999999999998,1.928082749550344e-82,domain_identified
Lai_CNS,ME2,ME2,ENST00000640967,0.31506666666666666,2.3776129244543867e-50,codingPotential
Lai_CNS,ME2,ME2,ENST00000640967,0.31506666666666666,2.3776129244543867e-50,PTC
Lai_CNS,ME2,ME2,ENST00000640967,0.31506666666666666,2.3776129244543867e-50,domain_identified
Lai_CNS,CD46,CD46,ENST00000357714,-0.29936666666666667,6.976748615149778e-39,IR
Lai_CNS,CD46,CD46,ENST00000357714,-0.29936666666666667,6.976748615149778e-39,codingPotential
Lai_CNS,CD46,CD46,ENST00000357714,-0.29936666666666667,6.976748615149778e-39,domain_identified
Lai_CNS,CD46,CD46,ENST00000357714,-0.29936666666666667,6.976748615149778e-39,signal_peptide_identified
Lai_CNS,CD46,CD46,ENST00000695780,0.2338,6.976748615149778e-39,IR
Lai_CNS,CD46,CD46,ENST00000695780,0.2338,6.976748615149778e-39,codingPotential
Lai_CNS,CD46,CD46,ENST00000695780,0.2338,6.976748615149778e-39,domain_identified
Lai_CNS,CD46,CD46,ENST00000695780,0.2338,6.976748615149778e-39,signal_peptide_identified
Lai_CNS,CD46,CD46,ENST00000493796,-0.12013333333333333,6.976748615149778e-39,codingPotential
Lai_CNS,CD46,CD46,ENST00000367042,0.10670000000000002,6.976748615149778e-39,IR
Lai_CNS,CD46,CD46,ENST00000367042,0.10670000000000002,6.976748615149778e-39,codingPotential
Lai_CNS,CD46,CD46,ENST00000367042,0.10670000000000002,6.976748615149778e-39,domain_identified
Lai_CNS,CD46,CD46,ENST00000367042,0.10670000000000002,6.976748615149778e-39,signal_peptide_identified
Lai_CNS,ADD3,ADD3,ENST00000356080,-0.17756666666666665,2.487526581297743e-37,codingPotential
Lai_CNS,ADD3,ADD3,ENST00000356080,-0.17756666666666665,2.487526581297743e-37,domain_identified
Lai_CNS,ADD3,ADD3,ENST00000277900,0.10206666666666667,2.487526581297743e-37,codingPotential
Lai_CNS,ADD3,ADD3,ENST00000277900,0.10206666666666667,2.487526581297743e-37,domain_identified
Lai_CNS,MAF1,MAF1,ENST00000322428,-0.4475,2.154010466938204e-35,codingPotential
Lai_CNS,MAF1,MAF1,ENST00000322428,-0.4475,2.154010466938204e-35,domain_identified
Lai_CNS,MAF1,MAF1,ENST00000715465,0.4258333333333334,2.154010466938204e-35,codingPotential
Lai_CNS,MAF1,MAF1,ENST00000715465,0.4258333333333334,2.154010466938204e-35,domain_identified
Lai_CNS,GRB2,GRB2,ENST00000648046,-0.13169999999999998,9.982311894497855e-34,IR
Lai_CNS,GRB2,GRB2,ENST00000648046,-0.13169999999999998,9.982311894497855e-34,PTC
Lai_CNS,PTPN23,PTPN23,ENST00000265562,-0.2840666666666667,2.9936594950166796e-30,codingPotential
Lai_CNS,PTPN23,PTPN23,ENST00000265562,-0.2840666666666667,2.9936594950166796e-30,domain_identified
Lai_CNS,PTPN23,PTPN23,ENST00000602307,0.24386666666666668,2.9936594950166796e-30,codingPotential
Lai_CNS,PTPN23,PTPN23,ENST00000602307,0.24386666666666668,2.9936594950166796e-30,PTC
Lai_CNS,PTPN23,PTPN23,ENST00000602307,0.24386666666666668,2.9936594950166796e-30,domain_identified
Lai_CNS,PTPN23,PTPN23,ENST00000456221,0.14723333333333333,2.9936594950166796e-30,codingPotential
