dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Maddock_SN_FA2,SDHAP3,SDHAP3,ENST00000715189,-0.11081999999999999,5.255912841704226e-203,IR
Maddock_SN_FA2,SDHAP3,SDHAP3,ENST00000715189,-0.11081999999999999,5.255912841704226e-203,codingPotential
Maddock_SN_FA2,SDHAP3,SDHAP3,ENST00000721106,-0.10561999999999999,5.255912841704226e-203,codingPotential
Maddock_SN_FA2,PRKAR1B,PRKAR1B,ENST00000360274,-0.23240000000000002,1.0763339046637837e-195,codingPotential
Maddock_SN_FA2,PRKAR1B,PRKAR1B,ENST00000360274,-0.23240000000000002,1.0763339046637837e-195,domain_identified
Maddock_SN_FA2,PRKAR1B,PRKAR1B,ENST00000417852,0.18178,1.0763339046637837e-195,codingPotential
Maddock_SN_FA2,PRKAR1B,PRKAR1B,ENST00000417852,0.18178,1.0763339046637837e-195,domain_identified
Maddock_SN_FA2,PRKAR1B,PRKAR1B,ENST00000403562,0.10404,1.0763339046637837e-195,codingPotential
Maddock_SN_FA2,PRKAR1B,PRKAR1B,ENST00000403562,0.10404,1.0763339046637837e-195,domain_identified
Maddock_SN_FA2,INPP5F,INPP5F,ENST00000650409,0.70918,1.6871201855639142e-88,codingPotential
Maddock_SN_FA2,INPP5F,INPP5F,ENST00000650409,0.70918,1.6871201855639142e-88,domain_identified
Maddock_SN_FA2,INPP5F,INPP5F,ENST00000650623,-0.6539200000000001,1.6871201855639142e-88,codingPotential
Maddock_SN_FA2,INPP5F,INPP5F,ENST00000650623,-0.6539200000000001,1.6871201855639142e-88,domain_identified
Maddock_SN_FA2,MAP3K13,MAP3K13,ENST00000265026,-0.36388000000000004,2.144692031335204e-87,codingPotential
Maddock_SN_FA2,MAP3K13,MAP3K13,ENST00000265026,-0.36388000000000004,2.144692031335204e-87,domain_identified
Maddock_SN_FA2,MAP3K13,MAP3K13,ENST00000447637,0.17557999999999999,2.144692031335204e-87,codingPotential
Maddock_SN_FA2,MAP3K13,MAP3K13,ENST00000438053,-0.12376000000000001,2.144692031335204e-87,codingPotential
Maddock_SN_FA2,MAP3K13,MAP3K13,ENST00000438053,-0.12376000000000001,2.144692031335204e-87,PTC
Maddock_SN_FA2,ADGRV1,ADGRV1,ENST00000640815,-0.53642,6.707152890168334e-59,codingPotential
Maddock_SN_FA2,ADGRV1,ADGRV1,ENST00000640815,-0.53642,6.707152890168334e-59,domain_identified
Maddock_SN_FA2,ADGRV1,ADGRV1,ENST00000405460,0.19876,6.707152890168334e-59,codingPotential
Maddock_SN_FA2,ADGRV1,ADGRV1,ENST00000405460,0.19876,6.707152890168334e-59,domain_identified
Maddock_SN_FA2,SPARC,SPARC,ENST00000231061,-0.32006,7.938376802819305e-51,codingPotential
Maddock_SN_FA2,SPARC,SPARC,ENST00000231061,-0.32006,7.938376802819305e-51,domain_identified
Maddock_SN_FA2,SPARC,SPARC,ENST00000231061,-0.32006,7.938376802819305e-51,signal_peptide_identified
Maddock_SN_FA2,SPARC,SPARC,ENST00000539687,0.21946000000000002,7.938376802819305e-51,codingPotential
Maddock_SN_FA2,SPARC,SPARC,ENST00000539687,0.21946000000000002,7.938376802819305e-51,domain_identified
Maddock_SN_FA2,SPARC,SPARC,ENST00000539687,0.21946000000000002,7.938376802819305e-51,signal_peptide_identified
Maddock_SN_FA2,SPARC,SPARC,ENST00000521569,0.17832,7.938376802819305e-51,codingPotential
Maddock_SN_FA2,SPARC,SPARC,ENST00000521569,0.17832,7.938376802819305e-51,domain_identified
Maddock_SN_FA2,WARS1,WARS1,ENST00000557094,-0.1533,2.0874468404637017e-46,codingPotential
Maddock_SN_FA2,ARHGAP11A,ARHGAP11A,ENST00000361627,-0.31304,1.712482659454533e-43,codingPotential
Maddock_SN_FA2,ARHGAP11A,ARHGAP11A,ENST00000361627,-0.31304,1.712482659454533e-43,domain_identified
